Year,Activity group,Gender,Age group,Geography,GeoCode,Value
2015,Unpaid household work,"Total, all persons",65 years and over,Canada,,11.7
2015,Unpaid household work,Men+,65 years and over,Canada,,10.0
2015,Unpaid household work,Women+,65 years and over,Canada,,13.3
2015,Care of children under 18 years,"Total, all persons","Total, 15 years and over",Canada,,1.7
2015,Care of children under 18 years,Men+,"Total, 15 years and over",Canada,,1.3
2015,Care of children under 18 years,Women+,"Total, 15 years and over",Canada,,2.1
2015,Care of children under 18 years,"Total, all persons",15 to 24 years,Canada,,0.4
2015,Care of children under 18 years,Men+,15 to 24 years,Canada,,
2015,Care of children under 18 years,Women+,15 to 24 years,Canada,,0.4
2015,Care of children under 18 years,"Total, all persons",25 to 54 years,Canada,,2.9
2015,Care of children under 18 years,Men+,25 to 54 years,Canada,,2.1
2015,Care of children under 18 years,Women+,25 to 54 years,Canada,,3.8
2015,Care of children under 18 years,"Total, all persons",25 to 34 years,Canada,,3.3
2015,Care of children under 18 years,Men+,25 to 34 years,Canada,,1.7
2015,Care of children under 18 years,Women+,25 to 34 years,Canada,,5.0
2015,Care of children under 18 years,"Total, all persons",35 to 44 years,Canada,,4.2
2015,Care of children under 18 years,Men+,35 to 44 years,Canada,,3.3
2015,Care of children under 18 years,Women+,35 to 44 years,Canada,,5.4
2015,Care of children under 18 years,"Total, all persons",45 to 54 years,Canada,,1.3
2015,Care of children under 18 years,Men+,45 to 54 years,Canada,,0.8
2015,Care of children under 18 years,Women+,45 to 54 years,Canada,,1.3
2015,Care of children under 18 years,"Total, all persons",55 to 64 years,Canada,,0.4
2015,Care of children under 18 years,Men+,55 to 64 years,Canada,,
2015,Care of children under 18 years,Women+,55 to 64 years,Canada,,0.4
2015,Care of children under 18 years,"Total, all persons",65 years and over,Canada,,0.4
2015,Care of children under 18 years,Men+,65 years and over,Canada,,0.4
2015,Care of children under 18 years,Women+,65 years and over,Canada,,0.4
2015,Care of adults,"Total, all persons","Total, 15 years and over",Canada,,
2015,Care of adults,Men+,"Total, 15 years and over",Canada,,
2015,Care of adults,Women+,"Total, 15 years and over",Canada,,
2015,Care of adults,"Total, all persons",15 to 24 years,Canada,,
2015,Care of adults,Men+,15 to 24 years,Canada,,
2015,Care of adults,Women+,15 to 24 years,Canada,,0.0
2015,Care of adults,"Total, all persons",25 to 54 years,Canada,,
2015,Care of adults,Men+,25 to 54 years,Canada,,
2015,Care of adults,Women+,25 to 54 years,Canada,,
2015,Care of adults,"Total, all persons",25 to 34 years,Canada,,
2015,Care of adults,Men+,25 to 34 years,Canada,,
2015,Care of adults,Women+,25 to 34 years,Canada,,
2015,Care of adults,"Total, all persons",35 to 44 years,Canada,,
2015,Care of adults,Men+,35 to 44 years,Canada,,
2015,Care of adults,Women+,35 to 44 years,Canada,,
2015,Care of adults,"Total, all persons",45 to 54 years,Canada,,
2015,Care of adults,Men+,45 to 54 years,Canada,,
2015,Care of adults,Women+,45 to 54 years,Canada,,
2015,Care of adults,"Total, all persons",55 to 64 years,Canada,,
2015,Care of adults,Men+,55 to 64 years,Canada,,
2015,Care of adults,Women+,55 to 64 years,Canada,,0.4
2015,Care of adults,"Total, all persons",65 years and over,Canada,,
2015,Care of adults,Men+,65 years and over,Canada,,
2015,Care of adults,Women+,65 years and over,Canada,,
2015,Shopping for goods or services,"Total, all persons","Total, 15 years and over",Canada,,2.1
2015,Shopping for goods or services,Men+,"Total, 15 years and over",Canada,,1.7
2015,Shopping for goods or services,Women+,"Total, 15 years and over",Canada,,2.5
2015,Shopping for goods or services,"Total, all persons",15 to 24 years,Canada,,1.3
2015,Shopping for goods or services,Men+,15 to 24 years,Canada,,0.8
2015,Shopping for goods or services,Women+,15 to 24 years,Canada,,1.7
2015,Shopping for goods or services,"Total, all persons",25 to 54 years,Canada,,1.7
2015,Shopping for goods or services,Men+,25 to 54 years,Canada,,1.3
2015,Shopping for goods or services,Women+,25 to 54 years,Canada,,2.1
2015,Shopping for goods or services,"Total, all persons",25 to 34 years,Canada,,1.7
2015,Shopping for goods or services,Men+,25 to 34 years,Canada,,1.3
2015,Shopping for goods or services,Women+,25 to 34 years,Canada,,2.1
2015,Shopping for goods or services,"Total, all persons",35 to 44 years,Canada,,1.7
2015,Shopping for goods or services,Men+,35 to 44 years,Canada,,1.7
2015,Shopping for goods or services,Women+,35 to 44 years,Canada,,2.1
2015,Shopping for goods or services,"Total, all persons",45 to 54 years,Canada,,2.1
2015,Shopping for goods or services,Men+,45 to 54 years,Canada,,1.7
2015,Shopping for goods or services,Women+,45 to 54 years,Canada,,2.5
2015,Shopping for goods or services,"Total, all persons",55 to 64 years,Canada,,2.5
2015,Shopping for goods or services,Men+,55 to 64 years,Canada,,2.1
2015,Shopping for goods or services,Women+,55 to 64 years,Canada,,2.9
2015,Shopping for goods or services,"Total, all persons",65 years and over,Canada,,2.5
2015,Shopping for goods or services,Men+,65 years and over,Canada,,2.5
2015,Shopping for goods or services,Women+,65 years and over,Canada,,2.9
2015,"Total, unpaid work activities","Total, all persons","Total, 15 years and over",Atlantic,1,13.3
2015,"Total, unpaid work activities",Men+,"Total, 15 years and over",Atlantic,1,11.3
2015,"Total, unpaid work activities",Women+,"Total, 15 years and over",Atlantic,1,15.4
2015,"Total, unpaid work activities","Total, all persons",15 to 24 years,Atlantic,1,5.8
2015,"Total, unpaid work activities",Men+,15 to 24 years,Atlantic,1,5.4
2015,"Total, unpaid work activities",Women+,15 to 24 years,Atlantic,1,6.3
2015,"Total, unpaid work activities","Total, all persons",25 to 54 years,Atlantic,1,13.8
2015,"Total, unpaid work activities",Men+,25 to 54 years,Atlantic,1,11.3
2015,"Total, unpaid work activities",Women+,25 to 54 years,Atlantic,1,16.3
2015,"Total, unpaid work activities","Total, all persons",25 to 34 years,Atlantic,1,12.5
2015,"Total, unpaid work activities",Men+,25 to 34 years,Atlantic,1,8.8
2015,"Total, unpaid work activities",Women+,25 to 34 years,Atlantic,1,15.8
2015,"Total, unpaid work activities","Total, all persons",35 to 44 years,Atlantic,1,14.6
2015,"Total, unpaid work activities",Men+,35 to 44 years,Atlantic,1,12.5
2015,"Total, unpaid work activities",Women+,35 to 44 years,Atlantic,1,17.1
2015,"Total, unpaid work activities","Total, all persons",45 to 54 years,Atlantic,1,14.2
2015,"Total, unpaid work activities",Men+,45 to 54 years,Atlantic,1,11.7
2015,"Total, unpaid work activities",Women+,45 to 54 years,Atlantic,1,16.3
2015,"Total, unpaid work activities","Total, all persons",55 to 64 years,Atlantic,1,15.4
2015,"Total, unpaid work activities",Men+,55 to 64 years,Atlantic,1,13.3
2015,"Total, unpaid work activities",Women+,55 to 64 years,Atlantic,1,17.5
2015,"Total, unpaid work activities","Total, all persons",65 years and over,Atlantic,1,15.0
2015,"Total, unpaid work activities",Men+,65 years and over,Atlantic,1,13.3
2015,"Total, unpaid work activities",Women+,65 years and over,Atlantic,1,16.7
2015,Unpaid household work,"Total, all persons","Total, 15 years and over",Atlantic,1,9.2
2015,Unpaid household work,Men+,"Total, 15 years and over",Atlantic,1,8.3
2015,Unpaid household work,Women+,"Total, 15 years and over",Atlantic,1,10.4
2015,Unpaid household work,"Total, all persons",15 to 24 years,Atlantic,1,4.2
2015,Unpaid household work,Men+,15 to 24 years,Atlantic,1,4.6
2015,Unpaid household work,Women+,15 to 24 years,Atlantic,1,3.8
2015,Unpaid household work,"Total, all persons",25 to 54 years,Atlantic,1,8.8
2015,Unpaid household work,Men+,25 to 54 years,Atlantic,1,7.5
2015,Unpaid household work,Women+,25 to 54 years,Atlantic,1,10.0
2015,Unpaid household work,"Total, all persons",25 to 34 years,Atlantic,1,6.7
2015,Unpaid household work,Men+,25 to 34 years,Atlantic,1,5.4
2015,Unpaid household work,Women+,25 to 34 years,Atlantic,1,7.9
2015,Unpaid household work,"Total, all persons",35 to 44 years,Atlantic,1,8.8
2015,Unpaid household work,Men+,35 to 44 years,Atlantic,1,7.1
2015,Unpaid household work,Women+,35 to 44 years,Atlantic,1,10.4
2015,Unpaid household work,"Total, all persons",45 to 54 years,Atlantic,1,10.4
2015,Unpaid household work,Men+,45 to 54 years,Atlantic,1,9.6
2015,Unpaid household work,Women+,45 to 54 years,Atlantic,1,11.7
2015,Unpaid household work,"Total, all persons",55 to 64 years,Atlantic,1,12.1
2015,Unpaid household work,Men+,55 to 64 years,Atlantic,1,10.8
2015,Unpaid household work,Women+,55 to 64 years,Atlantic,1,12.9
2015,Unpaid household work,"Total, all persons",65 years and over,Atlantic,1,11.7
2015,Unpaid household work,Men+,65 years and over,Atlantic,1,10.0
2015,Unpaid household work,Women+,65 years and over,Atlantic,1,13.3
2015,Care of children under 18 years,"Total, all persons","Total, 15 years and over",Atlantic,1,1.3
2015,Care of children under 18 years,Men+,"Total, 15 years and over",Atlantic,1,0.8
2015,Care of children under 18 years,Women+,"Total, 15 years and over",Atlantic,1,1.7
2015,Care of children under 18 years,"Total, all persons",15 to 24 years,Atlantic,1,
2015,Care of children under 18 years,Men+,15 to 24 years,Atlantic,1,
2015,Care of children under 18 years,Women+,15 to 24 years,Atlantic,1,
2015,Care of children under 18 years,"Total, all persons",25 to 54 years,Atlantic,1,2.5
2015,Care of children under 18 years,Men+,25 to 54 years,Atlantic,1,2.1
2015,Care of children under 18 years,Women+,25 to 54 years,Atlantic,1,3.3
2015,Care of children under 18 years,"Total, all persons",25 to 34 years,Atlantic,1,3.8
2015,Care of children under 18 years,Men+,25 to 34 years,Atlantic,1,1.7
2015,Care of children under 18 years,Women+,25 to 34 years,Atlantic,1,5.8
2015,Care of children under 18 years,"Total, all persons",35 to 44 years,Atlantic,1,3.8
2015,Care of children under 18 years,Men+,35 to 44 years,Atlantic,1,3.3
2015,Care of children under 18 years,Women+,35 to 44 years,Atlantic,1,4.2
2015,Care of children under 18 years,"Total, all persons",45 to 54 years,Atlantic,1,0.8
2015,Care of children under 18 years,Men+,45 to 54 years,Atlantic,1,0.8
2015,Care of children under 18 years,Women+,45 to 54 years,Atlantic,1,0.8
2015,Care of children under 18 years,"Total, all persons",55 to 64 years,Atlantic,1,0.4
2015,Care of children under 18 years,Men+,55 to 64 years,Atlantic,1,
2015,Care of children under 18 years,Women+,55 to 64 years,Atlantic,1,0.4
2015,Care of children under 18 years,"Total, all persons",65 years and over,Atlantic,1,
2015,Care of children under 18 years,Men+,65 years and over,Atlantic,1,
2015,Care of children under 18 years,Women+,65 years and over,Atlantic,1,
2015,Care of adults,"Total, all persons","Total, 15 years and over",Atlantic,1,
2015,Care of adults,Men+,"Total, 15 years and over",Atlantic,1,
2015,Care of adults,Women+,"Total, 15 years and over",Atlantic,1,
2015,Care of adults,"Total, all persons",15 to 24 years,Atlantic,1,0.0
2015,Care of adults,Men+,15 to 24 years,Atlantic,1,0.0
2015,Care of adults,Women+,15 to 24 years,Atlantic,1,0.0
2015,Care of adults,"Total, all persons",25 to 54 years,Atlantic,1,
2015,Care of adults,Men+,25 to 54 years,Atlantic,1,
2015,Care of adults,Women+,25 to 54 years,Atlantic,1,
2015,Care of adults,"Total, all persons",25 to 34 years,Atlantic,1,
2015,Care of adults,Men+,25 to 34 years,Atlantic,1,
2015,Care of adults,Women+,25 to 34 years,Atlantic,1,
2015,Care of adults,"Total, all persons",35 to 44 years,Atlantic,1,
2015,Care of adults,Men+,35 to 44 years,Atlantic,1,0.0
2015,Care of adults,Women+,35 to 44 years,Atlantic,1,
2015,Care of adults,"Total, all persons",45 to 54 years,Atlantic,1,
2015,Care of adults,Men+,45 to 54 years,Atlantic,1,
2015,Care of adults,Women+,45 to 54 years,Atlantic,1,
2015,Care of adults,"Total, all persons",55 to 64 years,Atlantic,1,
2015,Care of adults,Men+,55 to 64 years,Atlantic,1,
2015,Care of adults,Women+,55 to 64 years,Atlantic,1,
2015,Care of adults,"Total, all persons",65 years and over,Atlantic,1,0.4
2015,Care of adults,Men+,65 years and over,Atlantic,1,
2015,Care of adults,Women+,65 years and over,Atlantic,1,
2015,Shopping for goods or services,"Total, all persons","Total, 15 years and over",Atlantic,1,2.1
2015,Shopping for goods or services,Men+,"Total, 15 years and over",Atlantic,1,1.7
2015,Shopping for goods or services,Women+,"Total, 15 years and over",Atlantic,1,2.5
2015,Shopping for goods or services,"Total, all persons",15 to 24 years,Atlantic,1,0.8
2015,Shopping for goods or services,Men+,15 to 24 years,Atlantic,1,
2015,Shopping for goods or services,Women+,15 to 24 years,Atlantic,1,1.3
2015,Shopping for goods or services,"Total, all persons",25 to 54 years,Atlantic,1,2.1
2015,Shopping for goods or services,Men+,25 to 54 years,Atlantic,1,1.3
2015,Shopping for goods or services,Women+,25 to 54 years,Atlantic,1,2.5
2015,Shopping for goods or services,"Total, all persons",25 to 34 years,Atlantic,1,1.7
2015,Shopping for goods or services,Men+,25 to 34 years,Atlantic,1,1.3
2015,Shopping for goods or services,Women+,25 to 34 years,Atlantic,1,2.1
2015,Shopping for goods or services,"Total, all persons",35 to 44 years,Atlantic,1,2.1
2015,Shopping for goods or services,Men+,35 to 44 years,Atlantic,1,1.7
2015,Shopping for goods or services,Women+,35 to 44 years,Atlantic,1,2.1
2015,Shopping for goods or services,"Total, all persons",45 to 54 years,Atlantic,1,2.1
2015,Shopping for goods or services,Men+,45 to 54 years,Atlantic,1,0.8
2015,Shopping for goods or services,Women+,45 to 54 years,Atlantic,1,3.3
2015,Shopping for goods or services,"Total, all persons",55 to 64 years,Atlantic,1,2.5
2015,Shopping for goods or services,Men+,55 to 64 years,Atlantic,1,1.7
2015,Shopping for goods or services,Women+,55 to 64 years,Atlantic,1,2.9
2015,Shopping for goods or services,"Total, all persons",65 years and over,Atlantic,1,2.9
2015,Shopping for goods or services,Men+,65 years and over,Atlantic,1,2.9
2015,Shopping for goods or services,Women+,65 years and over,Atlantic,1,2.5
2015,"Total, unpaid work activities","Total, all persons","Total, 15 years and over",Quebec,24,12.5
2015,"Total, unpaid work activities",Men+,"Total, 15 years and over",Quebec,24,10.4
2015,"Total, unpaid work activities",Women+,"Total, 15 years and over",Quebec,24,14.6
2015,"Total, unpaid work activities","Total, all persons",15 to 24 years,Quebec,24,5.4
2015,"Total, unpaid work activities",Men+,15 to 24 years,Quebec,24,4.6
2015,"Total, unpaid work activities",Women+,15 to 24 years,Quebec,24,5.8
2015,"Total, unpaid work activities","Total, all persons",25 to 54 years,Quebec,24,13.3
2015,"Total, unpaid work activities",Men+,25 to 54 years,Quebec,24,10.8
2015,"Total, unpaid work activities",Women+,25 to 54 years,Quebec,24,15.8
2015,"Total, unpaid work activities","Total, all persons",25 to 34 years,Quebec,24,12.1
2015,"Total, unpaid work activities",Men+,25 to 34 years,Quebec,24,8.8
2015,"Total, unpaid work activities",Women+,25 to 34 years,Quebec,24,15.8
2015,"Total, unpaid work activities","Total, all persons",35 to 44 years,Quebec,24,15.0
2015,"Total, unpaid work activities",Men+,35 to 44 years,Quebec,24,12.9
2015,"Total, unpaid work activities",Women+,35 to 44 years,Quebec,24,17.1
2015,"Total, unpaid work activities","Total, all persons",45 to 54 years,Quebec,24,12.5
2015,"Total, unpaid work activities",Men+,45 to 54 years,Quebec,24,10.8
2015,"Total, unpaid work activities",Women+,45 to 54 years,Quebec,24,14.6
2015,"Total, unpaid work activities","Total, all persons",55 to 64 years,Quebec,24,13.8
2015,"Total, unpaid work activities",Men+,55 to 64 years,Quebec,24,11.7
2015,"Total, unpaid work activities",Women+,55 to 64 years,Quebec,24,15.8
2015,"Total, unpaid work activities","Total, all persons",65 years and over,Quebec,24,14.2
2015,"Total, unpaid work activities",Men+,65 years and over,Quebec,24,11.7
2015,"Total, unpaid work activities",Women+,65 years and over,Quebec,24,16.3
2015,Unpaid household work,"Total, all persons","Total, 15 years and over",Quebec,24,8.8
2015,Unpaid household work,Men+,"Total, 15 years and over",Quebec,24,7.5
2015,Unpaid household work,Women+,"Total, 15 years and over",Quebec,24,9.6
2015,Unpaid household work,"Total, all persons",15 to 24 years,Quebec,24,3.3
2015,Unpaid household work,Men+,15 to 24 years,Quebec,24,3.8
2015,Unpaid household work,Women+,15 to 24 years,Quebec,24,3.3
2015,Unpaid household work,"Total, all persons",25 to 54 years,Quebec,24,8.3
2015,Unpaid household work,Men+,25 to 54 years,Quebec,24,7.1
2015,Unpaid household work,Women+,25 to 54 years,Quebec,24,9.2
2015,Unpaid household work,"Total, all persons",25 to 34 years,Quebec,24,6.3
2015,Unpaid household work,Men+,25 to 34 years,Quebec,24,4.6
2015,Unpaid household work,Women+,25 to 34 years,Quebec,24,7.9
2015,Unpaid household work,"Total, all persons",35 to 44 years,Quebec,24,8.8
2015,Unpaid household work,Men+,35 to 44 years,Quebec,24,7.9
2015,Unpaid household work,Women+,35 to 44 years,Quebec,24,10.0
2015,Unpaid household work,"Total, all persons",45 to 54 years,Quebec,24,9.6
2015,Unpaid household work,Men+,45 to 54 years,Quebec,24,8.8
2015,Unpaid household work,Women+,45 to 54 years,Quebec,24,10.4
2015,Unpaid household work,"Total, all persons",55 to 64 years,Quebec,24,10.4
2015,Unpaid household work,Men+,55 to 64 years,Quebec,24,9.2
2015,Unpaid household work,Women+,55 to 64 years,Quebec,24,12.1
2015,Unpaid household work,"Total, all persons",65 years and over,Quebec,24,11.3
2015,Unpaid household work,Men+,65 years and over,Quebec,24,9.2
2015,Unpaid household work,Women+,65 years and over,Quebec,24,12.9
2015,Care of children under 18 years,"Total, all persons","Total, 15 years and over",Quebec,24,1.7
2015,Care of children under 18 years,Men+,"Total, 15 years and over",Quebec,24,1.3
2015,Care of children under 18 years,Women+,"Total, 15 years and over",Quebec,24,2.1
2015,Care of children under 18 years,"Total, all persons",15 to 24 years,Quebec,24,
2015,Care of children under 18 years,Men+,15 to 24 years,Quebec,24,
2015,Care of children under 18 years,Women+,15 to 24 years,Quebec,24,
2015,Care of children under 18 years,"Total, all persons",25 to 54 years,Quebec,24,2.9
2015,Care of children under 18 years,Men+,25 to 54 years,Quebec,24,2.1
2015,Care of children under 18 years,Women+,25 to 54 years,Quebec,24,3.8
2015,Care of children under 18 years,"Total, all persons",25 to 34 years,Quebec,24,4.2
2015,Care of children under 18 years,Men+,25 to 34 years,Quebec,24,2.5
2015,Care of children under 18 years,Women+,25 to 34 years,Quebec,24,5.8
2015,Care of children under 18 years,"Total, all persons",35 to 44 years,Quebec,24,3.8
2015,Care of children under 18 years,Men+,35 to 44 years,Quebec,24,2.9
2015,Care of children under 18 years,Women+,35 to 44 years,Quebec,24,5.0
2015,Care of children under 18 years,"Total, all persons",45 to 54 years,Quebec,24,0.8
2015,Care of children under 18 years,Men+,45 to 54 years,Quebec,24,0.8
2015,Care of children under 18 years,Women+,45 to 54 years,Quebec,24,0.8
2015,Care of children under 18 years,"Total, all persons",55 to 64 years,Quebec,24,
2015,Care of children under 18 years,Men+,55 to 64 years,Quebec,24,
2015,Care of children under 18 years,Women+,55 to 64 years,Quebec,24,
2015,Care of children under 18 years,"Total, all persons",65 years and over,Quebec,24,0.4
2015,Care of children under 18 years,Men+,65 years and over,Quebec,24,
2015,Care of children under 18 years,Women+,65 years and over,Quebec,24,
2015,Care of adults,"Total, all persons","Total, 15 years and over",Quebec,24,
2015,Care of adults,Men+,"Total, 15 years and over",Quebec,24,
2015,Care of adults,Women+,"Total, 15 years and over",Quebec,24,
2015,Care of adults,"Total, all persons",15 to 24 years,Quebec,24,
2015,Care of adults,Men+,15 to 24 years,Quebec,24,
2015,Care of adults,Women+,15 to 24 years,Quebec,24,0.0
2015,Care of adults,"Total, all persons",25 to 54 years,Quebec,24,
2015,Care of adults,Men+,25 to 54 years,Quebec,24,
2015,Care of adults,Women+,25 to 54 years,Quebec,24,
2015,Care of adults,"Total, all persons",25 to 34 years,Quebec,24,
2015,Care of adults,Men+,25 to 34 years,Quebec,24,
2015,Care of adults,Women+,25 to 34 years,Quebec,24,
2015,Care of adults,"Total, all persons",35 to 44 years,Quebec,24,
2015,Care of adults,Men+,35 to 44 years,Quebec,24,
2015,Care of adults,Women+,35 to 44 years,Quebec,24,
2015,Care of adults,"Total, all persons",45 to 54 years,Quebec,24,
2015,Care of adults,Men+,45 to 54 years,Quebec,24,
2015,Care of adults,Women+,45 to 54 years,Quebec,24,
2015,Care of adults,"Total, all persons",55 to 64 years,Quebec,24,
2015,Care of adults,Men+,55 to 64 years,Quebec,24,
2015,Care of adults,Women+,55 to 64 years,Quebec,24,
2015,Care of adults,"Total, all persons",65 years and over,Quebec,24,
2015,Care of adults,Men+,65 years and over,Quebec,24,
2015,Care of adults,Women+,65 years and over,Quebec,24,
2015,Shopping for goods or services,"Total, all persons","Total, 15 years and over",Quebec,24,2.1
2015,Shopping for goods or services,Men+,"Total, 15 years and over",Quebec,24,1.7
2015,Shopping for goods or services,Women+,"Total, 15 years and over",Quebec,24,2.5
2015,Shopping for goods or services,"Total, all persons",15 to 24 years,Quebec,24,1.3
2015,Shopping for goods or services,Men+,15 to 24 years,Quebec,24,0.8
2015,Shopping for goods or services,Women+,15 to 24 years,Quebec,24,1.7
2015,Shopping for goods or services,"Total, all persons",25 to 54 years,Quebec,24,1.7
2015,Shopping for goods or services,Men+,25 to 54 years,Quebec,24,1.3
2015,Shopping for goods or services,Women+,25 to 54 years,Quebec,24,2.1
2015,Shopping for goods or services,"Total, all persons",25 to 34 years,Quebec,24,1.7
2015,Shopping for goods or services,Men+,25 to 34 years,Quebec,24,1.3
2015,Shopping for goods or services,Women+,25 to 34 years,Quebec,24,2.1
2015,Shopping for goods or services,"Total, all persons",35 to 44 years,Quebec,24,1.7
2015,Shopping for goods or services,Men+,35 to 44 years,Quebec,24,1.3
2015,Shopping for goods or services,Women+,35 to 44 years,Quebec,24,2.1
2015,Shopping for goods or services,"Total, all persons",45 to 54 years,Quebec,24,2.1
2015,Shopping for goods or services,Men+,45 to 54 years,Quebec,24,1.3
2015,Shopping for goods or services,Women+,45 to 54 years,Quebec,24,2.9
2015,Shopping for goods or services,"Total, all persons",55 to 64 years,Quebec,24,2.5
2015,Shopping for goods or services,Men+,55 to 64 years,Quebec,24,2.1
2015,Shopping for goods or services,Women+,55 to 64 years,Quebec,24,2.5
2015,Shopping for goods or services,"Total, all persons",65 years and over,Quebec,24,2.5
2015,Shopping for goods or services,Men+,65 years and over,Quebec,24,2.1
2015,Shopping for goods or services,Women+,65 years and over,Quebec,24,2.5
2015,"Total, unpaid work activities","Total, all persons","Total, 15 years and over",Ontario,35,12.5
2015,"Total, unpaid work activities",Men+,"Total, 15 years and over",Ontario,35,10.0
2015,"Total, unpaid work activities",Women+,"Total, 15 years and over",Ontario,35,15.0
2015,"Total, unpaid work activities","Total, all persons",15 to 24 years,Ontario,35,5.4
2015,"Total, unpaid work activities",Men+,15 to 24 years,Ontario,35,4.6
2015,"Total, unpaid work activities",Women+,15 to 24 years,Ontario,35,6.3
2015,"Total, unpaid work activities","Total, all persons",25 to 54 years,Ontario,35,13.3
2015,"Total, unpaid work activities",Men+,25 to 54 years,Ontario,35,10.0
2015,"Total, unpaid work activities",Women+,25 to 54 years,Ontario,35,16.3
2015,"Total, unpaid work activities","Total, all persons",25 to 34 years,Ontario,35,11.7
2015,"Total, unpaid work activities",Men+,25 to 34 years,Ontario,35,7.1
2015,"Total, unpaid work activities",Women+,25 to 34 years,Ontario,35,15.8
2015,"Total, unpaid work activities","Total, all persons",35 to 44 years,Ontario,35,15.0
2015,"Total, unpaid work activities",Men+,35 to 44 years,Ontario,35,11.7
2015,"Total, unpaid work activities",Women+,35 to 44 years,Ontario,35,18.3
2015,"Total, unpaid work activities","Total, all persons",45 to 54 years,Ontario,35,12.9
2015,"Total, unpaid work activities",Men+,45 to 54 years,Ontario,35,10.4
2015,"Total, unpaid work activities",Women+,45 to 54 years,Ontario,35,15.0
2015,"Total, unpaid work activities","Total, all persons",55 to 64 years,Ontario,35,14.6
2015,"Total, unpaid work activities",Men+,55 to 64 years,Ontario,35,11.7
2015,"Total, unpaid work activities",Women+,55 to 64 years,Ontario,35,17.5
2015,"Total, unpaid work activities","Total, all persons",65 years and over,Ontario,35,15.4
2015,"Total, unpaid work activities",Men+,65 years and over,Ontario,35,13.3
2015,"Total, unpaid work activities",Women+,65 years and over,Ontario,35,17.5
2015,Unpaid household work,"Total, all persons","Total, 15 years and over",Ontario,35,8.8
2015,Unpaid household work,Men+,"Total, 15 years and over",Ontario,35,7.1
2015,Unpaid household work,Women+,"Total, 15 years and over",Ontario,35,10.0
2015,Unpaid household work,"Total, all persons",15 to 24 years,Ontario,35,3.3
2015,Unpaid household work,Men+,15 to 24 years,Ontario,35,2.9
2015,Unpaid household work,Women+,15 to 24 years,Ontario,35,3.8
