Year,Occupation,Geography,Progress,GeoCode,Value
2016,"Middle management occupations in trades, transportation, production and utilities",British Columbia,81.5,59,18.5
2017,Legislative and senior management occupations,Canada,70.5,,29.5
2017,Specialized middle management occupations,Canada,52.2,,47.8
2017,Middle management occupations in retail and wholesale trade and customer services,Canada,61.4,,38.6
2017,"Middle management occupations in trades, transportation, production and utilities",Canada,82.4,,17.6
2017,Management occupations,Newfoundland and Labrador,61.8,10,38.2
2017,Legislative and senior management occupations,Newfoundland and Labrador,,10,
2017,Specialized middle management occupations,Newfoundland and Labrador,52.0,10,48.0
2017,Middle management occupations in retail and wholesale trade and customer services,Newfoundland and Labrador,55.0,10,45.0
2017,"Middle management occupations in trades, transportation, production and utilities",Newfoundland and Labrador,83.7,10,16.3
2017,Management occupations,Prince Edward Island,62.9,11,37.1
2017,Legislative and senior management occupations,Prince Edward Island,,11,
2017,Specialized middle management occupations,Prince Edward Island,50.0,11,50.0
2017,Middle management occupations in retail and wholesale trade and customer services,Prince Edward Island,50.0,11,50.0
2017,"Middle management occupations in trades, transportation, production and utilities",Prince Edward Island,85.7,11,14.3
2017,Management occupations,Nova Scotia,63.4,12,36.6
2017,Legislative and senior management occupations,Nova Scotia,,12,
2017,Specialized middle management occupations,Nova Scotia,57.9,12,57.9
2017,Middle management occupations in retail and wholesale trade and customer services,Nova Scotia,64.8,12,35.2
2017,"Middle management occupations in trades, transportation, production and utilities",Nova Scotia,87.5,12,12.5
2017,Management occupations,New Brunswick,63.7,13,36.3
2017,Legislative and senior management occupations,New Brunswick,,13,
2017,Specialized middle management occupations,New Brunswick,52.9,13,47.1
2017,Middle management occupations in retail and wholesale trade and customer services,New Brunswick,56.1,13,43.9
2017,"Middle management occupations in trades, transportation, production and utilities",New Brunswick,87.7,13,12.3
2017,Management occupations,Quebec,66.7,24,33.3
2017,Legislative and senior management occupations,Quebec,62.1,24,37.9
2017,Specialized middle management occupations,Quebec,57.3,24,42.7
2017,Middle management occupations in retail and wholesale trade and customer services,Quebec,62.3,24,37.7
2017,"Middle management occupations in trades, transportation, production and utilities",Quebec,82.5,24,17.5
2017,Management occupations,Ontario,64.4,35,35.6
2017,Legislative and senior management occupations,Ontario,74.2,35,25.8
2017,Specialized middle management occupations,Ontario,52.0,35,48.0
2017,Middle management occupations in retail and wholesale trade and customer services,Ontario,62.4,35,37.6
2017,"Middle management occupations in trades, transportation, production and utilities",Ontario,82.5,35,17.5
2017,Management occupations,Manitoba,70.1,46,29.9
2017,Legislative and senior management occupations,Manitoba,,46,
2017,Specialized middle management occupations,Manitoba,55.6,46,44.4
2017,Middle management occupations in retail and wholesale trade and customer services,Manitoba,59.6,46,40.4
2017,"Middle management occupations in trades, transportation, production and utilities",Manitoba,82.7,46,17.3
2017,Management occupations,Saskatchewan,68.3,47,31.7
2017,Legislative and senior management occupations,Saskatchewan,57.9,47,57.9
2017,Specialized middle management occupations,Saskatchewan,56.7,47,56.7
2017,Middle management occupations in retail and wholesale trade and customer services,Saskatchewan,61.3,47,38.7
2017,"Middle management occupations in trades, transportation, production and utilities",Saskatchewan,80.2,47,19.8
2017,Management occupations,Alberta,67.5,48,32.5
2017,Legislative and senior management occupations,Alberta,,48,
2017,Specialized middle management occupations,Alberta,53.3,48,46.7
2017,Middle management occupations in retail and wholesale trade and customer services,Alberta,62.1,48,37.9
2017,"Middle management occupations in trades, transportation, production and utilities",Alberta,81.3,48,18.7
2017,Management occupations,British Columbia,62.9,59,37.1
2017,Legislative and senior management occupations,British Columbia,,59,
2017,Specialized middle management occupations,British Columbia,55.2,59,55.2
2017,Middle management occupations in retail and wholesale trade and customer services,British Columbia,58.0,59,42.0
2017,"Middle management occupations in trades, transportation, production and utilities",British Columbia,82.8,59,17.2
2018,Legislative and senior management occupations,Canada,67.3,,32.7
2018,Specialized middle management occupations,Canada,52.0,,48.0
2018,Middle management occupations in retail and wholesale trade and customer services,Canada,62.0,,38.0
2018,"Middle management occupations in trades, transportation, production and utilities",Canada,81.6,,18.4
2018,Management occupations,Newfoundland and Labrador,55.6,10,44.4
2018,Legislative and senior management occupations,Newfoundland and Labrador,,10,
2018,Specialized middle management occupations,Newfoundland and Labrador,53.3,10,53.3
2018,Middle management occupations in retail and wholesale trade and customer services,Newfoundland and Labrador,51.9,10,51.9
2018,"Middle management occupations in trades, transportation, production and utilities",Newfoundland and Labrador,82.4,10,17.6
2018,Management occupations,Prince Edward Island,64.5,11,35.5
2018,Legislative and senior management occupations,Prince Edward Island,,11,
2018,Specialized middle management occupations,Prince Edward Island,57.1,11,57.1
2018,Middle management occupations in retail and wholesale trade and customer services,Prince Edward Island,52.4,11,47.6
2018,"Middle management occupations in trades, transportation, production and utilities",Prince Edward Island,84.0,11,16.0
2018,Management occupations,Nova Scotia,60.1,12,39.9
2018,Legislative and senior management occupations,Nova Scotia,,12,
2018,Specialized middle management occupations,Nova Scotia,55.9,12,55.9
2018,Middle management occupations in retail and wholesale trade and customer services,Nova Scotia,54.9,12,45.1
2018,"Middle management occupations in trades, transportation, production and utilities",Nova Scotia,83.7,12,16.3
2018,Management occupations,New Brunswick,64.8,13,35.2
2018,Legislative and senior management occupations,New Brunswick,,13,
2018,Specialized middle management occupations,New Brunswick,50.7,13,49.3
2018,Middle management occupations in retail and wholesale trade and customer services,New Brunswick,62.2,13,37.8
2018,"Middle management occupations in trades, transportation, production and utilities",New Brunswick,86.6,13,13.4
2018,Management occupations,Quebec,64.3,24,35.7
2018,Legislative and senior management occupations,Quebec,60.3,24,39.7
2018,Specialized middle management occupations,Quebec,51.2,24,51.2
2018,Middle management occupations in retail and wholesale trade and customer services,Quebec,64.6,24,35.4
2018,"Middle management occupations in trades, transportation, production and utilities",Quebec,80.6,24,19.4
2018,Management occupations,Ontario,64.4,35,35.6
2018,Legislative and senior management occupations,Ontario,67.5,35,32.5
2018,Specialized middle management occupations,Ontario,52.7,35,47.3
2018,Middle management occupations in retail and wholesale trade and customer services,Ontario,62.1,35,37.9
2018,"Middle management occupations in trades, transportation, production and utilities",Ontario,83.4,35,16.6
2018,Management occupations,Manitoba,68.6,46,31.4
2018,Legislative and senior management occupations,Manitoba,,46,
2018,Specialized middle management occupations,Manitoba,51.1,46,51.1
2018,Middle management occupations in retail and wholesale trade and customer services,Manitoba,59.9,46,40.1
2018,"Middle management occupations in trades, transportation, production and utilities",Manitoba,83.8,46,16.2
2018,Management occupations,Saskatchewan,68.9,47,31.1
2018,Legislative and senior management occupations,Saskatchewan,,47,
2018,Specialized middle management occupations,Saskatchewan,57.0,47,57.0
2018,Middle management occupations in retail and wholesale trade and customer services,Saskatchewan,59.1,47,40.9
2018,"Middle management occupations in trades, transportation, production and utilities",Saskatchewan,80.1,47,19.9
2018,Management occupations,Alberta,68.0,48,32.0
2018,Legislative and senior management occupations,Alberta,63.0,48,37.0
2018,Specialized middle management occupations,Alberta,59.1,48,40.9
2018,Middle management occupations in retail and wholesale trade and customer services,Alberta,60.8,48,39.2
2018,"Middle management occupations in trades, transportation, production and utilities",Alberta,78.1,48,21.9
2018,Management occupations,British Columbia,66.6,59,33.4
2018,Legislative and senior management occupations,British Columbia,,59,
2018,Specialized middle management occupations,British Columbia,53.8,59,46.2
2018,Middle management occupations in retail and wholesale trade and customer services,British Columbia,61.9,59,38.1
2018,"Middle management occupations in trades, transportation, production and utilities",British Columbia,81.8,59,18.2
2019,Legislative and senior management occupations,Canada,68.0,,32.0
2019,Specialized middle management occupations,Canada,51.2,,51.2
2019,Middle management occupations in retail and wholesale trade and customer services,Canada,61.2,,38.8
2019,"Middle management occupations in trades, transportation, production and utilities",Canada,83.9,,16.1
2019,Management occupations,Newfoundland and Labrador,65.7,10,34.3
2019,Legislative and senior management occupations,Newfoundland and Labrador,,10,
2019,Specialized middle management occupations,Newfoundland and Labrador,52.2,10,47.8
2019,Middle management occupations in retail and wholesale trade and customer services,Newfoundland and Labrador,60.8,10,39.2
2019,"Middle management occupations in trades, transportation, production and utilities",Newfoundland and Labrador,,10,
2019,Management occupations,Prince Edward Island,63.2,11,36.8
2019,Legislative and senior management occupations,Prince Edward Island,,11,
2019,Specialized middle management occupations,Prince Edward Island,53.8,11,46.2
2019,Middle management occupations in retail and wholesale trade and customer services,Prince Edward Island,52.6,11,52.6
2019,"Middle management occupations in trades, transportation, production and utilities",Prince Edward Island,78.3,11,21.7
2019,Management occupations,Nova Scotia,60.9,12,39.1
2019,Legislative and senior management occupations,Nova Scotia,,12,
2019,Specialized middle management occupations,Nova Scotia,55.2,12,55.2
2019,Middle management occupations in retail and wholesale trade and customer services,Nova Scotia,57.9,12,42.1
2019,"Middle management occupations in trades, transportation, production and utilities",Nova Scotia,82.8,12,17.2
2019,Management occupations,New Brunswick,62.8,13,37.2
2019,Legislative and senior management occupations,New Brunswick,,13,
2019,Specialized middle management occupations,New Brunswick,53.3,13,53.3
2019,Middle management occupations in retail and wholesale trade and customer services,New Brunswick,59.1,13,40.9
2019,"Middle management occupations in trades, transportation, production and utilities",New Brunswick,83.1,13,16.9
2019,Management occupations,Quebec,64.2,24,35.8
2019,Legislative and senior management occupations,Quebec,54.2,24,45.8
2019,Specialized middle management occupations,Quebec,50.2,24,49.8
2019,Middle management occupations in retail and wholesale trade and customer services,Quebec,61.1,24,38.9
2019,"Middle management occupations in trades, transportation, production and utilities",Quebec,83.9,24,16.1
2019,Management occupations,Ontario,63.9,35,36.1
2019,Legislative and senior management occupations,Ontario,71.3,35,28.7
2019,Specialized middle management occupations,Ontario,52.1,35,52.1
2019,Middle management occupations in retail and wholesale trade and customer services,Ontario,61.8,35,38.2
2019,"Middle management occupations in trades, transportation, production and utilities",Ontario,85.1,35,14.9
2019,Management occupations,Manitoba,70.4,46,29.6
2019,Legislative and senior management occupations,Manitoba,,46,
2019,Specialized middle management occupations,Manitoba,52.1,46,47.9
2019,Middle management occupations in retail and wholesale trade and customer services,Manitoba,57.9,46,42.1
2019,"Middle management occupations in trades, transportation, production and utilities",Manitoba,85.5,46,14.5
2019,Management occupations,Saskatchewan,70.4,47,29.6
2019,Legislative and senior management occupations,Saskatchewan,53.8,47,53.8
2019,Specialized middle management occupations,Saskatchewan,51.9,47,51.9
2019,Middle management occupations in retail and wholesale trade and customer services,Saskatchewan,62.6,47,37.4
2019,"Middle management occupations in trades, transportation, production and utilities",Saskatchewan,81.3,47,18.7
2019,Management occupations,Alberta,67.7,48,32.3
2019,Legislative and senior management occupations,Alberta,72.6,48,27.4
2019,Specialized middle management occupations,Alberta,52.9,48,52.9
2019,Middle management occupations in retail and wholesale trade and customer services,Alberta,62.9,48,37.1
2019,"Middle management occupations in trades, transportation, production and utilities",Alberta,82.8,48,17.2
2019,Management occupations,British Columbia,64.8,59,35.2
2019,Legislative and senior management occupations,British Columbia,75.0,59,25.0
2019,Specialized middle management occupations,British Columbia,51.1,59,48.9
2019,Middle management occupations in retail and wholesale trade and customer services,British Columbia,60.4,59,39.6
2019,"Middle management occupations in trades, transportation, production and utilities",British Columbia,82.8,59,17.2
2020,Legislative and senior management occupations,Canada,71.0,,29.0
2020,Specialized middle management occupations,Canada,50.3,,49.7
2020,Middle management occupations in retail and wholesale trade and customer services,Canada,60.8,,39.2
2020,"Middle management occupations in trades, transportation, production and utilities",Canada,82.6,,17.4
2020,Management occupations,Newfoundland and Labrador,62.1,10,37.9
2020,Legislative and senior management occupations,Newfoundland and Labrador,,10,
2020,Specialized middle management occupations,Newfoundland and Labrador,54.5,10,54.5
2020,Middle management occupations in retail and wholesale trade and customer services,Newfoundland and Labrador,59.6,10,40.4
2020,"Middle management occupations in trades, transportation, production and utilities",Newfoundland and Labrador,86.8,10,13.2
2020,Management occupations,Prince Edward Island,63.5,11,36.5
2020,Legislative and senior management occupations,Prince Edward Island,,11,
2020,Specialized middle management occupations,Prince Edward Island,60.0,11,60.0
2020,Middle management occupations in retail and wholesale trade and customer services,Prince Edward Island,50.0,11,50.0
2020,"Middle management occupations in trades, transportation, production and utilities",Prince Edward Island,85.2,11,14.8
2020,Management occupations,Nova Scotia,61.0,12,39.0
2020,Legislative and senior management occupations,Nova Scotia,60.0,12,40.0
2020,Specialized middle management occupations,Nova Scotia,53.6,12,53.6
2020,Middle management occupations in retail and wholesale trade and customer services,Nova Scotia,53.4,12,46.6
2020,"Middle management occupations in trades, transportation, production and utilities",Nova Scotia,84.0,12,16.0
2020,Management occupations,New Brunswick,67.1,13,32.9
2020,Legislative and senior management occupations,New Brunswick,,13,
2020,Specialized middle management occupations,New Brunswick,51.3,13,51.3
2020,Middle management occupations in retail and wholesale trade and customer services,New Brunswick,65.6,13,34.4
2020,"Middle management occupations in trades, transportation, production and utilities",New Brunswick,89.9,13,10.1
2020,Management occupations,Quebec,63.9,24,36.1
2020,Legislative and senior management occupations,Quebec,58.7,24,41.3
2020,Specialized middle management occupations,Quebec,52.0,24,52.0
2020,Middle management occupations in retail and wholesale trade and customer services,Quebec,65.2,24,34.8
2020,"Middle management occupations in trades, transportation, production and utilities",Quebec,82.5,24,17.5
2020,Management occupations,Ontario,63.9,35,36.1
2020,Legislative and senior management occupations,Ontario,76.9,35,23.1
2020,Specialized middle management occupations,Ontario,51.8,35,48.2
2020,Middle management occupations in retail and wholesale trade and customer services,Ontario,60.1,35,39.9
2020,"Middle management occupations in trades, transportation, production and utilities",Ontario,84.0,35,16.0
2020,Management occupations,Manitoba,69.9,46,30.1
2020,Legislative and senior management occupations,Manitoba,62.5,46,37.5
2020,Specialized middle management occupations,Manitoba,51.6,46,48.4
2020,Middle management occupations in retail and wholesale trade and customer services,Manitoba,61.1,46,38.9
2020,"Middle management occupations in trades, transportation, production and utilities",Manitoba,83.0,46,17.0
2020,Management occupations,Saskatchewan,67.8,47,32.2
2020,Legislative and senior management occupations,Saskatchewan,53.3,47,46.7
2020,Specialized middle management occupations,Saskatchewan,55.6,47,55.6
2020,Middle management occupations in retail and wholesale trade and customer services,Saskatchewan,58.8,47,41.2
2020,"Middle management occupations in trades, transportation, production and utilities",Saskatchewan,80.8,47,19.2
2020,Management occupations,Alberta,67.1,48,32.9
2020,Legislative and senior management occupations,Alberta,,48,
2020,Specialized middle management occupations,Alberta,51.1,48,48.9
2020,Middle management occupations in retail and wholesale trade and customer services,Alberta,62.9,48,37.1
2020,"Middle management occupations in trades, transportation, production and utilities",Alberta,79.7,48,20.3
2020,Management occupations,British Columbia,62.0,59,38.0
2020,Legislative and senior management occupations,British Columbia,65.0,59,35.0
2020,Specialized middle management occupations,British Columbia,50.1,59,49.9
2020,Middle management occupations in retail and wholesale trade and customer services,British Columbia,57.0,59,43.0
2020,"Middle management occupations in trades, transportation, production and utilities",British Columbia,82.2,59,17.8
2021,Legislative and senior management occupations,Canada,70.1,,29.9
2021,Specialized middle management occupations,Canada,50.8,,49.2
2021,Middle management occupations in retail and wholesale trade and customer services,Canada,59.9,,40.1
2021,"Middle management occupations in trades, transportation, production and utilities",Canada,82.9,,17.1
2021,Management occupations,Newfoundland and Labrador,62.9,10,37.1
2021,Legislative and senior management occupations,Newfoundland and Labrador,,10,
2021,Specialized middle management occupations,Newfoundland and Labrador,53.7,10,46.3
2021,Middle management occupations in retail and wholesale trade and customer services,Newfoundland and Labrador,59.6,10,40.4
2021,"Middle management occupations in trades, transportation, production and utilities",Newfoundland and Labrador,,10,
2021,Management occupations,Prince Edward Island,63.1,11,36.9
2021,Legislative and senior management occupations,Prince Edward Island,,11,
2021,Specialized middle management occupations,Prince Edward Island,50.0,11,50.0
2021,Middle management occupations in retail and wholesale trade and customer services,Prince Edward Island,52.2,11,47.8
2021,"Middle management occupations in trades, transportation, production and utilities",Prince Edward Island,83.3,11,16.7
2021,Management occupations,Nova Scotia,54.6,12,45.4
2021,Legislative and senior management occupations,Nova Scotia,,12,
2021,Specialized middle management occupations,Nova Scotia,55.7,12,55.7
2021,Middle management occupations in retail and wholesale trade and customer services,Nova Scotia,53.0,12,53.0
2021,"Middle management occupations in trades, transportation, production and utilities",Nova Scotia,76.2,12,23.8
2021,Management occupations,New Brunswick,65.2,13,34.8
2021,Legislative and senior management occupations,New Brunswick,,13,
2021,Specialized middle management occupations,New Brunswick,50.5,13,50.5
2021,Middle management occupations in retail and wholesale trade and customer services,New Brunswick,62.1,13,37.9
2021,"Middle management occupations in trades, transportation, production and utilities",New Brunswick,88.6,13,11.4
2021,Management occupations,Quebec,64.5,24,35.5
2021,Legislative and senior management occupations,Quebec,65.8,24,34.2
2021,Specialized middle management occupations,Quebec,52.7,24,52.7
2021,Middle management occupations in retail and wholesale trade and customer services,Quebec,64.9,24,35.1
2021,"Middle management occupations in trades, transportation, production and utilities",Quebec,83.0,24,17.0
2021,Management occupations,Ontario,63.2,35,36.8
2021,Legislative and senior management occupations,Ontario,72.0,35,28.0
2021,Specialized middle management occupations,Ontario,51.5,35,48.5
2021,Middle management occupations in retail and wholesale trade and customer services,Ontario,59.5,35,40.5
2021,"Middle management occupations in trades, transportation, production and utilities",Ontario,82.3,35,17.7
2021,Management occupations,Manitoba,67.5,46,32.5
2021,Legislative and senior management occupations,Manitoba,,46,
2021,Specialized middle management occupations,Manitoba,50.3,46,50.3
2021,Middle management occupations in retail and wholesale trade and customer services,Manitoba,59.8,46,40.2
2021,"Middle management occupations in trades, transportation, production and utilities",Manitoba,80.1,46,19.9
2021,Management occupations,Saskatchewan,70.5,47,29.5
2021,Legislative and senior management occupations,Saskatchewan,,47,
2021,Specialized middle management occupations,Saskatchewan,51.7,47,48.3
2021,Middle management occupations in retail and wholesale trade and customer services,Saskatchewan,62.1,47,37.9
2021,"Middle management occupations in trades, transportation, production and utilities",Saskatchewan,81.4,47,18.6
2021,Management occupations,Alberta,66.0,48,34.0
2021,Legislative and senior management occupations,Alberta,57.4,48,42.6
2021,Specialized middle management occupations,Alberta,50.2,48,50.2
2021,Middle management occupations in retail and wholesale trade and customer services,Alberta,58.4,48,41.6
2021,"Middle management occupations in trades, transportation, production and utilities",Alberta,84.2,48,15.8
2021,Management occupations,British Columbia,65.7,59,34.3
2021,Legislative and senior management occupations,British Columbia,78.8,59,21.2
2021,Specialized middle management occupations,British Columbia,55.8,59,44.2
2021,Middle management occupations in retail and wholesale trade and customer services,British Columbia,56.6,59,43.4
2021,"Middle management occupations in trades, transportation, production and utilities",British Columbia,84.6,59,15.4
2022,Legislative and senior management occupations,Canada,68.5,,31.5
2022,Specialized middle management occupations,Canada,52.1,,47.9
2022,Middle management occupations in retail and wholesale trade and customer services,Canada,60.2,,39.8
2022,"Middle management occupations in trades, transportation, production and utilities",Canada,83.2,,16.8
2022,Management occupations,Newfoundland and Labrador,61.2,10,38.8
2022,Legislative and senior management occupations,Newfoundland and Labrador,,10,
2022,Specialized middle management occupations,Newfoundland and Labrador,61.0,10,39.0
2022,Middle management occupations in retail and wholesale trade and customer services,Newfoundland and Labrador,55.1,10,55.1
2022,"Middle management occupations in trades, transportation, production and utilities",Newfoundland and Labrador,81.8,10,18.2
2022,Management occupations,Prince Edward Island,68.0,11,32.0
2022,Legislative and senior management occupations,Prince Edward Island,,11,
2022,Specialized middle management occupations,Prince Edward Island,52.2,11,47.8
2022,Middle management occupations in retail and wholesale trade and customer services,Prince Edward Island,52.6,11,47.4
2022,"Middle management occupations in trades, transportation, production and utilities",Prince Edward Island,87.1,11,12.9
2022,Management occupations,Nova Scotia,64.0,12,36.0
2022,Legislative and senior management occupations,Nova Scotia,,12,
2022,Specialized middle management occupations,Nova Scotia,50.4,12,50.4
2022,Middle management occupations in retail and wholesale trade and customer services,Nova Scotia,57.0,12,43.0
2022,"Middle management occupations in trades, transportation, production and utilities",Nova Scotia,90.4,12,9.6
2022,Management occupations,New Brunswick,58.5,13,41.5
2022,Legislative and senior management occupations,New Brunswick,,13,
2022,Specialized middle management occupations,New Brunswick,56.6,13,56.6
2022,Middle management occupations in retail and wholesale trade and customer services,New Brunswick,54.3,13,45.7
2022,"Middle management occupations in trades, transportation, production and utilities",New Brunswick,86.1,13,13.9
2022,Management occupations,Quebec,65.4,24,34.6
2022,Legislative and senior management occupations,Quebec,69.1,24,30.9
2022,Specialized middle management occupations,Quebec,50.7,24,49.3
2022,Middle management occupations in retail and wholesale trade and customer services,Quebec,65.1,24,34.9
