Year,Series,Discrimination indicators,Geography,Gender,Age group,Immigrant status,Visible minority,Indigenous identity,Disability,LGBTQ2+,Highest level of education,Main activity,Area,Progress,GeoCode,Value
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,55 to 64 years,,,,,,,,,32.4,11124,32.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,55 to 64 years,,,,,,,,,67.6,11124,67.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,65 years and over,,,,,,,,,19.0,11124,19.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,65 years and over,,,,,,,,,81.0,11124,81.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,65 to 74 years,,,,,,,,,22.1,11124,22.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,65 to 74 years,,,,,,,,,77.9,11124,77.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,75 years and over,,,,,,,,,14.9,11124,14.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,75 years and over,,,,,,,,,85.1,11124,85.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,Non-immigrants,,,,,,,,31.7,11124,31.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,Non-immigrants,,,,,,,,68.3,11124,68.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,Immigrants,,,,,,,,46.5,11124,46.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,Immigrants,,,,,,,,53.5,11124,53.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,"Immigrants, 10 years or less in Canada",,,,,,,,54.1,11124,54.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,"Immigrants, 10 years or less in Canada",,,,,,,,45.9,11124,45.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,"Immigrants, more than 10 years in Canada",,,,,,,,43.6,11124,43.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,"Immigrants, more than 10 years in Canada",,,,,,,,56.4,11124,56.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,Non-permanent residents,,,,,,,,44.7,11124,44.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,Non-permanent residents,,,,,,,,55.3,11124,55.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,Visible minority population,,,,,,,53.5,11124,53.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,Visible minority population,,,,,,,46.5,11124,46.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,South Asian,,,,,,,49.2,11124,49.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,South Asian,,,,,,,50.8,11124,50.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,Chinese,,,,,,,50.8,11124,50.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,Chinese,,,,,,,49.2,11124,49.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,Black,,,,,,,64.0,11124,64.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,Black,,,,,,,36.0,11124,36.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,Filipino,,,,,,,55.7,11124,55.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,Filipino,,,,,,,44.3,11124,44.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,Arab,,,,,,,46.9,11124,46.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,Arab,,,,,,,53.1,11124,53.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,Latin American,,,,,,,56.9,11124,56.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,Latin American,,,,,,,43.1,11124,43.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,Southeast Asian,,,,,,,49.2,11124,49.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,Southeast Asian,,,,,,,50.8,11124,50.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,West Asian,,,,,,,52.3,11124,52.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,West Asian,,,,,,,47.7,11124,47.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,Korean,,,,,,,70.6,11124,70.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,Korean,,,,,,,29.4,11124,29.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,Multiple visible minorities,,,,,,,58.0,11124,58.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,Multiple visible minorities,,,,,,,42.0,11124,42.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,Not a visible minority,,,,,,,29.3,11124,29.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,Not a visible minority,,,,,,,70.7,11124,70.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,Indigenous identity,,,,,,46.5,11124,46.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,Indigenous identity,,,,,,53.5,11124,53.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,Single Indigenous identity,,,,,,45.5,11124,45.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,Single Indigenous identity,,,,,,54.5,11124,54.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,First Nations,,,,,,50.4,11124,50.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,First Nations,,,,,,49.6,11124,49.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,Métis,,,,,,41.4,11124,41.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,Métis,,,,,,58.6,11124,58.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,Non-Indigenous identity,,,,,,35.6,11124,35.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,Non-Indigenous identity,,,,,,64.4,11124,64.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,"Persons with a disability, difficulty or long-term condition",,,,,43.7,11124,43.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,"Persons with a disability, difficulty or long-term condition",,,,,56.3,11124,56.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,"Persons without a disability, difficulty or long-term condition",,,,,29.3,11124,29.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,"Persons without a disability, difficulty or long-term condition",,,,,70.7,11124,70.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,LGBTQ2+ people,,,,61.7,11124,61.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,LGBTQ2+ people,,,,38.3,11124,38.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,Non-LGBTQ2+ people,,,,34.1,11124,34.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,Non-LGBTQ2+ people,,,,65.9,11124,65.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,,"No certificate, diploma or degree",,,31.9,11124,31.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,"No certificate, diploma or degree",,,68.1,11124,68.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,,Secondary (high) school diploma or equivalency certificate,,,31.6,11124,31.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,Secondary (high) school diploma or equivalency certificate,,,68.4,11124,68.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,,"Postsecondary certificate, diploma or degree",,,38.6,11124,38.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,"Postsecondary certificate, diploma or degree",,,61.4,11124,61.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,,Postsecondary certificate or diploma below bachelor level,,,34.2,11124,34.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,Postsecondary certificate or diploma below bachelor level,,,65.8,11124,65.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,,Apprenticeship or trades certificate or diploma,,,28.0,11124,28.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,Apprenticeship or trades certificate or diploma,,,72.0,11124,72.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,,"College, CEGEP or other non-university certificate or diploma",,,36.0,11124,36.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,"College, CEGEP or other non-university certificate or diploma",,,64.0,11124,64.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,,University certificate or diploma below bachelor level,,,39.5,11124,39.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,University certificate or diploma below bachelor level,,,60.5,11124,60.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,,Bachelor's degree or higher,,,43.2,11124,43.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,Bachelor's degree or higher,,,56.8,11124,56.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,,Bachelor's degree,,,41.5,11124,41.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,Bachelor's degree,,,58.5,11124,58.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,,"University certificate, diploma or degree above bachelor level",,,46.0,11124,46.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,"University certificate, diploma or degree above bachelor level",,,54.0,11124,54.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,,,Working at a paid job or business,,38.6,11124,38.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,,Working at a paid job or business,,61.4,11124,61.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,,,Retired,,17.9,11124,17.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,,Retired,,82.1,11124,82.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,,,Other activity,,43.3,11124,43.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,,Other activity,,56.7,11124,56.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,,,,Urban areas,37.5,11124,37.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,,,Urban areas,62.5,11124,62.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Total,,,,,,,,,Rural areas,24.8,11124,24.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Total,,,,,,,,,Rural areas,75.2,11124,75.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,"Total, 15 years and over",,,,,,,,,32.2,11124,32.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,"Total, 15 years and over",,,,,,,,,67.8,11124,67.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,15 to 24 years,,,,,,,,,37.8,11124,37.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,15 to 24 years,,,,,,,,,62.2,11124,62.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,25 to 54 years,,,,,,,,,37.4,11124,37.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,25 to 54 years,,,,,,,,,62.6,11124,62.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,25 to 34 years,,,,,,,,,42.3,11124,42.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,25 to 34 years,,,,,,,,,57.7,11124,57.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,35 to 44 years,,,,,,,,,36.5,11124,36.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,35 to 44 years,,,,,,,,,63.5,11124,63.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,45 to 54 years,,,,,,,,,32.3,11124,32.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,45 to 54 years,,,,,,,,,67.7,11124,67.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,55 to 64 years,,,,,,,,,29.1,11124,29.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,55 to 64 years,,,,,,,,,70.9,11124,70.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,65 years and over,,,,,,,,,18.5,11124,18.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,65 years and over,,,,,,,,,81.5,11124,81.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,65 to 74 years,,,,,,,,,22.5,11124,22.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,65 to 74 years,,,,,,,,,77.5,11124,77.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,75 years and over,,,,,,,,,12.8,11124,12.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,75 years and over,,,,,,,,,87.2,11124,87.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,"Total, by immigrant status",,,,,,,,32.2,11124,32.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,"Total, by immigrant status",,,,,,,,67.8,11124,67.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,Non-immigrants,,,,,,,,27.8,11124,27.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,Non-immigrants,,,,,,,,72.2,11124,72.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,Immigrants,,,,,,,,42.8,11124,42.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,Immigrants,,,,,,,,57.2,11124,57.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,"Immigrants, 10 years or less in Canada",,,,,,,,55.5,11124,55.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,"Immigrants, 10 years or less in Canada",,,,,,,,44.5,11124,44.5
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,"Immigrants, more than 10 years in Canada",,,,,,,,37.9,11124,37.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,"Immigrants, more than 10 years in Canada",,,,,,,,62.1,11124,62.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,Non-permanent residents,,,,,,,,42.8,11124,42.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,Non-permanent residents,,,,,,,,57.2,11124,57.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,,"Total, by visible minority group",,,,,,,32.2,11124,32.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,,"Total, by visible minority group",,,,,,,67.8,11124,67.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,,Visible minority population,,,,,,,48.8,11124,48.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,,Visible minority population,,,,,,,51.2,11124,51.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,,South Asian,,,,,,,45.1,11124,45.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,,South Asian,,,,,,,54.9,11124,54.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,,Chinese,,,,,,,45.3,11124,45.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,,Chinese,,,,,,,54.7,11124,54.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,,Black,,,,,,,58.7,11124,58.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,,Black,,,,,,,41.3,11124,41.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,,Filipino,,,,,,,53.0,11124,53.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,,Filipino,,,,,,,47.0,11124,47.0
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,,Arab,,,,,,,41.1,11124,41.1
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,,Arab,,,,,,,58.9,11124,58.9
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,,Latin American,,,,,,,54.3,11124,54.3
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,,Latin American,,,,,,,45.7,11124,45.7
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,,Not a visible minority,,,,,,,25.6,11124,25.6
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,,Not a visible minority,,,,,,,74.4,11124,74.4
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,,,"Total, by Indigenous identity",,,,,,32.2,11124,32.2
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Did not experience discrimination or unfair treatment in Canada,Canada,Men,,,,"Total, by Indigenous identity",,,,,,67.8,11124,67.8
2024 Q1,Proportion of population reporting to have experienced discrimination or unfair treatment,Experienced discrimination or unfair treatment in Canada,Canada,Men,,,,Indigenous identity,,,,,,47.8,11124,47.8
