Value,en,fr,Disaggregation combinations using this value,Number of indicators
Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",64,1
Proportion of individuals within a population who reported experiencing discrimination or unfair treatment,Proportion of individuals within a population who reported experiencing discrimination or unfair treatment,Proportion d'individus au sein d'une population déclarant avoir été victimes de discrimination ou de traitement injuste,2828,2
Proportion of older persons receiving a pension,"Proportion of older persons receiving a pension
","Proportion de personnes plus âgées recevant une pension
",1,1
Proportion of persons with disabilities receiving benefits,Proportion of persons with disabilities receiving benefits,Proportion de personnes handicapées bénéficiant de prestations,1,1
Proportion of poor population receiving social assistance cash benefit,Proportion of poor population receiving social assistance cash benefit,Proportion de la population pauvre recevant une prestation de l'aide sociale en espèces,1,1
Proportion of population covered by at least one social protection cash benefit,Proportion of population covered by at least one social protection cash benefit,Proportion de la population couverte par au moins une prestation de protection sociale en espèces,1,1
Proportion of population reporting to have experienced discrimination or unfair treatment,Proportion of population reporting to have experienced discrimination or unfair treatment,Proportion de la population déclarant avoir été victime de discrimination ou de traitement injuste,772,2
Proportion of students achieving at least a minimum proficiency level in mathematics,Proportion of students achieving at least a minimum proficiency level in mathematics,Proportion d'élèves atteignant au moins un niveau minimum de compétence en mathématiques,6,1
Proportion of students achieving at least a minimum proficiency level in reading,Proportion of students achieving at least a minimum proficiency level in reading,Proportion d'élèves atteignant au moins un niveau minimum de compétence en lecture,6,1
Proportion of vulnerable persons receiving benefits,Proportion of vulnerable persons receiving benefits,Proportion de personnes vulnérables recevant des allocations,1,1
Proportion of workers covered in case of employment injury,Proportion of workers covered in case of employment injury,Proportion de travailleurs couverts en cas d'accident du travail,13,1
Proportion with share above 10%,Proportion with share above 10%,Proportion dont la part est supérieure à 10 %,8,1
Proportion with share above 25%,Proportion with share above 25%,Proportion dont la part est supérieure à 25 %,8,1
Rabies,Rabies,Rage,3,1
Rail freight volume,Rail freight volume,Volume de fret ferroviaire,1,1
Rail passengers,Rail passengers,Passagers ferroviaires,1,1
Ratio of land consumption rate to population growth rate,Ratio of land consumption rate to population growth rate,Rapport entre le taux de consommation des terres et le taux de croissance démographique,32,1
"Request rate, line of credit","Request rate, line of credit","Taux de demande, marge de crédit",32,1
"Request rate, term loan","Request rate, term loan","Taux de demande, prêt à terme",32,1
Road freight volume,Road freight volume,Volume de fret routier,1,1
Sexual violence,Sexual violence,Violence sexuelle,24,2
Trend score,Trend score,Score de tendance,1,1
Water-use efficiency (USD per cubic metre),Water-use efficiency (USD per cubic metre),Efficacité de l'utilisation des ressources en eau (USD par mètre cube),4,1
Young people aged 15 years achieving at least a minimum proficiency level in mathematics,Young people aged 15 years achieving at least a minimum proficiency level in mathematics,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en mathématiques,3,1
Young people aged 15 years achieving at least a minimum proficiency level in reading,Young people aged 15 years achieving at least a minimum proficiency level in reading,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en lecture,3,1
