Year,Industrie,Taille,Value
2019,"Ouvrages en métaux, à l’exception des machines",1-9 employés,0.093859461115466
2019,"Ouvrages en métaux, à l’exception des machines",10-19 employés,0.144576488699177
2019,"Ouvrages en métaux, à l’exception des machines",20-49 employés,0.872034158262868
2019,"Ouvrages en métaux, à l’exception des machines",50-249 employés,4.51991628668438
2019,"Ouvrages en métaux, à l’exception des machines",250 employés et plus,2.5655518220323
2019,"Ouvrages en métaux, à l’exception des machines",All enterprises,8.19593821679419
2019,"Produits informatiques, électroniques et optiques",1-9 employés,0.0214662425428509
2019,"Produits informatiques, électroniques et optiques",10-19 employés,0.0408160994135104
2019,"Produits informatiques, électroniques et optiques",20-49 employés,0.17795610555007
2019,"Produits informatiques, électroniques et optiques",50-249 employés,1.30554812515968
2019,"Produits informatiques, électroniques et optiques",250 employés et plus,1.78364126472253
2019,"Produits informatiques, électroniques et optiques",All enterprises,3.32942783738864
2019,Matériel électrique,1-9 employés,0.0181453975647318
2019,Matériel électrique,20-49 employés,0.188445168657366
2019,Matériel électrique,50-249 employés,1.09876518075
2019,Matériel électrique,All enterprises,1.88662527185862
2019,Machines et équipements n.c.a.,1-9 employés,0.0518663644338448
2019,Machines et équipements n.c.a.,10-19 employés,0.100752273125448
2019,Machines et équipements n.c.a.,20-49 employés,0.566180080329183
2019,Machines et équipements n.c.a.,50-249 employés,3.73312357419122
2019,Machines et équipements n.c.a.,250 employés et plus,3.17750170606937
2019,Machines et équipements n.c.a.,All enterprises,7.62942399425927
2019,"Véhicules automobiles, remorques et semi-remorques",1-9 employés,0.0265614541281277
2019,"Véhicules automobiles, remorques et semi-remorques",10-19 employés,0.0509231329003926
2019,"Véhicules automobiles, remorques et semi-remorques",20-49 employés,0.244525870639954
2019,"Véhicules automobiles, remorques et semi-remorques",50-249 employés,2.2282415084734
2019,"Véhicules automobiles, remorques et semi-remorques",250 employés et plus,12.1633189794267
2019,"Véhicules automobiles, remorques et semi-remorques",All enterprises,14.7135709455685
2019,Mobilier,1-9 employés,0.0415701424011686
2019,Mobilier,10-19 employés,0.056505484472357
2019,Mobilier,20-49 employés,0.279403751703346
2019,Mobilier,50-249 employés,1.28131505507811
2019,Mobilier,250 employés et plus,1.0951597886061
2019,Mobilier,All enterprises,2.75395422226109
2019,Autres industries manufacturières,1-9 employés,0.0550817839713187
2019,Autres industries manufacturières,10-19 employés,0.0929858260098639
2019,Autres industries manufacturières,20-49 employés,0.341208818223715
2019,Autres industries manufacturières,50-249 employés,1.25417711598502
2019,Autres industries manufacturières,250 employés et plus,0.830349713881352
2019,Autres industries manufacturières,All enterprises,2.57380325418146
2019,Total de l’industrie manufacturière,1-9 employés,1.04487438568277
2019,Total de l’industrie manufacturière,10-19 employés,1.66784981112653
2019,Total de l’industrie manufacturière,20-49 employés,7.19752799649731
2019,Total de l’industrie manufacturière,50-249 employés,39.5655873009625
2019,Total de l’industrie manufacturière,250 employés et plus,50.5241605018411
2020,Produits alimentaires,1-9 employés,0.133324782183974
2020,Produits alimentaires,10-19 employés,0.309455660711871
2020,Produits alimentaires,20-49 employés,1.24633372953631
2020,Produits alimentaires,50-249 employés,6.53410180044961
2020,Produits alimentaires,250 employés et plus,8.59982259214336
2020,Produits alimentaires,All enterprises,16.823038560804
2020,Boissons,1-9 employés,0.0447840340071164
2020,Boissons,10-19 employés,0.0938167372611365
2020,Boissons,20-49 employés,0.305497961860692
2020,Boissons,50-249 employés,0.904637757939798
2020,Boissons,250 employés et plus,2.82299605410341
2020,Boissons,All enterprises,4.17173254095103
2020,Textiles,1-9 employés,0.059233787976054
2020,Textiles,20-49 employés,0.227737111345766
2020,Textiles,50-249 employés,0.629459943800148
2020,Textiles,All enterprises,1.23357188836621
2020,"Produits du bois, à l’exclusion des meubles",1-9 employés,0.0492370393376424
2020,"Produits du bois, à l’exclusion des meubles",10-19 employés,0.0733906129485642
2020,"Produits du bois, à l’exclusion des meubles",20-49 employés,0.519309000100319
2020,"Produits du bois, à l’exclusion des meubles",50-249 employés,4.92541410454046
2020,"Produits du bois, à l’exclusion des meubles",250 employés et plus,1.03429652925909
2020,"Produits du bois, à l’exclusion des meubles",All enterprises,6.60164728618608
2020,Papier et produits du papier,1-9 employés,0.0083135001796045
2020,Papier et produits du papier,20-49 employés,0.16229959916308
2020,Papier et produits du papier,50-249 employés,1.96114500489325
2020,Papier et produits du papier,All enterprises,4.33698694254098
2020,Impression et reproduction de supports enregistrés,1-9 employés,0.0570941180156373
2020,Impression et reproduction de supports enregistrés,20-49 employés,0.198212214605601
2020,Impression et reproduction de supports enregistrés,50-249 employés,0.985891696827218
2020,Impression et reproduction de supports enregistrés,All enterprises,1.82894977812642
2020,Coke et produits pétroliers raffinés,1-9 employés,0.309072530555078
2020,Coke et produits pétroliers raffinés,10-19 employés,0.3791953279809
2020,Coke et produits pétroliers raffinés,20-49 employés,1.28370865990151
2020,Coke et produits pétroliers raffinés,50-249 employés,5.53607633166718
2020,Coke et produits pétroliers raffinés,250 employés et plus,5.81763907012629
2020,Coke et produits pétroliers raffinés,All enterprises,13.325691920231
2020,Produits en caoutchouc et en plastique,1-9 employés,0.0726715236756033
2020,Produits en caoutchouc et en plastique,10-19 employés,0.152249723480616
2020,Produits en caoutchouc et en plastique,20-49 employés,0.59917172042633
2020,Produits en caoutchouc et en plastique,50-249 employés,2.85484978617441
2020,Produits en caoutchouc et en plastique,250 employés et plus,1.47391324106349
2020,Produits en caoutchouc et en plastique,All enterprises,5.15285599482045
2020,Autres produits minéraux non métalliques,1-9 employés,0.101151371865138
2020,Autres produits minéraux non métalliques,20-49 employés,0.523482102817537
2020,Autres produits minéraux non métalliques,50-249 employés,1.93575788851971
2020,Autres produits minéraux non métalliques,All enterprises,3.43811416536599
2020,Métaux de base,1-9 employés,0.0460804208371037
2020,Métaux de base,10-19 employés,0.0263188742253576
2020,Métaux de base,20-49 employés,0.182052821721841
2020,Métaux de base,50-249 employés,1.12918245566874
2020,Métaux de base,250 employés et plus,3.83330903233281
2020,Métaux de base,All enterprises,5.21694360478585
2020,"Ouvrages en métaux, à l’exception des machines",1-9 employés,0.110010270581278
2020,"Ouvrages en métaux, à l’exception des machines",10-19 employés,0.168638146012889
2020,"Ouvrages en métaux, à l’exception des machines",20-49 employés,0.882371519825096
2020,"Ouvrages en métaux, à l’exception des machines",50-249 employés,4.72355625020594
2020,"Ouvrages en métaux, à l’exception des machines",250 employés et plus,2.28841803086794
2020,"Ouvrages en métaux, à l’exception des machines",All enterprises,8.17299421749314
2020,"Produits informatiques, électroniques et optiques",1-9 employés,0.0254131775820286
2020,"Produits informatiques, électroniques et optiques",10-19 employés,0.0510338148781101
2020,"Produits informatiques, électroniques et optiques",20-49 employés,0.199515794227823
2020,"Produits informatiques, électroniques et optiques",50-249 employés,1.46421454164273
2020,"Produits informatiques, électroniques et optiques",250 employés et plus,1.71495724598386
2020,"Produits informatiques, électroniques et optiques",All enterprises,3.45513457431456
2020,Matériel électrique,1-9 employés,0.019317172192905
2020,Matériel électrique,20-49 employés,0.224312747063866
2020,Matériel électrique,50-249 employés,1.00812390425472
2020,Matériel électrique,All enterprises,1.87937825875383
2020,Machines et équipements n.c.a.,1-9 employés,0.107302344707595
2020,Machines et équipements n.c.a.,10-19 employés,0.124940316497886
2020,Machines et équipements n.c.a.,20-49 employés,0.616113392782436
2020,Machines et équipements n.c.a.,50-249 employés,3.74886778316531
2020,Machines et équipements n.c.a.,250 employés et plus,2.62226362270739
2020,Machines et équipements n.c.a.,All enterprises,7.21948745563949
2020,"Véhicules automobiles, remorques et semi-remorques",1-9 employés,0.0345392817758882
2020,"Véhicules automobiles, remorques et semi-remorques",10-19 employés,0.0510013713328547
2020,"Véhicules automobiles, remorques et semi-remorques",20-49 employés,0.275938540562025
2020,"Véhicules automobiles, remorques et semi-remorques",50-249 employés,1.99898259557868
2020,"Véhicules automobiles, remorques et semi-remorques",250 employés et plus,9.37493415999115
2020,"Véhicules automobiles, remorques et semi-remorques",All enterprises,11.7353959492406
2020,Mobilier,1-9 employés,0.0342207981056414
2020,Mobilier,10-19 employés,0.0532048393342537
2020,Mobilier,20-49 employés,0.25971794984856
2020,Mobilier,50-249 employés,1.46069794584069
2020,Mobilier,250 employés et plus,0.809242835951497
2020,Mobilier,All enterprises,2.61708436908064
2020,Autres industries manufacturières,1-9 employés,0.135174216223929
2020,Autres industries manufacturières,10-19 employés,0.107509137484339
2020,Autres industries manufacturières,20-49 employés,0.397610589877092
2020,Autres industries manufacturières,50-249 employés,1.32168117031592
2020,Autres industries manufacturières,250 employés et plus,0.82901738361963
2020,Autres industries manufacturières,All enterprises,2.79099249329979
2020,Total de l’industrie manufacturière,1-9 employés,1.34694036558109
2020,Total de l’industrie manufacturière,10-19 employés,2.17325005548876
2020,Total de l’industrie manufacturière,20-49 employés,8.103385459887
2020,Total de l’industrie manufacturière,50-249 employés,43.1226409530423
2020,Total de l’industrie manufacturière,250 employés et plus,45.2537831617798
