Year,Series,Units,Plus haut niveau de scolarité,Groupe d'âge,Sexe,Emplacement,COMMENT_OBS,Progress,Value
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de premier cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.993
2022,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de premier cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.997
2023,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de premier cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.995
2024,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de premier cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.996
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,Femme,,,1.05263159215615,0.95
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,Femme,,,1.04166668994973,0.96
2015,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.0
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,,,1.0,1.01
2017,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.01
2018,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.011
2019,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.008
2020,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.008
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,,,1.0,1.01
2022,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.011
2023,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.011
2024,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.012
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,,,1.07526880893449,0.93
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,,,1.06382978993231,0.94
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,Homme,,,1.1111111405455,0.9
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,Homme,,,1.09890106723096,0.91
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,Rural,,1.05999994277954,1.06
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,Rural,,1.05999994277954,1.06
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,Urbain,,1.0,1.0
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de deuxième cycle ou supérieure,,,Urbain,,1.0,1.0
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,Femme,,,1.12359552367771,0.89
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,Femme,,,1.13636364252114,0.88
2015,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.005
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,,,1.0,1.0
2017,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.02
2018,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.025
2019,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.018
2020,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.025
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,,,1.0,1.02
2022,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0394013095422,1.039
2023,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.03462153850223,1.035
2024,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.03812229224546,1.038
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,,,1.13636364252114,0.88
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,,,1.16279067833273,0.86
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,Homme,,,1.16279067833273,0.86
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,Homme,,,1.17647055523618,0.85
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,Rural,,1.0,1.03
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,Rural,,1.04999995231628,1.05
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,Urbain,,1.0,0.99
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation post-secondaire non tertiaire ou supérieure,,,Urbain,,1.0,1.01
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,Femme,,,1.19047622764462,0.84
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,Femme,,,1.24999998137355,0.8
2015,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.005
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,,,1.1599999666214,1.16
2017,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.02
2018,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.025
2019,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.018
2020,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.025
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,,,1.13999998569489,1.14
2022,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0394013095422,1.039
2023,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.03462153850223,1.035
2024,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.03812229224546,1.038
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,,,1.33333333333333,0.75
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,,,1.40845074679165,0.71
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,Homme,,,1.53846159489197,0.65
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,Homme,,,1.61290321340174,0.62
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,Rural,,1.32000005245209,1.32
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,Rural,,1.30999994277954,1.31
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,Urbain,,1.12000000476837,1.12
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation tertiaire de cycle court ou supérieure,,,Urbain,,1.11000001430511,1.11
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,Femme,,,1.75438598692692,0.57
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,Femme,,,1.72413798064596,0.58
2015,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0537537967927,1.054
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,,,1.07000005245209,1.07
2017,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0691774762719,1.069
2018,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.07348994837667,1.073
2019,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.07280941798766,1.073
2020,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.08336304169038,1.083
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,,,1.10000002384186,1.1
2022,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.09063853591857,1.091
2023,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.09096818796728,1.091
2024,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.09367270254666,1.094
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,,,2.0,0.5
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,,,2.0,0.5
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,Homme,,,2.38095245528924,0.42
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,Homme,,,2.38095245528924,0.42
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,Rural,,1.28999996185303,1.29
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,Rural,,1.32000005245209,1.32
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,Urbain,,1.03999996185303,1.04
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un baccalauréat ou éducation équivalente ou supérieure,,,Urbain,,1.07000005245209,1.07
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,Femme,,,2.1739130040423,0.46
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,Femme,,,2.12765957986461,0.47
2015,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.08243952046465,0.924
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,,,1.12359552367771,0.89
2017,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.08117420410113,0.925
2018,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.05109839736279,0.951
2019,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.04467010447002,0.957
2020,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.04738215810589,0.955
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,,,1.0,0.97
2022,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.994
2023,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.03701465548778,1.037
2024,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.025
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,,,2.38095245528924,0.42
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,,,2.38095245528924,0.42
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,Homme,,,2.63157898039039,0.38
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,Homme,,,2.70270266787165,0.37
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,Rural,,1.04999995231628,1.05
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,Rural,,1.16999995708466,1.17
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,Urbain,,1.16279067833273,0.86
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une maîtrise ou éducation équivalente ou supérieure,,,Urbain,,1.06382978993231,0.94
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété un doctorat ou éducation équivalente,,Femme,,,2.22222228109101,0.45
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété un doctorat ou éducation équivalente,,Femme,,,2.32558135666546,0.43
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un doctorat ou éducation équivalente,,,,,1.78571427811165,0.56
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un doctorat ou éducation équivalente,,,,,1.53846159489197,0.65
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété un doctorat ou éducation équivalente,,,,,2.4999999627471,0.4
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété un doctorat ou éducation équivalente,,,,,2.56410265815329,0.39
2016,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété un doctorat ou éducation équivalente,,Homme,,,2.77777766739881,0.36
2021,Taux de scolarité,Indice de parité entre milieu urbain et rural ajusté,A complété un doctorat ou éducation équivalente,,Homme,,,2.77777766739881,0.36
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un doctorat ou éducation équivalente,,,Rural,,1.44927536732658,0.69
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un doctorat ou éducation équivalente,,,Rural,,1.31578949019519,0.76
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un doctorat ou éducation équivalente,,,Urbain,,1.81818177877379,0.55
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété un doctorat ou éducation équivalente,,,Urbain,,1.58730159931563,0.63
2015,Taux de scolarité,Indice de parité entre les sexes ajusté,Au moins une partie de l'éducation primaire (CITE 1),,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.0
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,Au moins une partie de l'éducation primaire (CITE 1),,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.0
2017,Taux de scolarité,Indice de parité entre les sexes ajusté,Au moins une partie de l'éducation primaire (CITE 1),,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.0
2018,Taux de scolarité,Indice de parité entre les sexes ajusté,Au moins une partie de l'éducation primaire (CITE 1),,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.0
2019,Taux de scolarité,Indice de parité entre les sexes ajusté,Au moins une partie de l'éducation primaire (CITE 1),,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.0
2020,Taux de scolarité,Indice de parité entre les sexes ajusté,Au moins une partie de l'éducation primaire (CITE 1),,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.0
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,Au moins une partie de l'éducation primaire (CITE 1),,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.0
2022,Taux de scolarité,Indice de parité entre les sexes ajusté,Au moins une partie de l'éducation primaire (CITE 1),,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.0
2023,Taux de scolarité,Indice de parité entre les sexes ajusté,Au moins une partie de l'éducation primaire (CITE 1),,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.0
2024,Taux de scolarité,Indice de parité entre les sexes ajusté,Au moins une partie de l'éducation primaire (CITE 1),,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,1.0
2015,Proportion d'élèves atteignant au moins un niveau minimum de compétence en mathématiques,Indice de parité entre les sexes ajusté,Éducation secondaire de premier cycle,,,,,1.0,0.992
2018,Proportion d'élèves atteignant au moins un niveau minimum de compétence en mathématiques,Indice de parité entre les sexes ajusté,Éducation secondaire de premier cycle,,,,,1.0,1.003
2022,Proportion d'élèves atteignant au moins un niveau minimum de compétence en mathématiques,Indice de parité entre les sexes ajusté,Éducation secondaire de premier cycle,,,,,1.0,0.991
2018,Proportion d'élèves atteignant au moins un niveau minimum de compétence en mathématiques,Indice de parité entre milieu urbain et rural ajusté,Éducation secondaire de premier cycle,,,,,1.08732443731021,0.92
2015,Proportion d'élèves atteignant au moins un niveau minimum de compétence en mathématiques,Indice de parité de richesse ajusté,Éducation secondaire de premier cycle,,,,,1.21262454773814,0.825
2018,Proportion d'élèves atteignant au moins un niveau minimum de compétence en mathématiques,Indice de parité de richesse ajusté,Éducation secondaire de premier cycle,,,,,1.23542636130421,0.809
2022,Proportion d'élèves atteignant au moins un niveau minimum de compétence en mathématiques,Indice de parité de richesse ajusté,Éducation secondaire de premier cycle,,,,,1.60264900662252,0.624
2015,Proportion d'élèves atteignant au moins un niveau minimum de compétence en mathématiques,Indice de parité entre les sexes ajusté,Éducation primaire,,,,,1.04761056139202,0.955
2019,Proportion d'élèves atteignant au moins un niveau minimum de compétence en mathématiques,Indice de parité entre les sexes ajusté,Éducation primaire,,,,,1.1069642720733,1.107
2015,Proportion d'élèves atteignant au moins un niveau minimum de compétence en mathématiques,Indice de parité entre milieu urbain et rural ajusté,Éducation primaire,,,,,1.19118259329544,0.84
2019,Proportion d'élèves atteignant au moins un niveau minimum de compétence en mathématiques,Indice de parité entre milieu urbain et rural ajusté,Éducation primaire,,,,,1.16294541197563,0.86
2015,Proportion d'élèves atteignant au moins un niveau minimum de compétence en mathématiques,Indice de parité de richesse ajusté,Éducation primaire,,,,,1.4336579623434,0.698
2019,Proportion d'élèves atteignant au moins un niveau minimum de compétence en mathématiques,Indice de parité de richesse ajusté,Éducation primaire,,,,,1.36100268146693,0.735
2015,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.10703529766277,1.107
2016,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.10051534167466,1.101
2017,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.1101213296487,1.11
2018,Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 derniers mois,Indice de parité entre les sexes ajusté,,15-24 years old,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.11646375950327,1.116
