Year,Status,Geography,Gender,Age group,GeoCode,Value
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Women+,18 to 24 years,10,7
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Total - Gender,20 to 24 years,10,14
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Men+,20 to 24 years,10,19
2015,"Unemployed, Not in employment, education or training (NEET)",Newfoundland and Labrador,Women+,20 to 24 years,10,8
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Total - Gender,15 to 19 years,10,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Men+,15 to 19 years,10,5
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Total - Gender,15 to 24 years,10,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Men+,15 to 24 years,10,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Women+,15 to 24 years,10,5
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Total - Gender,18 to 24 years,10,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Men+,18 to 24 years,10,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Women+,18 to 24 years,10,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Total - Gender,20 to 24 years,10,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Men+,20 to 24 years,10,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Newfoundland and Labrador,Women+,20 to 24 years,10,7
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Total - Gender,15 to 19 years,11,7
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Total - Gender,15 to 24 years,11,13
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Men+,15 to 24 years,11,16
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Women+,15 to 24 years,11,10
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Total - Gender,18 to 24 years,11,17
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Men+,18 to 24 years,11,22
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Women+,18 to 24 years,11,12
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Total - Gender,20 to 24 years,11,18
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Men+,20 to 24 years,11,24
2015,"Sub-total, not in employment, education or training (NEET)",Prince Edward Island,Women+,20 to 24 years,11,12
2015,"Unemployed, Not in employment, education or training (NEET)",Prince Edward Island,Total - Gender,15 to 19 years,11,4
2015,"Unemployed, Not in employment, education or training (NEET)",Prince Edward Island,Total - Gender,15 to 24 years,11,8
2015,"Unemployed, Not in employment, education or training (NEET)",Prince Edward Island,Men+,15 to 24 years,11,12
2015,"Unemployed, Not in employment, education or training (NEET)",Prince Edward Island,Total - Gender,18 to 24 years,11,11
2015,"Unemployed, Not in employment, education or training (NEET)",Prince Edward Island,Men+,18 to 24 years,11,17
2015,"Unemployed, Not in employment, education or training (NEET)",Prince Edward Island,Total - Gender,20 to 24 years,11,11
2015,"Unemployed, Not in employment, education or training (NEET)",Prince Edward Island,Men+,20 to 24 years,11,18
2015,"Not in the labour force, Not in employment, education or training (NEET)",Prince Edward Island,Total - Gender,15 to 19 years,11,3
2015,"Not in the labour force, Not in employment, education or training (NEET)",Prince Edward Island,Total - Gender,15 to 24 years,11,5
2015,"Not in the labour force, Not in employment, education or training (NEET)",Prince Edward Island,Men+,15 to 24 years,11,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Prince Edward Island,Women+,15 to 24 years,11,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Prince Edward Island,Total - Gender,18 to 24 years,11,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Prince Edward Island,Men+,18 to 24 years,11,5
2015,"Not in the labour force, Not in employment, education or training (NEET)",Prince Edward Island,Women+,18 to 24 years,11,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Prince Edward Island,Total - Gender,20 to 24 years,11,7
2015,"Sub-total, not in employment, education or training (NEET)",Nova Scotia,Total - Gender,15 to 19 years,12,9
2015,"Sub-total, not in employment, education or training (NEET)",Nova Scotia,Men+,15 to 19 years,12,11
2015,"Sub-total, not in employment, education or training (NEET)",Nova Scotia,Women+,15 to 19 years,12,6
2015,"Sub-total, not in employment, education or training (NEET)",Nova Scotia,Total - Gender,15 to 24 years,12,11
2015,"Sub-total, not in employment, education or training (NEET)",Nova Scotia,Men+,15 to 24 years,12,13
2015,"Sub-total, not in employment, education or training (NEET)",Nova Scotia,Women+,15 to 24 years,12,10
2015,"Sub-total, not in employment, education or training (NEET)",Nova Scotia,Total - Gender,18 to 24 years,12,15
2015,"Sub-total, not in employment, education or training (NEET)",Nova Scotia,Men+,18 to 24 years,12,16
2015,"Sub-total, not in employment, education or training (NEET)",Nova Scotia,Women+,18 to 24 years,12,13
2015,"Sub-total, not in employment, education or training (NEET)",Nova Scotia,Total - Gender,20 to 24 years,12,14
2015,"Sub-total, not in employment, education or training (NEET)",Nova Scotia,Men+,20 to 24 years,12,14
2015,"Sub-total, not in employment, education or training (NEET)",Nova Scotia,Women+,20 to 24 years,12,13
2015,"Unemployed, Not in employment, education or training (NEET)",Nova Scotia,Total - Gender,15 to 19 years,12,4
2015,"Unemployed, Not in employment, education or training (NEET)",Nova Scotia,Men+,15 to 19 years,12,7
2015,"Unemployed, Not in employment, education or training (NEET)",Nova Scotia,Total - Gender,15 to 24 years,12,7
2015,"Unemployed, Not in employment, education or training (NEET)",Nova Scotia,Men+,15 to 24 years,12,9
2015,"Unemployed, Not in employment, education or training (NEET)",Nova Scotia,Women+,15 to 24 years,12,4
2015,"Unemployed, Not in employment, education or training (NEET)",Nova Scotia,Total - Gender,18 to 24 years,12,9
2015,"Unemployed, Not in employment, education or training (NEET)",Nova Scotia,Men+,18 to 24 years,12,12
2015,"Unemployed, Not in employment, education or training (NEET)",Nova Scotia,Women+,18 to 24 years,12,6
2015,"Unemployed, Not in employment, education or training (NEET)",Nova Scotia,Total - Gender,20 to 24 years,12,9
2015,"Unemployed, Not in employment, education or training (NEET)",Nova Scotia,Men+,20 to 24 years,12,11
2015,"Unemployed, Not in employment, education or training (NEET)",Nova Scotia,Women+,20 to 24 years,12,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Nova Scotia,Total - Gender,15 to 19 years,12,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Nova Scotia,Men+,15 to 19 years,12,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Nova Scotia,Women+,15 to 19 years,12,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Nova Scotia,Total - Gender,15 to 24 years,12,5
2015,"Not in the labour force, Not in employment, education or training (NEET)",Nova Scotia,Men+,15 to 24 years,12,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Nova Scotia,Women+,15 to 24 years,12,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Nova Scotia,Total - Gender,18 to 24 years,12,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Nova Scotia,Men+,18 to 24 years,12,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Nova Scotia,Women+,18 to 24 years,12,8
2015,"Not in the labour force, Not in employment, education or training (NEET)",Nova Scotia,Total - Gender,20 to 24 years,12,5
2015,"Not in the labour force, Not in employment, education or training (NEET)",Nova Scotia,Men+,20 to 24 years,12,3
2015,"Not in the labour force, Not in employment, education or training (NEET)",Nova Scotia,Women+,20 to 24 years,12,7
2015,"Sub-total, not in employment, education or training (NEET)",New Brunswick,Total - Gender,15 to 19 years,13,8
2015,"Sub-total, not in employment, education or training (NEET)",New Brunswick,Men+,15 to 19 years,13,10
2015,"Sub-total, not in employment, education or training (NEET)",New Brunswick,Women+,15 to 19 years,13,6
2015,"Sub-total, not in employment, education or training (NEET)",New Brunswick,Total - Gender,15 to 24 years,13,14
2015,"Sub-total, not in employment, education or training (NEET)",New Brunswick,Men+,15 to 24 years,13,17
2015,"Sub-total, not in employment, education or training (NEET)",New Brunswick,Women+,15 to 24 years,13,10
2015,"Sub-total, not in employment, education or training (NEET)",New Brunswick,Total - Gender,18 to 24 years,13,18
2015,"Sub-total, not in employment, education or training (NEET)",New Brunswick,Men+,18 to 24 years,13,23
2015,"Sub-total, not in employment, education or training (NEET)",New Brunswick,Women+,18 to 24 years,13,13
2015,"Sub-total, not in employment, education or training (NEET)",New Brunswick,Total - Gender,20 to 24 years,13,19
2015,"Sub-total, not in employment, education or training (NEET)",New Brunswick,Men+,20 to 24 years,13,24
2015,"Sub-total, not in employment, education or training (NEET)",New Brunswick,Women+,20 to 24 years,13,14
2015,"Unemployed, Not in employment, education or training (NEET)",New Brunswick,Total - Gender,15 to 19 years,13,4
2015,"Unemployed, Not in employment, education or training (NEET)",New Brunswick,Men+,15 to 19 years,13,5
2015,"Unemployed, Not in employment, education or training (NEET)",New Brunswick,Total - Gender,15 to 24 years,13,9
2015,"Unemployed, Not in employment, education or training (NEET)",New Brunswick,Men+,15 to 24 years,13,12
2015,"Unemployed, Not in employment, education or training (NEET)",New Brunswick,Women+,15 to 24 years,13,5
2015,"Unemployed, Not in employment, education or training (NEET)",New Brunswick,Total - Gender,18 to 24 years,13,12
2015,"Unemployed, Not in employment, education or training (NEET)",New Brunswick,Men+,18 to 24 years,13,17
2015,"Unemployed, Not in employment, education or training (NEET)",New Brunswick,Women+,18 to 24 years,13,6
2015,"Unemployed, Not in employment, education or training (NEET)",New Brunswick,Total - Gender,20 to 24 years,13,13
2015,"Unemployed, Not in employment, education or training (NEET)",New Brunswick,Men+,20 to 24 years,13,19
2015,"Unemployed, Not in employment, education or training (NEET)",New Brunswick,Women+,20 to 24 years,13,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",New Brunswick,Total - Gender,15 to 19 years,13,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",New Brunswick,Men+,15 to 19 years,13,5
2015,"Not in the labour force, Not in employment, education or training (NEET)",New Brunswick,Total - Gender,15 to 24 years,13,5
2015,"Not in the labour force, Not in employment, education or training (NEET)",New Brunswick,Men+,15 to 24 years,13,5
2015,"Not in the labour force, Not in employment, education or training (NEET)",New Brunswick,Women+,15 to 24 years,13,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",New Brunswick,Total - Gender,18 to 24 years,13,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",New Brunswick,Men+,18 to 24 years,13,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",New Brunswick,Women+,18 to 24 years,13,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",New Brunswick,Total - Gender,20 to 24 years,13,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",New Brunswick,Men+,20 to 24 years,13,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",New Brunswick,Women+,20 to 24 years,13,8
2015,"Sub-total, not in employment, education or training (NEET)",Quebec,Total - Gender,15 to 19 years,24,7
2015,"Sub-total, not in employment, education or training (NEET)",Quebec,Men+,15 to 19 years,24,9
2015,"Sub-total, not in employment, education or training (NEET)",Quebec,Women+,15 to 19 years,24,5
2015,"Sub-total, not in employment, education or training (NEET)",Quebec,Total - Gender,15 to 24 years,24,11
2015,"Sub-total, not in employment, education or training (NEET)",Quebec,Men+,15 to 24 years,24,13
2015,"Sub-total, not in employment, education or training (NEET)",Quebec,Women+,15 to 24 years,24,9
2015,"Sub-total, not in employment, education or training (NEET)",Quebec,Total - Gender,18 to 24 years,24,13
2015,"Sub-total, not in employment, education or training (NEET)",Quebec,Men+,18 to 24 years,24,16
2015,"Sub-total, not in employment, education or training (NEET)",Quebec,Women+,18 to 24 years,24,11
2015,"Sub-total, not in employment, education or training (NEET)",Quebec,Total - Gender,20 to 24 years,24,14
2015,"Sub-total, not in employment, education or training (NEET)",Quebec,Men+,20 to 24 years,24,17
2015,"Sub-total, not in employment, education or training (NEET)",Quebec,Women+,20 to 24 years,24,11
2015,"Unemployed, Not in employment, education or training (NEET)",Quebec,Total - Gender,15 to 19 years,24,3
2015,"Unemployed, Not in employment, education or training (NEET)",Quebec,Men+,15 to 19 years,24,4
2015,"Unemployed, Not in employment, education or training (NEET)",Quebec,Women+,15 to 19 years,24,2
2015,"Unemployed, Not in employment, education or training (NEET)",Quebec,Total - Gender,15 to 24 years,24,5
2015,"Unemployed, Not in employment, education or training (NEET)",Quebec,Men+,15 to 24 years,24,7
2015,"Unemployed, Not in employment, education or training (NEET)",Quebec,Women+,15 to 24 years,24,3
2015,"Unemployed, Not in employment, education or training (NEET)",Quebec,Total - Gender,18 to 24 years,24,6
2015,"Unemployed, Not in employment, education or training (NEET)",Quebec,Men+,18 to 24 years,24,9
2015,"Unemployed, Not in employment, education or training (NEET)",Quebec,Women+,18 to 24 years,24,4
2015,"Unemployed, Not in employment, education or training (NEET)",Quebec,Total - Gender,20 to 24 years,24,6
2015,"Unemployed, Not in employment, education or training (NEET)",Quebec,Men+,20 to 24 years,24,9
2015,"Unemployed, Not in employment, education or training (NEET)",Quebec,Women+,20 to 24 years,24,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Quebec,Total - Gender,15 to 19 years,24,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Quebec,Men+,15 to 19 years,24,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Quebec,Women+,15 to 19 years,24,3
2015,"Not in the labour force, Not in employment, education or training (NEET)",Quebec,Total - Gender,15 to 24 years,24,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Quebec,Men+,15 to 24 years,24,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Quebec,Women+,15 to 24 years,24,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Quebec,Total - Gender,18 to 24 years,24,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Quebec,Men+,18 to 24 years,24,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Quebec,Women+,18 to 24 years,24,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Quebec,Total - Gender,20 to 24 years,24,8
2015,"Not in the labour force, Not in employment, education or training (NEET)",Quebec,Men+,20 to 24 years,24,8
2015,"Not in the labour force, Not in employment, education or training (NEET)",Quebec,Women+,20 to 24 years,24,8
2015,"Sub-total, not in employment, education or training (NEET)",Ontario,Total - Gender,15 to 19 years,35,6
2015,"Sub-total, not in employment, education or training (NEET)",Ontario,Men+,15 to 19 years,35,6
2015,"Sub-total, not in employment, education or training (NEET)",Ontario,Women+,15 to 19 years,35,5
2015,"Sub-total, not in employment, education or training (NEET)",Ontario,Total - Gender,15 to 24 years,35,10
2015,"Sub-total, not in employment, education or training (NEET)",Ontario,Men+,15 to 24 years,35,11
2015,"Sub-total, not in employment, education or training (NEET)",Ontario,Women+,15 to 24 years,35,9
2015,"Sub-total, not in employment, education or training (NEET)",Ontario,Total - Gender,18 to 24 years,35,12
2015,"Sub-total, not in employment, education or training (NEET)",Ontario,Men+,18 to 24 years,35,14
2015,"Sub-total, not in employment, education or training (NEET)",Ontario,Women+,18 to 24 years,35,10
2015,"Sub-total, not in employment, education or training (NEET)",Ontario,Total - Gender,20 to 24 years,35,14
2015,"Sub-total, not in employment, education or training (NEET)",Ontario,Men+,20 to 24 years,35,16
2015,"Sub-total, not in employment, education or training (NEET)",Ontario,Women+,20 to 24 years,35,11
2015,"Unemployed, Not in employment, education or training (NEET)",Ontario,Total - Gender,15 to 19 years,35,2
2015,"Unemployed, Not in employment, education or training (NEET)",Ontario,Men+,15 to 19 years,35,2
2015,"Unemployed, Not in employment, education or training (NEET)",Ontario,Women+,15 to 19 years,35,1
2015,"Unemployed, Not in employment, education or training (NEET)",Ontario,Total - Gender,15 to 24 years,35,5
2015,"Unemployed, Not in employment, education or training (NEET)",Ontario,Men+,15 to 24 years,35,6
2015,"Unemployed, Not in employment, education or training (NEET)",Ontario,Women+,15 to 24 years,35,3
2015,"Unemployed, Not in employment, education or training (NEET)",Ontario,Total - Gender,18 to 24 years,35,6
2015,"Unemployed, Not in employment, education or training (NEET)",Ontario,Men+,18 to 24 years,35,8
2015,"Unemployed, Not in employment, education or training (NEET)",Ontario,Women+,18 to 24 years,35,4
2015,"Unemployed, Not in employment, education or training (NEET)",Ontario,Total - Gender,20 to 24 years,35,7
2015,"Unemployed, Not in employment, education or training (NEET)",Ontario,Men+,20 to 24 years,35,9
2015,"Unemployed, Not in employment, education or training (NEET)",Ontario,Women+,20 to 24 years,35,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Ontario,Total - Gender,15 to 19 years,35,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Ontario,Men+,15 to 19 years,35,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Ontario,Women+,15 to 19 years,35,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Ontario,Total - Gender,15 to 24 years,35,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Ontario,Men+,15 to 24 years,35,5
2015,"Not in the labour force, Not in employment, education or training (NEET)",Ontario,Women+,15 to 24 years,35,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Ontario,Total - Gender,18 to 24 years,35,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Ontario,Men+,18 to 24 years,35,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Ontario,Women+,18 to 24 years,35,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Ontario,Total - Gender,20 to 24 years,35,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Ontario,Men+,20 to 24 years,35,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Ontario,Women+,20 to 24 years,35,7
2015,"Sub-total, not in employment, education or training (NEET)",Manitoba,Total - Gender,15 to 19 years,46,6
2015,"Sub-total, not in employment, education or training (NEET)",Manitoba,Men+,15 to 19 years,46,6
2015,"Sub-total, not in employment, education or training (NEET)",Manitoba,Women+,15 to 19 years,46,6
2015,"Sub-total, not in employment, education or training (NEET)",Manitoba,Total - Gender,15 to 24 years,46,10
2015,"Sub-total, not in employment, education or training (NEET)",Manitoba,Men+,15 to 24 years,46,9
2015,"Sub-total, not in employment, education or training (NEET)",Manitoba,Women+,15 to 24 years,46,12
2015,"Sub-total, not in employment, education or training (NEET)",Manitoba,Total - Gender,18 to 24 years,46,14
2015,"Sub-total, not in employment, education or training (NEET)",Manitoba,Men+,18 to 24 years,46,12
2015,"Sub-total, not in employment, education or training (NEET)",Manitoba,Women+,18 to 24 years,46,15
2015,"Sub-total, not in employment, education or training (NEET)",Manitoba,Total - Gender,20 to 24 years,46,14
2015,"Sub-total, not in employment, education or training (NEET)",Manitoba,Men+,20 to 24 years,46,12
2015,"Sub-total, not in employment, education or training (NEET)",Manitoba,Women+,20 to 24 years,46,17
2015,"Unemployed, Not in employment, education or training (NEET)",Manitoba,Total - Gender,15 to 19 years,46,3
2015,"Unemployed, Not in employment, education or training (NEET)",Manitoba,Men+,15 to 19 years,46,3
2015,"Unemployed, Not in employment, education or training (NEET)",Manitoba,Women+,15 to 19 years,46,2
2015,"Unemployed, Not in employment, education or training (NEET)",Manitoba,Total - Gender,15 to 24 years,46,4
2015,"Unemployed, Not in employment, education or training (NEET)",Manitoba,Men+,15 to 24 years,46,5
2015,"Unemployed, Not in employment, education or training (NEET)",Manitoba,Women+,15 to 24 years,46,3
2015,"Unemployed, Not in employment, education or training (NEET)",Manitoba,Total - Gender,18 to 24 years,46,5
2015,"Unemployed, Not in employment, education or training (NEET)",Manitoba,Men+,18 to 24 years,46,6
2015,"Unemployed, Not in employment, education or training (NEET)",Manitoba,Women+,18 to 24 years,46,4
2015,"Unemployed, Not in employment, education or training (NEET)",Manitoba,Total - Gender,20 to 24 years,46,5
2015,"Unemployed, Not in employment, education or training (NEET)",Manitoba,Men+,20 to 24 years,46,6
2015,"Unemployed, Not in employment, education or training (NEET)",Manitoba,Women+,20 to 24 years,46,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Manitoba,Total - Gender,15 to 19 years,46,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Manitoba,Men+,15 to 19 years,46,3
2015,"Not in the labour force, Not in employment, education or training (NEET)",Manitoba,Women+,15 to 19 years,46,4
2015,"Not in the labour force, Not in employment, education or training (NEET)",Manitoba,Total - Gender,15 to 24 years,46,7
2015,"Not in the labour force, Not in employment, education or training (NEET)",Manitoba,Men+,15 to 24 years,46,5
2015,"Not in the labour force, Not in employment, education or training (NEET)",Manitoba,Women+,15 to 24 years,46,9
2015,"Not in the labour force, Not in employment, education or training (NEET)",Manitoba,Total - Gender,18 to 24 years,46,9
2015,"Not in the labour force, Not in employment, education or training (NEET)",Manitoba,Men+,18 to 24 years,46,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Manitoba,Women+,18 to 24 years,46,11
2015,"Not in the labour force, Not in employment, education or training (NEET)",Manitoba,Total - Gender,20 to 24 years,46,9
2015,"Not in the labour force, Not in employment, education or training (NEET)",Manitoba,Men+,20 to 24 years,46,6
2015,"Not in the labour force, Not in employment, education or training (NEET)",Manitoba,Women+,20 to 24 years,46,13
2015,"Sub-total, not in employment, education or training (NEET)",Saskatchewan,Total - Gender,15 to 19 years,47,6
2015,"Sub-total, not in employment, education or training (NEET)",Saskatchewan,Men+,15 to 19 years,47,5
2015,"Sub-total, not in employment, education or training (NEET)",Saskatchewan,Women+,15 to 19 years,47,7
2015,"Sub-total, not in employment, education or training (NEET)",Saskatchewan,Total - Gender,15 to 24 years,47,11
2015,"Sub-total, not in employment, education or training (NEET)",Saskatchewan,Men+,15 to 24 years,47,10
2015,"Sub-total, not in employment, education or training (NEET)",Saskatchewan,Women+,15 to 24 years,47,13
2015,"Sub-total, not in employment, education or training (NEET)",Saskatchewan,Total - Gender,18 to 24 years,47,14
2015,"Sub-total, not in employment, education or training (NEET)",Saskatchewan,Men+,18 to 24 years,47,13
2015,"Sub-total, not in employment, education or training (NEET)",Saskatchewan,Women+,18 to 24 years,47,15
2015,"Sub-total, not in employment, education or training (NEET)",Saskatchewan,Total - Gender,20 to 24 years,47,16
2015,"Sub-total, not in employment, education or training (NEET)",Saskatchewan,Men+,20 to 24 years,47,14
2015,"Sub-total, not in employment, education or training (NEET)",Saskatchewan,Women+,20 to 24 years,47,17
2015,"Unemployed, Not in employment, education or training (NEET)",Saskatchewan,Total - Gender,15 to 19 years,47,2
