Year,Gouvernement,Élus,Géographie,GeoCode,Value
2022,National,Parlement national,Nouvelle-Écosse,12,9.1
2023,National,Parlement national,Nouvelle-Écosse,12,9.1
2015,National,Cabinet fédéral,Nouvelle-Écosse,12,0.0
2016,National,Cabinet fédéral,Nouvelle-Écosse,12,0.0
2017,National,Cabinet fédéral,Nouvelle-Écosse,12,0.0
2022,National,Cabinet fédéral,Nouvelle-Écosse,12,0.0
2023,National,Cabinet fédéral,Nouvelle-Écosse,12,0.0
2015,National,Parlement national,Nouveau-Brunswick,13,10.0
2016,National,Parlement national,Nouveau-Brunswick,13,30.0
2017,National,Parlement national,Nouveau-Brunswick,13,30.0
2018,National,Parlement national,Nouveau-Brunswick,13,30.0
2019,National,Parlement national,Nouveau-Brunswick,13,30.0
2020,National,Parlement national,Nouveau-Brunswick,13,20.0
2021,National,Parlement national,Nouveau-Brunswick,13,20.0
2022,National,Parlement national,Nouveau-Brunswick,13,20.0
2023,National,Parlement national,Nouveau-Brunswick,13,20.0
2015,National,Cabinet fédéral,Nouveau-Brunswick,13,0.0
2016,National,Cabinet fédéral,Nouveau-Brunswick,13,0.0
2017,National,Cabinet fédéral,Nouveau-Brunswick,13,0.0
2022,National,Cabinet fédéral,Nouveau-Brunswick,13,50.0
2023,National,Cabinet fédéral,Nouveau-Brunswick,13,50.0
2015,National,Parlement national,Québec,24,37.3
2016,National,Parlement national,Québec,24,24.4
2017,National,Parlement national,Québec,24,25.6
2018,National,Parlement national,Québec,24,25.6
2019,National,Parlement national,Québec,24,27.3
2020,National,Parlement national,Québec,24,33.3
2021,National,Parlement national,Québec,24,33.3
2022,National,Parlement national,Québec,24,35.9
2023,National,Parlement national,Québec,24,37.2
2015,National,Cabinet fédéral,Québec,24,0.0
2016,National,Cabinet fédéral,Québec,24,42.9
2017,National,Cabinet fédéral,Québec,24,42.9
2022,National,Cabinet fédéral,Québec,24,36.4
2023,National,Cabinet fédéral,Québec,24,36.4
2015,National,Parlement national,Ontario,35,19.6
2016,National,Parlement national,Ontario,35,31.4
2017,National,Parlement national,Ontario,35,33.1
2018,National,Parlement national,Ontario,35,34.2
2019,National,Parlement national,Ontario,35,33.9
2020,National,Parlement national,Ontario,35,31.4
2021,National,Parlement national,Ontario,35,32.5
2022,National,Parlement national,Ontario,35,36.7
2023,National,Parlement national,Ontario,35,36.4
2015,National,Cabinet fédéral,Ontario,35,20.0
2016,National,Cabinet fédéral,Ontario,35,72.7
2017,National,Cabinet fédéral,Ontario,35,75.0
2022,National,Cabinet fédéral,Ontario,35,68.8
2023,National,Cabinet fédéral,Ontario,35,68.8
2015,National,Parlement national,Manitoba,46,35.7
2016,National,Parlement national,Manitoba,46,21.4
2017,National,Parlement national,Manitoba,46,21.4
2018,National,Parlement national,Manitoba,46,21.4
2019,National,Parlement national,Manitoba,46,21.4
2020,National,Parlement national,Manitoba,46,28.6
2021,National,Parlement national,Manitoba,46,28.6
2022,National,Parlement national,Manitoba,46,28.6
2023,National,Parlement national,Manitoba,46,21.4
2015,National,Cabinet fédéral,Manitoba,46,100.0
2016,National,Cabinet fédéral,Manitoba,46,50.0
2017,National,Cabinet fédéral,Manitoba,46,0.0
2022,National,Cabinet fédéral,Manitoba,46,0.0
2023,National,Cabinet fédéral,Manitoba,46,0.0
2015,National,Parlement national,Saskatchewan,47,14.3
2016,National,Parlement national,Saskatchewan,47,28.6
2017,National,Parlement national,Saskatchewan,47,28.6
2018,National,Parlement national,Saskatchewan,47,35.7
2019,National,Parlement national,Saskatchewan,47,35.7
2020,National,Parlement national,Saskatchewan,47,21.4
2021,National,Parlement national,Saskatchewan,47,21.4
2022,National,Parlement national,Saskatchewan,47,21.4
2023,National,Parlement national,Saskatchewan,47,21.4
2015,National,Cabinet fédéral,Saskatchewan,47,50.0
2016,National,Cabinet fédéral,Saskatchewan,47,0.0
2017,National,Cabinet fédéral,Saskatchewan,47,0.0
2022,National,Cabinet fédéral,Saskatchewan,47,0.0
2023,National,Cabinet fédéral,Saskatchewan,47,0.0
2015,National,Parlement national,Alberta,48,17.9
2016,National,Parlement national,Alberta,48,15.2
2017,National,Parlement national,Alberta,48,17.6
2018,National,Parlement national,Alberta,48,14.7
2019,National,Parlement national,Alberta,48,14.7
2020,National,Parlement national,Alberta,48,17.6
2021,National,Parlement national,Alberta,48,17.6
2022,National,Parlement national,Alberta,48,17.6
2023,National,Parlement national,Alberta,48,18.2
2015,National,Cabinet fédéral,Alberta,48,33.3
2016,National,Cabinet fédéral,Alberta,48,0.0
2017,National,Cabinet fédéral,Alberta,48,0.0
2022,National,Cabinet fédéral,Alberta,48,0.0
2023,National,Cabinet fédéral,Alberta,48,0.0
2015,National,Parlement national,Colombie-Britannique,59,30.6
2016,National,Parlement national,Colombie-Britannique,59,28.6
2017,National,Parlement national,Colombie-Britannique,59,28.6
2018,National,Parlement national,Colombie-Britannique,59,26.2
2019,National,Parlement national,Colombie-Britannique,59,24.4
2020,National,Parlement national,Colombie-Britannique,59,33.3
2021,National,Parlement national,Colombie-Britannique,59,33.3
2022,National,Parlement national,Colombie-Britannique,59,26.2
2023,National,Parlement national,Colombie-Britannique,59,26.2
2015,National,Cabinet fédéral,Colombie-Britannique,59,40.0
2016,National,Cabinet fédéral,Colombie-Britannique,59,66.7
2017,National,Cabinet fédéral,Colombie-Britannique,59,66.7
2022,National,Cabinet fédéral,Colombie-Britannique,59,50.0
2023,National,Cabinet fédéral,Colombie-Britannique,59,50.0
2015,National,Parlement national,Yukon,60,0.0
2016,National,Parlement national,Yukon,60,0.0
2017,National,Parlement national,Yukon,60,0.0
2018,National,Parlement national,Yukon,60,0.0
2019,National,Parlement national,Yukon,60,0.0
2020,National,Parlement national,Yukon,60,0.0
2021,National,Parlement national,Yukon,60,0.0
2022,National,Parlement national,Yukon,60,0.0
2023,National,Parlement national,Yukon,60,0.0
2015,National,Cabinet fédéral,Yukon,60,0.0
2016,National,Cabinet fédéral,Yukon,60,0.0
2017,National,Cabinet fédéral,Yukon,60,0.0
2022,National,Cabinet fédéral,Yukon,60,0.0
2023,National,Cabinet fédéral,Yukon,60,0.0
2015,National,Parlement national,Territoires du Nord-Ouest,61,0.0
2016,National,Parlement national,Territoires du Nord-Ouest,61,0.0
2017,National,Parlement national,Territoires du Nord-Ouest,61,0.0
2018,National,Parlement national,Territoires du Nord-Ouest,61,0.0
2019,National,Parlement national,Territoires du Nord-Ouest,61,0.0
2020,National,Parlement national,Territoires du Nord-Ouest,61,0.0
2021,National,Parlement national,Territoires du Nord-Ouest,61,0.0
2022,National,Parlement national,Territoires du Nord-Ouest,61,0.0
2023,National,Parlement national,Territoires du Nord-Ouest,61,0.0
2015,National,Cabinet fédéral,Territoires du Nord-Ouest,61,0.0
2016,National,Cabinet fédéral,Territoires du Nord-Ouest,61,0.0
2017,National,Cabinet fédéral,Territoires du Nord-Ouest,61,0.0
2022,National,Cabinet fédéral,Territoires du Nord-Ouest,61,0.0
2023,National,Cabinet fédéral,Territoires du Nord-Ouest,61,0.0
2015,National,Parlement national,Nunavut,62,100.0
2016,National,Parlement national,Nunavut,62,0.0
2017,National,Parlement national,Nunavut,62,0.0
2018,National,Parlement national,Nunavut,62,0.0
2019,National,Parlement national,Nunavut,62,0.0
2020,National,Parlement national,Nunavut,62,100.0
2021,National,Parlement national,Nunavut,62,100.0
2022,National,Parlement national,Nunavut,62,100.0
2023,National,Parlement national,Nunavut,62,100.0
2015,National,Cabinet fédéral,Nunavut,62,100.0
2016,National,Cabinet fédéral,Nunavut,62,0.0
2017,National,Cabinet fédéral,Nunavut,62,0.0
2022,National,Cabinet fédéral,Nunavut,62,0.0
2023,National,Cabinet fédéral,Nunavut,62,0.0
2015,Local,Chefs dans les communautés des Premières Nations,Canada,,19.5
2015,Local,Membres de conseil des Premières Nations,Canada,,30.5
2016,Local,Chefs dans les communautés des Premières Nations,Canada,,19.7
2016,Local,Membres de conseil des Premières Nations,Canada,,30.7
2017,Local,Chefs dans les communautés des Premières Nations,Canada,,18.8
2017,Local,Membres de conseil des Premières Nations,Canada,,28.6
2018,Local,Chefs dans les communautés des Premières Nations,Canada,,20.4
2018,Local,Membres de conseil des Premières Nations,Canada,,28.2
2019,Local,Chefs dans les communautés des Premières Nations,Canada,,18.5
2019,Local,Membres de conseil des Premières Nations,Canada,,27.4
