Year,Series,Elements,Data categories,Pillar,Value
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Reproductive health,,100.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Gender statistics,,50.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Crime and justice,,50.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Poverty and income,,100.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Social statistics subscore,,77.8
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,National accounts,,100.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Labor,,100.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Price indexes,,100.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Government finance,,100.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Money and banking,,100.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,International trade,,100.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Balance of payments,,100.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Economic and financial statistics subscore,,100.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Agriculture and land use,,50.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Resource use,,100.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Energy use,,100.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Pollution,,100.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Built environment,,50.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Environment subscore,,80.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,All categories,,85.9
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Population and vital statistics,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Education facilities,,50.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Education outcomes,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Health facilities,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Health outcomes,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Reproductive health,,50.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Gender statistics,,50.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Crime and justice,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Poverty and income,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Social statistics subscore,,83.3
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,National accounts,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Labor,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Price indexes,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Government finance,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Money and banking,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,International trade,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Balance of payments,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Economic and financial statistics subscore,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Agriculture and land use,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Resource use,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Energy use,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Pollution,,100.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Built environment,,50.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Environment subscore,,90.0
2018,Open Data Inventory (ODIN),Indicator coverage and disaggregation,All categories,,91.1
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Population and vital statistics,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Education facilities,,50.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Education outcomes,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Health facilities,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Health outcomes,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Reproductive health,,50.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Gender statistics,,50.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Crime and justice,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Poverty and income,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Social statistics subscore,,83.3
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,National accounts,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Labor,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Price indexes,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Government finance,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Money and banking,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,International trade,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Balance of payments,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Economic and financial statistics subscore,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Agriculture and land use,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Resource use,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Energy use,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Pollution,,100.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Built environment,,50.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Environment subscore,,90.0
2019,Open Data Inventory (ODIN),Indicator coverage and disaggregation,All categories,,91.1
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Population and vital statistics,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Education facilities,,50.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Education outcomes,,50.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Health facilities,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Health outcomes,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Reproductive health,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Food security and nutrition,,50.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Gender statistics,,50.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Crime and justice,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Poverty and income,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Social statistics subscore,,80.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,National accounts,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Labor,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Price indexes,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Government finance,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Money and banking,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,International trade,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Balance of payments,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Economic and financial statistics subscore,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Agriculture and land use,,50.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Resource use,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Energy use,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Pollution,,100.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Built environment,,50.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Environment subscore,,80.0
2020,Open Data Inventory (ODIN),Indicator coverage and disaggregation,All categories,,86.7
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Population and vital statistics,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Education facilities,,50.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Education outcomes,,50.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Health facilities,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Health outcomes,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Reproductive health,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Food security and nutrition,,50.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Gender statistics,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Crime and justice,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Poverty and income,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Social statistics subscore,,85.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,National accounts,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Labor,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Price indexes,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Government finance,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Money and banking,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,International trade,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Balance of payments,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Economic and financial statistics subscore,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Agriculture and land use,,50.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Resource use,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Energy use,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Pollution,,100.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Built environment,,50.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Environment subscore,,80.0
2022,Open Data Inventory (ODIN),Indicator coverage and disaggregation,All categories,,88.3
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Population and vital statistics,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Education facilities,,50.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Education outcomes,,50.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Health facilities,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Health outcomes,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Reproductive health,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Food security and nutrition,,50.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Gender statistics,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Crime and justice,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Poverty and income,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Social statistics subscore,,85.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,National accounts,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Labor,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Price indexes,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Government finance,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Money and banking,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,International trade,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Balance of payments,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Economic and financial statistics subscore,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Agriculture and land use,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Resource use,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Energy use,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Pollution,,100.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Built environment,,50.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Environment subscore,,90.0
2024,Open Data Inventory (ODIN),Indicator coverage and disaggregation,All categories,,91.7
2016,Open Data Inventory (ODIN),Data available last 5 years,Population and vital statistics,,100.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Education facilities,,50.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Education outcomes,,50.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Health facilities,,50.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Health outcomes,,100.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Reproductive health,,50.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Gender statistics,,50.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Poverty and income,,100.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Social statistics subscore,,68.8
2016,Open Data Inventory (ODIN),Data available last 5 years,National accounts,,100.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Labor,,100.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Price indexes,,50.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Government finance,,100.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Money and banking,,100.0
2016,Open Data Inventory (ODIN),Data available last 5 years,International trade,,100.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Balance of payments,,100.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Economic and financial statistics subscore,,92.9
2016,Open Data Inventory (ODIN),Data available last 5 years,Agriculture and land use,,50.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Resource use,,50.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Energy use,,100.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Pollution,,50.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Built environment,,50.0
2016,Open Data Inventory (ODIN),Data available last 5 years,Environment subscore,,60.0
2016,Open Data Inventory (ODIN),Data available last 5 years,All categories,,73.9
2017,Open Data Inventory (ODIN),Data available last 5 years,Population and vital statistics,,100.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Education facilities,,50.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Education outcomes,,50.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Health facilities,,100.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Health outcomes,,50.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Reproductive health,,50.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Gender statistics,,50.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Crime and justice,,50.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Poverty and income,,100.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Social statistics subscore,,66.7
2017,Open Data Inventory (ODIN),Data available last 5 years,National accounts,,100.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Labor,,100.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Price indexes,,100.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Government finance,,100.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Money and banking,,100.0
2017,Open Data Inventory (ODIN),Data available last 5 years,International trade,,100.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Balance of payments,,100.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Economic and financial statistics subscore,,100.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Agriculture and land use,,50.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Resource use,,50.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Energy use,,100.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Pollution,,100.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Built environment,,50.0
2017,Open Data Inventory (ODIN),Data available last 5 years,Environment subscore,,70.0
2017,Open Data Inventory (ODIN),Data available last 5 years,All categories,,78.9
2018,Open Data Inventory (ODIN),Data available last 5 years,Population and vital statistics,,100.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Education facilities,,50.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Education outcomes,,50.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Health facilities,,100.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Health outcomes,,100.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Reproductive health,,50.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Gender statistics,,50.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Crime and justice,,100.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Poverty and income,,100.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Social statistics subscore,,77.8
2018,Open Data Inventory (ODIN),Data available last 5 years,National accounts,,100.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Labor,,100.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Price indexes,,100.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Government finance,,100.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Money and banking,,100.0
2018,Open Data Inventory (ODIN),Data available last 5 years,International trade,,100.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Balance of payments,,100.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Economic and financial statistics subscore,,100.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Agriculture and land use,,50.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Resource use,,50.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Energy use,,100.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Pollution,,100.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Built environment,,50.0
2018,Open Data Inventory (ODIN),Data available last 5 years,Environment subscore,,70.0
2018,Open Data Inventory (ODIN),Data available last 5 years,All categories,,82.6
2019,Open Data Inventory (ODIN),Data available last 5 years,Population and vital statistics,,100.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Education facilities,,50.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Education outcomes,,50.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Health facilities,,100.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Health outcomes,,100.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Reproductive health,,50.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Gender statistics,,50.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Crime and justice,,100.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Poverty and income,,100.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Social statistics subscore,,77.8
2019,Open Data Inventory (ODIN),Data available last 5 years,National accounts,,100.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Labor,,100.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Price indexes,,100.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Government finance,,100.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Money and banking,,100.0
2019,Open Data Inventory (ODIN),Data available last 5 years,International trade,,100.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Balance of payments,,100.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Economic and financial statistics subscore,,100.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Agriculture and land use,,50.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Resource use,,50.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Energy use,,100.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Pollution,,100.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Built environment,,50.0
2019,Open Data Inventory (ODIN),Data available last 5 years,Environment subscore,,70.0
2019,Open Data Inventory (ODIN),Data available last 5 years,All categories,,82.6
2020,Open Data Inventory (ODIN),Data available last 5 years,Population and vital statistics,,100.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Education facilities,,50.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Education outcomes,,50.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Health facilities,,100.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Health outcomes,,50.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Reproductive health,,50.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Food security and nutrition,,50.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Gender statistics,,50.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Crime and justice,,100.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Poverty and income,,100.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Social statistics subscore,,70.0
2020,Open Data Inventory (ODIN),Data available last 5 years,National accounts,,100.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Labor,,100.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Price indexes,,100.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Government finance,,100.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Money and banking,,100.0
2020,Open Data Inventory (ODIN),Data available last 5 years,International trade,,100.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Balance of payments,,100.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Economic and financial statistics subscore,,100.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Agriculture and land use,,50.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Resource use,,50.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Energy use,,100.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Pollution,,50.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Built environment,,50.0
2020,Open Data Inventory (ODIN),Data available last 5 years,Environment subscore,,60.0
2020,Open Data Inventory (ODIN),Data available last 5 years,All categories,,76.7
2022,Open Data Inventory (ODIN),Data available last 5 years,Population and vital statistics,,100.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Education facilities,,50.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Education outcomes,,50.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Health facilities,,50.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Health outcomes,,100.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Reproductive health,,100.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Food security and nutrition,,50.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Gender statistics,,50.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Crime and justice,,100.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Poverty and income,,100.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Social statistics subscore,,75.0
2022,Open Data Inventory (ODIN),Data available last 5 years,National accounts,,100.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Labor,,100.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Price indexes,,100.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Government finance,,100.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Money and banking,,100.0
2022,Open Data Inventory (ODIN),Data available last 5 years,International trade,,100.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Balance of payments,,100.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Economic and financial statistics subscore,,100.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Agriculture and land use,,50.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Resource use,,50.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Energy use,,100.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Pollution,,100.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Built environment,,50.0
2022,Open Data Inventory (ODIN),Data available last 5 years,Environment subscore,,70.0
2022,Open Data Inventory (ODIN),Data available last 5 years,All categories,,81.7
2024,Open Data Inventory (ODIN),Data available last 5 years,Population and vital statistics,,100.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Education facilities,,50.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Education outcomes,,50.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Health facilities,,100.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Health outcomes,,100.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Reproductive health,,100.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Food security and nutrition,,50.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Gender statistics,,50.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Crime and justice,,100.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Poverty and income,,100.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Social statistics subscore,,80.0
2024,Open Data Inventory (ODIN),Data available last 5 years,National accounts,,100.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Labor,,100.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Price indexes,,100.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Government finance,,100.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Money and banking,,100.0
2024,Open Data Inventory (ODIN),Data available last 5 years,International trade,,100.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Balance of payments,,100.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Economic and financial statistics subscore,,100.0
2024,Open Data Inventory (ODIN),Data available last 5 years,Agriculture and land use,,50.0
