Year,Country of origin,Value
1980 to 1990,Ecuador,0.286431646954282
1991 to 2000,Ecuador,2.12774751801207
2001 to 2010,Ecuador,2.98464994533116
2011 to 2015,Ecuador,1.35247744667012
2016 to 2021,Ecuador,0.282765374101842
1980 to 1990,Guyana,60.6384899816552
1991 to 2000,Guyana,43.1281218879139
2001 to 2010,Guyana,76.0175854014229
2011 to 2015,Guyana,17.7885299558844
2016 to 2021,Guyana,11.0351998352077
1980 to 1990,Paraguay,0.619460090973909
1991 to 2000,Paraguay,2.15644921424872
2001 to 2010,Paraguay,1.6556099515403
2011 to 2015,Paraguay,0.324721555325328
2016 to 2021,Paraguay,0.0
1980 to 1990,Peru,0.681356052075861
1991 to 2000,Peru,9.36061334347538
2001 to 2010,Peru,7.16787853949026
2011 to 2015,Peru,0.738726419237093
2016 to 2021,Peru,0.452406367565335
1980 to 1990,Suriname,0.0
1991 to 2000,Suriname,3.14691036340521
2001 to 2010,Suriname,2.72758019994981
2011 to 2015,Suriname,0.0
2016 to 2021,Suriname,0.0
1980 to 1990,Uruguay,2.89902409185654
1991 to 2000,Uruguay,9.49023217853025
2001 to 2010,Uruguay,3.61587368547925
2011 to 2015,Uruguay,0.29690973379964
2016 to 2021,Uruguay,0.0
1980 to 1990,Austria,4.62240817179265
1991 to 2000,Austria,1.43516015076919
2001 to 2010,Austria,0.239088265589765
2011 to 2015,Austria,0.0
2016 to 2021,Austria,0.0
1980 to 1990,Belgium,0.250978993760963
1991 to 2000,Belgium,1.26806418394656
2001 to 2010,Belgium,0.731481706259714
2011 to 2015,Belgium,0.221722420469166
2016 to 2021,Belgium,0.259271696298469
1980 to 1990,France,0.219335326752215
1991 to 2000,France,0.420281320681599
2001 to 2010,France,0.181338023102543
2011 to 2015,France,0.146341994679282
2016 to 2021,France,0.219418731784699
1980 to 1990,Germany,0.80292466312198
1991 to 2000,Germany,1.69318211248821
2001 to 2010,Germany,0.45774350711248
2011 to 2015,Germany,0.079193333778075
2016 to 2021,Germany,0.179217395270507
1980 to 1990,Netherlands,0.698557107010233
1991 to 2000,Netherlands,0.560438654089136
2001 to 2010,Netherlands,0.447192258684623
2011 to 2015,Netherlands,0.233815946984105
2016 to 2021,Netherlands,0.338397575246014
1980 to 1990,Switzerland,0.372400754454136
1991 to 2000,Switzerland,1.53115557076503
2001 to 2010,Switzerland,0.575021194322854
2011 to 2015,Switzerland,0.362145465624911
2016 to 2021,Switzerland,0.287123702136264
1980 to 1990,Belarus,5.79178029558792
1991 to 2000,Belarus,2.85239658360955
2001 to 2010,Belarus,2.8974737347957
2011 to 2015,Belarus,0.527017943801547
2016 to 2021,Belarus,0.378321118965778
1980 to 1990,Bulgaria,4.76040161921661
1991 to 2000,Bulgaria,17.370853794335
2001 to 2010,Bulgaria,11.2926926800564
2011 to 2015,Bulgaria,1.39322006175587
2016 to 2021,Bulgaria,0.145407264299732
1980 to 1990,Czechia,45.746925775055
1991 to 2000,Czechia,6.78876745189426
2001 to 2010,Czechia,2.53241962995998
2011 to 2015,Czechia,1.09268521833965
2016 to 2021,Czechia,1.37690983923153
1980 to 1990,Estonia,1.59202357977964
1991 to 2000,Estonia,11.8096541417531
2001 to 2010,Estonia,2.25313439158049
2011 to 2015,Estonia,0.0
2016 to 2021,Estonia,0.0
1980 to 1990,Hungary,40.5854472429627
1991 to 2000,Hungary,6.18178601512212
2001 to 2010,Hungary,7.66541246156585
2011 to 2015,Hungary,5.89443413991212
2016 to 2021,Hungary,10.3513756437487
1980 to 1990,Latvia,8.08165402514297
1991 to 2000,Latvia,6.12212800947452
2001 to 2010,Latvia,2.14502668413195
2011 to 2015,Latvia,0.505592612685218
2016 to 2021,Latvia,1.85615144498738
1980 to 1990,Lithuania,4.05936139479657
1991 to 2000,Lithuania,2.57106715284594
2001 to 2010,Lithuania,3.06667813711893
2011 to 2015,Lithuania,0.516212692018216
2016 to 2021,Lithuania,0.0
1980 to 1990,Poland,108.670387621235
1991 to 2000,Poland,31.9438340384951
2001 to 2010,Poland,0.997487080672017
2011 to 2015,Poland,0.0783978735987948
2016 to 2021,Poland,0.170871119235931
1980 to 1990,Romania,18.2838662858799
1991 to 2000,Romania,8.79890362032477
2001 to 2010,Romania,3.76835039825102
2011 to 2015,Romania,0.402594733119826
2016 to 2021,Romania,0.36366978347257
1980 to 1990,Russian Federation,0.718214267218351
1991 to 2000,Russian Federation,2.16737945676985
2001 to 2010,Russian Federation,1.84802912435541
2011 to 2015,Russian Federation,0.326891639939347
2016 to 2021,Russian Federation,0.428561241058498
1980 to 1990,Slovakia,44.0361567216448
1991 to 2000,Slovakia,5.76175085854734
2001 to 2010,Slovakia,0.927316729294548
2011 to 2015,Slovakia,0.461228827982495
2016 to 2021,Slovakia,9.82860745717575
1980 to 1990,Ukraine,2.9199541163789
1991 to 2000,Ukraine,4.16677386272548
2001 to 2010,Ukraine,3.80991146314645
2011 to 2015,Ukraine,0.939165530895204
2016 to 2021,Ukraine,2.52823040124822
1980 to 1990,Denmark,0.0
1991 to 2000,Denmark,0.655468333528881
2001 to 2010,Denmark,0.0
2011 to 2015,Denmark,0.0
2016 to 2021,Denmark,0.341483607975794
1980 to 1990,Finland,0.401075282833276
1991 to 2000,Finland,0.0
2001 to 2010,Finland,0.186450267514183
2011 to 2015,Finland,0.36498098677172
2016 to 2021,Finland,0.180470070392351
1980 to 1990,Ireland,0.0
1991 to 2000,Ireland,0.39446694367012
2001 to 2010,Ireland,0.0
2011 to 2015,Ireland,0.0
2016 to 2021,Ireland,0.298303221446092
1980 to 1990,Norway,0.0
1991 to 2000,Norway,0.445346320225826
2001 to 2010,Norway,0.30680010153038
2011 to 2015,Norway,0.192686358056342
2016 to 2021,Norway,1.01698447277352
1980 to 1990,Sweden,0.350524720901994
1991 to 2000,Sweden,0.563561192770502
2001 to 2010,Sweden,0.26657405528554
2011 to 2015,Sweden,0.408183195475412
2016 to 2021,Sweden,0.288013967525369
1980 to 1990,United Kingdom,0.252754117813436
1991 to 2000,United Kingdom,0.321720204746802
2001 to 2010,United Kingdom,0.357104833980534
2011 to 2015,United Kingdom,0.175888783228163
2016 to 2021,United Kingdom,0.295556345807545
1980 to 1990,Albania,0.305066297007666
1991 to 2000,Albania,28.8911254514238
2001 to 2010,Albania,65.855663834475
2011 to 2015,Albania,13.9701562967289
2016 to 2021,Albania,21.050892110494
1980 to 1990,Bosnia and Herzegovina,0.561964826846274
1991 to 2000,Bosnia and Herzegovina,558.908755755081
2001 to 2010,Bosnia and Herzegovina,24.6563100546727
2011 to 2015,Bosnia and Herzegovina,0.710516828520032
2016 to 2021,Bosnia and Herzegovina,1.0786015468687
1980 to 1990,Croatia,1.55114417047447
1991 to 2000,Croatia,150.255694338834
2001 to 2010,Croatia,11.5072377619655
2011 to 2015,Croatia,0.478040207244771
2016 to 2021,Croatia,5.73272506997109
1980 to 1990,Greece,1.4621825492022
1991 to 2000,Greece,5.88875174228226
2001 to 2010,Greece,1.93260424714503
2011 to 2015,Greece,2.17167557477206
2016 to 2021,Greece,0.614388448136068
1980 to 1990,Italy,0.797799007550308
1991 to 2000,Italy,0.61111303999727
2001 to 2010,Italy,0.199453719531803
2011 to 2015,Italy,0.0990501486940832
2016 to 2021,Italy,0.159050531944504
1980 to 1990,Malta,6.79471534219545
1991 to 2000,Malta,7.50140651372132
2001 to 2010,Malta,2.36596511857626
2011 to 2015,Malta,0.0
2016 to 2021,Malta,0.0
1980 to 1990,Montenegro,0.0
1991 to 2000,Montenegro,54.3702233985802
2001 to 2010,Montenegro,8.70055612372824
2011 to 2015,Montenegro,0.0
2016 to 2021,Montenegro,1.65601161195342
1980 to 1990,North Macedonia,0.726848247895956
1991 to 2000,North Macedonia,12.1506535228997
2001 to 2010,North Macedonia,10.2353397036138
2011 to 2015,North Macedonia,1.51484854544243
2016 to 2021,North Macedonia,0.540214221949714
1980 to 1990,Portugal,1.35139748013421
1991 to 2000,Portugal,2.47971025703947
2001 to 2010,Portugal,1.08708238902898
2011 to 2015,Portugal,0.0
2016 to 2021,Portugal,0.0
1980 to 1990,Serbia,1.20639684945018
1991 to 2000,Serbia,41.3105821148173
2001 to 2010,Serbia,5.47573340857847
2011 to 2015,Serbia,0.417985468874503
2016 to 2021,Serbia,0.438887799796941
1980 to 1990,Slovenia,1.00098747414324
1991 to 2000,Slovenia,18.3677279523103
2001 to 2010,Slovenia,1.46724952338845
2011 to 2015,Slovenia,0.0
2016 to 2021,Slovenia,0.0
1980 to 1990,Spain,0.191889206549388
1991 to 2000,Spain,0.231595081013117
2001 to 2010,Spain,0.0747216514407247
2011 to 2015,Spain,0.0856829636948859
2016 to 2021,Spain,0.0942690522756146
1980 to 1990,Benin,0.378680370856834
1991 to 2000,Benin,0.138472912413529
2001 to 2010,Benin,1.17375695820986
2011 to 2015,Benin,0.440112524449351
2016 to 2021,Benin,0.559138515160705
1980 to 1990,Burkina Faso,0.0
1991 to 2000,Burkina Faso,0.167706931801263
2001 to 2010,Burkina Faso,0.834537075793214
2011 to 2015,Burkina Faso,0.319530554230539
2016 to 2021,Burkina Faso,0.409177710562509
1980 to 1990,Côte d'Ivoire,0.0
1991 to 2000,Côte d'Ivoire,0.847498134656606
2001 to 2010,Côte d'Ivoire,1.91208886837667
2011 to 2015,Côte d'Ivoire,1.96064160511193
2016 to 2021,Côte d'Ivoire,1.93992563134838
1980 to 1990,Gambia,0.948131966695917
1991 to 2000,Gambia,4.46689498226814
2001 to 2010,Gambia,3.11414994476277
2011 to 2015,Gambia,2.47237236265297
2016 to 2021,Gambia,3.68773859911351
1980 to 1990,Ghana,1.78630312778105
1991 to 2000,Ghana,13.6966931956508
2001 to 2010,Ghana,2.53183045709216
2011 to 2015,Ghana,0.557564578828349
2016 to 2021,Ghana,0.999416033523796
1980 to 1990,Guinea,0.0
1991 to 2000,Guinea,3.61840148157525
2001 to 2010,Guinea,8.80061471572427
2011 to 2015,Guinea,3.44168991223691
2016 to 2021,Guinea,2.55272042321479
1980 to 1990,Guinea-Bissau,0.0
1991 to 2000,Guinea-Bissau,0.0
2001 to 2010,Guinea-Bissau,2.23444927050019
2011 to 2015,Guinea-Bissau,0.0
2016 to 2021,Guinea-Bissau,0.0
1980 to 1990,Liberia,0.899407155773272
1991 to 2000,Liberia,7.68353008008117
2001 to 2010,Liberia,28.0786102565745
2011 to 2015,Liberia,6.00895634943884
2016 to 2021,Liberia,2.85199676849753
1980 to 1990,Mali,0.0
1991 to 2000,Mali,0.951606443604061
2001 to 2010,Mali,0.877999575800776
2011 to 2015,Mali,0.134458865187616
2016 to 2021,Mali,1.16129023901385
1980 to 1990,Mauritania,0.0
1991 to 2000,Mauritania,0.765268591100347
2001 to 2010,Mauritania,10.320481925224
2011 to 2015,Mauritania,1.13464347673924
2016 to 2021,Mauritania,3.06228939500672
1980 to 1990,Niger,0.0
1991 to 2000,Niger,0.0
2001 to 2010,Niger,0.302135168083383
2011 to 2015,Niger,0.300909378231955
2016 to 2021,Niger,0.367313505750293
1980 to 1990,Nigeria,0.0669268301321887
1991 to 2000,Nigeria,0.87036613312326
2001 to 2010,Nigeria,1.68321184399305
2011 to 2015,Nigeria,1.31900249447759
2016 to 2021,Nigeria,1.81894507623957
1980 to 1990,Senegal,0.194286978446321
1991 to 2000,Senegal,0.802540844313095
2001 to 2010,Senegal,2.1368058274652
2011 to 2015,Senegal,0.890809962448591
2016 to 2021,Senegal,1.33557116993102
1980 to 1990,Sierra Leone,0.0
1991 to 2000,Sierra Leone,7.57242430485993
2001 to 2010,Sierra Leone,19.8427075800268
2011 to 2015,Sierra Leone,2.06030293557646
2016 to 2021,Sierra Leone,0.864766354955457
1980 to 1990,Togo,0.500152421450437
1991 to 2000,Togo,3.69633517122251
2001 to 2010,Togo,6.38643580443842
2011 to 2015,Togo,1.3049216228188
2016 to 2021,Togo,1.74578380539984
1980 to 1990,Burundi,2.23726559609033
1991 to 2000,Burundi,17.0753983918374
2001 to 2010,Burundi,32.6243246644852
2011 to 2015,Burundi,11.7206502924506
2016 to 2021,Burundi,25.754074878739
1980 to 1990,Comoros,2.24917989278159
1991 to 2000,Comoros,2.79801415608629
2001 to 2010,Comoros,0.0
2011 to 2015,Comoros,0.0
2016 to 2021,Comoros,0.0
1980 to 1990,Djibouti,8.62681022829128
1991 to 2000,Djibouti,37.4532586675869
2001 to 2010,Djibouti,27.9416213555663
2011 to 2015,Djibouti,35.7605434818817
2016 to 2021,Djibouti,92.2227281354168
1980 to 1990,Eritrea,111.547527846342
1991 to 2000,Eritrea,56.4870984801412
2001 to 2010,Eritrea,121.914763776156
2011 to 2015,Eritrea,167.162474853299
2016 to 2021,Eritrea,415.112533693524
1980 to 1990,Ethiopia,8.65294001646516
1991 to 2000,Ethiopia,6.84554488304865
2001 to 2010,Ethiopia,8.27755979988892
2011 to 2015,Ethiopia,3.96163521648981
2016 to 2021,Ethiopia,4.67070530806255
1980 to 1990,Kenya,0.720750109537636
1991 to 2000,Kenya,3.01855366246011
2001 to 2010,Kenya,5.3003824700703
2011 to 2015,Kenya,2.48461998990182
2016 to 2021,Kenya,3.05331804494711
1980 to 1990,Madagascar,0.0829486658080374
1991 to 2000,Madagascar,0.0605460722915259
2001 to 2010,Madagascar,0.112697056720271
2011 to 2015,Madagascar,0.0393287177805625
2016 to 2021,Madagascar,0.0505201929548042
1980 to 1990,Malawi,0.104757433116045
1991 to 2000,Malawi,0.176741491355309
2001 to 2010,Malawi,0.202340499536876
2011 to 2015,Malawi,0.292643464215001
2016 to 2021,Malawi,0.623522781003386
1980 to 1990,Mauritius,1.3773617737114
1991 to 2000,Mauritius,6.16419694691435
2001 to 2010,Mauritius,5.06714157476626
2011 to 2015,Mauritius,2.32143250957301
2016 to 2021,Mauritius,1.56293530190244
1980 to 1990,Mozambique,0.114551460582671
1991 to 2000,Mozambique,0.137895447947157
2001 to 2010,Mozambique,0.0652195180277618
2011 to 2015,Mozambique,0.0941704800217797
2016 to 2021,Mozambique,0.236534299444539
1980 to 1990,Rwanda,1.83039877474462
1991 to 2000,Rwanda,13.8769350792546
2001 to 2010,Rwanda,19.4291257712236
2011 to 2015,Rwanda,9.49220809978278
2016 to 2021,Rwanda,5.46571238822431
1980 to 1990,Seychelles,74.2861773683784
1991 to 2000,Seychelles,584.669721267659
2001 to 2010,Seychelles,0.0
2011 to 2015,Seychelles,0.0
2016 to 2021,Seychelles,0.0
1980 to 1990,Somalia,15.8104295616071
1991 to 2000,Somalia,108.551704403029
2001 to 2010,Somalia,43.6940498608618
2011 to 2015,Somalia,29.4691921498851
2016 to 2021,Somalia,29.8380701534994
1980 to 1990,South Sudan,0.738760081964376
1991 to 2000,South Sudan,22.3746367747044
2001 to 2010,South Sudan,31.1827061942343
2011 to 2015,South Sudan,2.47572963465928
2016 to 2021,South Sudan,6.25778772479722
1980 to 1990,Uganda,2.24811283022181
1991 to 2000,Uganda,1.66662847309749
2001 to 2010,Uganda,3.33416877929737
2011 to 2015,Uganda,2.43789622557846
2016 to 2021,Uganda,2.76614930236408
1980 to 1990,Zambia,0.192648927895873
1991 to 2000,Zambia,1.19787359468839
2001 to 2010,Zambia,1.39626912593338
2011 to 2015,Zambia,0.54880797839965
2016 to 2021,Zambia,0.586623280348924
1980 to 1990,Zimbabwe,0.19729116274188
1991 to 2000,Zimbabwe,0.630669190464618
2001 to 2010,Zimbabwe,25.6736959324969
2011 to 2015,Zimbabwe,4.86120799768718
2016 to 2021,Zimbabwe,3.19666483412316
1980 to 1990,Algeria,0.0788151559968679
1991 to 2000,Algeria,9.10805526599687
2001 to 2010,Algeria,2.25206240213459
2011 to 2015,Algeria,0.662172324025456
2016 to 2021,Algeria,1.03883769566229
1980 to 1990,Egypt,0.145556162648429
1991 to 2000,Egypt,0.930436668706147
2001 to 2010,Egypt,1.42380923512379
2011 to 2015,Egypt,0.758046612075329
2016 to 2021,Egypt,2.54146032021607
1980 to 1990,Libya,1.23726335791701
1991 to 2000,Libya,4.05259972858891
2001 to 2010,Libya,4.84753054482858
2011 to 2015,Libya,2.90875265873389
2016 to 2021,Libya,20.1075860947985
1980 to 1990,Morocco,0.143586291628025
1991 to 2000,Morocco,0.510139811555409
2001 to 2010,Morocco,0.662206158914602
2011 to 2015,Morocco,0.390086334340946
2016 to 2021,Morocco,0.392373477311849
1980 to 1990,Sudan,0.499509787905647
1991 to 2000,Sudan,8.75295405459388
2001 to 2010,Sudan,9.48676609541041
2011 to 2015,Sudan,3.959924415661
2016 to 2021,Sudan,8.10262874863855
1980 to 1990,Tunisia,0.18019048296335
1991 to 2000,Tunisia,1.89449787127563
2001 to 2010,Tunisia,2.04343222306849
2011 to 2015,Tunisia,0.657759780690611
2016 to 2021,Tunisia,0.995954557083447
1980 to 1990,Angola,0.430055383822495
1991 to 2000,Angola,1.08057752361085
2001 to 2010,Angola,3.86336978136547
2011 to 2015,Angola,0.159813377750561
2016 to 2021,Angola,0.550204431352282
1980 to 1990,Cameroon,0.0
1991 to 2000,Cameroon,1.24054370415353
2001 to 2010,Cameroon,3.50810188504042
2011 to 2015,Cameroon,2.89930521884384
2016 to 2021,Cameroon,4.4767308169809
1980 to 1990,Central African Republic,0.0
1991 to 2000,Central African Republic,0.260863225106833
2001 to 2010,Central African Republic,1.89179784337272
2011 to 2015,Central African Republic,11.2314884281651
2016 to 2021,Central African Republic,13.8866885333114
1980 to 1990,Chad,0.417860494098306
1991 to 2000,Chad,1.93838109700152
2001 to 2010,Chad,2.84254147572571
2011 to 2015,Chad,1.57019620147693
2016 to 2021,Chad,2.66423635960763
1980 to 1990,Equatorial Guinea,0.0
1991 to 2000,Equatorial Guinea,0.0
2001 to 2010,Equatorial Guinea,0.840975700007148
2011 to 2015,Equatorial Guinea,0.0
2016 to 2021,Equatorial Guinea,0.0
1980 to 1990,Gabon,0.0
1991 to 2000,Gabon,0.783955565398553
2001 to 2010,Gabon,5.23265244896856
2011 to 2015,Gabon,0.0
2016 to 2021,Gabon,2.10369358104185
1980 to 1990,Botswana,0.76586919260538
1991 to 2000,Botswana,0.0
2001 to 2010,Botswana,2.21330832786769
2011 to 2015,Botswana,10.4379254305531
2016 to 2021,Botswana,7.49493935449002
1980 to 1990,Eswatini,0.0
1991 to 2000,Eswatini,0.960224154726679
2001 to 2010,Eswatini,2.6986183074266
2011 to 2015,Eswatini,10.0618805654777
2016 to 2021,Eswatini,4.97242994778534
1980 to 1990,Lesotho,1.38142840802533
1991 to 2000,Lesotho,0.0
2001 to 2010,Lesotho,0.751402869156716
2011 to 2015,Lesotho,0.0
2016 to 2021,Lesotho,0.0
1980 to 1990,Namibia,0.730293486694966
1991 to 2000,Namibia,0.0
2001 to 2010,Namibia,0.947943448537691
2011 to 2015,Namibia,9.89667659071704
2016 to 2021,Namibia,11.3843857812579
1980 to 1990,Afghanistan,28.9232140537773
1991 to 2000,Afghanistan,58.4844475307375
2001 to 2010,Afghanistan,64.0056170891429
2011 to 2015,Afghanistan,15.1018680848276
2016 to 2021,Afghanistan,23.7316222704542
1980 to 1990,Armenia,0.281520633702946
1991 to 2000,Armenia,4.1589905298186
2001 to 2010,Armenia,5.62901131021891
2011 to 2015,Armenia,3.76546300218654
2016 to 2021,Armenia,1.91610691667565
1980 to 1990,Azerbaijan,0.829745031797904
1991 to 2000,Azerbaijan,3.66968639043592
2001 to 2010,Azerbaijan,7.76163218598008
2011 to 2015,Azerbaijan,0.769000069210006
2016 to 2021,Azerbaijan,5.17836006319749
1980 to 1990,Bahrain,0.0
1991 to 2000,Bahrain,4.48021648406051
2001 to 2010,Bahrain,1.64844584525709
2011 to 2015,Bahrain,2.92036884258482
2016 to 2021,Bahrain,6.32549604373514
1980 to 1990,Cyprus,3.80526915620059
1991 to 2000,Cyprus,5.27583934647123
2001 to 2010,Cyprus,0.0
2011 to 2015,Cyprus,4.09986786125883
2016 to 2021,Cyprus,4.17500560779162
1980 to 1990,Georgia,0.183524037749059
1991 to 2000,Georgia,4.85148899127841
2001 to 2010,Georgia,9.88114522216472
2011 to 2015,Georgia,3.69226306055641
2016 to 2021,Georgia,6.59856768850326
1980 to 1990,Iraq,11.6588193807455
1991 to 2000,Iraq,42.2151239334133
2001 to 2010,Iraq,49.049276284126
2011 to 2015,Iraq,40.4383366662249
2016 to 2021,Iraq,35.9855696125178
1980 to 1990,Israel,0.880080456955375
1991 to 2000,Israel,3.02714176211231
2001 to 2010,Israel,4.15698973973155
2011 to 2015,Israel,2.29725384412835
2016 to 2021,Israel,11.4602614873888
1980 to 1990,Jordan,0.414144640844104
1991 to 2000,Jordan,3.99097075351663
2001 to 2010,Jordan,5.00177563034877
2011 to 2015,Jordan,6.86195547502332
2016 to 2021,Jordan,23.985882749597
1980 to 1990,Kazakhstan,0.233180480613535
1991 to 2000,Kazakhstan,3.9673023327899
2001 to 2010,Kazakhstan,2.34599500493119
2011 to 2015,Kazakhstan,0.470022152973521
2016 to 2021,Kazakhstan,1.11427254995145
1980 to 1990,Kuwait,6.82519517832603
1991 to 2000,Kuwait,59.5641641537236
2001 to 2010,Kuwait,13.5880111618718
2011 to 2015,Kuwait,5.86750546786315
2016 to 2021,Kuwait,20.8636568052262
1980 to 1990,Kyrgyzstan,0.448474385441535
1991 to 2000,Kyrgyzstan,0.696492394651297
2001 to 2010,Kyrgyzstan,6.55484525512505
2011 to 2015,Kyrgyzstan,0.0
2016 to 2021,Kyrgyzstan,1.17292447531973
1980 to 1990,Lebanon,17.3813918156449
