Year,Series,Employment size,Geography,Industries,Age of primary decision maker,Demographic characteristics,Value
2020,"Request rate, line of credit",,,Scientific and technical services (NAICS 54),,,6.0
2020,"Request rate, term loan",,,Scientific and technical services (NAICS 54),,,3.5
2020,"Overall approval rate, line of credit",,,Scientific and technical services (NAICS 54),,,81.0
2020,"Overall approval rate, term loan",,,Scientific and technical services (NAICS 54),,,81.9
2020,"Request rate, line of credit",,,Accommodation and food services (NAICS 72),,,5.4
2020,"Request rate, term loan",,,Accommodation and food services (NAICS 72),,,5.4
2020,"Overall approval rate, line of credit",,,Accommodation and food services (NAICS 72),,,83.6
2020,"Overall approval rate, term loan",,,Accommodation and food services (NAICS 72),,,90.3
2020,"Request rate, line of credit",,,Other services (NAICS 81),,,9.1
2020,"Request rate, term loan",,,Other services (NAICS 81),,,3.3
2020,"Overall approval rate, line of credit",,,Other services (NAICS 81),,,89.8
2020,"Overall approval rate, term loan",,,Other services (NAICS 81),,,97.5
2020,"Request rate, line of credit",,,Other industries from the North American Industrial Classification System (NAICS),,,6.6
2020,"Request rate, term loan",,,Other industries from the North American Industrial Classification System (NAICS),,,4.0
2020,"Overall approval rate, line of credit",,,Other industries from the North American Industrial Classification System (NAICS),,,88.3
2020,"Overall approval rate, term loan",,,Other industries from the North American Industrial Classification System (NAICS),,,93.3
2020,"Request rate, line of credit",,,Tourism,,,5.7
2020,"Request rate, term loan",,,Tourism,,,6.1
2020,"Overall approval rate, line of credit",,,Tourism,,,85.0
2020,"Overall approval rate, term loan",,,Tourism,,,86.9
2020,"Request rate, line of credit",,,Information and communication technologies (ICT),,,3.7
2020,"Request rate, term loan",,,Information and communication technologies (ICT),,,2.5
2020,"Overall approval rate, line of credit",,,Information and communication technologies (ICT),,,83.7
2020,"Request rate, line of credit",,,Knowledge-based industries (KBI),,,6.5
2020,"Request rate, term loan",,,Knowledge-based industries (KBI),,,1.7
2020,"Overall approval rate, line of credit",,,Knowledge-based industries (KBI),,,96.4
2020,"Request rate, line of credit",,,Advanced technology,,,6.3
2020,"Request rate, term loan",,,Advanced technology,,,2.3
2020,"Overall approval rate, line of credit",,,Advanced technology,,,92.0
2020,"Overall approval rate, term loan",,,Advanced technology,,,100.0
2020,"Request rate, line of credit",,,Advanced manufacturing,,,9.1
2020,"Request rate, term loan",,,Advanced manufacturing,,,4.2
2020,"Overall approval rate, line of credit",,,Advanced manufacturing,,,79.1
2020,"Overall approval rate, term loan",,,Advanced manufacturing,,,100.0
2020,"Request rate, line of credit",,,,Younger than 30 years old,,13.9
2020,"Request rate, term loan",,,,Younger than 30 years old,,5.1
2020,"Overall approval rate, term loan",,,,Younger than 30 years old,,99.2
2020,"Request rate, line of credit",,,,30 to 39 years old,,10.6
2020,"Request rate, term loan",,,,30 to 39 years old,,7.4
2020,"Overall approval rate, line of credit",,,,30 to 39 years old,,76.4
2020,"Overall approval rate, term loan",,,,30 to 39 years old,,90.8
2020,"Request rate, line of credit",,,,40 to 49 years old,,7.5
2020,"Request rate, term loan",,,,40 to 49 years old,,5.0
2020,"Overall approval rate, line of credit",,,,40 to 49 years old,,80.5
2020,"Overall approval rate, term loan",,,,40 to 49 years old,,82.9
2020,"Request rate, line of credit",,,,50 to 64 years old,,6.4
2020,"Request rate, term loan",,,,50 to 64 years old,,4.2
2020,"Overall approval rate, line of credit",,,,50 to 64 years old,,83.3
2020,"Overall approval rate, term loan",,,,50 to 64 years old,,90.2
2020,"Request rate, line of credit",,,,65 years old and older,,6.1
2020,"Request rate, term loan",,,,65 years old and older,,4.3
2020,"Overall approval rate, line of credit",,,,65 years old and older,,97.6
2020,"Overall approval rate, term loan",,,,65 years old and older,,93.4
2020,"Request rate, line of credit",,,,,Indigenous,8.5
2020,"Request rate, term loan",,,,,Indigenous,3.0
2020,"Request rate, line of credit",,,,,Visible minority,7.2
2020,"Request rate, term loan",,,,,Visible minority,4.2
2020,"Overall approval rate, line of credit",,,,,Visible minority,88.7
2020,"Overall approval rate, term loan",,,,,Visible minority,89.2
2020,"Request rate, line of credit",,,,,Person(s) with a disability,9.3
2020,"Request rate, term loan",,,,,Person(s) with a disability,1.8
2020,"Overall approval rate, line of credit",,,,,Person(s) with a disability,99.6
2020,"Overall approval rate, term loan",,,,,Person(s) with a disability,100.0
