Year,Type d'institution fréquentée,Géographie,Groupe d'âge,GeoCode,Value
2015/2016,Total taux de participation,Nouvelle-Écosse,20 à 24 ans,12,34
2015/2016,Primaire/Secondaire,Nouvelle-Écosse,20 à 24 ans,12,1
2015/2016,Collège,Nouvelle-Écosse,20 à 24 ans,12,9
2015/2016,Université,Nouvelle-Écosse,20 à 24 ans,12,24
2015/2016,Total taux de participation,Nouvelle-Écosse,25 à 29 ans,12,12
2015/2016,Collège,Nouvelle-Écosse,25 à 29 ans,12,3
2015/2016,Université,Nouvelle-Écosse,25 à 29 ans,12,9
2015/2016,Total taux de participation,Nouveau-Brunswick,15 à 19 ans,13,81
2015/2016,Primaire/Secondaire,Nouveau-Brunswick,15 à 19 ans,13,61
2015/2016,Collège,Nouveau-Brunswick,15 à 19 ans,13,7
2015/2016,Université,Nouveau-Brunswick,15 à 19 ans,13,13
2015/2016,Total taux de participation,Nouveau-Brunswick,20 à 24 ans,13,33
2015/2016,Collège,Nouveau-Brunswick,20 à 24 ans,13,8
2015/2016,Université,Nouveau-Brunswick,20 à 24 ans,13,24
2015/2016,Total taux de participation,Nouveau-Brunswick,25 à 29 ans,13,7
2015/2016,Collège,Nouveau-Brunswick,25 à 29 ans,13,2
2015/2016,Université,Nouveau-Brunswick,25 à 29 ans,13,5
2015/2016,Total taux de participation,Québec,15 à 19 ans,24,81
2015/2016,Primaire/Secondaire,Québec,15 à 19 ans,24,51
2015/2016,Collège,Québec,15 à 19 ans,24,27
2015/2016,Université,Québec,15 à 19 ans,24,3
2015/2016,Total taux de participation,Québec,20 à 24 ans,24,46
2015/2016,Primaire/Secondaire,Québec,20 à 24 ans,24,4
2015/2016,Collège,Québec,20 à 24 ans,24,12
2015/2016,Université,Québec,20 à 24 ans,24,30
2015/2016,Total taux de participation,Québec,25 à 29 ans,24,17
2015/2016,Primaire/Secondaire,Québec,25 à 29 ans,24,2
2015/2016,Collège,Québec,25 à 29 ans,24,3
2015/2016,Université,Québec,25 à 29 ans,24,12
2015/2016,Total taux de participation,Ontario,15 à 19 ans,35,87
2015/2016,Primaire/Secondaire,Ontario,15 à 19 ans,35,62
2015/2016,Collège,Ontario,15 à 19 ans,35,9
2015/2016,Université,Ontario,15 à 19 ans,35,16
2015/2016,Total taux de participation,Ontario,20 à 24 ans,35,43
2015/2016,Primaire/Secondaire,Ontario,20 à 24 ans,35,1
2015/2016,Collège,Ontario,20 à 24 ans,35,15
2015/2016,Université,Ontario,20 à 24 ans,35,27
2015/2016,Total taux de participation,Ontario,25 à 29 ans,35,12
2015/2016,Primaire/Secondaire,Ontario,25 à 29 ans,35,0
2015/2016,Collège,Ontario,25 à 29 ans,35,5
2015/2016,Université,Ontario,25 à 29 ans,35,7
2015/2016,Total taux de participation,Manitoba,15 à 19 ans,46,77
2015/2016,Primaire/Secondaire,Manitoba,15 à 19 ans,46,62
2015/2016,Collège,Manitoba,15 à 19 ans,46,4
2015/2016,Université,Manitoba,15 à 19 ans,46,12
2015/2016,Total taux de participation,Manitoba,20 à 24 ans,46,33
2015/2016,Primaire/Secondaire,Manitoba,20 à 24 ans,46,2
2015/2016,Collège,Manitoba,20 à 24 ans,46,7
2015/2016,Université,Manitoba,20 à 24 ans,46,24
2015/2016,Total taux de participation,Manitoba,25 à 29 ans,46,12
2015/2016,Collège,Manitoba,25 à 29 ans,46,4
2015/2016,Université,Manitoba,25 à 29 ans,46,8
2015/2016,Total taux de participation,Saskatchewan,15 à 19 ans,47,77
2015/2016,Primaire/Secondaire,Saskatchewan,15 à 19 ans,47,62
2015/2016,Collège,Saskatchewan,15 à 19 ans,47,4
2015/2016,Université,Saskatchewan,15 à 19 ans,47,12
2015/2016,Total taux de participation,Saskatchewan,20 à 24 ans,47,31
2015/2016,Primaire/Secondaire,Saskatchewan,20 à 24 ans,47,1
2015/2016,Collège,Saskatchewan,20 à 24 ans,47,7
2015/2016,Université,Saskatchewan,20 à 24 ans,47,23
2015/2016,Total taux de participation,Saskatchewan,25 à 29 ans,47,11
2015/2016,Collège,Saskatchewan,25 à 29 ans,47,2
2015/2016,Université,Saskatchewan,25 à 29 ans,47,8
2015/2016,Total taux de participation,Alberta,15 à 19 ans,48,80
2015/2016,Primaire/Secondaire,Alberta,15 à 19 ans,48,65
2015/2016,Collège,Alberta,15 à 19 ans,48,5
2015/2016,Université,Alberta,15 à 19 ans,48,10
2015/2016,Total taux de participation,Alberta,20 à 24 ans,48,29
2015/2016,Primaire/Secondaire,Alberta,20 à 24 ans,48,1
2015/2016,Collège,Alberta,20 à 24 ans,48,9
2015/2016,Université,Alberta,20 à 24 ans,48,20
2015/2016,Total taux de participation,Alberta,25 à 29 ans,48,9
2015/2016,Collège,Alberta,25 à 29 ans,48,3
2015/2016,Université,Alberta,25 à 29 ans,48,6
2015/2016,Total taux de participation,Colombie-Britannique,15 à 19 ans,59,80
2015/2016,Primaire/Secondaire,Colombie-Britannique,15 à 19 ans,59,59
2015/2016,Collège,Colombie-Britannique,15 à 19 ans,59,7
2015/2016,Université,Colombie-Britannique,15 à 19 ans,59,14
2015/2016,Total taux de participation,Colombie-Britannique,20 à 24 ans,59,37
2015/2016,Primaire/Secondaire,Colombie-Britannique,20 à 24 ans,59,1
2015/2016,Collège,Colombie-Britannique,20 à 24 ans,59,11
2015/2016,Université,Colombie-Britannique,20 à 24 ans,59,26
2015/2016,Total taux de participation,Colombie-Britannique,25 à 29 ans,59,12
2015/2016,Collège,Colombie-Britannique,25 à 29 ans,59,4
2015/2016,Université,Colombie-Britannique,25 à 29 ans,59,8
2015/2016,Total taux de participation,Yukon,15 à 19 ans,60,80
2015/2016,Primaire/Secondaire,Yukon,15 à 19 ans,60,59
2015/2016,Collège,Yukon,15 à 19 ans,60,11
2015/2016,Université,Yukon,15 à 19 ans,60,10
2015/2016,Total taux de participation,Yukon,20 à 24 ans,60,29
2015/2016,Collège,Yukon,20 à 24 ans,60,13
2015/2016,Université,Yukon,20 à 24 ans,60,16
2015/2016,Total taux de participation,Territoires du Nord-Ouest,15 à 19 ans,61,78
2015/2016,Primaire/Secondaire,Territoires du Nord-Ouest,15 à 19 ans,61,66
2015/2016,Total taux de participation,Territoires du Nord-Ouest,20 à 24 ans,61,18
2015/2016,Université,Territoires du Nord-Ouest,20 à 24 ans,61,12
2015/2016,Total taux de participation,Nunavut,15 à 19 ans,62,67
2015/2016,Primaire/Secondaire,Nunavut,15 à 19 ans,62,64
2015/2016,Total taux de participation,Nunavut,20 à 24 ans,62,11
2016/2017,Total taux de participation,Canada,15 à 19 ans,,84
2016/2017,Primaire/Secondaire,Canada,15 à 19 ans,,59
2016/2017,Collège,Canada,15 à 19 ans,,13
2016/2017,Université,Canada,15 à 19 ans,,13
2016/2017,Total taux de participation,Canada,20 à 24 ans,,41
2016/2017,Primaire/Secondaire,Canada,20 à 24 ans,,2
2016/2017,Collège,Canada,20 à 24 ans,,12
2016/2017,Université,Canada,20 à 24 ans,,27
2016/2017,Total taux de participation,Canada,25 à 29 ans,,13
2016/2017,Primaire/Secondaire,Canada,25 à 29 ans,,0
2016/2017,Collège,Canada,25 à 29 ans,,4
2016/2017,Université,Canada,25 à 29 ans,,8
2016/2017,Total taux de participation,Terre-Neuve-et-Labrador,15 à 19 ans,10,83
2016/2017,Primaire/Secondaire,Terre-Neuve-et-Labrador,15 à 19 ans,10,60
2016/2017,Collège,Terre-Neuve-et-Labrador,15 à 19 ans,10,7
2016/2017,Université,Terre-Neuve-et-Labrador,15 à 19 ans,10,15
2016/2017,Total taux de participation,Terre-Neuve-et-Labrador,20 à 24 ans,10,34
2016/2017,Collège,Terre-Neuve-et-Labrador,20 à 24 ans,10,11
2016/2017,Université,Terre-Neuve-et-Labrador,20 à 24 ans,10,23
2016/2017,Total taux de participation,Terre-Neuve-et-Labrador,25 à 29 ans,10,11
2016/2017,Collège,Terre-Neuve-et-Labrador,25 à 29 ans,10,5
2016/2017,Université,Terre-Neuve-et-Labrador,25 à 29 ans,10,7
2016/2017,Total taux de participation,Île-du-Prince-Édouard,15 à 19 ans,11,82
2016/2017,Primaire/Secondaire,Île-du-Prince-Édouard,15 à 19 ans,11,60
2016/2017,Collège,Île-du-Prince-Édouard,15 à 19 ans,11,7
2016/2017,Université,Île-du-Prince-Édouard,15 à 19 ans,11,15
2016/2017,Total taux de participation,Île-du-Prince-Édouard,20 à 24 ans,11,37
2016/2017,Collège,Île-du-Prince-Édouard,20 à 24 ans,11,9
2016/2017,Université,Île-du-Prince-Édouard,20 à 24 ans,11,27
2016/2017,Total taux de participation,Île-du-Prince-Édouard,25 à 29 ans,11,9
2016/2017,Collège,Île-du-Prince-Édouard,25 à 29 ans,11,4
2016/2017,Université,Île-du-Prince-Édouard,25 à 29 ans,11,6
2016/2017,Total taux de participation,Nouvelle-Écosse,15 à 19 ans,12,84
2016/2017,Primaire/Secondaire,Nouvelle-Écosse,15 à 19 ans,12,61
2016/2017,Collège,Nouvelle-Écosse,15 à 19 ans,12,6
2016/2017,Université,Nouvelle-Écosse,15 à 19 ans,12,17
2016/2017,Total taux de participation,Nouvelle-Écosse,20 à 24 ans,12,37
2016/2017,Primaire/Secondaire,Nouvelle-Écosse,20 à 24 ans,12,1
2016/2017,Collège,Nouvelle-Écosse,20 à 24 ans,12,8
2016/2017,Université,Nouvelle-Écosse,20 à 24 ans,12,29
2016/2017,Total taux de participation,Nouvelle-Écosse,25 à 29 ans,12,11
2016/2017,Collège,Nouvelle-Écosse,25 à 29 ans,12,3
2016/2017,Université,Nouvelle-Écosse,25 à 29 ans,12,8
2016/2017,Total taux de participation,Nouveau-Brunswick,15 à 19 ans,13,82
2016/2017,Primaire/Secondaire,Nouveau-Brunswick,15 à 19 ans,13,62
2016/2017,Collège,Nouveau-Brunswick,15 à 19 ans,13,7
2016/2017,Université,Nouveau-Brunswick,15 à 19 ans,13,13
2016/2017,Total taux de participation,Nouveau-Brunswick,20 à 24 ans,13,30
2016/2017,Collège,Nouveau-Brunswick,20 à 24 ans,13,8
2016/2017,Université,Nouveau-Brunswick,20 à 24 ans,13,22
2016/2017,Total taux de participation,Nouveau-Brunswick,25 à 29 ans,13,8
2016/2017,Collège,Nouveau-Brunswick,25 à 29 ans,13,3
2016/2017,Université,Nouveau-Brunswick,25 à 29 ans,13,5
2016/2017,Total taux de participation,Québec,15 à 19 ans,24,85
2016/2017,Primaire/Secondaire,Québec,15 à 19 ans,24,48
2016/2017,Collège,Québec,15 à 19 ans,24,32
2016/2017,Université,Québec,15 à 19 ans,24,4
2016/2017,Total taux de participation,Québec,20 à 24 ans,24,48
2016/2017,Primaire/Secondaire,Québec,20 à 24 ans,24,3
2016/2017,Collège,Québec,20 à 24 ans,24,14
2016/2017,Université,Québec,20 à 24 ans,24,31
2016/2017,Total taux de participation,Québec,25 à 29 ans,24,16
2016/2017,Primaire/Secondaire,Québec,25 à 29 ans,24,1
2016/2017,Collège,Québec,25 à 29 ans,24,3
2016/2017,Université,Québec,25 à 29 ans,24,11
2016/2017,Total taux de participation,Ontario,15 à 19 ans,35,87
2016/2017,Primaire/Secondaire,Ontario,15 à 19 ans,35,62
2016/2017,Collège,Ontario,15 à 19 ans,35,9
2016/2017,Université,Ontario,15 à 19 ans,35,17
2016/2017,Total taux de participation,Ontario,20 à 24 ans,35,43
2016/2017,Primaire/Secondaire,Ontario,20 à 24 ans,35,1
2016/2017,Collège,Ontario,20 à 24 ans,35,14
2016/2017,Université,Ontario,20 à 24 ans,35,28
2016/2017,Total taux de participation,Ontario,25 à 29 ans,35,12
2016/2017,Primaire/Secondaire,Ontario,25 à 29 ans,35,0
2016/2017,Collège,Ontario,25 à 29 ans,35,5
2016/2017,Université,Ontario,25 à 29 ans,35,8
2016/2017,Total taux de participation,Manitoba,15 à 19 ans,46,79
2016/2017,Primaire/Secondaire,Manitoba,15 à 19 ans,46,61
2016/2017,Collège,Manitoba,15 à 19 ans,46,4
2016/2017,Université,Manitoba,15 à 19 ans,46,14
2016/2017,Total taux de participation,Manitoba,20 à 24 ans,46,32
2016/2017,Primaire/Secondaire,Manitoba,20 à 24 ans,46,1
2016/2017,Collège,Manitoba,20 à 24 ans,46,5
2016/2017,Université,Manitoba,20 à 24 ans,46,26
2016/2017,Total taux de participation,Manitoba,25 à 29 ans,46,12
2016/2017,Collège,Manitoba,25 à 29 ans,46,4
2016/2017,Université,Manitoba,25 à 29 ans,46,9
2016/2017,Total taux de participation,Saskatchewan,15 à 19 ans,47,78
2016/2017,Primaire/Secondaire,Saskatchewan,15 à 19 ans,47,63
2016/2017,Collège,Saskatchewan,15 à 19 ans,47,4
2016/2017,Université,Saskatchewan,15 à 19 ans,47,11
2016/2017,Total taux de participation,Saskatchewan,20 à 24 ans,47,29
2016/2017,Primaire/Secondaire,Saskatchewan,20 à 24 ans,47,2
2016/2017,Collège,Saskatchewan,20 à 24 ans,47,6
2016/2017,Université,Saskatchewan,20 à 24 ans,47,22
2016/2017,Total taux de participation,Saskatchewan,25 à 29 ans,47,9
2016/2017,Collège,Saskatchewan,25 à 29 ans,47,3
2016/2017,Université,Saskatchewan,25 à 29 ans,47,6
2016/2017,Total taux de participation,Alberta,15 à 19 ans,48,80
2016/2017,Primaire/Secondaire,Alberta,15 à 19 ans,48,63
2016/2017,Collège,Alberta,15 à 19 ans,48,5
2016/2017,Université,Alberta,15 à 19 ans,48,13
2016/2017,Total taux de participation,Alberta,20 à 24 ans,48,30
2016/2017,Primaire/Secondaire,Alberta,20 à 24 ans,48,1
2016/2017,Collège,Alberta,20 à 24 ans,48,7
2016/2017,Université,Alberta,20 à 24 ans,48,22
2016/2017,Total taux de participation,Alberta,25 à 29 ans,48,12
2016/2017,Collège,Alberta,25 à 29 ans,48,4
2016/2017,Université,Alberta,25 à 29 ans,48,8
2016/2017,Total taux de participation,Colombie-Britannique,15 à 19 ans,59,81
2016/2017,Primaire/Secondaire,Colombie-Britannique,15 à 19 ans,59,59
2016/2017,Collège,Colombie-Britannique,15 à 19 ans,59,8
2016/2017,Université,Colombie-Britannique,15 à 19 ans,59,15
2016/2017,Total taux de participation,Colombie-Britannique,20 à 24 ans,59,39
2016/2017,Collège,Colombie-Britannique,20 à 24 ans,59,11
2016/2017,Université,Colombie-Britannique,20 à 24 ans,59,28
2016/2017,Total taux de participation,Colombie-Britannique,25 à 29 ans,59,12
2016/2017,Collège,Colombie-Britannique,25 à 29 ans,59,4
2016/2017,Université,Colombie-Britannique,25 à 29 ans,59,8
2016/2017,Total taux de participation,Yukon,15 à 19 ans,60,78
2016/2017,Primaire/Secondaire,Yukon,15 à 19 ans,60,54
2016/2017,Université,Yukon,15 à 19 ans,60,17
2016/2017,Total taux de participation,Yukon,20 à 24 ans,60,22
2016/2017,Université,Yukon,20 à 24 ans,60,13
2016/2017,Total taux de participation,Yukon,25 à 29 ans,60,9
2016/2017,Total taux de participation,Territoires du Nord-Ouest,15 à 19 ans,61,84
2016/2017,Primaire/Secondaire,Territoires du Nord-Ouest,15 à 19 ans,61,72
2016/2017,Total taux de participation,Territoires du Nord-Ouest,20 à 24 ans,61,26
2016/2017,Primaire/Secondaire,Territoires du Nord-Ouest,20 à 24 ans,61,7
2016/2017,Collège,Territoires du Nord-Ouest,20 à 24 ans,61,9
2016/2017,Université,Territoires du Nord-Ouest,20 à 24 ans,61,11
2016/2017,Total taux de participation,Territoires du Nord-Ouest,25 à 29 ans,61,10
2016/2017,Université,Territoires du Nord-Ouest,25 à 29 ans,61,6
2016/2017,Total taux de participation,Nunavut,15 à 19 ans,62,58
2016/2017,Primaire/Secondaire,Nunavut,15 à 19 ans,62,56
2016/2017,Total taux de participation,Nunavut,20 à 24 ans,62,8
2017/2018,Total taux de participation,Canada,15 à 19 ans,,83
2017/2018,Primaire/Secondaire,Canada,15 à 19 ans,,59
2017/2018,Collège,Canada,15 à 19 ans,,11
2017/2018,Université,Canada,15 à 19 ans,,13
2017/2018,Total taux de participation,Canada,20 à 24 ans,,41
2017/2018,Primaire/Secondaire,Canada,20 à 24 ans,,1
2017/2018,Collège,Canada,20 à 24 ans,,11
