Year,Series,Géographie,GeoCode,Value
2018,Proportion de travailleurs couverts en cas d'accident du travail,,,84.67
2018,Proportion de travailleurs couverts en cas d'accident du travail,Terre-Neuve-et-Labrador,10,97.44
2018,Proportion de travailleurs couverts en cas d'accident du travail,Île-du-Prince-Édouard,11,97.79
2018,Proportion de travailleurs couverts en cas d'accident du travail,Nouvelle-Écosse,12,74.14
2018,Proportion de travailleurs couverts en cas d'accident du travail,Nouveau-Brunswick,13,91.39
2018,Proportion de travailleurs couverts en cas d'accident du travail,Québec,24,92.6
2018,Proportion de travailleurs couverts en cas d'accident du travail,Ontario,35,77.21
2018,Proportion de travailleurs couverts en cas d'accident du travail,Manitoba,46,79.23
2018,Proportion de travailleurs couverts en cas d'accident du travail,Saskatchewan,47,73.72
2018,Proportion de travailleurs couverts en cas d'accident du travail,Alberta,48,82.01
2018,Proportion de travailleurs couverts en cas d'accident du travail,Colombie-Britannique,59,98.21
2018,Proportion de travailleurs couverts en cas d'accident du travail,Territoires du Nord-Ouest et Nunavut,,96.85
2018,Proportion de travailleurs couverts en cas d'accident du travail,Yukon,60,99.13
2019,Proportion de travailleurs couverts en cas d'accident du travail,,,84.52
2019,Proportion de travailleurs couverts en cas d'accident du travail,Terre-Neuve-et-Labrador,10,97.42
2019,Proportion de travailleurs couverts en cas d'accident du travail,Île-du-Prince-Édouard,11,97.61
2019,Proportion de travailleurs couverts en cas d'accident du travail,Nouvelle-Écosse,12,72.9
2019,Proportion de travailleurs couverts en cas d'accident du travail,Nouveau-Brunswick,13,91.45
2019,Proportion de travailleurs couverts en cas d'accident du travail,Québec,24,92.7
2019,Proportion de travailleurs couverts en cas d'accident du travail,Ontario,35,76.98
2019,Proportion de travailleurs couverts en cas d'accident du travail,Manitoba,46,78.19
2019,Proportion de travailleurs couverts en cas d'accident du travail,Saskatchewan,47,76.1
2019,Proportion de travailleurs couverts en cas d'accident du travail,Alberta,48,81.64
2019,Proportion de travailleurs couverts en cas d'accident du travail,Colombie-Britannique,59,98.02
2019,Proportion de travailleurs couverts en cas d'accident du travail,Territoires du Nord-Ouest et Nunavut,,96.86
2019,Proportion de travailleurs couverts en cas d'accident du travail,Yukon,60,99.84
2020,Proportion de travailleurs couverts en cas d'accident du travail,,,83.33
2020,Proportion de travailleurs couverts en cas d'accident du travail,Terre-Neuve-et-Labrador,10,97.41
2020,Proportion de travailleurs couverts en cas d'accident du travail,Île-du-Prince-Édouard,11,98.04
2020,Proportion de travailleurs couverts en cas d'accident du travail,Nouvelle-Écosse,12,74.03
2020,Proportion de travailleurs couverts en cas d'accident du travail,Nouveau-Brunswick,13,91.67
2020,Proportion de travailleurs couverts en cas d'accident du travail,Québec,24,92.8
2020,Proportion de travailleurs couverts en cas d'accident du travail,Ontario,35,75.32
2020,Proportion de travailleurs couverts en cas d'accident du travail,Manitoba,46,76.51
2020,Proportion de travailleurs couverts en cas d'accident du travail,Saskatchewan,47,74.93
2020,Proportion de travailleurs couverts en cas d'accident du travail,Alberta,48,81.71
2020,Proportion de travailleurs couverts en cas d'accident du travail,Colombie-Britannique,59,93.54
2020,Proportion de travailleurs couverts en cas d'accident du travail,Territoires du Nord-Ouest et Nunavut,,96.76
2020,Proportion de travailleurs couverts en cas d'accident du travail,Yukon,60,97.92
2021,Proportion de travailleurs couverts en cas d'accident du travail,,,83.62
2021,Proportion de travailleurs couverts en cas d'accident du travail,Terre-Neuve-et-Labrador,10,97.4
2021,Proportion de travailleurs couverts en cas d'accident du travail,Île-du-Prince-Édouard,11,97.79
2021,Proportion de travailleurs couverts en cas d'accident du travail,Nouvelle-Écosse,12,73.51
2021,Proportion de travailleurs couverts en cas d'accident du travail,Nouveau-Brunswick,13,91.59
2021,Proportion de travailleurs couverts en cas d'accident du travail,Québec,24,92.9
2021,Proportion de travailleurs couverts en cas d'accident du travail,Ontario,35,75.89
2021,Proportion de travailleurs couverts en cas d'accident du travail,Manitoba,46,76.57
2021,Proportion de travailleurs couverts en cas d'accident du travail,Saskatchewan,47,76.96
2021,Proportion de travailleurs couverts en cas d'accident du travail,Alberta,48,81.76
2021,Proportion de travailleurs couverts en cas d'accident du travail,Colombie-Britannique,59,93.6
2021,Proportion de travailleurs couverts en cas d'accident du travail,Territoires du Nord-Ouest et Nunavut,,96.98
2021,Proportion de travailleurs couverts en cas d'accident du travail,Yukon,60,94.54
2022,Proportion de travailleurs couverts en cas d'accident du travail,,,83.42
2022,Proportion de travailleurs couverts en cas d'accident du travail,Terre-Neuve-et-Labrador,10,96.08
2022,Proportion de travailleurs couverts en cas d'accident du travail,Île-du-Prince-Édouard,11,98.48
2022,Proportion de travailleurs couverts en cas d'accident du travail,Nouvelle-Écosse,12,72.8
2022,Proportion de travailleurs couverts en cas d'accident du travail,Nouveau-Brunswick,13,91.64
2022,Proportion de travailleurs couverts en cas d'accident du travail,Québec,24,93.1
2022,Proportion de travailleurs couverts en cas d'accident du travail,Ontario,35,75.17
2022,Proportion de travailleurs couverts en cas d'accident du travail,Manitoba,46,77.74
2022,Proportion de travailleurs couverts en cas d'accident du travail,Saskatchewan,47,74.53
2022,Proportion de travailleurs couverts en cas d'accident du travail,Alberta,48,81.4
2022,Proportion de travailleurs couverts en cas d'accident du travail,Colombie-Britannique,59,95.0
2022,Proportion de travailleurs couverts en cas d'accident du travail,Territoires du Nord-Ouest et Nunavut,,97.12
2022,Proportion de travailleurs couverts en cas d'accident du travail,Yukon,60,96.15
2017,"Proportion de personnes plus âgées recevant une pension
",,,93.4
2018,"Proportion de personnes plus âgées recevant une pension
",,,93.0
2021,"Proportion de personnes plus âgées recevant une pension
",,,92.7
2021,Proportion de personnes vulnérables recevant des allocations,,,52.1
2021,Proportion de la population pauvre recevant une prestation de l'aide sociale en espèces,,,19.4
