Year,Type of electricity generation,Geography,GeoCode,Value
2015,Total renewable and non-greenhouse gas emitting sources,Yukon,60,
2015,Wind power turbine,Yukon,60,
2016,Hydraulic turbine,Alberta,48,2.49233333333333
2016,Solar,Alberta,48,0.0023333333333333
2016,Total renewable and non-greenhouse gas emitting sources,Alberta,48,8.28666666666667
2016,Wind power turbine,Alberta,48,5.79183333333333
2016,Hydraulic turbine,British Columbia,59,88.5699166666667
2016,Solar,British Columbia,59,0.0
2016,Tidal power turbine,British Columbia,59,0.0
2016,Total renewable and non-greenhouse gas emitting sources,British Columbia,59,90.3863333333333
2016,Wind power turbine,British Columbia,59,1.81625
2016,Hydraulic turbine,Canada,,58.9220833333333
2016,Nuclear steam turbine,Canada,,14.86625
2016,Solar,Canada,,0.2895
2016,Tidal power turbine,Canada,,0.0029166666666666
2016,Wind power turbine,Canada,,4.68483333333333
2016,Hydraulic turbine,Manitoba,46,97.0074166666667
2016,Solar,Manitoba,46,0.0
2016,Total renewable and non-greenhouse gas emitting sources,Manitoba,46,99.5995
2016,Wind power turbine,Manitoba,46,2.59191666666667
2016,Hydraulic turbine,New Brunswick,13,21.95675
2016,Nuclear steam turbine,New Brunswick,13,29.3716666666667
2016,Solar,New Brunswick,13,0.0
2016,Tidal power turbine,New Brunswick,13,0.0
2016,Total renewable and non-greenhouse gas emitting sources,New Brunswick,13,56.4218333333333
2016,Wind power turbine,New Brunswick,13,5.09358333333333
2016,Hydraulic turbine,Newfoundland and Labrador,10,94.4795833333333
2016,Solar,Newfoundland and Labrador,10,0.0
2016,Tidal power turbine,Newfoundland and Labrador,10,0.0
2016,Total renewable and non-greenhouse gas emitting sources,Newfoundland and Labrador,10,94.95125
2016,Wind power turbine,Newfoundland and Labrador,10,0.471833333333333
2016,Hydraulic turbine,Northwest Territories,61,30.0719166666667
2016,Solar,Northwest Territories,61,0.0335833333333333
2016,Total renewable and non-greenhouse gas emitting sources,Northwest Territories,61,31.95225
2016,Wind power turbine,Northwest Territories,61,1.84666666666667
2016,Hydraulic turbine,Nova Scotia,12,8.00425
2016,Solar,Nova Scotia,12,0.0
2016,Tidal power turbine,Nova Scotia,12,0.192
2016,Total renewable and non-greenhouse gas emitting sources,Nova Scotia,12,18.3453333333333
2016,Wind power turbine,Nova Scotia,12,10.14925
2016,Hydraulic turbine,Nunavut,62,0.0
2016,Solar,Nunavut,62,0.0
2016,Total renewable and non-greenhouse gas emitting sources,Nunavut,62,0.0
2016,Wind power turbine,Nunavut,62,0.0
2016,Hydraulic turbine,Ontario,35,23.4065
2016,Nuclear steam turbine,Ontario,35,57.9466666666667
2016,Solar,Ontario,35,1.15266666666667
2016,Total renewable and non-greenhouse gas emitting sources,Ontario,35,89.2259166666667
2016,Wind power turbine,Ontario,35,6.72008333333333
2016,Hydraulic turbine,Prince Edward Island,11,0.0
2016,Solar,Prince Edward Island,11,0.0
2016,Tidal power turbine,Prince Edward Island,11,0.0
2016,Total renewable and non-greenhouse gas emitting sources,Prince Edward Island,11,98.4853333333333
2016,Wind power turbine,Prince Edward Island,11,98.4853333333333
2016,Hydraulic turbine,Quebec,24,94.2465
2016,Nuclear steam turbine,Quebec,24,
2016,Solar,Quebec,24,0.0006666666666666
2016,Total renewable and non-greenhouse gas emitting sources,Quebec,24,
2016,Wind power turbine,Quebec,24,4.65116666666667
2016,Hydraulic turbine,Saskatchewan,47,13.358
2016,Solar,Saskatchewan,47,0.0
2016,Total renewable and non-greenhouse gas emitting sources,Saskatchewan,47,16.34675
2016,Wind power turbine,Saskatchewan,47,2.98858333333333
2016,Hydraulic turbine,Yukon,60,93.87675
2016,Solar,Yukon,60,0.0
2016,Total renewable and non-greenhouse gas emitting sources,Yukon,60,94.0088333333333
2016,Wind power turbine,Yukon,60,0.132083333333333
2017,Hydraulic turbine,Alberta,48,2.58133333333333
2017,Solar,Alberta,48,0.00225
2017,Total renewable and non-greenhouse gas emitting sources,Alberta,48,8.1665
2017,Wind power turbine,Alberta,48,5.58283333333333
2017,Hydraulic turbine,British Columbia,59,89.2139166666667
2017,Solar,British Columbia,59,0.0
2017,Tidal power turbine,British Columbia,59,0.0
2017,Total renewable and non-greenhouse gas emitting sources,British Columbia,59,91.3654166666667
2017,Wind power turbine,British Columbia,59,2.15141666666667
2017,Hydraulic turbine,Canada,,60.03475
2017,Nuclear steam turbine,Canada,,14.85775
2017,Solar,Canada,,0.329916666666667
2017,Tidal power turbine,Canada,,0.001
2017,Wind power turbine,Canada,,4.75208333333333
2017,Hydraulic turbine,Manitoba,46,97.0401666666667
2017,Solar,Manitoba,46,0.0
2017,Total renewable and non-greenhouse gas emitting sources,Manitoba,46,99.5669166666667
2017,Wind power turbine,Manitoba,46,2.527
2017,Hydraulic turbine,New Brunswick,13,19.3854166666667
2017,Nuclear steam turbine,New Brunswick,13,39.0595833333333
2017,Solar,New Brunswick,13,0.0
2017,Tidal power turbine,New Brunswick,13,0.0
2017,Total renewable and non-greenhouse gas emitting sources,New Brunswick,13,64.5709166666667
2017,Wind power turbine,New Brunswick,13,6.12575
2017,Hydraulic turbine,Newfoundland and Labrador,10,94.0179166666667
2017,Solar,Newfoundland and Labrador,10,0.0
2017,Tidal power turbine,Newfoundland and Labrador,10,0.0
2017,Total renewable and non-greenhouse gas emitting sources,Newfoundland and Labrador,10,94.52425
2017,Wind power turbine,Newfoundland and Labrador,10,0.506416666666667
2017,Hydraulic turbine,Northwest Territories,61,33.0955833333333
2017,Solar,Northwest Territories,61,0.04175
2017,Total renewable and non-greenhouse gas emitting sources,Northwest Territories,61,35.4229166666667
2017,Wind power turbine,Northwest Territories,61,2.28558333333333
2017,Hydraulic turbine,Nova Scotia,12,8.33058333333333
2017,Solar,Nova Scotia,12,0.0
2017,Tidal power turbine,Nova Scotia,12,0.0564166666666667
2017,Total renewable and non-greenhouse gas emitting sources,Nova Scotia,12,21.6275833333333
2017,Wind power turbine,Nova Scotia,12,13.2405
2017,Hydraulic turbine,Nunavut,62,0.0
2017,Solar,Nunavut,62,0.0
2017,Total renewable and non-greenhouse gas emitting sources,Nunavut,62,0.0
2017,Wind power turbine,Nunavut,62,0.0
2017,Hydraulic turbine,Ontario,35,25.8678333333333
2017,Nuclear steam turbine,Ontario,35,59.3138333333333
2017,Solar,Ontario,35,1.35533333333333
2017,Total renewable and non-greenhouse gas emitting sources,Ontario,35,93.2818333333333
2017,Wind power turbine,Ontario,35,6.74475
2017,Hydraulic turbine,Prince Edward Island,11,0.0
2017,Solar,Prince Edward Island,11,0.0
2017,Tidal power turbine,Prince Edward Island,11,0.0
2017,Total renewable and non-greenhouse gas emitting sources,Prince Edward Island,11,98.3309166666667
2017,Wind power turbine,Prince Edward Island,11,98.3309166666667
2017,Hydraulic turbine,Quebec,24,94.1486666666667
2017,Nuclear steam turbine,Quebec,24,
2017,Solar,Quebec,24,0.0006666666666666
2017,Total renewable and non-greenhouse gas emitting sources,Quebec,24,
2017,Wind power turbine,Quebec,24,4.66591666666667
2017,Hydraulic turbine,Saskatchewan,47,15.8660833333333
2017,Solar,Saskatchewan,47,0.0
2017,Total renewable and non-greenhouse gas emitting sources,Saskatchewan,47,18.86225
2017,Wind power turbine,Saskatchewan,47,2.99608333333333
2017,Hydraulic turbine,Yukon,60,92.8296666666667
2017,Solar,Yukon,60,0.0
2017,Total renewable and non-greenhouse gas emitting sources,Yukon,60,92.8371666666667
2017,Wind power turbine,Yukon,60,0.0075
2018,Hydraulic turbine,Alberta,48,2.55725
2018,Solar,Alberta,48,0.0334166666666667
2018,Total renewable and non-greenhouse gas emitting sources,Alberta,48,7.77291666666667
2018,Wind power turbine,Alberta,48,5.18241666666667
2018,Hydraulic turbine,British Columbia,59,89.5359166666667
2018,Solar,British Columbia,59,0.0024166666666666
2018,Tidal power turbine,British Columbia,59,0.0
2018,Total renewable and non-greenhouse gas emitting sources,British Columbia,59,91.66575
2018,Wind power turbine,British Columbia,59,2.1275
2018,Hydraulic turbine,Canada,,59.3869166666667
2018,Nuclear steam turbine,Canada,,14.9130833333333
2018,Solar,Canada,,0.35925
2018,Tidal power turbine,Canada,,0.0030833333333333
2018,Wind power turbine,Canada,,4.9345
2018,Hydraulic turbine,Manitoba,46,97.0689166666667
2018,Solar,Manitoba,46,0.0
2018,Total renewable and non-greenhouse gas emitting sources,Manitoba,46,99.7161666666667
2018,Wind power turbine,Manitoba,46,2.647
2018,Hydraulic turbine,New Brunswick,13,19.2150833333333
2018,Nuclear steam turbine,New Brunswick,13,35.5803333333333
2018,Solar,New Brunswick,13,0.0
2018,Tidal power turbine,New Brunswick,13,0.0
2018,Total renewable and non-greenhouse gas emitting sources,New Brunswick,13,60.9021666666667
2018,Wind power turbine,New Brunswick,13,6.10675
2018,Hydraulic turbine,Newfoundland and Labrador,10,95.6725
2018,Solar,Newfoundland and Labrador,10,0.0
2018,Tidal power turbine,Newfoundland and Labrador,10,0.0
2018,Total renewable and non-greenhouse gas emitting sources,Newfoundland and Labrador,10,96.1585
2018,Wind power turbine,Newfoundland and Labrador,10,0.48625
2018,Hydraulic turbine,Northwest Territories,61,33.6513333333333
2018,Solar,Northwest Territories,61,0.04475
2018,Total renewable and non-greenhouse gas emitting sources,Northwest Territories,61,36.1483333333333
2018,Wind power turbine,Northwest Territories,61,2.45216666666667
2018,Hydraulic turbine,Nova Scotia,12,8.78566666666667
2018,Solar,Nova Scotia,12,0.0
2018,Tidal power turbine,Nova Scotia,12,0.19975
2018,Total renewable and non-greenhouse gas emitting sources,Nova Scotia,12,20.6898333333333
2018,Wind power turbine,Nova Scotia,12,11.7044166666667
2018,Hydraulic turbine,Nunavut,62,0.0
2018,Solar,Nunavut,62,0.0
2018,Total renewable and non-greenhouse gas emitting sources,Nunavut,62,0.0
2018,Wind power turbine,Nunavut,62,0.0
2018,Hydraulic turbine,Ontario,35,24.428
2018,Nuclear steam turbine,Ontario,35,58.3465
2018,Solar,Ontario,35,1.42175
2018,Total renewable and non-greenhouse gas emitting sources,Ontario,35,91.4605833333333
2018,Wind power turbine,Ontario,35,7.26433333333333
2018,Hydraulic turbine,Prince Edward Island,11,0.0
2018,Solar,Prince Edward Island,11,0.0500833333333333
2018,Tidal power turbine,Prince Edward Island,11,0.0
2018,Total renewable and non-greenhouse gas emitting sources,Prince Edward Island,11,96.79925
2018,Wind power turbine,Prince Edward Island,11,96.7493333333333
2018,Hydraulic turbine,Quebec,24,93.95575
2018,Nuclear steam turbine,Quebec,24,
2018,Solar,Quebec,24,0.0006666666666666
2018,Total renewable and non-greenhouse gas emitting sources,Quebec,24,
2018,Wind power turbine,Quebec,24,5.00558333333333
2018,Hydraulic turbine,Saskatchewan,47,14.5316666666667
2018,Solar,Saskatchewan,47,0.0
2018,Total renewable and non-greenhouse gas emitting sources,Saskatchewan,47,17.304
2018,Wind power turbine,Saskatchewan,47,2.77233333333333
2018,Hydraulic turbine,Yukon,60,88.3024166666667
2018,Solar,Yukon,60,0.0
2018,Total renewable and non-greenhouse gas emitting sources,Yukon,60,88.3024166666667
2018,Wind power turbine,Yukon,60,0.0
2019,Hydraulic turbine,Alberta,48,3.18133333333333
2019,Solar,Alberta,48,0.0293333333333333
2019,Total renewable and non-greenhouse gas emitting sources,Alberta,48,8.13483333333333
2019,Wind power turbine,Alberta,48,4.92391666666667
2019,Hydraulic turbine,British Columbia,59,87.0198333333333
2019,Solar,British Columbia,59,0.0025
2019,Tidal power turbine,British Columbia,59,0.0
2019,Total renewable and non-greenhouse gas emitting sources,British Columbia,59,89.415
2019,Wind power turbine,British Columbia,59,2.39283333333333
2019,Hydraulic turbine,Canada,,58.7754166666667
2019,Nuclear steam turbine,Canada,,15.1144166666667
2019,Solar,Canada,,0.402583333333333
2019,Tidal power turbine,Canada,,8.33333333333e-05
2019,Wind power turbine,Canada,,5.0675
2019,Hydraulic turbine,Manitoba,46,97.0645833333333
2019,Solar,Manitoba,46,0.0
2019,Total renewable and non-greenhouse gas emitting sources,Manitoba,46,99.6865
2019,Wind power turbine,Manitoba,46,2.62208333333333
2019,Hydraulic turbine,New Brunswick,13,22.635
2019,Nuclear steam turbine,New Brunswick,13,37.2910833333333
2019,Solar,New Brunswick,13,0.0
2019,Tidal power turbine,New Brunswick,13,0.0
2019,Total renewable and non-greenhouse gas emitting sources,New Brunswick,13,66.3528333333333
2019,Wind power turbine,New Brunswick,13,6.42691666666667
2019,Hydraulic turbine,Newfoundland and Labrador,10,95.7478333333333
2019,Solar,Newfoundland and Labrador,10,0.0
2019,Tidal power turbine,Newfoundland and Labrador,10,0.0
2019,Total renewable and non-greenhouse gas emitting sources,Newfoundland and Labrador,10,96.1803333333333
2019,Wind power turbine,Newfoundland and Labrador,10,0.43275
2019,Hydraulic turbine,Northwest Territories,61,32.8993333333333
2019,Solar,Northwest Territories,61,0.03825
2019,Total renewable and non-greenhouse gas emitting sources,Northwest Territories,61,35.24975
2019,Wind power turbine,Northwest Territories,61,2.31225
2019,Hydraulic turbine,Nova Scotia,12,10.6388333333333
2019,Solar,Nova Scotia,12,0.0
2019,Tidal power turbine,Nova Scotia,12,0.007
2019,Total renewable and non-greenhouse gas emitting sources,Nova Scotia,12,21.949
2019,Wind power turbine,Nova Scotia,12,11.3035833333333
2019,Hydraulic turbine,Nunavut,62,0.0
2019,Solar,Nunavut,62,0.0
2019,Total renewable and non-greenhouse gas emitting sources,Nunavut,62,0.0
2019,Wind power turbine,Nunavut,62,0.0
2019,Hydraulic turbine,Ontario,35,24.5893333333333
2019,Nuclear steam turbine,Ontario,35,57.9318333333333
2019,Solar,Ontario,35,1.56141666666667
2019,Total renewable and non-greenhouse gas emitting sources,Ontario,35,91.42275
2019,Wind power turbine,Ontario,35,7.34
2019,Hydraulic turbine,Prince Edward Island,11,0.0
2019,Solar,Prince Edward Island,11,0.10825
2019,Tidal power turbine,Prince Edward Island,11,0.0
2019,Total renewable and non-greenhouse gas emitting sources,Prince Edward Island,11,99.0403333333333
2019,Wind power turbine,Prince Edward Island,11,98.9320833333333
2019,Hydraulic turbine,Quebec,24,93.73075
2019,Nuclear steam turbine,Quebec,24,
2019,Solar,Quebec,24,0.0006666666666666
2019,Total renewable and non-greenhouse gas emitting sources,Quebec,24,
2019,Wind power turbine,Quebec,24,5.31458333333333
2019,Hydraulic turbine,Saskatchewan,47,14.9886666666667
2019,Solar,Saskatchewan,47,0.0
2019,Total renewable and non-greenhouse gas emitting sources,Saskatchewan,47,18.1233333333333
2019,Wind power turbine,Saskatchewan,47,3.13441666666667
2019,Hydraulic turbine,Yukon,60,81.2930833333333
2019,Solar,Yukon,60,0.0
2019,Total renewable and non-greenhouse gas emitting sources,Yukon,60,81.2930833333333
2019,Wind power turbine,Yukon,60,0.0
2020,Hydraulic turbine,Alberta,48,3.34025
2020,Solar,Alberta,48,0.03625
2020,Total electricity production from biomass,Alberta,48,2.21766666666667
2020,Total renewable and non-greenhouse gas emitting sources,Alberta,48,12.5108333333333
2020,Wind power turbine,Alberta,48,6.9165
2020,Hydraulic turbine,British Columbia,59,87.8710833333333
2020,Solar,British Columbia,59,0.0025833333333333
2020,Tidal power turbine,British Columbia,59,0.0
2020,Total electricity production from biomass,British Columbia,59,5.75325
2020,Total renewable and non-greenhouse gas emitting sources,British Columbia,59,97.771
2020,Wind power turbine,British Columbia,59,4.14416666666667
2020,Hydraulic turbine,Canada,,60.0711666666667
2020,Nuclear steam turbine,Canada,,14.6818333333333
2020,Solar,Canada,,0.422416666666667
2020,Tidal power turbine,Canada,,0.0
2020,Total electricity production from biomass,Canada,,1.44966666666667
2020,Wind power turbine,Canada,,5.71066666666667
2020,Hydraulic turbine,Manitoba,46,97.1031666666667
2020,Solar,Manitoba,46,0.0011666666666666
2020,Total electricity production from biomass,Manitoba,46,0.225833333333333
2020,Total renewable and non-greenhouse gas emitting sources,Manitoba,46,99.9325833333333
2020,Wind power turbine,Manitoba,46,2.60266666666667
2020,Hydraulic turbine,New Brunswick,13,21.1395833333333
2020,Nuclear steam turbine,New Brunswick,13,38.63425
2020,Solar,New Brunswick,13,0.0
2020,Tidal power turbine,New Brunswick,13,0.0
2020,Total electricity production from biomass,New Brunswick,13,4.88666666666667
2020,Total renewable and non-greenhouse gas emitting sources,New Brunswick,13,72.3045
2020,Wind power turbine,New Brunswick,13,7.64375
2020,Hydraulic turbine,Newfoundland and Labrador,10,96.0599166666667
2020,Solar,Newfoundland and Labrador,10,0.0
2020,Tidal power turbine,Newfoundland and Labrador,10,0.0
2020,Total electricity production from biomass,Newfoundland and Labrador,10,0.0944166666666667
2020,Total renewable and non-greenhouse gas emitting sources,Newfoundland and Labrador,10,96.6253333333333
2020,Wind power turbine,Newfoundland and Labrador,10,0.470916666666667
2020,Hydraulic turbine,Northwest Territories,61,36.9848333333333
2020,Solar,Northwest Territories,61,0.15125
2020,Total electricity production from biomass,Northwest Territories,61,0.0
2020,Total renewable and non-greenhouse gas emitting sources,Northwest Territories,61,40.0358333333333
2020,Wind power turbine,Northwest Territories,61,2.9
2020,Hydraulic turbine,Nova Scotia,12,8.1535
2020,Solar,Nova Scotia,12,0.0
2020,Tidal power turbine,Nova Scotia,12,0.0
2020,Total electricity production from biomass,Nova Scotia,12,2.90691666666667
2020,Total renewable and non-greenhouse gas emitting sources,Nova Scotia,12,21.3064166666667
2020,Wind power turbine,Nova Scotia,12,10.24575
2020,Hydraulic turbine,Nunavut,62,0.0
2020,Solar,Nunavut,62,0.0
2020,Total electricity production from biomass,Nunavut,62,0.0
2020,Total renewable and non-greenhouse gas emitting sources,Nunavut,62,0.0
2020,Wind power turbine,Nunavut,62,0.0
2020,Hydraulic turbine,Ontario,35,25.1896666666667
2020,Nuclear steam turbine,Ontario,35,56.5970833333333
2020,Solar,Ontario,35,1.64491666666667
2020,Total electricity production from biomass,Ontario,35,0.786416666666667
2020,Total renewable and non-greenhouse gas emitting sources,Ontario,35,92.4654166666667
2020,Wind power turbine,Ontario,35,8.24708333333333
2020,Hydraulic turbine,Prince Edward Island,11,0.0
2020,Solar,Prince Edward Island,11,0.10425
2020,Tidal power turbine,Prince Edward Island,11,0.0
2020,Total electricity production from biomass,Prince Edward Island,11,0.6735
2020,Total renewable and non-greenhouse gas emitting sources,Prince Edward Island,11,99.79675
2020,Wind power turbine,Prince Edward Island,11,99.0188333333333
2020,Hydraulic turbine,Quebec,24,93.6759166666667
2020,Nuclear steam turbine,Quebec,24,
2020,Solar,Quebec,24,0.0006666666666666
2020,Total electricity production from biomass,Quebec,24,0.58025
2020,Total renewable and non-greenhouse gas emitting sources,Quebec,24,
2020,Wind power turbine,Quebec,24,5.33108333333333
2020,Hydraulic turbine,Saskatchewan,47,18.2745
2020,Solar,Saskatchewan,47,0.0
2020,Total electricity production from biomass,Saskatchewan,47,0.0505
2020,Total renewable and non-greenhouse gas emitting sources,Saskatchewan,47,21.6505833333333
2020,Wind power turbine,Saskatchewan,47,3.32566666666667
2020,Hydraulic turbine,Yukon,60,84.0875833333333
2020,Solar,Yukon,60,0.0
2020,Total electricity production from biomass,Yukon,60,0.0
2020,Total renewable and non-greenhouse gas emitting sources,Yukon,60,84.0875833333333
2020,Wind power turbine,Yukon,60,0.0
2021,Hydraulic turbine,Alberta,48,2.87383333333333
2021,Solar,Alberta,48,0.342583333333333
2021,Total electricity production from biomass,Alberta,48,2.51841666666667
2021,Total renewable and non-greenhouse gas emitting sources,Alberta,48,14.7560833333333
2021,Wind power turbine,Alberta,48,9.021
2021,Hydraulic turbine,British Columbia,59,88.48775
2021,Solar,British Columbia,59,0.00625
2021,Tidal power turbine,British Columbia,59,0.0
2021,Total electricity production from biomass,British Columbia,59,5.7465
2021,Total renewable and non-greenhouse gas emitting sources,British Columbia,59,96.98025
2021,Wind power turbine,British Columbia,59,2.7395
2021,Hydraulic turbine,Canada,,59.8419166666667
2021,Nuclear steam turbine,Canada,,14.0814166666667
2021,Solar,Canada,,0.45275
2021,Tidal power turbine,Canada,,0.0
2021,Total electricity production from biomass,Canada,,1.51925
2021,Wind power turbine,Canada,,5.75383333333333
2021,Hydraulic turbine,Manitoba,46,96.1283333333333
2021,Solar,Manitoba,46,0.0071666666666666
2021,Total electricity production from biomass,Manitoba,46,0.283166666666667
2021,Total renewable and non-greenhouse gas emitting sources,Manitoba,46,99.90375
2021,Wind power turbine,Manitoba,46,3.48541666666667
2021,Hydraulic turbine,New Brunswick,13,20.872
2021,Nuclear steam turbine,New Brunswick,13,36.25525
2021,Solar,New Brunswick,13,0.0
2021,Tidal power turbine,New Brunswick,13,0.0
2021,Total electricity production from biomass,New Brunswick,13,4.88066666666667
2021,Total renewable and non-greenhouse gas emitting sources,New Brunswick,13,67.7191666666667
2021,Wind power turbine,New Brunswick,13,5.71125
2021,Hydraulic turbine,Newfoundland and Labrador,10,96.5419166666667
2021,Solar,Newfoundland and Labrador,10,0.0
2021,Tidal power turbine,Newfoundland and Labrador,10,0.0
2021,Total electricity production from biomass,Newfoundland and Labrador,10,0.0839166666666667
2021,Total renewable and non-greenhouse gas emitting sources,Newfoundland and Labrador,10,97.0115833333333
2021,Wind power turbine,Newfoundland and Labrador,10,0.385583333333333
2021,Hydraulic turbine,Northwest Territories,61,37.9534166666667
2021,Solar,Northwest Territories,61,0.0325833333333333
2021,Total electricity production from biomass,Northwest Territories,61,0.0
2021,Total renewable and non-greenhouse gas emitting sources,Northwest Territories,61,40.5001666666667
2021,Wind power turbine,Northwest Territories,61,2.51408333333333
2021,Hydraulic turbine,Nova Scotia,12,8.5075
2021,Solar,Nova Scotia,12,0.0
2021,Tidal power turbine,Nova Scotia,12,0.0
2021,Total electricity production from biomass,Nova Scotia,12,3.788
2021,Total renewable and non-greenhouse gas emitting sources,Nova Scotia,12,24.6906666666667
2021,Wind power turbine,Nova Scotia,12,12.3955
2021,Hydraulic turbine,Nunavut,62,0.0
2021,Solar,Nunavut,62,0.0
2021,Total electricity production from biomass,Nunavut,62,0.0
2021,Total renewable and non-greenhouse gas emitting sources,Nunavut,62,0.0
2021,Wind power turbine,Nunavut,62,0.0
2021,Hydraulic turbine,Ontario,35,23.8316666666667
2021,Nuclear steam turbine,Ontario,35,55.68375
2021,Solar,Ontario,35,1.67733333333333
2021,Total electricity production from biomass,Ontario,35,0.848833333333333
2021,Total renewable and non-greenhouse gas emitting sources,Ontario,35,90.5604166666667
2021,Wind power turbine,Ontario,35,8.5185
2021,Hydraulic turbine,Prince Edward Island,11,0.0
2021,Solar,Prince Edward Island,11,0.105666666666667
2021,Tidal power turbine,Prince Edward Island,11,0.0
2021,Total electricity production from biomass,Prince Edward Island,11,0.616
2021,Total renewable and non-greenhouse gas emitting sources,Prince Edward Island,11,99.5296666666667
2021,Wind power turbine,Prince Edward Island,11,98.8080833333333
2021,Hydraulic turbine,Quebec,24,94.10125
2021,Nuclear steam turbine,Quebec,24,
2021,Solar,Quebec,24,0.002
2021,Total electricity production from biomass,Quebec,24,0.570333333333333
2021,Total renewable and non-greenhouse gas emitting sources,Quebec,24,
2021,Wind power turbine,Quebec,24,4.91008333333333
2021,Hydraulic turbine,Saskatchewan,47,11.9995833333333
2021,Solar,Saskatchewan,47,0.01725
2021,Total electricity production from biomass,Saskatchewan,47,0.0470833333333333
2021,Total renewable and non-greenhouse gas emitting sources,Saskatchewan,47,15.5405
2021,Wind power turbine,Saskatchewan,47,3.47633333333333
2021,Hydraulic turbine,Yukon,60,89.8835833333333
2021,Solar,Yukon,60,0.0203333333333333
2021,Total electricity production from biomass,Yukon,60,0.0
2021,Total renewable and non-greenhouse gas emitting sources,Yukon,60,89.9039166666667
2021,Wind power turbine,Yukon,60,0.0
2022,Hydraulic turbine,Alberta,48,3.03841666666667
2022,Solar,Alberta,48,1.12641666666667
2022,Total electricity production from biomass,Alberta,48,2.43725
2022,Total renewable and non-greenhouse gas emitting sources,Alberta,48,16.261
2022,Wind power turbine,Alberta,48,9.65875
2022,Hydraulic turbine,British Columbia,59,90.8576666666667
2022,Solar,British Columbia,59,0.0079166666666666
2022,Tidal power turbine,British Columbia,59,0.0
2022,Total electricity production from biomass,British Columbia,59,4.61908333333333
2022,Total renewable and non-greenhouse gas emitting sources,British Columbia,59,97.5804166666667
2022,Wind power turbine,British Columbia,59,2.09541666666667
2022,Hydraulic turbine,Canada,,61.23825
2022,Nuclear steam turbine,Canada,,12.921
2022,Solar,Canada,,0.518583333333333
2022,Tidal power turbine,Canada,,0.0
2022,Total electricity production from biomass,Canada,,1.28075
2022,Wind power turbine,Canada,,6.09633333333333
2022,Hydraulic turbine,Manitoba,46,96.9493333333333
2022,Solar,Manitoba,46,0.0005
2022,Total electricity production from biomass,Manitoba,46,0.230416666666667
2022,Total renewable and non-greenhouse gas emitting sources,Manitoba,46,99.9196666666667
2022,Wind power turbine,Manitoba,46,2.7395
2022,Hydraulic turbine,New Brunswick,13,30.5780833333333
