Year,Geography,Progress,GeoCode,Value
2022,Newfoundland and Labrador,61153.08,10,-1.84
2023,Newfoundland and Labrador,58486.72,10,-4.36
2024,Newfoundland and Labrador,59154.93,10,1.14
2015,Northwest Territories,102583.23,61,0.03
2016,Northwest Territories,100282.36,61,-2.24
2017,Northwest Territories,103636.69,61,3.34
2018,Northwest Territories,105173.34,61,1.48
2019,Northwest Territories,101300.57,61,-3.68
2020,Northwest Territories,92059.14,61,-9.12
2021,Northwest Territories,95067.18,61,3.27
2022,Northwest Territories,94485.9,61,-0.61
2023,Northwest Territories,94992.6,61,0.54
2024,Northwest Territories,92913.8,61,-2.19
2015,Nova Scotia,44663.06,12,0.71
2016,Nova Scotia,45102.57,12,0.98
2017,Nova Scotia,45490.3,12,0.86
2018,Nova Scotia,45814.66,12,0.71
2019,Nova Scotia,46716.59,12,1.97
2020,Nova Scotia,43989.49,12,-5.84
2021,Nova Scotia,46294.26,12,5.24
2022,Nova Scotia,47520.88,12,2.65
2023,Nova Scotia,47311.27,12,-0.44
2024,Nova Scotia,47450.56,12,0.29
2015,Nunavut,69854.75,62,-1.74
2016,Nunavut,72446.52,62,3.71
2017,Nunavut,80518.38,62,11.14
2018,Nunavut,82720.11,62,2.73
2019,Nunavut,87952.83,62,6.33
2020,Nunavut,88477.42,62,0.6
2021,Nunavut,92900.26,62,5.0
2022,Nunavut,94303.38,62,1.51
2023,Nunavut,96954.74,62,2.81
2024,Nunavut,102414.88,62,5.63
2015,Ontario,57323.6,35,1.77
2016,Ontario,57821.86,35,0.87
2017,Ontario,58598.51,35,1.34
2018,Ontario,59471.22,35,1.49
2019,Ontario,59682.86,35,0.36
2020,Ontario,56244.12,35,-5.76
2021,Ontario,59333.18,35,5.49
2022,Ontario,60666.27,35,2.25
2023,Ontario,60230.17,35,-0.72
2024,Ontario,59275.69,35,-1.58
2015,Prince Edward Island,43910.23,11,1.03
2016,Prince Edward Island,44162.0,11,0.57
2017,Prince Edward Island,45351.94,11,2.69
2018,Prince Edward Island,45356.92,11,0.01
2019,Prince Edward Island,46356.68,11,2.2
2020,Prince Edward Island,43990.63,11,-5.1
2021,Prince Edward Island,46579.04,11,5.88
2022,Prince Edward Island,47488.04,11,1.95
2023,Prince Edward Island,47048.94,11,-0.92
2024,Prince Edward Island,47198.53,11,0.32
2015,Quebec,48999.95,24,0.54
2016,Quebec,49487.44,24,0.99
2017,Quebec,50486.37,24,2.02
2018,Quebec,51299.21,24,1.61
2019,Quebec,52154.34,24,1.67
2020,Quebec,49285.5,24,-5.5
2021,Quebec,52730.74,24,6.99
2022,Quebec,54494.93,24,3.35
2023,Quebec,53951.19,24,-1.0
2024,Quebec,53811.95,24,-0.26
2015,Saskatchewan,69766.8,47,-1.75
2016,Saskatchewan,68896.76,47,-1.25
2017,Saskatchewan,69952.02,47,1.53
2018,Saskatchewan,70566.77,47,0.88
2019,Saskatchewan,69764.13,47,-1.14
2020,Saskatchewan,66611.22,47,-4.52
2021,Saskatchewan,64846.52,47,-2.65
2022,Saskatchewan,70723.86,47,9.06
2023,Saskatchewan,71008.88,47,0.4
2024,Saskatchewan,70920.96,47,-0.12
2015,Yukon,70004.51,60,-9.26
2016,Yukon,73464.94,60,4.94
2017,Yukon,72926.42,60,-0.73
2018,Yukon,73063.88,60,0.19
2019,Yukon,70701.92,60,-3.23
2020,Yukon,70594.4,60,-0.15
2021,Yukon,75393.96,60,6.8
2022,Yukon,76112.97,60,0.95
2023,Yukon,74484.25,60,-2.14
2024,Yukon,69335.01,60,-6.91
