Year,Household income quintile,Household income decile,Geography,Series,GeoCode,Value
2012-2017,Second quintile,,Manitoba,Household expenditure per capita,46,2.225
2012-2017,All quintiles,,Saskatchewan,Household expenditure per capita,47,2.495
2012-2017,Lowest quintile,,Saskatchewan,Household expenditure per capita,47,3.777
2012-2017,Second quintile,,Saskatchewan,Household expenditure per capita,47,3.513
2012-2017,All quintiles,,Alberta,Household expenditure per capita,48,-0.872
2012-2017,Lowest quintile,,Alberta,Household expenditure per capita,48,-0.797
2012-2017,Second quintile,,Alberta,Household expenditure per capita,48,-0.04
2012-2017,All quintiles,,British Columbia,Household expenditure per capita,59,2.111
2012-2017,Lowest quintile,,British Columbia,Household expenditure per capita,59,2.853
2012-2017,Second quintile,,British Columbia,Household expenditure per capita,59,2.77
2013-2018,All quintiles,,Canada,Household expenditure per capita,,
2013-2018,Lowest quintile,,Canada,Household expenditure per capita,,
2013-2018,Second quintile,,Canada,Household expenditure per capita,,
2013-2018,All quintiles,,Newfoundland and Labrador,Household expenditure per capita,10,
2013-2018,Lowest quintile,,Newfoundland and Labrador,Household expenditure per capita,10,
2013-2018,Second quintile,,Newfoundland and Labrador,Household expenditure per capita,10,
2013-2018,All quintiles,,Prince Edward Island,Household expenditure per capita,11,
2013-2018,Lowest quintile,,Prince Edward Island,Household expenditure per capita,11,
2013-2018,Second quintile,,Prince Edward Island,Household expenditure per capita,11,
2013-2018,All quintiles,,Nova Scotia,Household expenditure per capita,12,
2013-2018,Lowest quintile,,Nova Scotia,Household expenditure per capita,12,
2013-2018,Second quintile,,Nova Scotia,Household expenditure per capita,12,
2013-2018,All quintiles,,New Brunswick,Household expenditure per capita,13,
2013-2018,Lowest quintile,,New Brunswick,Household expenditure per capita,13,
2013-2018,Second quintile,,New Brunswick,Household expenditure per capita,13,
2013-2018,All quintiles,,Quebec,Household expenditure per capita,24,
2013-2018,Lowest quintile,,Quebec,Household expenditure per capita,24,
2013-2018,Second quintile,,Quebec,Household expenditure per capita,24,
2013-2018,All quintiles,,Ontario,Household expenditure per capita,35,
2013-2018,Lowest quintile,,Ontario,Household expenditure per capita,35,
2013-2018,Second quintile,,Ontario,Household expenditure per capita,35,
2013-2018,All quintiles,,Manitoba,Household expenditure per capita,46,
2013-2018,Lowest quintile,,Manitoba,Household expenditure per capita,46,
2013-2018,Second quintile,,Manitoba,Household expenditure per capita,46,
2013-2018,All quintiles,,Saskatchewan,Household expenditure per capita,47,
2013-2018,Lowest quintile,,Saskatchewan,Household expenditure per capita,47,
2013-2018,Second quintile,,Saskatchewan,Household expenditure per capita,47,
2013-2018,All quintiles,,Alberta,Household expenditure per capita,48,
2013-2018,Lowest quintile,,Alberta,Household expenditure per capita,48,
2013-2018,Second quintile,,Alberta,Household expenditure per capita,48,
2013-2018,All quintiles,,British Columbia,Household expenditure per capita,59,
2013-2018,Lowest quintile,,British Columbia,Household expenditure per capita,59,
2013-2018,Second quintile,,British Columbia,Household expenditure per capita,59,
2014-2019,All quintiles,,Canada,Household expenditure per capita,,1.929
2014-2019,Lowest quintile,,Canada,Household expenditure per capita,,1.97
2014-2019,Second quintile,,Canada,Household expenditure per capita,,1.924
2014-2019,All quintiles,,Newfoundland and Labrador,Household expenditure per capita,10,0.374
2014-2019,Lowest quintile,,Newfoundland and Labrador,Household expenditure per capita,10,2.86
2014-2019,Second quintile,,Newfoundland and Labrador,Household expenditure per capita,10,0.665
2014-2019,All quintiles,,Prince Edward Island,Household expenditure per capita,11,0.296
2014-2019,Lowest quintile,,Prince Edward Island,Household expenditure per capita,11,-2.429
2014-2019,Second quintile,,Prince Edward Island,Household expenditure per capita,11,1.354
2014-2019,All quintiles,,Nova Scotia,Household expenditure per capita,12,1.963
2014-2019,Lowest quintile,,Nova Scotia,Household expenditure per capita,12,2.436
2014-2019,Second quintile,,Nova Scotia,Household expenditure per capita,12,2.133
2014-2019,All quintiles,,New Brunswick,Household expenditure per capita,13,1.881
2014-2019,Lowest quintile,,New Brunswick,Household expenditure per capita,13,2.338
2014-2019,Second quintile,,New Brunswick,Household expenditure per capita,13,0.815
2014-2019,All quintiles,,Quebec,Household expenditure per capita,24,1.991
2014-2019,Lowest quintile,,Quebec,Household expenditure per capita,24,1.493
2014-2019,Second quintile,,Quebec,Household expenditure per capita,24,1.0
2014-2019,All quintiles,,Ontario,Household expenditure per capita,35,1.724
2014-2019,Lowest quintile,,Ontario,Household expenditure per capita,35,0.152
2014-2019,Second quintile,,Ontario,Household expenditure per capita,35,3.89
2014-2019,All quintiles,,Manitoba,Household expenditure per capita,46,1.696
2014-2019,Lowest quintile,,Manitoba,Household expenditure per capita,46,1.64
2014-2019,Second quintile,,Manitoba,Household expenditure per capita,46,2.344
2014-2019,All quintiles,,Saskatchewan,Household expenditure per capita,47,1.807
2014-2019,Lowest quintile,,Saskatchewan,Household expenditure per capita,47,-0.115
2014-2019,Second quintile,,Saskatchewan,Household expenditure per capita,47,-0.841
2014-2019,All quintiles,,Alberta,Household expenditure per capita,48,0.995
2014-2019,Lowest quintile,,Alberta,Household expenditure per capita,48,1.282
2014-2019,Second quintile,,Alberta,Household expenditure per capita,48,-0.317
2014-2019,All quintiles,,British Columbia,Household expenditure per capita,59,3.242
2014-2019,Lowest quintile,,British Columbia,Household expenditure per capita,59,4.735
2014-2019,Second quintile,,British Columbia,Household expenditure per capita,59,4.796
2015-2020,All quintiles,,Canada,Household expenditure per capita,,
2015-2020,Lowest quintile,,Canada,Household expenditure per capita,,
2015-2020,Second quintile,,Canada,Household expenditure per capita,,
2015-2020,All quintiles,,Newfoundland and Labrador,Household expenditure per capita,10,
2015-2020,Lowest quintile,,Newfoundland and Labrador,Household expenditure per capita,10,
2015-2020,Second quintile,,Newfoundland and Labrador,Household expenditure per capita,10,
2015-2020,All quintiles,,Prince Edward Island,Household expenditure per capita,11,
2015-2020,Lowest quintile,,Prince Edward Island,Household expenditure per capita,11,
2015-2020,Second quintile,,Prince Edward Island,Household expenditure per capita,11,
2015-2020,All quintiles,,Nova Scotia,Household expenditure per capita,12,
2015-2020,Lowest quintile,,Nova Scotia,Household expenditure per capita,12,
2015-2020,Second quintile,,Nova Scotia,Household expenditure per capita,12,
2015-2020,All quintiles,,New Brunswick,Household expenditure per capita,13,
2015-2020,Lowest quintile,,New Brunswick,Household expenditure per capita,13,
2015-2020,Second quintile,,New Brunswick,Household expenditure per capita,13,
2015-2020,All quintiles,,Quebec,Household expenditure per capita,24,
2015-2020,Lowest quintile,,Quebec,Household expenditure per capita,24,
2015-2020,Second quintile,,Quebec,Household expenditure per capita,24,
2015-2020,All quintiles,,Ontario,Household expenditure per capita,35,
2015-2020,Lowest quintile,,Ontario,Household expenditure per capita,35,
2015-2020,Second quintile,,Ontario,Household expenditure per capita,35,
2015-2020,All quintiles,,Manitoba,Household expenditure per capita,46,
2015-2020,Lowest quintile,,Manitoba,Household expenditure per capita,46,
2015-2020,Second quintile,,Manitoba,Household expenditure per capita,46,
2015-2020,All quintiles,,Saskatchewan,Household expenditure per capita,47,
2015-2020,Lowest quintile,,Saskatchewan,Household expenditure per capita,47,
2015-2020,Second quintile,,Saskatchewan,Household expenditure per capita,47,
2015-2020,All quintiles,,Alberta,Household expenditure per capita,48,
2015-2020,Lowest quintile,,Alberta,Household expenditure per capita,48,
2015-2020,Second quintile,,Alberta,Household expenditure per capita,48,
2015-2020,All quintiles,,British Columbia,Household expenditure per capita,59,
2015-2020,Lowest quintile,,British Columbia,Household expenditure per capita,59,
2015-2020,Second quintile,,British Columbia,Household expenditure per capita,59,
2016-2021,All quintiles,,Canada,Household expenditure per capita,,0.385
2016-2021,Lowest quintile,,Canada,Household expenditure per capita,,2.084
2016-2021,Second quintile,,Canada,Household expenditure per capita,,0.565
2016-2021,All quintiles,,Newfoundland and Labrador,Household expenditure per capita,10,0.783
2016-2021,Lowest quintile,,Newfoundland and Labrador,Household expenditure per capita,10,4.11
2016-2021,Second quintile,,Newfoundland and Labrador,Household expenditure per capita,10,2.075
2016-2021,All quintiles,,Prince Edward Island,Household expenditure per capita,11,0.949
2016-2021,Lowest quintile,,Prince Edward Island,Household expenditure per capita,11,10.767
2016-2021,Second quintile,,Prince Edward Island,Household expenditure per capita,11,-2.217
2016-2021,All quintiles,,Nova Scotia,Household expenditure per capita,12,0.854
2016-2021,Lowest quintile,,Nova Scotia,Household expenditure per capita,12,0.923
2016-2021,Second quintile,,Nova Scotia,Household expenditure per capita,12,1.348
2016-2021,All quintiles,,New Brunswick,Household expenditure per capita,13,2.068
2016-2021,Lowest quintile,,New Brunswick,Household expenditure per capita,13,4.033
2016-2021,Second quintile,,New Brunswick,Household expenditure per capita,13,3.253
2016-2021,All quintiles,,Quebec,Household expenditure per capita,24,1.155
2016-2021,Lowest quintile,,Quebec,Household expenditure per capita,24,3.174
2016-2021,Second quintile,,Quebec,Household expenditure per capita,24,0.894
2016-2021,All quintiles,,Ontario,Household expenditure per capita,35,-0.347
2016-2021,Lowest quintile,,Ontario,Household expenditure per capita,35,1.023
2016-2021,Second quintile,,Ontario,Household expenditure per capita,35,-2.139
2016-2021,All quintiles,,Manitoba,Household expenditure per capita,46,1.277
2016-2021,Lowest quintile,,Manitoba,Household expenditure per capita,46,1.766
2016-2021,Second quintile,,Manitoba,Household expenditure per capita,46,2.324
2016-2021,All quintiles,,Saskatchewan,Household expenditure per capita,47,0.362
2016-2021,Lowest quintile,,Saskatchewan,Household expenditure per capita,47,0.254
2016-2021,Second quintile,,Saskatchewan,Household expenditure per capita,47,0.862
2016-2021,All quintiles,,Alberta,Household expenditure per capita,48,-0.834
2016-2021,Lowest quintile,,Alberta,Household expenditure per capita,48,1.539
2016-2021,Second quintile,,Alberta,Household expenditure per capita,48,0.008
2016-2021,All quintiles,,British Columbia,Household expenditure per capita,59,1.559
2016-2021,Lowest quintile,,British Columbia,Household expenditure per capita,59,4.729
2016-2021,Second quintile,,British Columbia,Household expenditure per capita,59,2.891
2010-2015,,Total deciles,Canada,Income per capita,,0.248
2010-2015,,Lowest decile,Canada,Income per capita,,-0.102
2010-2015,,Second decile,Canada,Income per capita,,0.107
2010-2015,,Third decile,Canada,Income per capita,,0.324
2010-2015,,Fourth decile,Canada,Income per capita,,0.429
2010-2015,,Total deciles,Newfoundland and Labrador,Income per capita,10,2.416
2010-2015,,Lowest decile,Newfoundland and Labrador,Income per capita,10,1.585
2010-2015,,Second decile,Newfoundland and Labrador,Income per capita,10,1.271
2010-2015,,Third decile,Newfoundland and Labrador,Income per capita,10,1.961
2010-2015,,Fourth decile,Newfoundland and Labrador,Income per capita,10,2.562
2010-2015,,Total deciles,Prince Edward Island,Income per capita,11,0.672
2010-2015,,Lowest decile,Prince Edward Island,Income per capita,11,-6.253
2010-2015,,Second decile,Prince Edward Island,Income per capita,11,-0.789
2010-2015,,Third decile,Prince Edward Island,Income per capita,11,-0.298
2010-2015,,Fourth decile,Prince Edward Island,Income per capita,11,1.013
2010-2015,,Total deciles,Nova Scotia,Income per capita,12,1.731
2010-2015,,Lowest decile,Nova Scotia,Income per capita,12,0.488
2010-2015,,Second decile,Nova Scotia,Income per capita,12,0.564
2010-2015,,Third decile,Nova Scotia,Income per capita,12,1.417
2010-2015,,Fourth decile,Nova Scotia,Income per capita,12,2.255
2010-2015,,Total deciles,New Brunswick,Income per capita,13,0.495
2010-2015,,Lowest decile,New Brunswick,Income per capita,13,-1.428
2010-2015,,Second decile,New Brunswick,Income per capita,13,0.374
2010-2015,,Third decile,New Brunswick,Income per capita,13,1.193
2010-2015,,Fourth decile,New Brunswick,Income per capita,13,1.584
2010-2015,,Total deciles,Quebec,Income per capita,24,0.224
2010-2015,,Lowest decile,Quebec,Income per capita,24,0.504
2010-2015,,Second decile,Quebec,Income per capita,24,0.061
2010-2015,,Third decile,Quebec,Income per capita,24,0.424
2010-2015,,Fourth decile,Quebec,Income per capita,24,0.312
2010-2015,,Total deciles,Ontario,Income per capita,35,0.167
2010-2015,,Lowest decile,Ontario,Income per capita,35,-0.481
2010-2015,,Second decile,Ontario,Income per capita,35,0.15
2010-2015,,Third decile,Ontario,Income per capita,35,0.252
2010-2015,,Fourth decile,Ontario,Income per capita,35,0.597
2010-2015,,Total deciles,Manitoba,Income per capita,46,-0.153
2010-2015,,Lowest decile,Manitoba,Income per capita,46,-1.528
2010-2015,,Second decile,Manitoba,Income per capita,46,-0.024
2010-2015,,Third decile,Manitoba,Income per capita,46,0.217
2010-2015,,Fourth decile,Manitoba,Income per capita,46,-0.614
2010-2015,,Total deciles,Saskatchewan,Income per capita,47,0.463
2010-2015,,Lowest decile,Saskatchewan,Income per capita,47,5.152
2010-2015,,Second decile,Saskatchewan,Income per capita,47,0.698
2010-2015,,Third decile,Saskatchewan,Income per capita,47,1.275
2010-2015,,Fourth decile,Saskatchewan,Income per capita,47,0.694
2010-2015,,Total deciles,Alberta,Income per capita,48,-0.147
2010-2015,,Lowest decile,Alberta,Income per capita,48,1.642
2010-2015,,Second decile,Alberta,Income per capita,48,0.075
2010-2015,,Third decile,Alberta,Income per capita,48,-0.639
2010-2015,,Fourth decile,Alberta,Income per capita,48,-0.349
2010-2015,,Total deciles,British Columbia,Income per capita,59,-0.276
2010-2015,,Lowest decile,British Columbia,Income per capita,59,-0.837
2010-2015,,Second decile,British Columbia,Income per capita,59,-0.838
2010-2015,,Third decile,British Columbia,Income per capita,59,0.076
2010-2015,,Fourth decile,British Columbia,Income per capita,59,0.376
2011-2016,,Total deciles,Canada,Income per capita,,-0.082
2011-2016,,Lowest decile,Canada,Income per capita,,-0.15
2011-2016,,Second decile,Canada,Income per capita,,0.331
2011-2016,,Third decile,Canada,Income per capita,,0.382
2011-2016,,Fourth decile,Canada,Income per capita,,0.153
2011-2016,,Total deciles,Newfoundland and Labrador,Income per capita,10,0.906
2011-2016,,Lowest decile,Newfoundland and Labrador,Income per capita,10,-0.866
2011-2016,,Second decile,Newfoundland and Labrador,Income per capita,10,0.411
2011-2016,,Third decile,Newfoundland and Labrador,Income per capita,10,1.27
2011-2016,,Fourth decile,Newfoundland and Labrador,Income per capita,10,2.084
2011-2016,,Total deciles,Prince Edward Island,Income per capita,11,-0.331
2011-2016,,Lowest decile,Prince Edward Island,Income per capita,11,-2.52
2011-2016,,Second decile,Prince Edward Island,Income per capita,11,-0.703
2011-2016,,Third decile,Prince Edward Island,Income per capita,11,-1.008
2011-2016,,Fourth decile,Prince Edward Island,Income per capita,11,-0.558
2011-2016,,Total deciles,Nova Scotia,Income per capita,12,1.18
2011-2016,,Lowest decile,Nova Scotia,Income per capita,12,-2.394
2011-2016,,Second decile,Nova Scotia,Income per capita,12,-0.051
2011-2016,,Third decile,Nova Scotia,Income per capita,12,0.933
2011-2016,,Fourth decile,Nova Scotia,Income per capita,12,1.244
2011-2016,,Total deciles,New Brunswick,Income per capita,13,0.401
2011-2016,,Lowest decile,New Brunswick,Income per capita,13,2.048
2011-2016,,Second decile,New Brunswick,Income per capita,13,0.091
2011-2016,,Third decile,New Brunswick,Income per capita,13,0.401
2011-2016,,Fourth decile,New Brunswick,Income per capita,13,0.623
2011-2016,,Total deciles,Quebec,Income per capita,24,0.423
2011-2016,,Lowest decile,Quebec,Income per capita,24,-0.058
2011-2016,,Second decile,Quebec,Income per capita,24,0.987
2011-2016,,Third decile,Quebec,Income per capita,24,0.886
2011-2016,,Fourth decile,Quebec,Income per capita,24,0.669
2011-2016,,Total deciles,Ontario,Income per capita,35,0.278
2011-2016,,Lowest decile,Ontario,Income per capita,35,0.467
2011-2016,,Second decile,Ontario,Income per capita,35,-0.06
2011-2016,,Third decile,Ontario,Income per capita,35,0.076
2011-2016,,Fourth decile,Ontario,Income per capita,35,0.046
2011-2016,,Total deciles,Manitoba,Income per capita,46,-0.154
2011-2016,,Lowest decile,Manitoba,Income per capita,46,0.242
2011-2016,,Second decile,Manitoba,Income per capita,46,0.472
2011-2016,,Third decile,Manitoba,Income per capita,46,0.188
2011-2016,,Fourth decile,Manitoba,Income per capita,46,-0.248
2011-2016,,Total deciles,Saskatchewan,Income per capita,47,-0.853
2011-2016,,Lowest decile,Saskatchewan,Income per capita,47,0.035
2011-2016,,Second decile,Saskatchewan,Income per capita,47,0.6
2011-2016,,Third decile,Saskatchewan,Income per capita,47,0.751
2011-2016,,Fourth decile,Saskatchewan,Income per capita,47,-0.397
2011-2016,,Total deciles,Alberta,Income per capita,48,-2.242
2011-2016,,Lowest decile,Alberta,Income per capita,48,-0.27
2011-2016,,Second decile,Alberta,Income per capita,48,-0.424
2011-2016,,Third decile,Alberta,Income per capita,48,-0.823
2011-2016,,Fourth decile,Alberta,Income per capita,48,-1.261
2011-2016,,Total deciles,British Columbia,Income per capita,59,-0.504
2011-2016,,Lowest decile,British Columbia,Income per capita,59,-2.493
2011-2016,,Second decile,British Columbia,Income per capita,59,0.797
2011-2016,,Third decile,British Columbia,Income per capita,59,0.227
2011-2016,,Fourth decile,British Columbia,Income per capita,59,-0.175
2012-2017,,Total deciles,Canada,Income per capita,,0.07
2012-2017,,Lowest decile,Canada,Income per capita,,1.046
2012-2017,,Second decile,Canada,Income per capita,,0.496
2012-2017,,Third decile,Canada,Income per capita,,0.341
2012-2017,,Fourth decile,Canada,Income per capita,,0.159
2012-2017,,Total deciles,Newfoundland and Labrador,Income per capita,10,0.589
2012-2017,,Lowest decile,Newfoundland and Labrador,Income per capita,10,-0.245
2012-2017,,Second decile,Newfoundland and Labrador,Income per capita,10,0.301
2012-2017,,Third decile,Newfoundland and Labrador,Income per capita,10,0.87
2012-2017,,Fourth decile,Newfoundland and Labrador,Income per capita,10,0.7
2012-2017,,Total deciles,Prince Edward Island,Income per capita,11,0.494
2012-2017,,Lowest decile,Prince Edward Island,Income per capita,11,-4.783
2012-2017,,Second decile,Prince Edward Island,Income per capita,11,-1.373
2012-2017,,Third decile,Prince Edward Island,Income per capita,11,-0.309
2012-2017,,Fourth decile,Prince Edward Island,Income per capita,11,-0.218
2012-2017,,Total deciles,Nova Scotia,Income per capita,12,0.7
2012-2017,,Lowest decile,Nova Scotia,Income per capita,12,-0.457
2012-2017,,Second decile,Nova Scotia,Income per capita,12,-0.414
2012-2017,,Third decile,Nova Scotia,Income per capita,12,0.535
2012-2017,,Fourth decile,Nova Scotia,Income per capita,12,1.074
2012-2017,,Total deciles,New Brunswick,Income per capita,13,0.748
2012-2017,,Lowest decile,New Brunswick,Income per capita,13,1.793
2012-2017,,Second decile,New Brunswick,Income per capita,13,1.038
2012-2017,,Third decile,New Brunswick,Income per capita,13,1.511
2012-2017,,Fourth decile,New Brunswick,Income per capita,13,0.885
2012-2017,,Total deciles,Quebec,Income per capita,24,0.566
2012-2017,,Lowest decile,Quebec,Income per capita,24,0.822
2012-2017,,Second decile,Quebec,Income per capita,24,0.878
2012-2017,,Third decile,Quebec,Income per capita,24,1.074
2012-2017,,Fourth decile,Quebec,Income per capita,24,0.834
2012-2017,,Total deciles,Ontario,Income per capita,35,0.379
2012-2017,,Lowest decile,Ontario,Income per capita,35,1.233
2012-2017,,Second decile,Ontario,Income per capita,35,0.83
2012-2017,,Third decile,Ontario,Income per capita,35,0.366
2012-2017,,Fourth decile,Ontario,Income per capita,35,0.444
2012-2017,,Total deciles,Manitoba,Income per capita,46,0.261
2012-2017,,Lowest decile,Manitoba,Income per capita,46,1.159
2012-2017,,Second decile,Manitoba,Income per capita,46,-0.096
2012-2017,,Third decile,Manitoba,Income per capita,46,-0.054
2012-2017,,Fourth decile,Manitoba,Income per capita,46,-0.449
2012-2017,,Total deciles,Saskatchewan,Income per capita,47,-0.584
2012-2017,,Lowest decile,Saskatchewan,Income per capita,47,-0.337
2012-2017,,Second decile,Saskatchewan,Income per capita,47,-0.543
2012-2017,,Third decile,Saskatchewan,Income per capita,47,-1.096
2012-2017,,Fourth decile,Saskatchewan,Income per capita,47,-0.763
2012-2017,,Total deciles,Alberta,Income per capita,48,-2.183
2012-2017,,Lowest decile,Alberta,Income per capita,48,0.643
2012-2017,,Second decile,Alberta,Income per capita,48,-1.841
2012-2017,,Third decile,Alberta,Income per capita,48,-2.526
2012-2017,,Fourth decile,Alberta,Income per capita,48,-2.302
2012-2017,,Total deciles,British Columbia,Income per capita,59,0.035
2012-2017,,Lowest decile,British Columbia,Income per capita,59,0.683
2012-2017,,Second decile,British Columbia,Income per capita,59,0.747
2012-2017,,Third decile,British Columbia,Income per capita,59,0.823
2012-2017,,Fourth decile,British Columbia,Income per capita,59,0.28
2013-2018,,Total deciles,Canada,Income per capita,,-0.273
2013-2018,,Lowest decile,Canada,Income per capita,,1.099
2013-2018,,Second decile,Canada,Income per capita,,0.812
2013-2018,,Third decile,Canada,Income per capita,,0.624
2013-2018,,Fourth decile,Canada,Income per capita,,0.195
2013-2018,,Total deciles,Newfoundland and Labrador,Income per capita,10,-0.424
2013-2018,,Lowest decile,Newfoundland and Labrador,Income per capita,10,0.173
2013-2018,,Second decile,Newfoundland and Labrador,Income per capita,10,-0.269
2013-2018,,Third decile,Newfoundland and Labrador,Income per capita,10,-0.227
2013-2018,,Fourth decile,Newfoundland and Labrador,Income per capita,10,-0.055
2013-2018,,Total deciles,Prince Edward Island,Income per capita,11,-0.565
2013-2018,,Lowest decile,Prince Edward Island,Income per capita,11,-1.357
