Year,Type of heritage,Level of government,Geography,GeoCode,Value
2018,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,New Brunswick,13,109.02054
2018,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,96.51742
2018,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Northwest Territories,61,538.88989
2018,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nova Scotia,12,97.70579
2018,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nunavut,62,861.12416
2018,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Ontario,35,155.30393
2018,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Prince Edward Island,11,105.0841
2018,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Quebec,24,156.43349
2018,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Saskatchewan,47,138.38317
2018,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Yukon,60,891.02294
2019,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Alberta,48,229.60125
2019,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,British Columbia,59,75.13174
2019,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Canada,,156.51875
2019,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Manitoba,46,182.47736
2019,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,New Brunswick,13,105.48157
2019,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,83.38972
2019,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Northwest Territories,61,607.53341
2019,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nova Scotia,12,59.43847
2019,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nunavut,62,798.16679
2019,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Ontario,35,159.32958
2019,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Prince Edward Island,11,83.44459
2019,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Quebec,24,170.33695
2019,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Saskatchewan,47,157.18638
2019,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Yukon,60,1116.85726
2020,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Alberta,48,111.40115
2020,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,British Columbia,59,74.57351
2020,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Canada,,154.88328
2020,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Manitoba,46,204.32828
2020,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,New Brunswick,13,100.83836
2020,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,85.40779
2020,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Northwest Territories,61,584.21715
2020,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nova Scotia,12,82.89795
2020,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nunavut,62,785.22759
2020,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Ontario,35,144.62995
2020,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Prince Edward Island,11,75.3802
2020,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Quebec,24,244.99786
2020,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Saskatchewan,47,151.6208
2020,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Yukon,60,1120.16779
2021,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Alberta,48,103.8016
2021,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,British Columbia,59,85.33166
2021,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Canada,,155.46603
2021,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Manitoba,46,162.36519
2021,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,New Brunswick,13,85.98865
2021,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,94.86658
2021,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Northwest Territories,61,650.53052
2021,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nova Scotia,12,116.01067
2021,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nunavut,62,723.44459
2021,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Ontario,35,156.17328
2021,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Prince Edward Island,11,74.01331
2021,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Quebec,24,225.50111
2021,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Saskatchewan,47,171.27526
2021,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Yukon,60,1280.23091
2022,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Alberta,48,110.35446
2022,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,British Columbia,59,88.6385
2022,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Canada,,160.46159
2022,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Manitoba,46,164.13182
2022,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,New Brunswick,13,80.35912
2022,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,111.05736
2022,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Northwest Territories,61,627.36663
2022,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nova Scotia,12,132.80809
2022,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nunavut,62,788.1191
2022,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Ontario,35,163.43539
2022,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Prince Edward Island,11,77.7512
2022,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Quebec,24,224.79911
2022,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Saskatchewan,47,190.0244
2022,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Yukon,60,1390.50354
2023,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Alberta,48,102.16322
2023,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,British Columbia,59,83.76704
2023,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Canada,,166.87022
2023,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Manitoba,46,136.25084
2023,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,New Brunswick,13,77.0061
2023,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,113.21686
2023,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Northwest Territories,61,650.02017
2023,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nova Scotia,12,135.80182
2023,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Nunavut,62,806.53045
2023,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Ontario,35,160.56312
2023,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Prince Edward Island,11,80.58296
2023,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Quebec,24,273.41681
2023,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Saskatchewan,47,178.47449
2023,Total cultural and natural heritage,Consolidated provincial-territorial and local governments,Yukon,60,1365.06748
2015,Protection of biodiversity and landscape,Consolidated Canadian general government,Canada,,52.51439
2015,Cultural services,Consolidated Canadian general government,Canada,,149.70103
2015,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Canada,,40.4991
2015,Cultural services,Consolidated provincial-territorial and local governments,Canada,,100.96767
2015,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,17.03423
2015,Cultural services,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,88.95652
2015,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Prince Edward Island,11,13.82782
2015,Cultural services,Consolidated provincial-territorial and local governments,Prince Edward Island,11,89.8808
2015,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nova Scotia,12,28.80249
2015,Cultural services,Consolidated provincial-territorial and local governments,Nova Scotia,12,118.41023
2015,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,New Brunswick,13,28.97688
2015,Cultural services,Consolidated provincial-territorial and local governments,New Brunswick,13,81.66211
2015,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Quebec,24,6.48259
2015,Cultural services,Consolidated provincial-territorial and local governments,Quebec,24,127.08325
2015,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Ontario,35,53.8321
2015,Cultural services,Consolidated provincial-territorial and local governments,Ontario,35,93.22144
2015,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Manitoba,46,25.51024
2015,Cultural services,Consolidated provincial-territorial and local governments,Manitoba,46,114.40958
2015,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Saskatchewan,47,16.93088
2015,Cultural services,Consolidated provincial-territorial and local governments,Saskatchewan,47,98.02087
2015,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Alberta,48,105.05652
2015,Cultural services,Consolidated provincial-territorial and local governments,Alberta,48,103.85174
2015,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,British Columbia,59,6.92481
2015,Cultural services,Consolidated provincial-territorial and local governments,British Columbia,59,67.35954
2015,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Yukon,60,1406.99249
2015,Cultural services,Consolidated provincial-territorial and local governments,Yukon,60,371.65839
2015,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Northwest Territories,61,316.40563
2015,Cultural services,Consolidated provincial-territorial and local governments,Northwest Territories,61,226.00402
2015,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nunavut,62,164.42861
2015,Cultural services,Consolidated provincial-territorial and local governments,Nunavut,62,575.50014
2016,Protection of biodiversity and landscape,Consolidated Canadian general government,Canada,,45.19423
2016,Cultural services,Consolidated Canadian general government,Canada,,160.03521
2016,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Canada,,36.7757
2016,Cultural services,Consolidated provincial-territorial and local governments,Canada,,103.45934
2016,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,15.10614
2016,Cultural services,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,83.08377
2016,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Prince Edward Island,11,13.61554
2016,Cultural services,Consolidated provincial-territorial and local governments,Prince Edward Island,11,88.501
2016,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nova Scotia,12,23.33019
2016,Cultural services,Consolidated provincial-territorial and local governments,Nova Scotia,12,111.34865
2016,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,New Brunswick,13,14.41069
2016,Cultural services,Consolidated provincial-territorial and local governments,New Brunswick,13,78.60379
2016,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Quebec,24,6.32216
2016,Cultural services,Consolidated provincial-territorial and local governments,Quebec,24,134.58908
2016,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Ontario,35,54.62473
2016,Cultural services,Consolidated provincial-territorial and local governments,Ontario,35,95.05279
2016,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Manitoba,46,26.63339
2016,Cultural services,Consolidated provincial-territorial and local governments,Manitoba,46,114.90404
2016,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Saskatchewan,47,14.97143
2016,Cultural services,Consolidated provincial-territorial and local governments,Saskatchewan,47,103.91934
2016,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Alberta,48,78.18036
2016,Cultural services,Consolidated provincial-territorial and local governments,Alberta,48,103.92268
2016,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,British Columbia,59,6.78835
2016,Cultural services,Consolidated provincial-territorial and local governments,British Columbia,59,68.91205
2016,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Yukon,60,1089.52243
2016,Cultural services,Consolidated provincial-territorial and local governments,Yukon,60,492.87919
2016,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Northwest Territories,61,291.32305
2016,Cultural services,Consolidated provincial-territorial and local governments,Northwest Territories,61,224.09466
2016,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nunavut,62,162.25425
2016,Cultural services,Consolidated provincial-territorial and local governments,Nunavut,62,567.88988
2017,Protection of biodiversity and landscape,Consolidated Canadian general government,Canada,,50.56769
2017,Cultural services,Consolidated Canadian general government,Canada,,172.17094
2017,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Canada,,41.20938
2017,Cultural services,Consolidated provincial-territorial and local governments,Canada,,107.81206
2017,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,13.21398
2017,Cultural services,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,92.49786
2017,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Prince Edward Island,11,13.35648
2017,Cultural services,Consolidated provincial-territorial and local governments,Prince Edward Island,11,86.81715
2017,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nova Scotia,12,22.05514
2017,Cultural services,Consolidated provincial-territorial and local governments,Nova Scotia,12,97.67276
2017,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,New Brunswick,13,23.47733
2017,Cultural services,Consolidated provincial-territorial and local governments,New Brunswick,13,83.47496
2017,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Quebec,24,16.88205
2017,Cultural services,Consolidated provincial-territorial and local governments,Quebec,24,140.12101
2017,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Ontario,35,61.22812
2017,Cultural services,Consolidated provincial-territorial and local governments,Ontario,35,99.51345
2017,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Manitoba,46,25.47324
2017,Cultural services,Consolidated provincial-territorial and local governments,Manitoba,46,119.12486
2017,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Saskatchewan,47,17.432
2017,Cultural services,Consolidated provincial-territorial and local governments,Saskatchewan,47,103.72043
2017,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Alberta,48,70.09164
2017,Cultural services,Consolidated provincial-territorial and local governments,Alberta,48,115.4034
2017,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,British Columbia,59,10.53868
2017,Cultural services,Consolidated provincial-territorial and local governments,British Columbia,59,69.31212
2017,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Yukon,60,860.04098
2017,Cultural services,Consolidated provincial-territorial and local governments,Yukon,60,379.42984
2017,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Northwest Territories,61,291.1143
2017,Cultural services,Consolidated provincial-territorial and local governments,Northwest Territories,61,201.54067
2017,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nunavut,62,159.33716
2017,Cultural services,Consolidated provincial-territorial and local governments,Nunavut,62,663.90482
2018,Protection of biodiversity and landscape,Consolidated Canadian general government,Canada,,45.74805
2018,Cultural services,Consolidated Canadian general government,Canada,,170.31437
2018,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Canada,,36.60383
2018,Cultural services,Consolidated provincial-territorial and local governments,Canada,,108.89438
2018,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,11.35499
2018,Cultural services,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,85.16243
2018,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Prince Edward Island,11,13.13551
2018,Cultural services,Consolidated provincial-territorial and local governments,Prince Edward Island,11,91.94859
2018,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nova Scotia,12,37.41924
2018,Cultural services,Consolidated provincial-territorial and local governments,Nova Scotia,12,60.28655
2018,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,New Brunswick,13,24.65941
2018,Cultural services,Consolidated provincial-territorial and local governments,New Brunswick,13,84.36113
2018,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Quebec,24,6.55781
2018,Cultural services,Consolidated provincial-territorial and local governments,Quebec,24,149.87568
2018,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Ontario,35,55.97922
2018,Cultural services,Consolidated provincial-territorial and local governments,Ontario,35,99.32472
2018,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Manitoba,46,25.13516
2018,Cultural services,Consolidated provincial-territorial and local governments,Manitoba,46,120.5009
2018,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Saskatchewan,47,19.02769
2018,Cultural services,Consolidated provincial-territorial and local governments,Saskatchewan,47,119.35548
2018,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Alberta,48,68.72362
2018,Cultural services,Consolidated provincial-territorial and local governments,Alberta,48,119.50922
2018,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,British Columbia,59,9.16156
2018,Cultural services,Consolidated provincial-territorial and local governments,British Columbia,59,61.54178
2018,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Yukon,60,495.01275
2018,Cultural services,Consolidated provincial-territorial and local governments,Yukon,60,396.0102
2018,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Northwest Territories,61,314.35243
2018,Cultural services,Consolidated provincial-territorial and local governments,Northwest Territories,61,224.53745
2018,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nunavut,62,156.56803
2018,Cultural services,Consolidated provincial-territorial and local governments,Nunavut,62,704.55613
2019,Protection of biodiversity and landscape,Consolidated Canadian general government,Canada,,58.53504
2019,Cultural services,Consolidated Canadian general government,Canada,,178.02413
2019,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Canada,,44.28673
2019,Cultural services,Consolidated provincial-territorial and local governments,Canada,,112.23203
2019,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,13.26655
2019,Cultural services,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,70.12317
2019,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Prince Edward Island,11,12.83763
2019,Cultural services,Consolidated provincial-territorial and local governments,Prince Edward Island,11,70.60696
2019,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nova Scotia,12,30.74404
2019,Cultural services,Consolidated provincial-territorial and local governments,Nova Scotia,12,28.69443
2019,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,New Brunswick,13,23.15449
2019,Cultural services,Consolidated provincial-territorial and local governments,New Brunswick,13,82.32708
2019,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Quebec,24,12.49531
2019,Cultural services,Consolidated provincial-territorial and local governments,Quebec,24,157.84164
2019,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Ontario,35,57.98169
2019,Cultural services,Consolidated provincial-territorial and local governments,Ontario,35,101.34789
2019,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Manitoba,46,25.54683
2019,Cultural services,Consolidated provincial-territorial and local governments,Manitoba,46,156.93053
2019,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Saskatchewan,47,19.75567
2019,Cultural services,Consolidated provincial-territorial and local governments,Saskatchewan,47,137.43072
2019,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Alberta,48,114.57102
2019,Cultural services,Consolidated provincial-territorial and local governments,Alberta,48,115.03023
2019,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,British Columbia,59,9.00016
2019,Cultural services,Consolidated provincial-territorial and local governments,British Columbia,59,66.13159
2019,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Yukon,60,704.10566
2019,Cultural services,Consolidated provincial-territorial and local governments,Yukon,60,412.7516
2019,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Northwest Territories,61,382.52104
2019,Cultural services,Consolidated provincial-territorial and local governments,Northwest Territories,61,225.01238
2019,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nunavut,62,180.23121
2019,Cultural services,Consolidated provincial-territorial and local governments,Nunavut,62,617.93558
2020,Protection of biodiversity and landscape,Consolidated Canadian general government,Canada,,49.88346
2020,Cultural services,Consolidated Canadian general government,Canada,,187.06954
2020,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Canada,,33.08033
2020,Cultural services,Consolidated provincial-territorial and local governments,Canada,,121.80294
2020,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,13.28566
2020,Cultural services,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,72.12214
2020,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Prince Edward Island,11,12.56337
2020,Cultural services,Consolidated provincial-territorial and local governments,Prince Edward Island,11,62.81683
2020,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nova Scotia,12,35.38327
2020,Cultural services,Consolidated provincial-territorial and local governments,Nova Scotia,12,47.51468
2020,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,New Brunswick,13,20.42296
2020,Cultural services,Consolidated provincial-territorial and local governments,New Brunswick,13,80.4154
2020,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Quebec,24,19.17883
2020,Cultural services,Consolidated provincial-territorial and local governments,Quebec,24,225.81903
2020,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Ontario,35,54.26163
2020,Cultural services,Consolidated provincial-territorial and local governments,Ontario,35,90.36832
2020,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Manitoba,46,47.82151
2020,Cultural services,Consolidated provincial-territorial and local governments,Manitoba,46,156.50677
2020,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Saskatchewan,47,18.84552
2020,Cultural services,Consolidated provincial-territorial and local governments,Saskatchewan,47,132.77528
2020,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Alberta,48,7.26036
2020,Cultural services,Consolidated provincial-territorial and local governments,Alberta,48,104.14079
2020,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,British Columbia,59,11.20535
2020,Cultural services,Consolidated provincial-territorial and local governments,British Columbia,59,63.36816
2020,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Yukon,60,762.66743
2020,Cultural services,Consolidated provincial-territorial and local governments,Yukon,60,357.50036
2020,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Northwest Territories,61,359.51825
2020,Cultural services,Consolidated provincial-territorial and local governments,Northwest Territories,61,224.6989
2020,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Nunavut,62,151.97953
2020,Cultural services,Consolidated provincial-territorial and local governments,Nunavut,62,633.24806
2021,Protection of biodiversity and landscape,Consolidated Canadian general government,Canada,,53.81818
2021,Cultural services,Consolidated Canadian general government,Canada,,196.49651
2021,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Canada,,34.4405
2021,Cultural services,Consolidated provincial-territorial and local governments,Canada,,121.02554
2021,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,17.07598
2021,Cultural services,Consolidated provincial-territorial and local governments,Newfoundland and Labrador,10,77.7906
2021,Protection of biodiversity and landscape,Consolidated provincial-territorial and local governments,Prince Edward Island,11,12.33555
