Year,Geography,Household hazardous waste,GeoCode,Value
2011,Ottawa-Gatineau (Quebec part),Medical sharps,,
2011,Ottawa-Gatineau (Quebec part),Leftover paint or solvents,,57.0
2011,Ottawa-Gatineau (Quebec part),Unwanted engine oil or anti-freeze,,21.0
2011,Ottawa-Gatineau (Quebec part),Dead or unwanted batteries (excluding car batteries),,69.0
2011,Ottawa-Gatineau (Ontario part),Leftover or expired medication,,26.0
2011,Ottawa-Gatineau (Ontario part),Medical sharps,,10.0
2011,Ottawa-Gatineau (Ontario part),Leftover paint or solvents,,30.0
2011,Ottawa-Gatineau (Ontario part),Unwanted engine oil or anti-freeze,,13.0
2011,Ottawa-Gatineau (Ontario part),Dead or unwanted batteries (excluding car batteries),,54.0
2011,"Kingston, Ontario",Leftover or expired medication,,32.0
2011,"Kingston, Ontario",Medical sharps,,12.0
2011,"Kingston, Ontario",Leftover paint or solvents,,45.0
2011,"Kingston, Ontario",Unwanted engine oil or anti-freeze,,17.0
2011,"Kingston, Ontario",Dead or unwanted batteries (excluding car batteries),,51.0
2011,"Peterborough, Ontario",Leftover or expired medication,,26.0
2011,"Peterborough, Ontario",Medical sharps,,
2011,"Peterborough, Ontario",Leftover paint or solvents,,44.0
2011,"Peterborough, Ontario",Unwanted engine oil or anti-freeze,,
2011,"Peterborough, Ontario",Dead or unwanted batteries (excluding car batteries),,49.0
2011,"Oshawa, Ontario",Leftover or expired medication,,37.0
2011,"Oshawa, Ontario",Medical sharps,,
2011,"Oshawa, Ontario",Leftover paint or solvents,,35.0
2011,"Oshawa, Ontario",Unwanted engine oil or anti-freeze,,13.0
2011,"Oshawa, Ontario",Dead or unwanted batteries (excluding car batteries),,40.0
2011,"Toronto, Ontario",Leftover or expired medication,,28.0
2011,"Toronto, Ontario",Medical sharps,,7.0
2011,"Toronto, Ontario",Leftover paint or solvents,,30.0
2011,"Toronto, Ontario",Unwanted engine oil or anti-freeze,,9.0
2011,"Toronto, Ontario",Dead or unwanted batteries (excluding car batteries),,51.0
2011,"Hamilton, Ontario",Leftover or expired medication,,33.0
2011,"Hamilton, Ontario",Medical sharps,,9.0
2011,"Hamilton, Ontario",Leftover paint or solvents,,30.0
2011,"Hamilton, Ontario",Unwanted engine oil or anti-freeze,,9.0
2011,"Hamilton, Ontario",Dead or unwanted batteries (excluding car batteries),,44.0
2011,"St. Catharines-Niagara, Ontario",Leftover or expired medication,,31.0
2011,"St. Catharines-Niagara, Ontario",Medical sharps,,11.0
2011,"St. Catharines-Niagara, Ontario",Leftover paint or solvents,,43.0
2011,"St. Catharines-Niagara, Ontario",Unwanted engine oil or anti-freeze,,17.0
2011,"St. Catharines-Niagara, Ontario",Dead or unwanted batteries (excluding car batteries),,46.0
2011,"Kitchener-Cambridge-Waterloo, Ontario",Leftover or expired medication,,24.0
2011,"Kitchener-Cambridge-Waterloo, Ontario",Medical sharps,,7.0
2011,"Kitchener-Cambridge-Waterloo, Ontario",Leftover paint or solvents,,31.0
2011,"Kitchener-Cambridge-Waterloo, Ontario",Unwanted engine oil or anti-freeze,,11.0
2011,"Kitchener-Cambridge-Waterloo, Ontario",Dead or unwanted batteries (excluding car batteries),,37.0
2011,"Brantford, Ontario",Leftover or expired medication,,34.0
2011,"Brantford, Ontario",Medical sharps,,
2011,"Brantford, Ontario",Leftover paint or solvents,,39.0
2011,"Brantford, Ontario",Unwanted engine oil or anti-freeze,,19.0
2011,"Brantford, Ontario",Dead or unwanted batteries (excluding car batteries),,42.0
2011,"Guelph, Ontario",Leftover or expired medication,,37.0
2011,"Guelph, Ontario",Medical sharps,,
2011,"Guelph, Ontario",Leftover paint or solvents,,49.0
2011,"Guelph, Ontario",Unwanted engine oil or anti-freeze,,
2011,"Guelph, Ontario",Dead or unwanted batteries (excluding car batteries),,69.0
2011,"London, Ontario",Leftover or expired medication,,35.0
2011,"London, Ontario",Medical sharps,,7.0
2011,"London, Ontario",Leftover paint or solvents,,35.0
2011,"London, Ontario",Unwanted engine oil or anti-freeze,,13.0
2011,"London, Ontario",Dead or unwanted batteries (excluding car batteries),,51.0
2011,"Windsor, Ontario",Leftover or expired medication,,32.0
2011,"Windsor, Ontario",Medical sharps,,14.0
2011,"Windsor, Ontario",Leftover paint or solvents,,34.0
2011,"Windsor, Ontario",Unwanted engine oil or anti-freeze,,13.0
2011,"Windsor, Ontario",Dead or unwanted batteries (excluding car batteries),,34.0
2011,"Barrie, Ontario",Leftover or expired medication,,31.0
2011,"Barrie, Ontario",Medical sharps,,
2011,"Barrie, Ontario",Leftover paint or solvents,,39.0
2011,"Barrie, Ontario",Unwanted engine oil or anti-freeze,,18.0
2011,"Barrie, Ontario",Dead or unwanted batteries (excluding car batteries),,45.0
2011,"Greater Sudbury, Ontario",Leftover or expired medication,,38.0
2011,"Greater Sudbury, Ontario",Medical sharps,,
2011,"Greater Sudbury, Ontario",Leftover paint or solvents,,35.0
2011,"Greater Sudbury, Ontario",Unwanted engine oil or anti-freeze,,23.0
2011,"Greater Sudbury, Ontario",Dead or unwanted batteries (excluding car batteries),,50.0
2011,"Thunder Bay, Ontario",Leftover or expired medication,,40.0
2011,"Thunder Bay, Ontario",Medical sharps,,10.0
2011,"Thunder Bay, Ontario",Leftover paint or solvents,,37.0
2011,"Thunder Bay, Ontario",Unwanted engine oil or anti-freeze,,18.0
2011,"Thunder Bay, Ontario",Dead or unwanted batteries (excluding car batteries),,56.0
2011,"Winnipeg, Manitoba",Leftover or expired medication,,23.0
2011,"Winnipeg, Manitoba",Medical sharps,,7.0
2011,"Winnipeg, Manitoba",Leftover paint or solvents,,30.0
2011,"Winnipeg, Manitoba",Unwanted engine oil or anti-freeze,,17.0
2011,"Winnipeg, Manitoba",Dead or unwanted batteries (excluding car batteries),,50.0
2011,"Regina, Saskatchewan",Leftover or expired medication,,42.0
2011,"Regina, Saskatchewan",Medical sharps,,
2011,"Regina, Saskatchewan",Leftover paint or solvents,,36.0
2011,"Regina, Saskatchewan",Unwanted engine oil or anti-freeze,,
2011,"Regina, Saskatchewan",Dead or unwanted batteries (excluding car batteries),,41.0
2011,"Saskatoon, Saskatchewan",Leftover or expired medication,,22.0
2011,"Saskatoon, Saskatchewan",Medical sharps,,
2011,"Saskatoon, Saskatchewan",Leftover paint or solvents,,29.0
2011,"Saskatoon, Saskatchewan",Unwanted engine oil or anti-freeze,,
2011,"Saskatoon, Saskatchewan",Dead or unwanted batteries (excluding car batteries),,32.0
2011,"Calgary, Alberta",Leftover or expired medication,,37.0
2011,"Calgary, Alberta",Medical sharps,,8.0
2011,"Calgary, Alberta",Leftover paint or solvents,,36.0
2011,"Calgary, Alberta",Unwanted engine oil or anti-freeze,,19.0
2011,"Calgary, Alberta",Dead or unwanted batteries (excluding car batteries),,45.0
2011,"Edmonton, Alberta",Leftover or expired medication,,38.0
2011,"Edmonton, Alberta",Medical sharps,,6.0
2011,"Edmonton, Alberta",Leftover paint or solvents,,39.0
2011,"Edmonton, Alberta",Unwanted engine oil or anti-freeze,,16.0
2011,"Edmonton, Alberta",Dead or unwanted batteries (excluding car batteries),,48.0
2011,"Kelowna, British Columbia",Leftover or expired medication,,26.0
2011,"Kelowna, British Columbia",Medical sharps,,
2011,"Kelowna, British Columbia",Leftover paint or solvents,,30.0
2011,"Kelowna, British Columbia",Unwanted engine oil or anti-freeze,,21.0
2011,"Kelowna, British Columbia",Dead or unwanted batteries (excluding car batteries),,36.0
2011,"Abbotsford-Mission, British Columbia",Leftover or expired medication,,38.0
2011,"Abbotsford-Mission, British Columbia",Medical sharps,,
2011,"Abbotsford-Mission, British Columbia",Leftover paint or solvents,,23.0
2011,"Abbotsford-Mission, British Columbia",Unwanted engine oil or anti-freeze,,17.0
2011,"Abbotsford-Mission, British Columbia",Dead or unwanted batteries (excluding car batteries),,34.0
2011,"Vancouver, British Columbia",Leftover or expired medication,,32.0
2011,"Vancouver, British Columbia",Medical sharps,,6.0
2011,"Vancouver, British Columbia",Leftover paint or solvents,,31.0
2011,"Vancouver, British Columbia",Unwanted engine oil or anti-freeze,,11.0
2011,"Vancouver, British Columbia",Dead or unwanted batteries (excluding car batteries),,50.0
2011,"Victoria, British Columbia",Leftover or expired medication,,38.0
2011,"Victoria, British Columbia",Medical sharps,,
2011,"Victoria, British Columbia",Leftover paint or solvents,,37.0
2011,"Victoria, British Columbia",Unwanted engine oil or anti-freeze,,19.0
2011,"Victoria, British Columbia",Dead or unwanted batteries (excluding car batteries),,52.0
2011,Non-census metropolitan areas,Leftover or expired medication,,35.0
2011,Non-census metropolitan areas,Medical sharps,,10.0
2011,Non-census metropolitan areas,Leftover paint or solvents,,42.0
2011,Non-census metropolitan areas,Unwanted engine oil or anti-freeze,,23.0
2011,Non-census metropolitan areas,Dead or unwanted batteries (excluding car batteries),,51.0
2013,Canada,Leftover or expired medication,,37.0
2013,Canada,Medical sharps,,9.0
2013,Canada,Leftover paint or solvents,,37.0
2013,Canada,Unwanted engine oil or anti-freeze,,15.0
2013,Canada,Dead or unwanted batteries (excluding car batteries),,54.0
2013,Canada,Leftover pesticides,,3.0
2013,Newfoundland and Labrador,Leftover or expired medication,10,27.0
2013,Newfoundland and Labrador,Medical sharps,10,10.0
2013,Newfoundland and Labrador,Leftover paint or solvents,10,40.0
2013,Newfoundland and Labrador,Unwanted engine oil or anti-freeze,10,12.0
2013,Newfoundland and Labrador,Dead or unwanted batteries (excluding car batteries),10,50.0
2013,Newfoundland and Labrador,Leftover pesticides,10,
2013,Prince Edward Island,Leftover or expired medication,11,44.0
2013,Prince Edward Island,Medical sharps,11,14.0
2013,Prince Edward Island,Leftover paint or solvents,11,42.0
2013,Prince Edward Island,Unwanted engine oil or anti-freeze,11,16.0
2013,Prince Edward Island,Dead or unwanted batteries (excluding car batteries),11,67.0
2013,Prince Edward Island,Leftover pesticides,11,
2013,Nova Scotia,Leftover or expired medication,12,35.0
2013,Nova Scotia,Medical sharps,12,12.0
2013,Nova Scotia,Leftover paint or solvents,12,42.0
2013,Nova Scotia,Unwanted engine oil or anti-freeze,12,14.0
2013,Nova Scotia,Dead or unwanted batteries (excluding car batteries),12,59.0
2013,Nova Scotia,Leftover pesticides,12,4.0
2013,New Brunswick,Leftover or expired medication,13,40.0
2013,New Brunswick,Medical sharps,13,13.0
2013,New Brunswick,Leftover paint or solvents,13,42.0
2013,New Brunswick,Unwanted engine oil or anti-freeze,13,13.0
2013,New Brunswick,Dead or unwanted batteries (excluding car batteries),13,59.0
2013,New Brunswick,Leftover pesticides,13,3.0
2013,Quebec,Leftover or expired medication,24,47.0
2013,Quebec,Medical sharps,24,9.0
2013,Quebec,Leftover paint or solvents,24,45.0
2013,Quebec,Unwanted engine oil or anti-freeze,24,15.0
2013,Quebec,Dead or unwanted batteries (excluding car batteries),24,62.0
2013,Quebec,Leftover pesticides,24,2.0
2013,Ontario,Leftover or expired medication,35,35.0
2013,Ontario,Medical sharps,35,10.0
2013,Ontario,Leftover paint or solvents,35,35.0
2013,Ontario,Unwanted engine oil or anti-freeze,35,12.0
2013,Ontario,Dead or unwanted batteries (excluding car batteries),35,54.0
2013,Ontario,Leftover pesticides,35,3.0
2013,Manitoba,Leftover or expired medication,46,33.0
2013,Manitoba,Medical sharps,46,9.0
2013,Manitoba,Leftover paint or solvents,46,28.0
2013,Manitoba,Unwanted engine oil or anti-freeze,46,19.0
2013,Manitoba,Dead or unwanted batteries (excluding car batteries),46,46.0
2013,Manitoba,Leftover pesticides,46,3.0
2013,Saskatchewan,Leftover or expired medication,47,32.0
2013,Saskatchewan,Medical sharps,47,6.0
2013,Saskatchewan,Leftover paint or solvents,47,33.0
2013,Saskatchewan,Unwanted engine oil or anti-freeze,47,20.0
2013,Saskatchewan,Dead or unwanted batteries (excluding car batteries),47,49.0
2013,Saskatchewan,Leftover pesticides,47,3.0
2013,Alberta,Leftover or expired medication,48,32.0
2013,Alberta,Medical sharps,48,8.0
2013,Alberta,Leftover paint or solvents,48,39.0
2013,Alberta,Unwanted engine oil or anti-freeze,48,21.0
2013,Alberta,Dead or unwanted batteries (excluding car batteries),48,52.0
2013,Alberta,Leftover pesticides,48,5.0
2013,British Columbia,Leftover or expired medication,59,30.0
2013,British Columbia,Medical sharps,59,7.0
2013,British Columbia,Leftover paint or solvents,59,28.0
2013,British Columbia,Unwanted engine oil or anti-freeze,59,16.0
2013,British Columbia,Dead or unwanted batteries (excluding car batteries),59,45.0
2013,British Columbia,Leftover pesticides,59,3.0
2013,All census metropolitan areas,Leftover or expired medication,,37.0
2013,All census metropolitan areas,Medical sharps,,9.0
2013,All census metropolitan areas,Leftover paint or solvents,,36.0
2013,All census metropolitan areas,Unwanted engine oil or anti-freeze,,13.0
2013,All census metropolitan areas,Dead or unwanted batteries (excluding car batteries),,55.0
2013,All census metropolitan areas,Leftover pesticides,,3.0
2013,"St. John's, Newfoundland and Labrador",Leftover or expired medication,,29.0
2013,"St. John's, Newfoundland and Labrador",Medical sharps,,
2013,"St. John's, Newfoundland and Labrador",Leftover paint or solvents,,54.0
2013,"St. John's, Newfoundland and Labrador",Unwanted engine oil or anti-freeze,,14.0
2013,"St. John's, Newfoundland and Labrador",Dead or unwanted batteries (excluding car batteries),,59.0
2013,"St. John's, Newfoundland and Labrador",Leftover pesticides,,
2013,"Halifax, Nova Scotia",Leftover or expired medication,,36.0
2013,"Halifax, Nova Scotia",Medical sharps,,11.0
2013,"Halifax, Nova Scotia",Leftover paint or solvents,,48.0
2013,"Halifax, Nova Scotia",Unwanted engine oil or anti-freeze,,11.0
2013,"Halifax, Nova Scotia",Dead or unwanted batteries (excluding car batteries),,64.0
2013,"Halifax, Nova Scotia",Leftover pesticides,,
2013,"Moncton, New Brunswick",Leftover or expired medication,,43.0
2013,"Moncton, New Brunswick",Medical sharps,,17.0
2013,"Moncton, New Brunswick",Leftover paint or solvents,,36.0
2013,"Moncton, New Brunswick",Unwanted engine oil or anti-freeze,,
2013,"Moncton, New Brunswick",Dead or unwanted batteries (excluding car batteries),,62.0
2013,"Moncton, New Brunswick",Leftover pesticides,,
2013,"Saint John, New Brunswick",Leftover or expired medication,,41.0
2013,"Saint John, New Brunswick",Medical sharps,,
2013,"Saint John, New Brunswick",Leftover paint or solvents,,34.0
2013,"Saint John, New Brunswick",Unwanted engine oil or anti-freeze,,
2013,"Saint John, New Brunswick",Dead or unwanted batteries (excluding car batteries),,59.0
2013,"Saint John, New Brunswick",Leftover pesticides,,
2013,"Saguenay, Quebec",Leftover or expired medication,,49.0
2013,"Saguenay, Quebec",Medical sharps,,11.0
2013,"Saguenay, Quebec",Leftover paint or solvents,,49.0
2013,"Saguenay, Quebec",Unwanted engine oil or anti-freeze,,18.0
2013,"Saguenay, Quebec",Dead or unwanted batteries (excluding car batteries),,58.0
2013,"Saguenay, Quebec",Leftover pesticides,,
2013,"Québec, Quebec",Leftover or expired medication,,46.0
2013,"Québec, Quebec",Medical sharps,,12.0
2013,"Québec, Quebec",Leftover paint or solvents,,42.0
2013,"Québec, Quebec",Unwanted engine oil or anti-freeze,,11.0
2013,"Québec, Quebec",Dead or unwanted batteries (excluding car batteries),,60.0
2013,"Québec, Quebec",Leftover pesticides,,
2013,"Sherbrooke, Quebec",Leftover or expired medication,,60.0
2013,"Sherbrooke, Quebec",Medical sharps,,
2013,"Sherbrooke, Quebec",Leftover paint or solvents,,59.0
2013,"Sherbrooke, Quebec",Unwanted engine oil or anti-freeze,,26.0
2013,"Sherbrooke, Quebec",Dead or unwanted batteries (excluding car batteries),,74.0
2013,"Sherbrooke, Quebec",Leftover pesticides,,
2013,"Trois-Rivières, Quebec",Leftover or expired medication,,47.0
2013,"Trois-Rivières, Quebec",Medical sharps,,
2013,"Trois-Rivières, Quebec",Leftover paint or solvents,,52.0
2013,"Trois-Rivières, Quebec",Unwanted engine oil or anti-freeze,,33.0
2013,"Trois-Rivières, Quebec",Dead or unwanted batteries (excluding car batteries),,62.0
2013,"Trois-Rivières, Quebec",Leftover pesticides,,
2013,"Montréal, Quebec",Leftover or expired medication,,48.0
2013,"Montréal, Quebec",Medical sharps,,9.0
2013,"Montréal, Quebec",Leftover paint or solvents,,44.0
2013,"Montréal, Quebec",Unwanted engine oil or anti-freeze,,12.0
2013,"Montréal, Quebec",Dead or unwanted batteries (excluding car batteries),,61.0
2013,"Montréal, Quebec",Leftover pesticides,,2.0
2013,"Ottawa-Gatineau, Ontario/Quebec",Leftover or expired medication,,49.0
2013,"Ottawa-Gatineau, Ontario/Quebec",Medical sharps,,13.0
2013,"Ottawa-Gatineau, Ontario/Quebec",Leftover paint or solvents,,37.0
2013,"Ottawa-Gatineau, Ontario/Quebec",Unwanted engine oil or anti-freeze,,14.0
2013,"Ottawa-Gatineau, Ontario/Quebec",Dead or unwanted batteries (excluding car batteries),,61.0
2013,"Ottawa-Gatineau, Ontario/Quebec",Leftover pesticides,,4.0
2013,Ottawa-Gatineau (Quebec part),Leftover or expired medication,,55.0
2013,Ottawa-Gatineau (Quebec part),Medical sharps,,
2013,Ottawa-Gatineau (Quebec part),Leftover paint or solvents,,46.0
2013,Ottawa-Gatineau (Quebec part),Unwanted engine oil or anti-freeze,,22.0
2013,Ottawa-Gatineau (Quebec part),Dead or unwanted batteries (excluding car batteries),,68.0
2013,Ottawa-Gatineau (Quebec part),Leftover pesticides,,
2013,Ottawa-Gatineau (Ontario part),Leftover or expired medication,,47.0
2013,Ottawa-Gatineau (Ontario part),Medical sharps,,13.0
2013,Ottawa-Gatineau (Ontario part),Leftover paint or solvents,,34.0
2013,Ottawa-Gatineau (Ontario part),Unwanted engine oil or anti-freeze,,12.0
2013,Ottawa-Gatineau (Ontario part),Dead or unwanted batteries (excluding car batteries),,59.0
2013,Ottawa-Gatineau (Ontario part),Leftover pesticides,,4.0
2013,"Kingston, Ontario",Leftover or expired medication,,38.0
2013,"Kingston, Ontario",Medical sharps,,10.0
2013,"Kingston, Ontario",Leftover paint or solvents,,46.0
2013,"Kingston, Ontario",Unwanted engine oil or anti-freeze,,12.0
2013,"Kingston, Ontario",Dead or unwanted batteries (excluding car batteries),,59.0
2013,"Kingston, Ontario",Leftover pesticides,,
2013,"Peterborough, Ontario",Leftover or expired medication,,53.0
2013,"Peterborough, Ontario",Medical sharps,,13.0
2013,"Peterborough, Ontario",Leftover paint or solvents,,54.0
2013,"Peterborough, Ontario",Unwanted engine oil or anti-freeze,,20.0
2013,"Peterborough, Ontario",Dead or unwanted batteries (excluding car batteries),,72.0
2013,"Peterborough, Ontario",Leftover pesticides,,
2013,"Oshawa, Ontario",Leftover or expired medication,,33.0
2013,"Oshawa, Ontario",Medical sharps,,15.0
2013,"Oshawa, Ontario",Leftover paint or solvents,,34.0
2013,"Oshawa, Ontario",Unwanted engine oil or anti-freeze,,10.0
2013,"Oshawa, Ontario",Dead or unwanted batteries (excluding car batteries),,64.0
2013,"Oshawa, Ontario",Leftover pesticides,,
2013,"Toronto, Ontario",Leftover or expired medication,,32.0
2013,"Toronto, Ontario",Medical sharps,,9.0
2013,"Toronto, Ontario",Leftover paint or solvents,,30.0
2013,"Toronto, Ontario",Unwanted engine oil or anti-freeze,,9.0
2013,"Toronto, Ontario",Dead or unwanted batteries (excluding car batteries),,53.0
2013,"Toronto, Ontario",Leftover pesticides,,3.0
2013,"Hamilton, Ontario",Leftover or expired medication,,42.0
2013,"Hamilton, Ontario",Medical sharps,,9.0
2013,"Hamilton, Ontario",Leftover paint or solvents,,36.0
2013,"Hamilton, Ontario",Unwanted engine oil or anti-freeze,,13.0
2013,"Hamilton, Ontario",Dead or unwanted batteries (excluding car batteries),,55.0
2013,"Hamilton, Ontario",Leftover pesticides,,7.0
2013,"St. Catharines-Niagara, Ontario",Leftover or expired medication,,32.0
2013,"St. Catharines-Niagara, Ontario",Medical sharps,,6.0
2013,"St. Catharines-Niagara, Ontario",Leftover paint or solvents,,49.0
2013,"St. Catharines-Niagara, Ontario",Unwanted engine oil or anti-freeze,,16.0
2013,"St. Catharines-Niagara, Ontario",Dead or unwanted batteries (excluding car batteries),,50.0
2013,"St. Catharines-Niagara, Ontario",Leftover pesticides,,
2013,"Kitchener-Cambridge-Waterloo, Ontario",Leftover or expired medication,,32.0
2013,"Kitchener-Cambridge-Waterloo, Ontario",Medical sharps,,12.0
2013,"Kitchener-Cambridge-Waterloo, Ontario",Leftover paint or solvents,,39.0
2013,"Kitchener-Cambridge-Waterloo, Ontario",Unwanted engine oil or anti-freeze,,13.0
2013,"Kitchener-Cambridge-Waterloo, Ontario",Dead or unwanted batteries (excluding car batteries),,54.0
2013,"Kitchener-Cambridge-Waterloo, Ontario",Leftover pesticides,,
2013,"Brantford, Ontario",Leftover or expired medication,,28.0
2013,"Brantford, Ontario",Medical sharps,,
