Year,Gender,Indigenous identity,Geography,GeoCode,Value
2014,All genders,Total,Nunavut,62,11.17
2014,All genders,Indigenous identity,Nunavut,,13.01
2014,All genders,Non-Indigenous identity,Nunavut,,0.0
2014,Male,Total,Nunavut,,10.85
2014,Male,Indigenous identity,Nunavut,,12.78
2014,Male,Non-Indigenous identity,Nunavut,,0.0
2014,Female,Total,Nunavut,,11.51
2014,Female,Indigenous identity,Nunavut,,13.25
2014,Female,Non-Indigenous identity,Nunavut,,0.0
2015,All genders,Indigenous identity,Canada,,8.74
2015,All genders,Non-Indigenous identity,Canada,,1.34
2015,Male,Total,Canada,,2.44
2015,Male,Indigenous identity,Canada,,12.6
2015,Male,Non-Indigenous identity,Canada,,1.9
2015,Female,Total,Canada,,1.0
2015,Female,Indigenous identity,Canada,,4.99
2015,Female,Non-Indigenous identity,Canada,,0.78
2015,All genders,Total,Newfoundland and Labrador,10,0.57
2015,All genders,Indigenous identity,Newfoundland and Labrador,,2.2
2015,All genders,Non-Indigenous identity,Newfoundland and Labrador,,0.41
2015,Male,Total,Newfoundland and Labrador,,0.76
2015,Male,Indigenous identity,Newfoundland and Labrador,,0.0
2015,Male,Non-Indigenous identity,Newfoundland and Labrador,,0.83
2015,Female,Total,Newfoundland and Labrador,,0.37
2015,Female,Indigenous identity,Newfoundland and Labrador,,4.33
2015,Female,Non-Indigenous identity,Newfoundland and Labrador,,0.0
2015,All genders,Total,Prince Edward Island,11,0.69
2015,All genders,Indigenous identity,Prince Edward Island,,0.0
2015,All genders,Non-Indigenous identity,Prince Edward Island,,0.7
2015,Male,Total,Prince Edward Island,,0.0
2015,Male,Indigenous identity,Prince Edward Island,,0.0
2015,Male,Non-Indigenous identity,Prince Edward Island,,0.0
2015,Female,Total,Prince Edward Island,,1.34
2015,Female,Indigenous identity,Prince Edward Island,,0.0
2015,Female,Non-Indigenous identity,Prince Edward Island,,1.36
2015,All genders,Total,Nova Scotia,12,1.27
2015,All genders,Indigenous identity,Nova Scotia,,1.98
2015,All genders,Non-Indigenous identity,Nova Scotia,,1.12
2015,Male,Total,Nova Scotia,,1.52
2015,Male,Indigenous identity,Nova Scotia,,4.04
2015,Male,Non-Indigenous identity,Nova Scotia,,1.38
2015,Female,Total,Nova Scotia,,1.04
2015,Female,Indigenous identity,Nova Scotia,,0.0
2015,Female,Non-Indigenous identity,Nova Scotia,,0.88
2015,All genders,Total,New Brunswick,13,1.44
2015,All genders,Indigenous identity,New Brunswick,,0.0
2015,All genders,Non-Indigenous identity,New Brunswick,,1.5
2015,Male,Total,New Brunswick,,1.59
2015,Male,Indigenous identity,New Brunswick,,0.0
2015,Male,Non-Indigenous identity,New Brunswick,,1.66
2015,Female,Total,New Brunswick,,1.3
2015,Female,Indigenous identity,New Brunswick,,0.0
2015,Female,Non-Indigenous identity,New Brunswick,,1.35
2015,All genders,Total,Quebec,24,0.97
2015,All genders,Indigenous identity,Quebec,,3.09
2015,All genders,Non-Indigenous identity,Quebec,,0.91
2015,Male,Total,Quebec,,1.48
2015,Male,Indigenous identity,Quebec,,4.06
2015,Male,Non-Indigenous identity,Quebec,,1.41
2015,Female,Total,Quebec,,0.46
2015,Female,Indigenous identity,Quebec,,2.09
2015,Female,Non-Indigenous identity,Quebec,,0.42
2015,All genders,Total,Ontario,35,1.27
2015,All genders,Indigenous identity,Ontario,,3.33
2015,All genders,Non-Indigenous identity,Ontario,,1.18
2015,Male,Total,Ontario,,1.83
2015,Male,Indigenous identity,Ontario,,5.25
2015,Male,Non-Indigenous identity,Ontario,,1.69
2015,Female,Total,Ontario,,0.72
2015,Female,Indigenous identity,Ontario,,1.5
2015,Female,Non-Indigenous identity,Ontario,,0.68
2015,All genders,Total,Manitoba,46,3.7
2015,All genders,Indigenous identity,Manitoba,,15.55
2015,All genders,Non-Indigenous identity,Manitoba,,1.13
2015,Male,Total,Manitoba,,5.73
2015,Male,Indigenous identity,Manitoba,,24.58
2015,Male,Non-Indigenous identity,Manitoba,,1.69
2015,Female,Total,Manitoba,,1.69
2015,Female,Indigenous identity,Manitoba,,6.81
2015,Female,Non-Indigenous identity,Manitoba,,0.56
2015,All genders,Total,Saskatchewan,47,4.19
2015,All genders,Indigenous identity,Saskatchewan,,17.55
2015,All genders,Non-Indigenous identity,Saskatchewan,,1.6
2015,Male,Total,Saskatchewan,,5.85
2015,Male,Indigenous identity,Saskatchewan,,30.13
2015,Male,Non-Indigenous identity,Saskatchewan,,1.26
2015,Female,Total,Saskatchewan,,2.51
2015,Female,Indigenous identity,Saskatchewan,,5.39
2015,Female,Non-Indigenous identity,Saskatchewan,,1.94
2015,All genders,Total,Alberta,48,3.23
2015,All genders,Indigenous identity,Alberta,,13.72
2015,All genders,Non-Indigenous identity,Alberta,,2.47
2015,Male,Total,Alberta,,4.23
2015,Male,Indigenous identity,Alberta,,15.84
2015,Male,Non-Indigenous identity,Alberta,,3.39
2015,Female,Total,Alberta,,2.21
2015,Female,Indigenous identity,Alberta,,11.67
2015,Female,Non-Indigenous identity,Alberta,,1.53
2015,All genders,Total,British Columbia,59,2.01
2015,All genders,Indigenous identity,British Columbia,,6.42
2015,All genders,Non-Indigenous identity,British Columbia,,1.73
2015,Male,Total,British Columbia,,3.0
2015,Male,Indigenous identity,British Columbia,,9.48
2015,Male,Non-Indigenous identity,British Columbia,,2.6
2015,Female,Total,British Columbia,,1.04
2015,Female,Indigenous identity,British Columbia,,3.49
2015,Female,Non-Indigenous identity,British Columbia,,0.88
2015,All genders,Total,Yukon,60,2.65
2015,All genders,Indigenous identity,Yukon,,0.0
2015,All genders,Non-Indigenous identity,Yukon,,3.46
2015,Male,Total,Yukon,,5.21
2015,Male,Indigenous identity,Yukon,,0.0
2015,Male,Non-Indigenous identity,Yukon,,6.71
2015,Female,Total,Yukon,,0.0
2015,Female,Indigenous identity,Yukon,,0.0
2015,Female,Non-Indigenous identity,Yukon,,0.0
2015,All genders,Total,Northwest Territories,61,13.48
2015,All genders,Indigenous identity,Northwest Territories,,26.53
2015,All genders,Non-Indigenous identity,Northwest Territories,,0.0
2015,Male,Total,Northwest Territories,,13.12
2015,Male,Indigenous identity,Northwest Territories,,26.49
2015,Male,Non-Indigenous identity,Northwest Territories,,0.0
2015,Female,Total,Northwest Territories,,13.86
2015,Female,Indigenous identity,Northwest Territories,,26.57
2015,Female,Non-Indigenous identity,Northwest Territories,,0.0
2015,All genders,Total,Nunavut,62,5.5
2015,All genders,Indigenous identity,Nunavut,,6.41
2015,All genders,Non-Indigenous identity,Nunavut,,0.0
2015,Male,Total,Nunavut,,5.35
2015,Male,Indigenous identity,Nunavut,,6.31
2015,Male,Non-Indigenous identity,Nunavut,,0.0
2015,Female,Total,Nunavut,,5.66
2015,Female,Indigenous identity,Nunavut,,6.52
2015,Female,Non-Indigenous identity,Nunavut,,0.0
2016,All genders,Indigenous identity,Canada,,7.96
2016,All genders,Non-Indigenous identity,Canada,,1.36
2016,Male,Total,Canada,,2.58
2016,Male,Indigenous identity,Canada,,12.66
2016,Male,Non-Indigenous identity,Canada,,2.02
2016,Female,Total,Canada,,0.86
2016,Female,Indigenous identity,Canada,,3.39
2016,Female,Non-Indigenous identity,Canada,,0.71
2016,All genders,Total,Newfoundland and Labrador,10,1.51
2016,All genders,Indigenous identity,Newfoundland and Labrador,,2.11
2016,All genders,Non-Indigenous identity,Newfoundland and Labrador,,1.45
2016,Male,Total,Newfoundland and Labrador,,1.9
2016,Male,Indigenous identity,Newfoundland and Labrador,,4.31
2016,Male,Non-Indigenous identity,Newfoundland and Labrador,,1.67
2016,Female,Total,Newfoundland and Labrador,,1.12
2016,Female,Indigenous identity,Newfoundland and Labrador,,0.0
2016,Female,Non-Indigenous identity,Newfoundland and Labrador,,1.24
2016,All genders,Total,Prince Edward Island,11,0.0
2016,All genders,Indigenous identity,Prince Edward Island,,0.0
2016,All genders,Non-Indigenous identity,Prince Edward Island,,0.0
2016,Male,Total,Prince Edward Island,,0.0
2016,Male,Indigenous identity,Prince Edward Island,,0.0
2016,Male,Non-Indigenous identity,Prince Edward Island,,0.0
2016,Female,Total,Prince Edward Island,,0.0
2016,Female,Indigenous identity,Prince Edward Island,,0.0
2016,Female,Non-Indigenous identity,Prince Edward Island,,0.0
2016,All genders,Total,Nova Scotia,12,1.38
2016,All genders,Indigenous identity,Nova Scotia,,1.86
2016,All genders,Non-Indigenous identity,Nova Scotia,,1.12
2016,Male,Total,Nova Scotia,,2.39
2016,Male,Indigenous identity,Nova Scotia,,3.82
2016,Male,Non-Indigenous identity,Nova Scotia,,1.84
2016,Female,Total,Nova Scotia,,0.41
2016,Female,Indigenous identity,Nova Scotia,,0.0
2016,Female,Non-Indigenous identity,Nova Scotia,,0.44
2016,All genders,Total,New Brunswick,13,1.44
2016,All genders,Indigenous identity,New Brunswick,,0.0
2016,All genders,Non-Indigenous identity,New Brunswick,,1.5
2016,Male,Total,New Brunswick,,2.38
2016,Male,Indigenous identity,New Brunswick,,0.0
2016,Male,Non-Indigenous identity,New Brunswick,,2.49
2016,Female,Total,New Brunswick,,0.52
2016,Female,Indigenous identity,New Brunswick,,0.0
2016,Female,Non-Indigenous identity,New Brunswick,,0.54
2016,All genders,Total,Quebec,24,0.81
2016,All genders,Indigenous identity,Quebec,,2.01
2016,All genders,Non-Indigenous identity,Quebec,,0.77
2016,Male,Total,Quebec,,1.25
2016,Male,Indigenous identity,Quebec,,3.98
2016,Male,Non-Indigenous identity,Quebec,,1.15
2016,Female,Total,Quebec,,0.39
2016,Female,Indigenous identity,Quebec,,0.0
2016,Female,Non-Indigenous identity,Quebec,,0.4
2016,All genders,Total,Ontario,35,1.48
2016,All genders,Indigenous identity,Ontario,,4.41
2016,All genders,Non-Indigenous identity,Ontario,,1.36
2016,Male,Total,Ontario,,2.21
2016,Male,Indigenous identity,Ontario,,8.52
2016,Male,Non-Indigenous identity,Ontario,,1.99
2016,Female,Total,Ontario,,0.78
2016,Female,Indigenous identity,Ontario,,0.48
2016,Female,Non-Indigenous identity,Ontario,,0.75
2016,All genders,Total,Manitoba,46,3.27
2016,All genders,Indigenous identity,Manitoba,,11.61
2016,All genders,Non-Indigenous identity,Manitoba,,1.4
2016,Male,Total,Manitoba,,5.04
2016,Male,Indigenous identity,Manitoba,,17.59
2016,Male,Non-Indigenous identity,Manitoba,,2.24
2016,Female,Total,Manitoba,,1.52
2016,Female,Indigenous identity,Manitoba,,5.75
2016,Female,Non-Indigenous identity,Manitoba,,0.56
2016,All genders,Total,Saskatchewan,47,5.02
2016,All genders,Indigenous identity,Saskatchewan,,20.13
2016,All genders,Non-Indigenous identity,Saskatchewan,,2.01
2016,Male,Total,Saskatchewan,,7.52
2016,Male,Indigenous identity,Saskatchewan,,30.95
2016,Male,Non-Indigenous identity,Saskatchewan,,2.93
2016,Female,Total,Saskatchewan,,2.48
2016,Female,Indigenous identity,Saskatchewan,,9.46
2016,Female,Non-Indigenous identity,Saskatchewan,,1.07
2016,All genders,Total,Alberta,48,2.76
2016,All genders,Indigenous identity,Alberta,,11.04
2016,All genders,Non-Indigenous identity,Alberta,,2.17
2016,Male,Total,Alberta,,4.11
2016,Male,Indigenous identity,Alberta,,15.17
2016,Male,Non-Indigenous identity,Alberta,,3.33
2016,Female,Total,Alberta,,1.4
2016,Female,Indigenous identity,Alberta,,7.02
2016,Female,Non-Indigenous identity,Alberta,,0.98
2016,All genders,Total,British Columbia,59,1.85
2016,All genders,Indigenous identity,British Columbia,,5.81
2016,All genders,Non-Indigenous identity,British Columbia,,1.6
2016,Male,Total,British Columbia,,2.74
2016,Male,Indigenous identity,British Columbia,,10.48
2016,Male,Non-Indigenous identity,British Columbia,,2.25
2016,Female,Total,British Columbia,,0.98
2016,Female,Indigenous identity,British Columbia,,1.34
2016,Female,Non-Indigenous identity,British Columbia,,0.95
2016,All genders,Total,Yukon,60,10.38
2016,All genders,Indigenous identity,Yukon,,22.17
2016,All genders,Non-Indigenous identity,Yukon,,6.78
2016,Male,Total,Yukon,,20.42
2016,Male,Indigenous identity,Yukon,,45.19
2016,Male,Non-Indigenous identity,Yukon,,13.19
2016,Female,Total,Yukon,,0.0
2016,Female,Indigenous identity,Yukon,,0.0
2016,Female,Non-Indigenous identity,Yukon,,0.0
2016,All genders,Total,Northwest Territories,61,6.72
2016,All genders,Indigenous identity,Northwest Territories,,13.27
2016,All genders,Non-Indigenous identity,Northwest Territories,,0.0
2016,Male,Total,Northwest Territories,,8.71
2016,Male,Indigenous identity,Northwest Territories,,17.62
2016,Male,Non-Indigenous identity,Northwest Territories,,0.0
2016,Female,Total,Northwest Territories,,4.61
2016,Female,Indigenous identity,Northwest Territories,,8.88
2016,Female,Non-Indigenous identity,Northwest Territories,,0.0
2016,All genders,Total,Nunavut,62,2.7
2016,All genders,Indigenous identity,Nunavut,,3.15
2016,All genders,Non-Indigenous identity,Nunavut,,0.0
2016,Male,Total,Nunavut,,0.0
2016,Male,Indigenous identity,Nunavut,,0.0
2016,Male,Non-Indigenous identity,Nunavut,,0.0
2016,Female,Total,Nunavut,,5.56
2016,Female,Indigenous identity,Nunavut,,6.41
2016,Female,Non-Indigenous identity,Nunavut,,0.0
2017,All genders,Indigenous identity,Canada,,8.47
2017,All genders,Non-Indigenous identity,Canada,,1.45
2017,Male,Total,Canada,,2.72
2017,Male,Indigenous identity,Canada,,12.91
2017,Male,Non-Indigenous identity,Canada,,2.14
2017,Female,Total,Canada,,0.95
2017,Female,Indigenous identity,Canada,,4.13
2017,Female,Non-Indigenous identity,Canada,,0.76
2017,All genders,Total,Newfoundland and Labrador,10,0.76
2017,All genders,Indigenous identity,Newfoundland and Labrador,,2.05
2017,All genders,Non-Indigenous identity,Newfoundland and Labrador,,0.63
2017,Male,Total,Newfoundland and Labrador,,0.38
2017,Male,Indigenous identity,Newfoundland and Labrador,,0.0
2017,Male,Non-Indigenous identity,Newfoundland and Labrador,,0.42
2017,Female,Total,Newfoundland and Labrador,,1.13
2017,Female,Indigenous identity,Newfoundland and Labrador,,4.02
2017,Female,Non-Indigenous identity,Newfoundland and Labrador,,0.83
2017,All genders,Total,Prince Edward Island,11,1.33
2017,All genders,Indigenous identity,Prince Edward Island,,0.0
2017,All genders,Non-Indigenous identity,Prince Edward Island,,1.36
2017,Male,Total,Prince Edward Island,,2.72
2017,Male,Indigenous identity,Prince Edward Island,,0.0
2017,Male,Non-Indigenous identity,Prince Edward Island,,2.77
2017,Female,Total,Prince Edward Island,,0.0
2017,Female,Indigenous identity,Prince Edward Island,,0.0
2017,Female,Non-Indigenous identity,Prince Edward Island,,0.0
2017,All genders,Total,Nova Scotia,12,2.21
2017,All genders,Indigenous identity,Nova Scotia,,0.0
2017,All genders,Non-Indigenous identity,Nova Scotia,,2.24
2017,Male,Total,Nova Scotia,,1.51
2017,Male,Indigenous identity,Nova Scotia,,0.0
2017,Male,Non-Indigenous identity,Nova Scotia,,1.6
2017,Female,Total,Nova Scotia,,2.88
2017,Female,Indigenous identity,Nova Scotia,,0.0
2017,Female,Non-Indigenous identity,Nova Scotia,,2.85
2017,All genders,Total,New Brunswick,13,1.3
2017,All genders,Indigenous identity,New Brunswick,,0.0
2017,All genders,Non-Indigenous identity,New Brunswick,,1.36
2017,Male,Total,New Brunswick,,1.85
2017,Male,Indigenous identity,New Brunswick,,0.0
2017,Male,Non-Indigenous identity,New Brunswick,,1.93
2017,Female,Total,New Brunswick,,0.77
2017,Female,Indigenous identity,New Brunswick,,0.0
2017,Female,Non-Indigenous identity,New Brunswick,,0.81
2017,All genders,Total,Quebec,24,1.12
2017,All genders,Indigenous identity,Quebec,,5.8
2017,All genders,Non-Indigenous identity,Quebec,,1.0
2017,Male,Total,Quebec,,1.5
2017,Male,Indigenous identity,Quebec,,7.65
2017,Male,Non-Indigenous identity,Quebec,,1.34
2017,Female,Total,Quebec,,0.7
2017,Female,Indigenous identity,Quebec,,3.92
2017,Female,Non-Indigenous identity,Quebec,,0.62
2017,All genders,Total,Ontario,35,1.41
2017,All genders,Indigenous identity,Ontario,,4.74
2017,All genders,Non-Indigenous identity,Ontario,,1.27
2017,Male,Total,Ontario,,2.13
2017,Male,Indigenous identity,Ontario,,7.75
2017,Male,Non-Indigenous identity,Ontario,,1.92
2017,Female,Total,Ontario,,0.7
2017,Female,Indigenous identity,Ontario,,1.86
2017,Female,Non-Indigenous identity,Ontario,,0.64
2017,All genders,Total,Manitoba,46,3.52
2017,All genders,Indigenous identity,Manitoba,,11.68
2017,All genders,Non-Indigenous identity,Manitoba,,1.56
2017,Male,Total,Manitoba,,5.7
2017,Male,Indigenous identity,Manitoba,,19.49
2017,Male,Non-Indigenous identity,Manitoba,,2.39
2017,Female,Total,Manitoba,,1.35
2017,Female,Indigenous identity,Manitoba,,4.0
2017,Female,Non-Indigenous identity,Manitoba,,0.74
2017,All genders,Total,Saskatchewan,47,3.3
2017,All genders,Indigenous identity,Saskatchewan,,15.5
2017,All genders,Non-Indigenous identity,Saskatchewan,,0.84
2017,Male,Total,Saskatchewan,,5.0
2017,Male,Indigenous identity,Saskatchewan,,26.01
2017,Male,Non-Indigenous identity,Saskatchewan,,0.83
2017,Female,Total,Saskatchewan,,1.58
2017,Female,Indigenous identity,Saskatchewan,,5.13
2017,Female,Non-Indigenous identity,Saskatchewan,,0.84
2017,All genders,Total,Alberta,48,2.81
2017,All genders,Indigenous identity,Alberta,,14.26
2017,All genders,Non-Indigenous identity,Alberta,,1.92
2017,Male,Total,Alberta,,4.45
2017,Male,Indigenous identity,Alberta,,21.87
2017,Male,Non-Indigenous identity,Alberta,,3.11
2017,Female,Total,Alberta,,1.14
2017,Female,Indigenous identity,Alberta,,6.86
2017,Female,Non-Indigenous identity,Alberta,,0.71
2017,All genders,Total,British Columbia,59,2.45
2017,All genders,Indigenous identity,British Columbia,,3.97
2017,All genders,Non-Indigenous identity,British Columbia,,2.36
2017,Male,Total,British Columbia,,3.77
2017,Male,Indigenous identity,British Columbia,,4.06
2017,Male,Non-Indigenous identity,British Columbia,,3.75
2017,Female,Total,British Columbia,,1.16
2017,Female,Indigenous identity,British Columbia,,3.89
2017,Female,Non-Indigenous identity,British Columbia,,0.98
2017,All genders,Total,Yukon,60,20.2
2017,All genders,Indigenous identity,Yukon,,65.3
2017,All genders,Non-Indigenous identity,Yukon,,6.57
2017,Male,Total,Yukon,,29.79
2017,Male,Indigenous identity,Yukon,,88.59
2017,Male,Non-Indigenous identity,Yukon,,12.8
2017,Female,Total,Yukon,,10.27
2017,Female,Indigenous identity,Yukon,,42.78
2017,Female,Non-Indigenous identity,Yukon,,0.0
2017,All genders,Total,Northwest Territories,61,4.46
2017,All genders,Indigenous identity,Northwest Territories,,8.81
2017,All genders,Non-Indigenous identity,Northwest Territories,,0.0
2017,Male,Total,Northwest Territories,,8.66
2017,Male,Indigenous identity,Northwest Territories,,17.53
2017,Male,Non-Indigenous identity,Northwest Territories,,0.0
2017,Female,Total,Northwest Territories,,0.0
2017,Female,Indigenous identity,Northwest Territories,,0.0
2017,Female,Non-Indigenous identity,Northwest Territories,,0.0
2017,All genders,Total,Nunavut,62,15.98
2017,All genders,Indigenous identity,Nunavut,,15.48
2017,All genders,Non-Indigenous identity,Nunavut,,19.07
2017,Male,Total,Nunavut,,20.72
2017,Male,Indigenous identity,Nunavut,,18.22
2017,Male,Non-Indigenous identity,Nunavut,,35.21
2017,Female,Total,Nunavut,,10.97
2017,Female,Indigenous identity,Nunavut,,12.63
2017,Female,Non-Indigenous identity,Nunavut,,0.0
2018,All genders,Indigenous identity,Canada,,7.45
2018,All genders,Non-Indigenous identity,Canada,,1.47
2018,Male,Total,Canada,,2.7
2018,Male,Indigenous identity,Canada,,10.42
2018,Male,Non-Indigenous identity,Canada,,2.26
2018,Female,Total,Canada,,0.9
2018,Female,Indigenous identity,Canada,,4.54
2018,Female,Non-Indigenous identity,Canada,,0.69
2018,All genders,Total,Newfoundland and Labrador,10,0.38
2018,All genders,Indigenous identity,Newfoundland and Labrador,,0.0
2018,All genders,Non-Indigenous identity,Newfoundland and Labrador,,0.21
2018,Male,Total,Newfoundland and Labrador,,0.77
2018,Male,Indigenous identity,Newfoundland and Labrador,,0.0
2018,Male,Non-Indigenous identity,Newfoundland and Labrador,,0.42
2018,Female,Total,Newfoundland and Labrador,,0.0
2018,Female,Indigenous identity,Newfoundland and Labrador,,0.0
2018,Female,Non-Indigenous identity,Newfoundland and Labrador,,0.0
2018,All genders,Total,Prince Edward Island,11,0.0
2018,All genders,Indigenous identity,Prince Edward Island,,0.0
2018,All genders,Non-Indigenous identity,Prince Edward Island,,0.0
2018,Male,Total,Prince Edward Island,,0.0
2018,Male,Indigenous identity,Prince Edward Island,,0.0
2018,Male,Non-Indigenous identity,Prince Edward Island,,0.0
2018,Female,Total,Prince Edward Island,,0.0
2018,Female,Indigenous identity,Prince Edward Island,,0.0
2018,Female,Non-Indigenous identity,Prince Edward Island,,0.0
2018,All genders,Total,Nova Scotia,12,1.15
2018,All genders,Indigenous identity,Nova Scotia,,0.0
2018,All genders,Non-Indigenous identity,Nova Scotia,,1.22
2018,Male,Total,Nova Scotia,,1.49
2018,Male,Indigenous identity,Nova Scotia,,0.0
2018,Male,Non-Indigenous identity,Nova Scotia,,1.59
2018,Female,Total,Nova Scotia,,0.82
2018,Female,Indigenous identity,Nova Scotia,,0.0
2018,Female,Non-Indigenous identity,Nova Scotia,,0.87
2018,All genders,Total,New Brunswick,13,1.69
2018,All genders,Indigenous identity,New Brunswick,,3.03
2018,All genders,Non-Indigenous identity,New Brunswick,,1.63
2018,Male,Total,New Brunswick,,1.31
