Year,Type of childhood maltreatment,Geography,Gender,Age,Immigrant status,Visible minority,Indigenous identity,Disability status,Sexual orientation,GeoCode,Value
2018,Physical abuse,Newfoundland and Labrador,"Total, gender",35 to 44 years,,,,,,10,14.09
2018,Physical abuse,Newfoundland and Labrador,Male gender,35 to 44 years,,,,,,10,13.44
2018,Physical abuse,Newfoundland and Labrador,Female gender,35 to 44 years,,,,,,10,14.68
2018,Physical abuse,Newfoundland and Labrador,"Total, gender",45 to 54 years,,,,,,10,21.01
2018,Physical abuse,Newfoundland and Labrador,Male gender,45 to 54 years,,,,,,10,27.04
2018,Physical abuse,Newfoundland and Labrador,Female gender,45 to 54 years,,,,,,10,15.35
2018,Sexual abuse,Newfoundland and Labrador,"Total, gender","Total, age",,,,,,10,6.0
2018,Sexual abuse,Newfoundland and Labrador,Male gender,"Total, age",,,,,,10,2.63
2018,Sexual abuse,Newfoundland and Labrador,Female gender,"Total, age",,,,,,10,9.2
2018,Sexual abuse,Newfoundland and Labrador,"Total, gender",35 to 44 years,,,,,,10,6.57
2018,Sexual abuse,Newfoundland and Labrador,Female gender,35 to 44 years,,,,,,10,10.96
2018,Sexual abuse,Newfoundland and Labrador,"Total, gender",45 to 54 years,,,,,,10,10.86
2018,Sexual abuse,Newfoundland and Labrador,Female gender,45 to 54 years,,,,,,10,17.15
2018,Physical or sexual abuse,Prince Edward Island,"Total, gender","Total, age",,,,,,11,24.18
2018,Physical or sexual abuse,Prince Edward Island,Male gender,"Total, age",,,,,,11,22.29
2018,Physical or sexual abuse,Prince Edward Island,Female gender,"Total, age",,,,,,11,26.05
2018,Physical or sexual abuse,Prince Edward Island,"Total, gender",25 to 34 years,,,,,,11,23.29
2018,Physical or sexual abuse,Prince Edward Island,Female gender,25 to 34 years,,,,,,11,22.31
2018,Physical or sexual abuse,Prince Edward Island,"Total, gender",35 to 44 years,,,,,,11,16.81
2018,Physical or sexual abuse,Prince Edward Island,Female gender,35 to 44 years,,,,,,11,22.16
2018,Physical or sexual abuse,Prince Edward Island,"Total, gender",45 to 54 years,,,,,,11,29.37
2018,Physical or sexual abuse,Prince Edward Island,Male gender,45 to 54 years,,,,,,11,30.38
2018,Physical or sexual abuse,Prince Edward Island,Female gender,45 to 54 years,,,,,,11,28.3
2018,Physical abuse,Prince Edward Island,"Total, gender","Total, age",,,,,,11,21.11
2018,Physical abuse,Prince Edward Island,Male gender,"Total, age",,,,,,11,21.56
2018,Physical abuse,Prince Edward Island,Female gender,"Total, age",,,,,,11,20.67
2018,Physical abuse,Prince Edward Island,"Total, gender",25 to 34 years,,,,,,11,23.29
2018,Physical abuse,Prince Edward Island,Female gender,25 to 34 years,,,,,,11,22.31
2018,Physical abuse,Prince Edward Island,"Total, gender",35 to 44 years,,,,,,11,13.04
2018,Physical abuse,Prince Edward Island,Female gender,35 to 44 years,,,,,,11,15.04
2018,Physical abuse,Prince Edward Island,"Total, gender",45 to 54 years,,,,,,11,27.57
2018,Physical abuse,Prince Edward Island,Male gender,45 to 54 years,,,,,,11,30.38
2018,Physical abuse,Prince Edward Island,Female gender,45 to 54 years,,,,,,11,24.62
2018,Sexual abuse,Prince Edward Island,"Total, gender","Total, age",,,,,,11,7.22
2018,Sexual abuse,Prince Edward Island,Male gender,"Total, age",,,,,,11,2.18
2018,Sexual abuse,Prince Edward Island,Female gender,"Total, age",,,,,,11,12.19
2018,Sexual abuse,Prince Edward Island,"Total, gender",35 to 44 years,,,,,,11,8.06
2018,Sexual abuse,Prince Edward Island,Female gender,35 to 44 years,,,,,,11,15.25
2018,Sexual abuse,Prince Edward Island,"Total, gender",45 to 54 years,,,,,,11,7.41
2018,Sexual abuse,Prince Edward Island,Female gender,45 to 54 years,,,,,,11,13.21
2018,Physical or sexual abuse,Nova Scotia,"Total, gender","Total, age",,,,,,12,27.31
2018,Physical or sexual abuse,Nova Scotia,Male gender,"Total, age",,,,,,12,26.14
2018,Physical or sexual abuse,Nova Scotia,Female gender,"Total, age",,,,,,12,28.39
2018,Physical or sexual abuse,Nova Scotia,"Total, gender",15 to 24 years,,,,,,12,18.76
2018,Physical or sexual abuse,Nova Scotia,Male gender,15 to 24 years,,,,,,12,24.05
2018,Physical or sexual abuse,Nova Scotia,"Total, gender",25 to 34 years,,,,,,12,20.13
2018,Physical or sexual abuse,Nova Scotia,Male gender,25 to 34 years,,,,,,12,16.87
2018,Physical or sexual abuse,Nova Scotia,Female gender,25 to 34 years,,,,,,12,23.89
2018,Physical or sexual abuse,Nova Scotia,"Total, gender",35 to 44 years,,,,,,12,29.35
2018,Physical or sexual abuse,Nova Scotia,Male gender,35 to 44 years,,,,,,12,28.38
2018,Physical or sexual abuse,Nova Scotia,Female gender,35 to 44 years,,,,,,12,30.26
2018,Physical or sexual abuse,Nova Scotia,"Total, gender",45 to 54 years,,,,,,12,32.59
2018,Physical or sexual abuse,Nova Scotia,Male gender,45 to 54 years,,,,,,12,25.51
2018,Physical or sexual abuse,Nova Scotia,Female gender,45 to 54 years,,,,,,12,38.75
2018,Physical abuse,Nova Scotia,"Total, gender","Total, age",,,,,,12,22.92
2018,Physical abuse,Nova Scotia,Male gender,"Total, age",,,,,,12,24.49
2018,Physical abuse,Nova Scotia,Female gender,"Total, age",,,,,,12,21.45
2018,Physical abuse,Nova Scotia,"Total, gender",15 to 24 years,,,,,,12,18.76
2018,Physical abuse,Nova Scotia,Male gender,15 to 24 years,,,,,,12,24.05
2018,Physical abuse,Nova Scotia,"Total, gender",25 to 34 years,,,,,,12,17.96
2018,Physical abuse,Nova Scotia,Male gender,25 to 34 years,,,,,,12,15.89
2018,Physical abuse,Nova Scotia,Female gender,25 to 34 years,,,,,,12,20.44
2018,Physical abuse,Nova Scotia,"Total, gender",35 to 44 years,,,,,,12,24.38
2018,Physical abuse,Nova Scotia,Male gender,35 to 44 years,,,,,,12,27.19
2018,Physical abuse,Nova Scotia,Female gender,35 to 44 years,,,,,,12,21.72
2018,Physical abuse,Nova Scotia,"Total, gender",45 to 54 years,,,,,,12,26.73
2018,Physical abuse,Nova Scotia,Male gender,45 to 54 years,,,,,,12,25.22
2018,Physical abuse,Nova Scotia,Female gender,45 to 54 years,,,,,,12,27.97
2018,Sexual abuse,Nova Scotia,"Total, gender","Total, age",,,,,,12,9.66
2018,Sexual abuse,Nova Scotia,Male gender,"Total, age",,,,,,12,4.89
2018,Sexual abuse,Nova Scotia,Female gender,"Total, age",,,,,,12,14.17
2018,Sexual abuse,Nova Scotia,"Total, gender",25 to 34 years,,,,,,12,7.22
2018,Sexual abuse,Nova Scotia,Female gender,25 to 34 years,,,,,,12,12.24
2018,Sexual abuse,Nova Scotia,"Total, gender",35 to 44 years,,,,,,12,9.24
2018,Sexual abuse,Nova Scotia,Female gender,35 to 44 years,,,,,,12,12.8
2018,Sexual abuse,Nova Scotia,"Total, gender",45 to 54 years,,,,,,12,13.63
2018,Sexual abuse,Nova Scotia,Male gender,45 to 54 years,,,,,,12,6.19
2018,Sexual abuse,Nova Scotia,Female gender,45 to 54 years,,,,,,12,20.52
2018,Physical or sexual abuse,New Brunswick,"Total, gender","Total, age",,,,,,13,24.6
2018,Physical or sexual abuse,New Brunswick,Male gender,"Total, age",,,,,,13,23.2
2018,Physical or sexual abuse,New Brunswick,Female gender,"Total, age",,,,,,13,25.89
2018,Physical or sexual abuse,New Brunswick,"Total, gender",15 to 24 years,,,,,,13,20.79
2018,Physical or sexual abuse,New Brunswick,Female gender,15 to 24 years,,,,,,13,26.28
2018,Physical or sexual abuse,New Brunswick,"Total, gender",25 to 34 years,,,,,,13,15.96
2018,Physical or sexual abuse,New Brunswick,Male gender,25 to 34 years,,,,,,13,14.84
2018,Physical or sexual abuse,New Brunswick,Female gender,25 to 34 years,,,,,,13,17.12
2018,Physical or sexual abuse,New Brunswick,"Total, gender",35 to 44 years,,,,,,13,26.35
2018,Physical or sexual abuse,New Brunswick,Male gender,35 to 44 years,,,,,,13,21.62
2018,Physical or sexual abuse,New Brunswick,Female gender,35 to 44 years,,,,,,13,30.94
2018,Physical or sexual abuse,New Brunswick,"Total, gender",45 to 54 years,,,,,,13,26.79
2018,Physical or sexual abuse,New Brunswick,Male gender,45 to 54 years,,,,,,13,25.57
2018,Physical or sexual abuse,New Brunswick,Female gender,45 to 54 years,,,,,,13,28.05
2018,Physical abuse,New Brunswick,"Total, gender","Total, age",,,,,,13,19.45
2018,Physical abuse,New Brunswick,Male gender,"Total, age",,,,,,13,20.74
2018,Physical abuse,New Brunswick,Female gender,"Total, age",,,,,,13,18.13
2018,Physical abuse,New Brunswick,"Total, gender",15 to 24 years,,,,,,13,16.8
2018,Physical abuse,New Brunswick,Female gender,15 to 24 years,,,,,,13,21.57
2018,Physical abuse,New Brunswick,"Total, gender",25 to 34 years,,,,,,13,14.78
2018,Physical abuse,New Brunswick,Male gender,25 to 34 years,,,,,,13,13.88
2018,Physical abuse,New Brunswick,Female gender,25 to 34 years,,,,,,13,15.72
2018,Physical abuse,New Brunswick,"Total, gender",35 to 44 years,,,,,,13,20.79
2018,Physical abuse,New Brunswick,Male gender,35 to 44 years,,,,,,13,19.83
2018,Physical abuse,New Brunswick,Female gender,35 to 44 years,,,,,,13,21.72
2018,Physical abuse,New Brunswick,"Total, gender",45 to 54 years,,,,,,13,18.56
2018,Physical abuse,New Brunswick,Male gender,45 to 54 years,,,,,,13,20.16
2018,Physical abuse,New Brunswick,Female gender,45 to 54 years,,,,,,13,17.09
2018,Sexual abuse,New Brunswick,"Total, gender","Total, age",,,,,,13,9.22
2018,Sexual abuse,New Brunswick,Male gender,"Total, age",,,,,,13,5.28
2018,Sexual abuse,New Brunswick,Female gender,"Total, age",,,,,,13,13.08
2018,Sexual abuse,New Brunswick,"Total, gender",35 to 44 years,,,,,,13,9.64
2018,Sexual abuse,New Brunswick,Female gender,35 to 44 years,,,,,,13,16.19
2018,Sexual abuse,New Brunswick,"Total, gender",45 to 54 years,,,,,,13,11.02
2018,Sexual abuse,New Brunswick,Male gender,45 to 54 years,,,,,,13,7.67
2018,Sexual abuse,New Brunswick,Female gender,45 to 54 years,,,,,,13,14.28
2018,Physical or sexual abuse,Quebec,"Total, gender","Total, age",,,,,,24,25.11
2018,Physical or sexual abuse,Quebec,Male gender,"Total, age",,,,,,24,24.33
2018,Physical or sexual abuse,Quebec,Female gender,"Total, age",,,,,,24,25.79
2018,Physical or sexual abuse,Quebec,"Total, gender",15 to 24 years,,,,,,24,15.97
2018,Physical or sexual abuse,Quebec,Male gender,15 to 24 years,,,,,,24,12.82
2018,Physical or sexual abuse,Quebec,Female gender,15 to 24 years,,,,,,24,19.0
2018,Physical or sexual abuse,Quebec,"Total, gender",25 to 34 years,,,,,,24,21.19
2018,Physical or sexual abuse,Quebec,Male gender,25 to 34 years,,,,,,24,20.96
2018,Physical or sexual abuse,Quebec,Female gender,25 to 34 years,,,,,,24,21.42
2018,Physical or sexual abuse,Quebec,"Total, gender",35 to 44 years,,,,,,24,28.85
2018,Physical or sexual abuse,Quebec,Male gender,35 to 44 years,,,,,,24,27.66
2018,Physical or sexual abuse,Quebec,Female gender,35 to 44 years,,,,,,24,29.89
2018,Physical or sexual abuse,Quebec,"Total, gender",45 to 54 years,,,,,,24,30.87
2018,Physical or sexual abuse,Quebec,Male gender,45 to 54 years,,,,,,24,27.89
2018,Physical or sexual abuse,Quebec,Female gender,45 to 54 years,,,,,,24,33.92
2018,Physical abuse,Quebec,"Total, gender","Total, age",,,,,,24,21.33
2018,Physical abuse,Quebec,Male gender,"Total, age",,,,,,24,22.88
2018,Physical abuse,Quebec,Female gender,"Total, age",,,,,,24,19.73
2018,Physical abuse,Quebec,"Total, gender",15 to 24 years,,,,,,24,14.53
2018,Physical abuse,Quebec,Male gender,15 to 24 years,,,,,,24,11.31
2018,Physical abuse,Quebec,Female gender,15 to 24 years,,,,,,24,17.63
2018,Physical abuse,Quebec,"Total, gender",25 to 34 years,,,,,,24,19.1
2018,Physical abuse,Quebec,Male gender,25 to 34 years,,,,,,24,20.09
2018,Physical abuse,Quebec,Female gender,25 to 34 years,,,,,,24,18.1
2018,Physical abuse,Quebec,"Total, gender",35 to 44 years,,,,,,24,25.29
2018,Physical abuse,Quebec,Male gender,35 to 44 years,,,,,,24,26.88
2018,Physical abuse,Quebec,Female gender,35 to 44 years,,,,,,24,23.49
2018,Physical abuse,Quebec,"Total, gender",45 to 54 years,,,,,,24,25.72
2018,Physical abuse,Quebec,Male gender,45 to 54 years,,,,,,24,26.53
2018,Physical abuse,Quebec,Female gender,45 to 54 years,,,,,,24,24.9
2018,Sexual abuse,Quebec,"Total, gender","Total, age",,,,,,24,7.5
2018,Sexual abuse,Quebec,Male gender,"Total, age",,,,,,24,3.54
2018,Sexual abuse,Quebec,Female gender,"Total, age",,,,,,24,11.31
2018,Sexual abuse,Quebec,"Total, gender",25 to 34 years,,,,,,24,4.26
2018,Sexual abuse,Quebec,Male gender,25 to 34 years,,,,,,24,2.47
2018,Sexual abuse,Quebec,Female gender,25 to 34 years,,,,,,24,6.07
2018,Sexual abuse,Quebec,"Total, gender",35 to 44 years,,,,,,24,8.08
2018,Sexual abuse,Quebec,Male gender,35 to 44 years,,,,,,24,3.05
2018,Sexual abuse,Quebec,Female gender,35 to 44 years,,,,,,24,12.97
2018,Sexual abuse,Quebec,"Total, gender",45 to 54 years,,,,,,24,10.67
2018,Sexual abuse,Quebec,Male gender,45 to 54 years,,,,,,24,3.9
2018,Sexual abuse,Quebec,Female gender,45 to 54 years,,,,,,24,17.61
2018,Physical or sexual abuse,Ontario,"Total, gender","Total, age",,,,,,35,26.93
2018,Physical or sexual abuse,Ontario,Male gender,"Total, age",,,,,,35,26.38
2018,Physical or sexual abuse,Ontario,Female gender,"Total, age",,,,,,35,27.4
2018,Physical or sexual abuse,Ontario,"Total, gender",15 to 24 years,,,,,,35,21.35
2018,Physical or sexual abuse,Ontario,Male gender,15 to 24 years,,,,,,35,21.28
2018,Physical or sexual abuse,Ontario,Female gender,15 to 24 years,,,,,,35,21.81
2018,Physical or sexual abuse,Ontario,"Total, gender",25 to 34 years,,,,,,35,25.47
2018,Physical or sexual abuse,Ontario,Male gender,25 to 34 years,,,,,,35,20.84
2018,Physical or sexual abuse,Ontario,Female gender,25 to 34 years,,,,,,35,29.16
2018,Physical or sexual abuse,Ontario,"Total, gender",35 to 44 years,,,,,,35,29.89
2018,Physical or sexual abuse,Ontario,Male gender,35 to 44 years,,,,,,35,28.29
2018,Physical or sexual abuse,Ontario,Female gender,35 to 44 years,,,,,,35,31.37
2018,Physical or sexual abuse,Ontario,"Total, gender",45 to 54 years,,,,,,35,31.26
2018,Physical or sexual abuse,Ontario,Male gender,45 to 54 years,,,,,,35,33.35
2018,Physical or sexual abuse,Ontario,Female gender,45 to 54 years,,,,,,35,29.25
2018,Physical abuse,Ontario,"Total, gender","Total, age",,,,,,35,23.9
2018,Physical abuse,Ontario,Male gender,"Total, age",,,,,,35,25.22
2018,Physical abuse,Ontario,Female gender,"Total, age",,,,,,35,22.57
2018,Physical abuse,Ontario,"Total, gender",15 to 24 years,,,,,,35,19.79
2018,Physical abuse,Ontario,Male gender,15 to 24 years,,,,,,35,21.28
2018,Physical abuse,Ontario,Female gender,15 to 24 years,,,,,,35,18.54
2018,Physical abuse,Ontario,"Total, gender",25 to 34 years,,,,,,35,23.4
2018,Physical abuse,Ontario,Male gender,25 to 34 years,,,,,,35,20.06
2018,Physical abuse,Ontario,Female gender,25 to 34 years,,,,,,35,25.83
2018,Physical abuse,Ontario,"Total, gender",35 to 44 years,,,,,,35,26.08
2018,Physical abuse,Ontario,Male gender,35 to 44 years,,,,,,35,26.5
2018,Physical abuse,Ontario,Female gender,35 to 44 years,,,,,,35,25.6
2018,Physical abuse,Ontario,"Total, gender",45 to 54 years,,,,,,35,28.15
2018,Physical abuse,Ontario,Male gender,45 to 54 years,,,,,,35,31.57
2018,Physical abuse,Ontario,Female gender,45 to 54 years,,,,,,35,24.84
2018,Sexual abuse,Ontario,"Total, gender","Total, age",,,,,,35,7.01
2018,Sexual abuse,Ontario,Male gender,"Total, age",,,,,,35,3.48
2018,Sexual abuse,Ontario,Female gender,"Total, age",,,,,,35,10.44
2018,Sexual abuse,Ontario,"Total, gender",15 to 24 years,,,,,,35,3.54
2018,Sexual abuse,Ontario,Female gender,15 to 24 years,,,,,,35,6.27
2018,Sexual abuse,Ontario,"Total, gender",25 to 34 years,,,,,,35,4.45
2018,Sexual abuse,Ontario,Male gender,25 to 34 years,,,,,,35,1.38
2018,Sexual abuse,Ontario,Female gender,25 to 34 years,,,,,,35,7.5
2018,Sexual abuse,Ontario,"Total, gender",35 to 44 years,,,,,,35,8.85
2018,Sexual abuse,Ontario,Male gender,35 to 44 years,,,,,,35,4.99
2018,Sexual abuse,Ontario,Female gender,35 to 44 years,,,,,,35,12.61
2018,Sexual abuse,Ontario,"Total, gender",45 to 54 years,,,,,,35,9.07
2018,Sexual abuse,Ontario,Male gender,45 to 54 years,,,,,,35,5.49
2018,Sexual abuse,Ontario,Female gender,45 to 54 years,,,,,,35,12.57
2018,Physical or sexual abuse,Manitoba,"Total, gender","Total, age",,,,,,46,26.25
2018,Physical or sexual abuse,Manitoba,Male gender,"Total, age",,,,,,46,26.84
2018,Physical or sexual abuse,Manitoba,Female gender,"Total, age",,,,,,46,25.85
2018,Physical or sexual abuse,Manitoba,"Total, gender",15 to 24 years,,,,,,46,21.34
2018,Physical or sexual abuse,Manitoba,Male gender,15 to 24 years,,,,,,46,28.15
2018,Physical or sexual abuse,Manitoba,Female gender,15 to 24 years,,,,,,46,14.41
2018,Physical or sexual abuse,Manitoba,"Total, gender",25 to 34 years,,,,,,46,19.88
2018,Physical or sexual abuse,Manitoba,Male gender,25 to 34 years,,,,,,46,14.55
2018,Physical or sexual abuse,Manitoba,Female gender,25 to 34 years,,,,,,46,25.51
2018,Physical or sexual abuse,Manitoba,"Total, gender",35 to 44 years,,,,,,46,27.11
2018,Physical or sexual abuse,Manitoba,Male gender,35 to 44 years,,,,,,46,29.27
2018,Physical or sexual abuse,Manitoba,Female gender,35 to 44 years,,,,,,46,24.86
2018,Physical or sexual abuse,Manitoba,"Total, gender",45 to 54 years,,,,,,46,34.09
2018,Physical or sexual abuse,Manitoba,Male gender,45 to 54 years,,,,,,46,31.34
2018,Physical or sexual abuse,Manitoba,Female gender,45 to 54 years,,,,,,46,37.44
2018,Physical abuse,Manitoba,"Total, gender","Total, age",,,,,,46,22.95
2018,Physical abuse,Manitoba,Male gender,"Total, age",,,,,,46,25.97
2018,Physical abuse,Manitoba,Female gender,"Total, age",,,,,,46,20.09
2018,Physical abuse,Manitoba,"Total, gender",15 to 24 years,,,,,,46,19.57
2018,Physical abuse,Manitoba,Male gender,15 to 24 years,,,,,,46,27.21
2018,Physical abuse,Manitoba,Female gender,15 to 24 years,,,,,,46,11.72
2018,Physical abuse,Manitoba,"Total, gender",25 to 34 years,,,,,,46,16.68
2018,Physical abuse,Manitoba,Male gender,25 to 34 years,,,,,,46,14.34
2018,Physical abuse,Manitoba,Female gender,25 to 34 years,,,,,,46,19.21
2018,Physical abuse,Manitoba,"Total, gender",35 to 44 years,,,,,,46,23.66
2018,Physical abuse,Manitoba,Male gender,35 to 44 years,,,,,,46,27.9
2018,Physical abuse,Manitoba,Female gender,35 to 44 years,,,,,,46,19.41
2018,Physical abuse,Manitoba,"Total, gender",45 to 54 years,,,,,,46,30.47
2018,Physical abuse,Manitoba,Male gender,45 to 54 years,,,,,,46,30.54
2018,Physical abuse,Manitoba,Female gender,45 to 54 years,,,,,,46,30.81
2018,Sexual abuse,Manitoba,"Total, gender","Total, age",,,,,,46,7.89
2018,Sexual abuse,Manitoba,Male gender,"Total, age",,,,,,46,3.66
2018,Sexual abuse,Manitoba,Female gender,"Total, age",,,,,,46,12.15
2018,Sexual abuse,Manitoba,"Total, gender",15 to 24 years,,,,,,46,5.1
2018,Sexual abuse,Manitoba,"Total, gender",25 to 34 years,,,,,,46,6.18
2018,Sexual abuse,Manitoba,Female gender,25 to 34 years,,,,,,46,11.4
2018,Sexual abuse,Manitoba,"Total, gender",35 to 44 years,,,,,,46,8.41
2018,Sexual abuse,Manitoba,Male gender,35 to 44 years,,,,,,46,5.73
2018,Sexual abuse,Manitoba,Female gender,35 to 44 years,,,,,,46,11.01
2018,Sexual abuse,Manitoba,"Total, gender",45 to 54 years,,,,,,46,11.42
2018,Sexual abuse,Manitoba,Male gender,45 to 54 years,,,,,,46,3.96
2018,Sexual abuse,Manitoba,Female gender,45 to 54 years,,,,,,46,19.35
2018,Physical or sexual abuse,Saskatchewan,"Total, gender","Total, age",,,,,,47,26.92
2018,Physical or sexual abuse,Saskatchewan,Male gender,"Total, age",,,,,,47,26.5
2018,Physical or sexual abuse,Saskatchewan,Female gender,"Total, age",,,,,,47,27.12
2018,Physical or sexual abuse,Saskatchewan,"Total, gender",15 to 24 years,,,,,,47,24.32
2018,Physical or sexual abuse,Saskatchewan,Male gender,15 to 24 years,,,,,,47,26.26
2018,Physical or sexual abuse,Saskatchewan,Female gender,15 to 24 years,,,,,,47,21.69
2018,Physical or sexual abuse,Saskatchewan,"Total, gender",25 to 34 years,,,,,,47,21.9
2018,Physical or sexual abuse,Saskatchewan,Male gender,25 to 34 years,,,,,,47,18.52
2018,Physical or sexual abuse,Saskatchewan,Female gender,25 to 34 years,,,,,,47,24.92
2018,Physical or sexual abuse,Saskatchewan,"Total, gender",35 to 44 years,,,,,,47,28.77
2018,Physical or sexual abuse,Saskatchewan,Male gender,35 to 44 years,,,,,,47,28.28
2018,Physical or sexual abuse,Saskatchewan,Female gender,35 to 44 years,,,,,,47,29.28
2018,Physical or sexual abuse,Saskatchewan,"Total, gender",45 to 54 years,,,,,,47,33.14
2018,Physical or sexual abuse,Saskatchewan,Male gender,45 to 54 years,,,,,,47,30.4
2018,Physical or sexual abuse,Saskatchewan,Female gender,45 to 54 years,,,,,,47,35.7
2018,Physical abuse,Saskatchewan,"Total, gender","Total, age",,,,,,47,23.7
2018,Physical abuse,Saskatchewan,Male gender,"Total, age",,,,,,47,25.53
2018,Physical abuse,Saskatchewan,Female gender,"Total, age",,,,,,47,21.69
2018,Physical abuse,Saskatchewan,"Total, gender",15 to 24 years,,,,,,47,23.7
2018,Physical abuse,Saskatchewan,Male gender,15 to 24 years,,,,,,47,26.26
2018,Physical abuse,Saskatchewan,Female gender,15 to 24 years,,,,,,47,20.96
2018,Physical abuse,Saskatchewan,"Total, gender",25 to 34 years,,,,,,47,20.25
2018,Physical abuse,Saskatchewan,Male gender,25 to 34 years,,,,,,47,18.04
