Year,Geography,Type of materials diverted,Sources of materials prepared for recycling,GeoCode,Value
2020,Newfoundland and Labrador,All materials diverted,All sources of diverted materials,10,47283.0
2018,Newfoundland and Labrador,All materials diverted,Residential sources of diverted materials,10,
2020,Newfoundland and Labrador,All materials diverted,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,All materials diverted,Non-residential sources of diverted materials,10,
2020,Newfoundland and Labrador,All materials diverted,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,All paper fibres,All sources of diverted materials,10,28679.0
2020,Newfoundland and Labrador,All paper fibres,All sources of diverted materials,10,27837.0
2018,Newfoundland and Labrador,All paper fibres,Residential sources of diverted materials,10,13451.0
2020,Newfoundland and Labrador,All paper fibres,Residential sources of diverted materials,10,14386.0
2018,Newfoundland and Labrador,All paper fibres,Non-residential sources of diverted materials,10,15228.0
2020,Newfoundland and Labrador,All paper fibres,Non-residential sources of diverted materials,10,13451.0
2018,Newfoundland and Labrador,Glass,All sources of diverted materials,10,
2020,Newfoundland and Labrador,Glass,All sources of diverted materials,10,
2018,Newfoundland and Labrador,Glass,Residential sources of diverted materials,10,
2020,Newfoundland and Labrador,Glass,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Glass,Non-residential sources of diverted materials,10,
2020,Newfoundland and Labrador,Glass,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Ferrous metals,All sources of diverted materials,10,534.0
2020,Newfoundland and Labrador,Ferrous metals,All sources of diverted materials,10,422.0
2018,Newfoundland and Labrador,Ferrous metals,Residential sources of diverted materials,10,
2020,Newfoundland and Labrador,Ferrous metals,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Ferrous metals,Non-residential sources of diverted materials,10,
2020,Newfoundland and Labrador,Ferrous metals,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Copper and aluminum,All sources of diverted materials,10,106.0
2020,Newfoundland and Labrador,Copper and aluminum,All sources of diverted materials,10,270.0
2018,Newfoundland and Labrador,Copper and aluminum,Residential sources of diverted materials,10,
2020,Newfoundland and Labrador,Copper and aluminum,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Copper and aluminum,Non-residential sources of diverted materials,10,
2020,Newfoundland and Labrador,Copper and aluminum,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Mixed metals,All sources of diverted materials,10,
2020,Newfoundland and Labrador,Mixed metals,All sources of diverted materials,10,
2018,Newfoundland and Labrador,Mixed metals,Residential sources of diverted materials,10,
2020,Newfoundland and Labrador,Mixed metals,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Mixed metals,Non-residential sources of diverted materials,10,
2020,Newfoundland and Labrador,Mixed metals,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,White goods,All sources of diverted materials,10,1262.0
2020,Newfoundland and Labrador,White goods,All sources of diverted materials,10,
2018,Newfoundland and Labrador,White goods,Residential sources of diverted materials,10,1262.0
2020,Newfoundland and Labrador,White goods,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,White goods,Non-residential sources of diverted materials,10,0.0
2020,Newfoundland and Labrador,White goods,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Electronics,All sources of diverted materials,10,796.0
2020,Newfoundland and Labrador,Electronics,All sources of diverted materials,10,632.0
2018,Newfoundland and Labrador,Electronics,Residential sources of diverted materials,10,
2020,Newfoundland and Labrador,Electronics,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Electronics,Non-residential sources of diverted materials,10,
2020,Newfoundland and Labrador,Electronics,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Plastics,All sources of diverted materials,10,1108.0
2020,Newfoundland and Labrador,Plastics,All sources of diverted materials,10,1283.0
2018,Newfoundland and Labrador,Plastics,Residential sources of diverted materials,10,987.0
2020,Newfoundland and Labrador,Plastics,Residential sources of diverted materials,10,1100.0
2018,Newfoundland and Labrador,Plastics,Non-residential sources of diverted materials,10,121.0
2020,Newfoundland and Labrador,Plastics,Non-residential sources of diverted materials,10,183.0
2018,Newfoundland and Labrador,Gable top and aseptic containers,All sources of diverted materials,10,543.0
2020,Newfoundland and Labrador,Gable top and aseptic containers,All sources of diverted materials,10,634.0
2018,Newfoundland and Labrador,Gable top and aseptic containers,Residential sources of diverted materials,10,457.0
2020,Newfoundland and Labrador,Gable top and aseptic containers,Residential sources of diverted materials,10,555.0
2018,Newfoundland and Labrador,Gable top and aseptic containers,Non-residential sources of diverted materials,10,86.0
2020,Newfoundland and Labrador,Gable top and aseptic containers,Non-residential sources of diverted materials,10,80.0
2018,Newfoundland and Labrador,Textiles,All sources of diverted materials,10,0.0
2020,Newfoundland and Labrador,Textiles,All sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,Textiles,Residential sources of diverted materials,10,0.0
2020,Newfoundland and Labrador,Textiles,Residential sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,Textiles,Non-residential sources of diverted materials,10,0.0
2020,Newfoundland and Labrador,Textiles,Non-residential sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,Tires,All sources of diverted materials,10,5929.0
2020,Newfoundland and Labrador,Tires,All sources of diverted materials,10,6703.0
2018,Newfoundland and Labrador,Tires,Residential sources of diverted materials,10,
2020,Newfoundland and Labrador,Tires,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Tires,Non-residential sources of diverted materials,10,
2020,Newfoundland and Labrador,Tires,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,"Construction, renovation and demolition",All sources of diverted materials,10,0.0
2020,Newfoundland and Labrador,"Construction, renovation and demolition",All sources of diverted materials,10,
2018,Newfoundland and Labrador,"Construction, renovation and demolition",Residential sources of diverted materials,10,0.0
2020,Newfoundland and Labrador,"Construction, renovation and demolition",Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,"Construction, renovation and demolition",Non-residential sources of diverted materials,10,0.0
2020,Newfoundland and Labrador,"Construction, renovation and demolition",Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Organics,All sources of diverted materials,10,905.0
2020,Newfoundland and Labrador,Organics,All sources of diverted materials,10,915.0
2018,Newfoundland and Labrador,Organics,Residential sources of diverted materials,10,
2020,Newfoundland and Labrador,Organics,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Organics,Non-residential sources of diverted materials,10,
2020,Newfoundland and Labrador,Organics,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Other materials,All sources of diverted materials,10,0.0
2020,Newfoundland and Labrador,Other materials,All sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,Other materials,Residential sources of diverted materials,10,0.0
2020,Newfoundland and Labrador,Other materials,Residential sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,Other materials,Non-residential sources of diverted materials,10,0.0
2020,Newfoundland and Labrador,Other materials,Non-residential sources of diverted materials,10,0.0
2018,Prince Edward Island,All materials diverted,All sources of diverted materials,11,56795.0
2020,Prince Edward Island,All materials diverted,All sources of diverted materials,11,57742.0
2018,Prince Edward Island,All materials diverted,Residential sources of diverted materials,11,
2020,Prince Edward Island,All materials diverted,Residential sources of diverted materials,11,
2018,Prince Edward Island,All materials diverted,Non-residential sources of diverted materials,11,
2020,Prince Edward Island,All materials diverted,Non-residential sources of diverted materials,11,
2018,Prince Edward Island,All paper fibres,All sources of diverted materials,11,12214.0
2020,Prince Edward Island,All paper fibres,All sources of diverted materials,11,13757.0
2018,Prince Edward Island,All paper fibres,Residential sources of diverted materials,11,4641.0
2020,Prince Edward Island,All paper fibres,Residential sources of diverted materials,11,5228.0
2018,Prince Edward Island,All paper fibres,Non-residential sources of diverted materials,11,7573.0
2020,Prince Edward Island,All paper fibres,Non-residential sources of diverted materials,11,8529.0
2018,Prince Edward Island,Glass,All sources of diverted materials,11,268.0
2020,Prince Edward Island,Glass,All sources of diverted materials,11,302.0
2018,Prince Edward Island,Glass,Residential sources of diverted materials,11,102.0
2020,Prince Edward Island,Glass,Residential sources of diverted materials,11,115.0
2018,Prince Edward Island,Glass,Non-residential sources of diverted materials,11,166.0
2020,Prince Edward Island,Glass,Non-residential sources of diverted materials,11,187.0
2018,Prince Edward Island,Ferrous metals,All sources of diverted materials,11,9363.0
2020,Prince Edward Island,Ferrous metals,All sources of diverted materials,11,8594.0
2018,Prince Edward Island,Ferrous metals,Residential sources of diverted materials,11,3558.0
2020,Prince Edward Island,Ferrous metals,Residential sources of diverted materials,11,3266.0
2018,Prince Edward Island,Ferrous metals,Non-residential sources of diverted materials,11,5805.0
2020,Prince Edward Island,Ferrous metals,Non-residential sources of diverted materials,11,5328.0
2018,Prince Edward Island,Copper and aluminum,All sources of diverted materials,11,1625.0
2020,Prince Edward Island,Copper and aluminum,All sources of diverted materials,11,1492.0
2018,Prince Edward Island,Copper and aluminum,Residential sources of diverted materials,11,674.0
2020,Prince Edward Island,Copper and aluminum,Residential sources of diverted materials,11,642.0
2018,Prince Edward Island,Copper and aluminum,Non-residential sources of diverted materials,11,951.0
2020,Prince Edward Island,Copper and aluminum,Non-residential sources of diverted materials,11,850.0
2018,Prince Edward Island,Mixed metals,All sources of diverted materials,11,2004.0
2020,Prince Edward Island,Mixed metals,All sources of diverted materials,11,1839.0
2018,Prince Edward Island,Mixed metals,Residential sources of diverted materials,11,762.0
2020,Prince Edward Island,Mixed metals,Residential sources of diverted materials,11,699.0
2018,Prince Edward Island,Mixed metals,Non-residential sources of diverted materials,11,1242.0
2020,Prince Edward Island,Mixed metals,Non-residential sources of diverted materials,11,1140.0
2018,Prince Edward Island,White goods,All sources of diverted materials,11,6790.0
2020,Prince Edward Island,White goods,All sources of diverted materials,11,6232.0
2018,Prince Edward Island,White goods,Residential sources of diverted materials,11,2580.0
2020,Prince Edward Island,White goods,Residential sources of diverted materials,11,2368.0
2018,Prince Edward Island,White goods,Non-residential sources of diverted materials,11,4210.0
2020,Prince Edward Island,White goods,Non-residential sources of diverted materials,11,3864.0
2018,Prince Edward Island,Electronics,All sources of diverted materials,11,458.0
2020,Prince Edward Island,Electronics,All sources of diverted materials,11,417.0
2018,Prince Edward Island,Electronics,Residential sources of diverted materials,11,
2020,Prince Edward Island,Electronics,Residential sources of diverted materials,11,
2018,Prince Edward Island,Electronics,Non-residential sources of diverted materials,11,
2020,Prince Edward Island,Electronics,Non-residential sources of diverted materials,11,
2018,Prince Edward Island,Plastics,All sources of diverted materials,11,939.0
2020,Prince Edward Island,Plastics,All sources of diverted materials,11,1058.0
2018,Prince Edward Island,Plastics,Residential sources of diverted materials,11,357.0
2020,Prince Edward Island,Plastics,Residential sources of diverted materials,11,402.0
2018,Prince Edward Island,Plastics,Non-residential sources of diverted materials,11,582.0
2020,Prince Edward Island,Plastics,Non-residential sources of diverted materials,11,656.0
2018,Prince Edward Island,Gable top and aseptic containers,All sources of diverted materials,11,0.0
2020,Prince Edward Island,Gable top and aseptic containers,All sources of diverted materials,11,0.0
2018,Prince Edward Island,Gable top and aseptic containers,Residential sources of diverted materials,11,0.0
2020,Prince Edward Island,Gable top and aseptic containers,Residential sources of diverted materials,11,0.0
2018,Prince Edward Island,Gable top and aseptic containers,Non-residential sources of diverted materials,11,0.0
2020,Prince Edward Island,Gable top and aseptic containers,Non-residential sources of diverted materials,11,0.0
2018,Prince Edward Island,Textiles,All sources of diverted materials,11,0.0
2020,Prince Edward Island,Textiles,All sources of diverted materials,11,0.0
2018,Prince Edward Island,Textiles,Residential sources of diverted materials,11,0.0
2020,Prince Edward Island,Textiles,Residential sources of diverted materials,11,0.0
2018,Prince Edward Island,Textiles,Non-residential sources of diverted materials,11,0.0
2020,Prince Edward Island,Textiles,Non-residential sources of diverted materials,11,0.0
2018,Prince Edward Island,Tires,All sources of diverted materials,11,2354.0
2020,Prince Edward Island,Tires,All sources of diverted materials,11,2463.0
2018,Prince Edward Island,Tires,Residential sources of diverted materials,11,
2020,Prince Edward Island,Tires,Residential sources of diverted materials,11,
2018,Prince Edward Island,Tires,Non-residential sources of diverted materials,11,
2020,Prince Edward Island,Tires,Non-residential sources of diverted materials,11,
2018,Prince Edward Island,"Construction, renovation and demolition",All sources of diverted materials,11,0.0
2020,Prince Edward Island,"Construction, renovation and demolition",All sources of diverted materials,11,0.0
2018,Prince Edward Island,"Construction, renovation and demolition",Residential sources of diverted materials,11,0.0
2020,Prince Edward Island,"Construction, renovation and demolition",Residential sources of diverted materials,11,0.0
2018,Prince Edward Island,"Construction, renovation and demolition",Non-residential sources of diverted materials,11,0.0
2020,Prince Edward Island,"Construction, renovation and demolition",Non-residential sources of diverted materials,11,0.0
2018,Prince Edward Island,Organics,All sources of diverted materials,11,20445.0
2020,Prince Edward Island,Organics,All sources of diverted materials,11,21588.0
2018,Prince Edward Island,Organics,Residential sources of diverted materials,11,16116.0
2020,Prince Edward Island,Organics,Residential sources of diverted materials,11,17554.0
2018,Prince Edward Island,Organics,Non-residential sources of diverted materials,11,4329.0
2020,Prince Edward Island,Organics,Non-residential sources of diverted materials,11,4034.0
2018,Prince Edward Island,Other materials,All sources of diverted materials,11,335.0
2020,Prince Edward Island,Other materials,All sources of diverted materials,11,0.0
2018,Prince Edward Island,Other materials,Residential sources of diverted materials,11,127.0
2020,Prince Edward Island,Other materials,Residential sources of diverted materials,11,0.0
2018,Prince Edward Island,Other materials,Non-residential sources of diverted materials,11,208.0
2020,Prince Edward Island,Other materials,Non-residential sources of diverted materials,11,0.0
2018,Nova Scotia,All materials diverted,All sources of diverted materials,12,316688.0
2020,Nova Scotia,All materials diverted,All sources of diverted materials,12,304311.0
2018,Nova Scotia,All materials diverted,Residential sources of diverted materials,12,
2020,Nova Scotia,All materials diverted,Residential sources of diverted materials,12,
2018,Nova Scotia,All materials diverted,Non-residential sources of diverted materials,12,
2020,Nova Scotia,All materials diverted,Non-residential sources of diverted materials,12,
2018,Nova Scotia,All paper fibres,All sources of diverted materials,12,73462.0
2020,Nova Scotia,All paper fibres,All sources of diverted materials,12,71208.0
2018,Nova Scotia,All paper fibres,Residential sources of diverted materials,12,39869.0
2020,Nova Scotia,All paper fibres,Residential sources of diverted materials,12,43578.0
2018,Nova Scotia,All paper fibres,Non-residential sources of diverted materials,12,33593.0
2020,Nova Scotia,All paper fibres,Non-residential sources of diverted materials,12,27630.0
2018,Nova Scotia,Glass,All sources of diverted materials,12,4184.0
2020,Nova Scotia,Glass,All sources of diverted materials,12,4275.0
2018,Nova Scotia,Glass,Residential sources of diverted materials,12,
2020,Nova Scotia,Glass,Residential sources of diverted materials,12,
2018,Nova Scotia,Glass,Non-residential sources of diverted materials,12,
2020,Nova Scotia,Glass,Non-residential sources of diverted materials,12,
2018,Nova Scotia,Ferrous metals,All sources of diverted materials,12,5536.0
2020,Nova Scotia,Ferrous metals,All sources of diverted materials,12,4750.0
2018,Nova Scotia,Ferrous metals,Residential sources of diverted materials,12,5128.0
2020,Nova Scotia,Ferrous metals,Residential sources of diverted materials,12,4583.0
2018,Nova Scotia,Ferrous metals,Non-residential sources of diverted materials,12,408.0
2020,Nova Scotia,Ferrous metals,Non-residential sources of diverted materials,12,167.0
2018,Nova Scotia,Copper and aluminum,All sources of diverted materials,12,455.0
2020,Nova Scotia,Copper and aluminum,All sources of diverted materials,12,1369.0
2018,Nova Scotia,Copper and aluminum,Residential sources of diverted materials,12,424.0
2020,Nova Scotia,Copper and aluminum,Residential sources of diverted materials,12,1318.0
2018,Nova Scotia,Copper and aluminum,Non-residential sources of diverted materials,12,31.0
2020,Nova Scotia,Copper and aluminum,Non-residential sources of diverted materials,12,51.0
2018,Nova Scotia,Mixed metals,All sources of diverted materials,12,
2020,Nova Scotia,Mixed metals,All sources of diverted materials,12,1898.0
2018,Nova Scotia,Mixed metals,Residential sources of diverted materials,12,
2020,Nova Scotia,Mixed metals,Residential sources of diverted materials,12,
2018,Nova Scotia,Mixed metals,Non-residential sources of diverted materials,12,
2020,Nova Scotia,Mixed metals,Non-residential sources of diverted materials,12,
2018,Nova Scotia,White goods,All sources of diverted materials,12,1096.0
2020,Nova Scotia,White goods,All sources of diverted materials,12,1087.0
2018,Nova Scotia,White goods,Residential sources of diverted materials,12,
2020,Nova Scotia,White goods,Residential sources of diverted materials,12,
2018,Nova Scotia,White goods,Non-residential sources of diverted materials,12,
2020,Nova Scotia,White goods,Non-residential sources of diverted materials,12,
2018,Nova Scotia,Electronics,All sources of diverted materials,12,3169.0
2020,Nova Scotia,Electronics,All sources of diverted materials,12,2580.0
2018,Nova Scotia,Electronics,Residential sources of diverted materials,12,
2020,Nova Scotia,Electronics,Residential sources of diverted materials,12,
2018,Nova Scotia,Electronics,Non-residential sources of diverted materials,12,
2020,Nova Scotia,Electronics,Non-residential sources of diverted materials,12,
2018,Nova Scotia,Plastics,All sources of diverted materials,12,15021.0
2020,Nova Scotia,Plastics,All sources of diverted materials,12,13598.0
2018,Nova Scotia,Plastics,Residential sources of diverted materials,12,10725.0
2020,Nova Scotia,Plastics,Residential sources of diverted materials,12,10056.0
2018,Nova Scotia,Plastics,Non-residential sources of diverted materials,12,4296.0
2020,Nova Scotia,Plastics,Non-residential sources of diverted materials,12,3543.0
2018,Nova Scotia,Gable top and aseptic containers,All sources of diverted materials,12,1054.0
2020,Nova Scotia,Gable top and aseptic containers,All sources of diverted materials,12,3197.0
2018,Nova Scotia,Gable top and aseptic containers,Residential sources of diverted materials,12,972.0
2020,Nova Scotia,Gable top and aseptic containers,Residential sources of diverted materials,12,3136.0
2018,Nova Scotia,Gable top and aseptic containers,Non-residential sources of diverted materials,12,82.0
2020,Nova Scotia,Gable top and aseptic containers,Non-residential sources of diverted materials,12,61.0
2018,Nova Scotia,Textiles,All sources of diverted materials,12,
2020,Nova Scotia,Textiles,All sources of diverted materials,12,
2018,Nova Scotia,Textiles,Residential sources of diverted materials,12,
2020,Nova Scotia,Textiles,Residential sources of diverted materials,12,
2018,Nova Scotia,Textiles,Non-residential sources of diverted materials,12,
2020,Nova Scotia,Textiles,Non-residential sources of diverted materials,12,
2018,Nova Scotia,Tires,All sources of diverted materials,12,14272.0
2020,Nova Scotia,Tires,All sources of diverted materials,12,14777.0
2018,Nova Scotia,Tires,Residential sources of diverted materials,12,
2020,Nova Scotia,Tires,Residential sources of diverted materials,12,
2018,Nova Scotia,Tires,Non-residential sources of diverted materials,12,
2020,Nova Scotia,Tires,Non-residential sources of diverted materials,12,
2018,Nova Scotia,"Construction, renovation and demolition",All sources of diverted materials,12,49594.0
2020,Nova Scotia,"Construction, renovation and demolition",All sources of diverted materials,12,46209.0
2018,Nova Scotia,"Construction, renovation and demolition",Residential sources of diverted materials,12,5256.0
2020,Nova Scotia,"Construction, renovation and demolition",Residential sources of diverted materials,12,
2018,Nova Scotia,"Construction, renovation and demolition",Non-residential sources of diverted materials,12,44339.0
2020,Nova Scotia,"Construction, renovation and demolition",Non-residential sources of diverted materials,12,
2018,Nova Scotia,Organics,All sources of diverted materials,12,148348.0
2020,Nova Scotia,Organics,All sources of diverted materials,12,139247.0
2018,Nova Scotia,Organics,Residential sources of diverted materials,12,97195.0
2020,Nova Scotia,Organics,Residential sources of diverted materials,12,87453.0
2018,Nova Scotia,Organics,Non-residential sources of diverted materials,12,51153.0
2020,Nova Scotia,Organics,Non-residential sources of diverted materials,12,51795.0
2018,Nova Scotia,Other materials,All sources of diverted materials,12,
2020,Nova Scotia,Other materials,All sources of diverted materials,12,
2018,Nova Scotia,Other materials,Residential sources of diverted materials,12,
2020,Nova Scotia,Other materials,Residential sources of diverted materials,12,
2018,Nova Scotia,Other materials,Non-residential sources of diverted materials,12,
2020,Nova Scotia,Other materials,Non-residential sources of diverted materials,12,
2018,New Brunswick,All materials diverted,All sources of diverted materials,13,163740.0
2020,New Brunswick,All materials diverted,All sources of diverted materials,13,166179.0
2018,New Brunswick,All materials diverted,Residential sources of diverted materials,13,
2020,New Brunswick,All materials diverted,Residential sources of diverted materials,13,
2018,New Brunswick,All materials diverted,Non-residential sources of diverted materials,13,
2020,New Brunswick,All materials diverted,Non-residential sources of diverted materials,13,
2018,New Brunswick,All paper fibres,All sources of diverted materials,13,28120.0
2020,New Brunswick,All paper fibres,All sources of diverted materials,13,35483.0
2018,New Brunswick,All paper fibres,Residential sources of diverted materials,13,16464.0
2020,New Brunswick,All paper fibres,Residential sources of diverted materials,13,18119.0
2018,New Brunswick,All paper fibres,Non-residential sources of diverted materials,13,11656.0
2020,New Brunswick,All paper fibres,Non-residential sources of diverted materials,13,17364.0
2018,New Brunswick,Glass,All sources of diverted materials,13,4404.0
2020,New Brunswick,Glass,All sources of diverted materials,13,
2018,New Brunswick,Glass,Residential sources of diverted materials,13,2220.0
2020,New Brunswick,Glass,Residential sources of diverted materials,13,
2018,New Brunswick,Glass,Non-residential sources of diverted materials,13,2184.0
2020,New Brunswick,Glass,Non-residential sources of diverted materials,13,
2018,New Brunswick,Ferrous metals,All sources of diverted materials,13,1519.0
2020,New Brunswick,Ferrous metals,All sources of diverted materials,13,1687.0
2018,New Brunswick,Ferrous metals,Residential sources of diverted materials,13,1101.0
2020,New Brunswick,Ferrous metals,Residential sources of diverted materials,13,
2018,New Brunswick,Ferrous metals,Non-residential sources of diverted materials,13,418.0
2020,New Brunswick,Ferrous metals,Non-residential sources of diverted materials,13,
2018,New Brunswick,Copper and aluminum,All sources of diverted materials,13,2159.0
2020,New Brunswick,Copper and aluminum,All sources of diverted materials,13,
2018,New Brunswick,Copper and aluminum,Residential sources of diverted materials,13,2011.0
2020,New Brunswick,Copper and aluminum,Residential sources of diverted materials,13,
2018,New Brunswick,Copper and aluminum,Non-residential sources of diverted materials,13,148.0
2020,New Brunswick,Copper and aluminum,Non-residential sources of diverted materials,13,
2018,New Brunswick,Mixed metals,All sources of diverted materials,13,618.0
2020,New Brunswick,Mixed metals,All sources of diverted materials,13,933.0
2018,New Brunswick,Mixed metals,Residential sources of diverted materials,13,
2020,New Brunswick,Mixed metals,Residential sources of diverted materials,13,
2018,New Brunswick,Mixed metals,Non-residential sources of diverted materials,13,
2020,New Brunswick,Mixed metals,Non-residential sources of diverted materials,13,
2018,New Brunswick,White goods,All sources of diverted materials,13,134.0
2020,New Brunswick,White goods,All sources of diverted materials,13,
2018,New Brunswick,White goods,Residential sources of diverted materials,13,
2020,New Brunswick,White goods,Residential sources of diverted materials,13,
