Year,Series,Éléments,Catégories de données,Pilier,Value
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Criminalité et justice,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Pauvreté et revenus,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score des statistiques sociales,,83.3
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Comptes nationaux,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Travail,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Indices de prix,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Finances gouvernementales,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Monnaie et banque,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Commerce international,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Balance des paiements,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score des statistiques économiques et financières,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Agriculture et utilisation des terres,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Utilisation des ressources,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Consommation d'énergie,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Pollution,,100.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Environnement bâti,,50.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score de l'environnement,,90.0
2018,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Toutes les catégories,,91.1
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Population et statistiques démographiques,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Établissements d'enseignement,,50.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Résultats en matière d'éducation,,50.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Établissements de soins de santé,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Résultats en matière de santé,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Santé reproductive,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sécurité alimentaire et nutrition,,50.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Statistiques sur le genre,,50.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Criminalité et justice,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Pauvreté et revenus,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score des statistiques sociales,,80.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Comptes nationaux,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Travail,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Indices de prix,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Finances gouvernementales,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Monnaie et banque,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Commerce international,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Balance des paiements,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score des statistiques économiques et financières,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Agriculture et utilisation des terres,,50.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Utilisation des ressources,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Consommation d'énergie,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Pollution,,100.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Environnement bâti,,50.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score de l'environnement,,80.0
2020,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Toutes les catégories,,86.7
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Population et statistiques démographiques,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Établissements d'enseignement,,50.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Résultats en matière d'éducation,,50.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Établissements de soins de santé,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Résultats en matière de santé,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Santé reproductive,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sécurité alimentaire et nutrition,,50.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Statistiques sur le genre,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Criminalité et justice,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Pauvreté et revenus,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score des statistiques sociales,,85.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Comptes nationaux,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Travail,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Indices de prix,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Finances gouvernementales,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Monnaie et banque,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Commerce international,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Balance des paiements,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score des statistiques économiques et financières,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Agriculture et utilisation des terres,,50.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Utilisation des ressources,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Consommation d'énergie,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Pollution,,100.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Environnement bâti,,50.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score de l'environnement,,80.0
2022,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Toutes les catégories,,88.3
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Population et statistiques démographiques,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Établissements d'enseignement,,50.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Résultats en matière d'éducation,,50.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Établissements de soins de santé,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Résultats en matière de santé,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Santé reproductive,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sécurité alimentaire et nutrition,,50.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Statistiques sur le genre,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Criminalité et justice,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Pauvreté et revenus,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score des statistiques sociales,,85.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Comptes nationaux,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Travail,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Indices de prix,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Finances gouvernementales,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Monnaie et banque,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Commerce international,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Balance des paiements,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score des statistiques économiques et financières,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Agriculture et utilisation des terres,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Utilisation des ressources,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Consommation d'énergie,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Pollution,,100.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Environnement bâti,,50.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Sous-score de l'environnement,,90.0
2024,Inventaire des données ouvertes (ODIN),Couverture et désagrégation des indicateurs,Toutes les catégories,,91.7
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Population et statistiques démographiques,,100.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Établissements d'enseignement,,50.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Résultats en matière d'éducation,,50.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Établissements de soins de santé,,50.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Résultats en matière de santé,,100.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Santé reproductive,,50.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Statistiques sur le genre,,50.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Pauvreté et revenus,,100.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Sous-score des statistiques sociales,,68.8
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Comptes nationaux,,100.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Travail,,100.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Indices de prix,,50.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Finances gouvernementales,,100.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Monnaie et banque,,100.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Commerce international,,100.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Balance des paiements,,100.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Sous-score des statistiques économiques et financières,,92.9
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Agriculture et utilisation des terres,,50.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Utilisation des ressources,,50.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Consommation d'énergie,,100.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Pollution,,50.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Environnement bâti,,50.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Sous-score de l'environnement,,60.0
2016,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Toutes les catégories,,73.9
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Population et statistiques démographiques,,100.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Établissements d'enseignement,,50.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Résultats en matière d'éducation,,50.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Établissements de soins de santé,,100.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Résultats en matière de santé,,50.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Santé reproductive,,50.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Statistiques sur le genre,,50.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Criminalité et justice,,50.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Pauvreté et revenus,,100.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Sous-score des statistiques sociales,,66.7
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Comptes nationaux,,100.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Travail,,100.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Indices de prix,,100.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Finances gouvernementales,,100.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Monnaie et banque,,100.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Commerce international,,100.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Balance des paiements,,100.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Sous-score des statistiques économiques et financières,,100.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Agriculture et utilisation des terres,,50.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Utilisation des ressources,,50.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Consommation d'énergie,,100.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Pollution,,100.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Environnement bâti,,50.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Sous-score de l'environnement,,70.0
2017,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Toutes les catégories,,78.9
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Population et statistiques démographiques,,100.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Établissements d'enseignement,,50.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Résultats en matière d'éducation,,50.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Établissements de soins de santé,,100.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Résultats en matière de santé,,100.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Santé reproductive,,50.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Statistiques sur le genre,,50.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Criminalité et justice,,100.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Pauvreté et revenus,,100.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Sous-score des statistiques sociales,,77.8
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Comptes nationaux,,100.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Travail,,100.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Indices de prix,,100.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Finances gouvernementales,,100.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Monnaie et banque,,100.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Commerce international,,100.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Balance des paiements,,100.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Sous-score des statistiques économiques et financières,,100.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Agriculture et utilisation des terres,,50.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Utilisation des ressources,,50.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Consommation d'énergie,,100.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Pollution,,100.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Environnement bâti,,50.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Sous-score de l'environnement,,70.0
2018,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Toutes les catégories,,82.6
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Population et statistiques démographiques,,100.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Établissements d'enseignement,,50.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Résultats en matière d'éducation,,50.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Établissements de soins de santé,,100.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Résultats en matière de santé,,50.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Santé reproductive,,50.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Sécurité alimentaire et nutrition,,50.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Statistiques sur le genre,,50.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Criminalité et justice,,100.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Pauvreté et revenus,,100.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Sous-score des statistiques sociales,,70.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Comptes nationaux,,100.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Travail,,100.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Indices de prix,,100.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Finances gouvernementales,,100.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Monnaie et banque,,100.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Commerce international,,100.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Balance des paiements,,100.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Sous-score des statistiques économiques et financières,,100.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Agriculture et utilisation des terres,,50.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Utilisation des ressources,,50.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Consommation d'énergie,,100.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Pollution,,50.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Environnement bâti,,50.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Sous-score de l'environnement,,60.0
2020,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Toutes les catégories,,76.7
2022,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Population et statistiques démographiques,,100.0
2022,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Établissements d'enseignement,,50.0
2022,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Résultats en matière d'éducation,,50.0
2022,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Établissements de soins de santé,,50.0
2022,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Résultats en matière de santé,,100.0
2022,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Santé reproductive,,100.0
2022,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Sécurité alimentaire et nutrition,,50.0
2022,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Statistiques sur le genre,,50.0
2022,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Criminalité et justice,,100.0
2022,Inventaire des données ouvertes (ODIN),Données disponibles pour les 5 dernières années,Pauvreté et revenus,,100.0
