Year,Géographie,Groupe d'âge,GeoCode,Value
2018,Colombie-Britannique,65 ans et plus,,81.1
2020,Canada,15 à 24 ans,,98.0
2020,Canada,25 à 44 ans,,98.2
2020,Canada,45 à 64 ans,,94.2
2020,Canada,65 ans et plus,,76.3
2020,Terre-Neuve-et-Labrador,"Total, 15 ans et plus",10,89.8
2020,Terre-Neuve-et-Labrador,15 à 24 ans,,100.0
2020,Terre-Neuve-et-Labrador,25 à 44 ans,,99.7
2020,Terre-Neuve-et-Labrador,45 à 64 ans,,92.9
2020,Terre-Neuve-et-Labrador,65 ans et plus,,70.9
2020,Île-du-Prince-Édouard,"Total, 15 ans et plus",11,91.3
2020,Île-du-Prince-Édouard,15 à 24 ans,,96.3
2020,Île-du-Prince-Édouard,25 à 44 ans,,98.5
2020,Île-du-Prince-Édouard,45 à 64 ans,,94.7
2020,Île-du-Prince-Édouard,65 ans et plus,,74.5
2020,Nouvelle-Écosse,"Total, 15 ans et plus",12,90.8
2020,Nouvelle-Écosse,15 à 24 ans,,95.1
2020,Nouvelle-Écosse,25 à 44 ans,,97.4
2020,Nouvelle-Écosse,45 à 64 ans,,93.6
2020,Nouvelle-Écosse,65 ans et plus,,76.9
2020,Nouveau-Brunswick,"Total, 15 ans et plus",13,90.7
2020,Nouveau-Brunswick,15 à 24 ans,,100.0
2020,Nouveau-Brunswick,25 à 44 ans,,99.0
2020,Nouveau-Brunswick,45 à 64 ans,,93.1
2020,Nouveau-Brunswick,65 ans et plus,,73.8
2020,Québec,"Total, 15 ans et plus",24,87.1
2020,Québec,15 à 24 ans,,94.6
2020,Québec,25 à 44 ans,,98.5
2020,Québec,45 à 64 ans,,89.3
2020,Québec,65 ans et plus,,64.4
2020,Ontario,"Total, 15 ans et plus",35,94.1
2020,Ontario,15 à 24 ans,,98.8
2020,Ontario,25 à 44 ans,,98.2
2020,Ontario,45 à 64 ans,,96.1
2020,Ontario,65 ans et plus,,81.0
2020,Manitoba,"Total, 15 ans et plus",46,91.3
2020,Manitoba,15 à 24 ans,,95.3
2020,Manitoba,25 à 44 ans,,97.4
2020,Manitoba,45 à 64 ans,,91.7
2020,Manitoba,65 ans et plus,,76.5
2020,Saskatchewan,"Total, 15 ans et plus",47,91.4
2020,Saskatchewan,15 à 24 ans,,99.0
2020,Saskatchewan,25 à 44 ans,,97.2
2020,Saskatchewan,45 à 64 ans,,93.2
2020,Saskatchewan,65 ans et plus,,72.6
2020,Alberta,"Total, 15 ans et plus",48,95.2
2020,Alberta,15 à 24 ans,,100.0
2020,Alberta,25 à 44 ans,,97.6
2020,Alberta,45 à 64 ans,,96.8
2020,Alberta,65 ans et plus,,83.0
2020,Colombie-Britannique,"Total, 15 ans et plus",59,94.2
2020,Colombie-Britannique,15 à 24 ans,,99.5
2020,Colombie-Britannique,25 à 44 ans,,98.9
2020,Colombie-Britannique,45 à 64 ans,,95.9
2020,Colombie-Britannique,65 ans et plus,,81.8
2022,Canada,15 à 24 ans,,99.2
2022,Canada,25 à 44 ans,,99.2
2022,Canada,45 à 64 ans,,96.4
2022,Canada,65 ans et plus,,82.6
2022,Terre-Neuve-et-Labrador,"Total, 15 ans et plus",10,91.7
2022,Terre-Neuve-et-Labrador,15 à 24 ans,,100.0
2022,Terre-Neuve-et-Labrador,25 à 44 ans,,99.2
2022,Terre-Neuve-et-Labrador,45 à 64 ans,,93.7
2022,Terre-Neuve-et-Labrador,65 ans et plus,,79.2
2022,Île-du-Prince-Édouard,"Total, 15 ans et plus",11,92.6
2022,Île-du-Prince-Édouard,15 à 24 ans,,100.0
2022,Île-du-Prince-Édouard,25 à 44 ans,,100.0
2022,Île-du-Prince-Édouard,45 à 64 ans,,94.2
2022,Île-du-Prince-Édouard,65 ans et plus,,77.8
2022,Nouvelle-Écosse,"Total, 15 ans et plus",12,91.9
2022,Nouvelle-Écosse,15 à 24 ans,,100.0
2022,Nouvelle-Écosse,25 à 44 ans,,100.0
2022,Nouvelle-Écosse,45 à 64 ans,,94.1
2022,Nouvelle-Écosse,65 ans et plus,,76.5
2022,Nouveau-Brunswick,"Total, 15 ans et plus",13,90.9
2022,Nouveau-Brunswick,15 à 24 ans,,100.0
2022,Nouveau-Brunswick,25 à 44 ans,,99.4
2022,Nouveau-Brunswick,45 à 64 ans,,95.0
2022,Nouveau-Brunswick,65 ans et plus,,73.4
2022,Québec,"Total, 15 ans et plus",24,92.2
2022,Québec,15 à 24 ans,,99.9
2022,Québec,25 à 44 ans,,99.1
2022,Québec,45 à 64 ans,,94.6
2022,Québec,65 ans et plus,,76.9
2022,Ontario,"Total, 15 ans et plus",35,95.5
2022,Ontario,15 à 24 ans,,98.7
2022,Ontario,25 à 44 ans,,99.3
2022,Ontario,45 à 64 ans,,97.3
2022,Ontario,65 ans et plus,,85.4
2022,Manitoba,"Total, 15 ans et plus",46,92.6
2022,Manitoba,15 à 24 ans,,100.0
2022,Manitoba,25 à 44 ans,,99.3
2022,Manitoba,45 à 64 ans,,93.0
2022,Manitoba,65 ans et plus,,76.6
2022,Saskatchewan,"Total, 15 ans et plus",47,93.7
2022,Saskatchewan,15 à 24 ans,,96.9
2022,Saskatchewan,25 à 44 ans,,98.5
2022,Saskatchewan,45 à 64 ans,,98.8
2022,Saskatchewan,65 ans et plus,,77.0
2022,Alberta,"Total, 15 ans et plus",48,95.2
2022,Alberta,15 à 24 ans,,100.0
2022,Alberta,25 à 44 ans,,98.4
2022,Alberta,45 à 64 ans,,95.9
2022,Alberta,65 ans et plus,,84.3
2022,Colombie-Britannique,"Total, 15 ans et plus",59,96.9
2022,Colombie-Britannique,15 à 24 ans,,99.0
2022,Colombie-Britannique,25 à 44 ans,,99.9
2022,Colombie-Britannique,45 à 64 ans,,98.4
2022,Colombie-Britannique,65 ans et plus,,89.6
