Year,Antigen or vaccine,Target population,Geography,Gender,GeoCode,Value
2017,Meningococcal type C,Recommended vaccines for 2-year-old children,Saskatchewan,,47,81.1
2017,Pneumococcal,Recommended vaccines for 2-year-old children,Saskatchewan,,47,83.7
2017,Rotavirus,Recommended vaccines for 2-year-old children,Saskatchewan,,47,84.0
2017,Diphtheria,Recommended vaccines for 2-year-old children,Alberta,,48,79.9
2017,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Alberta,,48,79.9
2017,Tetanus,Recommended vaccines for 2-year-old children,Alberta,,48,79.9
2017,Polio,Recommended vaccines for 2-year-old children,Alberta,,48,93.0
2017,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Alberta,,48,79.1
2017,Measles,Recommended vaccines for 2-year-old children,Alberta,,48,91.7
2017,Mumps,Recommended vaccines for 2-year-old children,Alberta,,48,91.4
2017,Rubella,Recommended vaccines for 2-year-old children,Alberta,,48,91.4
2017,Varicella,Recommended vaccines for 2-year-old children,Alberta,,48,86.7
2017,Meningococcal type C,Recommended vaccines for 2-year-old children,Alberta,,48,91.0
2017,Pneumococcal,Recommended vaccines for 2-year-old children,Alberta,,48,82.6
2017,Diphtheria,Recommended vaccines for 2-year-old children,British Columbia,,59,76.6
2017,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,British Columbia,,59,76.6
2017,Tetanus,Recommended vaccines for 2-year-old children,British Columbia,,59,76.6
2017,Polio,Recommended vaccines for 2-year-old children,British Columbia,,59,87.5
2017,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,British Columbia,,59,74.4
2017,Measles,Recommended vaccines for 2-year-old children,British Columbia,,59,86.1
2017,Mumps,Recommended vaccines for 2-year-old children,British Columbia,,59,86.1
2017,Rubella,Recommended vaccines for 2-year-old children,British Columbia,,59,86.1
2017,Hepatitis B,Recommended vaccines for 2-year-old children,British Columbia,,59,69.7
2017,Varicella,Recommended vaccines for 2-year-old children,British Columbia,,59,83.7
2017,Meningococcal type C,Recommended vaccines for 2-year-old children,British Columbia,,59,89.3
2017,Pneumococcal,Recommended vaccines for 2-year-old children,British Columbia,,59,80.3
2017,Rotavirus,Recommended vaccines for 2-year-old children,British Columbia,,59,80.2
2017,Diphtheria,Recommended vaccines for 2-year-old children,Yukon,,60,70.7
2017,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Yukon,,60,70.7
2017,Tetanus,Recommended vaccines for 2-year-old children,Yukon,,60,70.7
2017,Polio,Recommended vaccines for 2-year-old children,Yukon,,60,93.7
2017,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Yukon,,60,69.3
2017,Measles,Recommended vaccines for 2-year-old children,Yukon,,60,91.0
2017,Mumps,Recommended vaccines for 2-year-old children,Yukon,,60,91.0
2017,Rubella,Recommended vaccines for 2-year-old children,Yukon,,60,91.0
2017,Hepatitis B,Recommended vaccines for 2-year-old children,Yukon,,60,62.8
2017,Varicella,Recommended vaccines for 2-year-old children,Yukon,,60,85.5
2017,Meningococcal type C,Recommended vaccines for 2-year-old children,Yukon,,60,93.7
2017,Pneumococcal,Recommended vaccines for 2-year-old children,Yukon,,60,83.2
2017,Rotavirus,Recommended vaccines for 2-year-old children,Yukon,,60,76.6
2017,Diphtheria,Recommended vaccines for 2-year-old children,Northwest Territories,,61,76.7
2017,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Northwest Territories,,61,76.7
2017,Tetanus,Recommended vaccines for 2-year-old children,Northwest Territories,,61,76.7
2017,Polio,Recommended vaccines for 2-year-old children,Northwest Territories,,61,91.1
2017,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Northwest Territories,,61,75.5
2017,Measles,Recommended vaccines for 2-year-old children,Northwest Territories,,61,91.8
2017,Mumps,Recommended vaccines for 2-year-old children,Northwest Territories,,61,91.8
2017,Rubella,Recommended vaccines for 2-year-old children,Northwest Territories,,61,91.8
2017,Hepatitis B,Recommended vaccines for 2-year-old children,Northwest Territories,,61,80.5
2017,Varicella,Recommended vaccines for 2-year-old children,Northwest Territories,,61,88.9
2017,Meningococcal type C,Recommended vaccines for 2-year-old children,Northwest Territories,,61,95.2
2017,Pneumococcal,Recommended vaccines for 2-year-old children,Northwest Territories,,61,63.8
2017,Rotavirus,Recommended vaccines for 2-year-old children,Northwest Territories,,61,66.3
2017,Diphtheria,Recommended vaccines for 2-year-old children,Nunavut,,62,63.8
2017,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Nunavut,,62,63.8
2017,Tetanus,Recommended vaccines for 2-year-old children,Nunavut,,62,63.8
2017,Polio,Recommended vaccines for 2-year-old children,Nunavut,,62,82.1
2017,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Nunavut,,62,57.2
2017,Measles,Recommended vaccines for 2-year-old children,Nunavut,,62,88.7
2017,Mumps,Recommended vaccines for 2-year-old children,Nunavut,,62,88.7
2017,Rubella,Recommended vaccines for 2-year-old children,Nunavut,,62,88.7
2017,Hepatitis B,Recommended vaccines for 2-year-old children,Nunavut,,62,70.8
2017,Varicella,Recommended vaccines for 2-year-old children,Nunavut,,62,82.1
2017,Meningococcal type C,Recommended vaccines for 2-year-old children,Nunavut,,62,80.1
2017,Pneumococcal,Recommended vaccines for 2-year-old children,Nunavut,,62,62.4
2019,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Canada,,,43.5
2019,Influenza (flu),Recommended vaccines during pregnancy,Canada,,,45.0
2019,Diphtheria,Recommended vaccines for 2-year-old children,Canada,,,77.5
2019,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Canada,,,77.5
2019,Tetanus,Recommended vaccines for 2-year-old children,Canada,,,77.5
2019,Polio,Recommended vaccines for 2-year-old children,Canada,,,91.9
2019,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Canada,,,74.4
2019,Measles,Recommended vaccines for 2-year-old children,Canada,,,90.2
2019,Mumps,Recommended vaccines for 2-year-old children,Canada,,,89.2
2019,Rubella,Recommended vaccines for 2-year-old children,Canada,,,89.4
2019,Hepatitis B,Recommended vaccines for 2-year-old children,Canada,,,83.6
2019,Varicella,Recommended vaccines for 2-year-old children,Canada,,,82.7
2019,Meningococcal type C,Recommended vaccines for 2-year-old children,Canada,,,91.1
2019,Pneumococcal,Recommended vaccines for 2-year-old children,Canada,,,84.4
2019,Rotavirus,Recommended vaccines for 2-year-old children,Canada,,,84.5
2019,Diphtheria,Recommended vaccines for 7-year-old children,Canada,,,78.1
2019,Pertussis (whooping cough),Recommended vaccines for 7-year-old children,Canada,,,78.1
2019,Tetanus,Recommended vaccines for 7-year-old children,Canada,,,78.1
2019,Polio,Recommended vaccines for 7-year-old children,Canada,,,89.3
2019,Haemophilus influenzae type B (Hib),Recommended vaccines for 7-year-old children,Canada,,,80.0
2019,Measles,Recommended vaccines for 7-year-old children,Canada,,,83.3
2019,Mumps,Recommended vaccines for 7-year-old children,Canada,,,83.1
2019,Rubella,Recommended vaccines for 7-year-old children,Canada,,,95.9
2019,Hepatitis B,Recommended vaccines for 14-year-old children,Canada,,,84.5
2019,Human Papillomavirus (HPV),Recommended vaccines for 14-year-old children,Canada,,,80.2
2019,Hepatitis B,Recommended vaccines for 14-year-old children,Canada,Men+,,83.0
2019,Human Papillomavirus (HPV),Recommended vaccines for 14-year-old children,Canada,Men+,,73.0
2019,Hepatitis B,Recommended vaccines for 14-year-old children,Canada,Women+,,86.0
2019,Human Papillomavirus (HPV),Recommended vaccines for 14-year-old children,Canada,Women+,,87.1
2019,Meningococcal type C,Recommended vaccines for 17-year-old children,Canada,,,89.3
2019,"Diphtheria, Tetanus, acellular Pertussis (Tdap) booster",Recommended vaccines for 17-year-old children,Canada,,,95.3
2019,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Newfoundland and Labrador,,10,15.9
2019,Influenza (flu),Recommended vaccines during pregnancy,Newfoundland and Labrador,,10,41.4
2019,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Prince Edward Island,,11,76.2
2019,Influenza (flu),Recommended vaccines during pregnancy,Prince Edward Island,,11,75.2
2019,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Nova Scotia,,12,62.2
2019,Influenza (flu),Recommended vaccines during pregnancy,Nova Scotia,,12,71.5
2019,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,New Brunswick,,13,71.0
2019,Influenza (flu),Recommended vaccines during pregnancy,New Brunswick,,13,58.4
2019,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Ontario,,35,40.3
2019,Influenza (flu),Recommended vaccines during pregnancy,Ontario,,35,43.3
2019,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Quebec,,24,48.8
2019,Influenza (flu),Recommended vaccines during pregnancy,Quebec,,24,32.9
2019,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Manitoba,,46,57.0
2019,Influenza (flu),Recommended vaccines during pregnancy,Manitoba,,46,48.8
2019,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Saskatchewan,,47,74.0
2019,Influenza (flu),Recommended vaccines during pregnancy,Saskatchewan,,47,64.9
2019,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Alberta,,48,37.9
2019,Influenza (flu),Recommended vaccines during pregnancy,Alberta,,48,49.4
2019,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,British Columbia,,59,25.6
2019,Influenza (flu),Recommended vaccines during pregnancy,British Columbia,,59,49.8
2019,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Yukon,,60,56.5
2019,Influenza (flu),Recommended vaccines during pregnancy,Yukon,,60,66.0
2019,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Northwest Territories,,61,80.1
2019,Influenza (flu),Recommended vaccines during pregnancy,Northwest Territories,,61,84.8
2021,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Canada,,,64.8
2021,Influenza (flu),Recommended vaccines during pregnancy,Canada,,,52.7
2021,Diphtheria,Recommended vaccines for 2-year-old children,Canada,,,77.1
2021,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Canada,,,77.1
2021,Tetanus,Recommended vaccines for 2-year-old children,Canada,,,77.1
2021,Polio,Recommended vaccines for 2-year-old children,Canada,,,91.8
2021,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Canada,,,75.3
2021,Measles,Recommended vaccines for 2-year-old children,Canada,,,91.6
2021,Mumps,Recommended vaccines for 2-year-old children,Canada,,,91.5
2021,Rubella,Recommended vaccines for 2-year-old children,Canada,,,91.5
2021,Hepatitis B,Recommended vaccines for 2-year-old children,Canada,,,82.6
2021,Varicella,Recommended vaccines for 2-year-old children,Canada,,,87.5
2021,Meningococcal type C,Recommended vaccines for 2-year-old children,Canada,,,90.5
2021,Pneumococcal,Recommended vaccines for 2-year-old children,Canada,,,85.1
2021,Rotavirus,Recommended vaccines for 2-year-old children,Canada,,,85.6
2021,Diphtheria,Recommended vaccines for 7-year-old children,Canada,,,71.9
2021,Pertussis (whooping cough),Recommended vaccines for 7-year-old children,Canada,,,71.9
2021,Tetanus,Recommended vaccines for 7-year-old children,Canada,,,71.9
2021,Polio,Recommended vaccines for 7-year-old children,Canada,,,87.3
2021,Haemophilus influenzae type B (Hib),Recommended vaccines for 7-year-old children,Canada,,,78.5
2021,Measles,Recommended vaccines for 7-year-old children,Canada,,,79.2
2021,Mumps,Recommended vaccines for 7-year-old children,Canada,,,79.5
2021,Rubella,Recommended vaccines for 7-year-old children,Canada,,,94.0
2021,Hepatitis B,Recommended vaccines for 7-year-old children,Canada,,,78.4
2021,Varicella,Recommended vaccines for 7-year-old children,Canada,,,90.7
2021,Hepatitis B,Recommended vaccines for 14-year-old children,Canada,,,89.0
2021,Human Papillomavirus (HPV),Recommended vaccines for 14-year-old children,Canada,,,84.0
2021,Hepatitis B,Recommended vaccines for 14-year-old children,Canada,Men+,,86.5
2021,Human Papillomavirus (HPV),Recommended vaccines for 14-year-old children,Canada,Men+,,81.5
2021,Hepatitis B,Recommended vaccines for 14-year-old children,Canada,Women+,,91.5
2021,Human Papillomavirus (HPV),Recommended vaccines for 14-year-old children,Canada,Women+,,86.4
2021,Meningococcal type C,Recommended vaccines for 17-year-old children,Canada,,,89.0
2021,"Diphtheria, Tetanus, acellular Pertussis (Tdap) booster",Recommended vaccines for 17-year-old children,Canada,,,92.8
2021,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Newfoundland and Labrador,,10,79.0
2021,Influenza (flu),Recommended vaccines during pregnancy,Newfoundland and Labrador,,10,63.6
2021,Diphtheria,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,80.0
2021,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,80.0
2021,Tetanus,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,80.0
2021,Polio,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,95.4
2021,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,76.8
2021,Measles,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,97.0
2021,Mumps,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,97.0
2021,Rubella,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,97.0
2021,Varicella,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,96.4
2021,Meningococcal type C,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,93.6
2021,Pneumococcal,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,87.8
2021,Rotavirus,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,93.3
2021,"Tetanus toxoid, reduced diphtheria toxoid and reduced acellular pertussis (Tdap)",Recommended vaccines during pregnancy,Prince Edward Island,,11,80.4
2021,Influenza (flu),Recommended vaccines during pregnancy,Prince Edward Island,,11,77.3
2021,Diphtheria,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,95.8
2021,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Prince Edward Island,,11,95.8
2021,Tetanus,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,95.8
2021,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Prince Edward Island,,11,95.8
2021,Measles,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,98.0
2021,Mumps,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,98.0
2021,Rubella,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,98.0
2021,Hepatitis B,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,97.7
2021,Varicella,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,96.7
2021,Pneumococcal,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,97.4
2021,Rotavirus,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,96.4
