Year,Series,Geography,GeoCode,Value
2021,Proportion of workers covered in case of employment injury,Manitoba,46,76.57
2021,Proportion of workers covered in case of employment injury,Saskatchewan,47,76.96
2021,Proportion of workers covered in case of employment injury,Alberta,48,81.76
2021,Proportion of workers covered in case of employment injury,British Columbia,59,93.6
2021,Proportion of workers covered in case of employment injury,Northwest Territories and Nunavut,,96.98
2021,Proportion of workers covered in case of employment injury,Yukon,60,94.54
2022,Proportion of workers covered in case of employment injury,,,83.42
2022,Proportion of workers covered in case of employment injury,Newfoundland and Labrador,10,96.08
2022,Proportion of workers covered in case of employment injury,Prince Edward Island,11,98.48
2022,Proportion of workers covered in case of employment injury,Nova Scotia,12,72.8
2022,Proportion of workers covered in case of employment injury,New Brunswick,13,91.64
2022,Proportion of workers covered in case of employment injury,Quebec,24,93.1
2022,Proportion of workers covered in case of employment injury,Ontario,35,75.17
2022,Proportion of workers covered in case of employment injury,Manitoba,46,77.74
2022,Proportion of workers covered in case of employment injury,Saskatchewan,47,74.53
2022,Proportion of workers covered in case of employment injury,Alberta,48,81.4
2022,Proportion of workers covered in case of employment injury,British Columbia,59,95.0
2022,Proportion of workers covered in case of employment injury,Northwest Territories and Nunavut,,97.12
2022,Proportion of workers covered in case of employment injury,Yukon,60,96.15
2017,Proportion of older persons receiving a pension,,,93.4
2018,Proportion of older persons receiving a pension,,,93.0
2021,Proportion of older persons receiving a pension,,,92.7
2021,Proportion of vulnerable persons receiving benefits,,,52.1
2021,Proportion of poor population receiving social assistance cash benefit,,,19.4
