Year,Tenure,Geography,GeoCode,Value
2022,Renter,New Brunswick,13,16.5
2022,Renter not in social and affordable housing,New Brunswick,13,15.6
2022,Renter in social and affordable housing,New Brunswick,13,21.0
2022,"Total, tenure",Quebec,24,3.7
2022,Owner,Quebec,24,2.2
2022,Owner who is a first-time homebuyer,Quebec,24,2.3
2022,Owner who is not a first-time homebuyer,Quebec,24,2.2
2022,Renter,Quebec,24,6.0
2022,Renter not in social and affordable housing,Quebec,24,4.9
2022,Renter in social and affordable housing,Quebec,24,15.9
2022,"Total, tenure",Ontario,35,13.4
2022,Owner,Ontario,35,6.4
2022,Owner who is a first-time homebuyer,Ontario,35,2.5
2022,Owner who is not a first-time homebuyer,Ontario,35,7.0
2022,Renter,Ontario,35,27.0
2022,Renter not in social and affordable housing,Ontario,35,27.0
2022,Renter in social and affordable housing,Ontario,35,33.0
2022,"Total, tenure",Manitoba,46,10.1
2022,Owner,Manitoba,46,5.1
2022,Owner who is not a first-time homebuyer,Manitoba,46,5.9
2022,Renter,Manitoba,46,22.0
2022,Renter not in social and affordable housing,Manitoba,46,19.8
2022,Renter in social and affordable housing,Manitoba,46,31.0
2022,"Total, tenure",Saskatchewan,47,7.1
2022,Owner,Saskatchewan,47,3.3
2022,Owner who is a first-time homebuyer,Saskatchewan,47,4.6
2022,Owner who is not a first-time homebuyer,Saskatchewan,47,3.0
2022,Renter,Saskatchewan,47,16.2
2022,Renter not in social and affordable housing,Saskatchewan,47,13.8
2022,Renter in social and affordable housing,Saskatchewan,47,31.0
2022,"Total, tenure",Alberta,48,7.5
2022,Owner,Alberta,48,4.4
2022,Owner who is a first-time homebuyer,Alberta,48,3.4
2022,Owner who is not a first-time homebuyer,Alberta,48,4.5
2022,Renter,Alberta,48,16.2
2022,Renter not in social and affordable housing,Alberta,48,14.2
2022,Renter in social and affordable housing,Alberta,48,36.0
2022,"Total, tenure",British Columbia,59,14.8
2022,Owner,British Columbia,59,7.1
2022,Owner who is a first-time homebuyer,British Columbia,59,4.3
2022,Owner who is not a first-time homebuyer,British Columbia,59,7.4
2022,Renter,British Columbia,59,29.0
2022,Renter not in social and affordable housing,British Columbia,59,27.0
2022,Renter in social and affordable housing,British Columbia,59,36.0
2022,,,,10.4
2022,Owner,Canada,,5.2
2022,Owner who is a first-time homebuyer,Canada,,2.8
2022,Owner who is not a first-time homebuyer,Canada,,5.6
2022,Renter,Canada,,20.0
2022,Renter not in social and affordable housing,Canada,,19.5
2022,Renter in social and affordable housing,Canada,,30.0
