Year,Geography,Age group,GeoCode,Value
2020,Newfoundland and Labrador,45 to 64 years,,92.9
2020,Newfoundland and Labrador,65 years and over,,70.9
2020,Prince Edward Island,"Total, 15 years and over",11,91.3
2020,Prince Edward Island,15 to 24 years,,96.3
2020,Prince Edward Island,25 to 44 years,,98.5
2020,Prince Edward Island,45 to 64 years,,94.7
2020,Prince Edward Island,65 years and over,,74.5
2020,Nova Scotia,"Total, 15 years and over",12,90.8
2020,Nova Scotia,15 to 24 years,,95.1
2020,Nova Scotia,25 to 44 years,,97.4
2020,Nova Scotia,45 to 64 years,,93.6
2020,Nova Scotia,65 years and over,,76.9
2020,New Brunswick,"Total, 15 years and over",13,90.7
2020,New Brunswick,15 to 24 years,,100.0
2020,New Brunswick,25 to 44 years,,99.0
2020,New Brunswick,45 to 64 years,,93.1
2020,New Brunswick,65 years and over,,73.8
2020,Quebec,"Total, 15 years and over",24,87.1
2020,Quebec,15 to 24 years,,94.6
2020,Quebec,25 to 44 years,,98.5
2020,Quebec,45 to 64 years,,89.3
2020,Quebec,65 years and over,,64.4
2020,Ontario,"Total, 15 years and over",35,94.1
2020,Ontario,15 to 24 years,,98.8
2020,Ontario,25 to 44 years,,98.2
2020,Ontario,45 to 64 years,,96.1
2020,Ontario,65 years and over,,81.0
2020,Manitoba,"Total, 15 years and over",46,91.3
2020,Manitoba,15 to 24 years,,95.3
2020,Manitoba,25 to 44 years,,97.4
2020,Manitoba,45 to 64 years,,91.7
2020,Manitoba,65 years and over,,76.5
2020,Saskatchewan,"Total, 15 years and over",47,91.4
2020,Saskatchewan,15 to 24 years,,99.0
2020,Saskatchewan,25 to 44 years,,97.2
2020,Saskatchewan,45 to 64 years,,93.2
2020,Saskatchewan,65 years and over,,72.6
2020,Alberta,"Total, 15 years and over",48,95.2
2020,Alberta,15 to 24 years,,100.0
2020,Alberta,25 to 44 years,,97.6
2020,Alberta,45 to 64 years,,96.8
2020,Alberta,65 years and over,,83.0
2020,British Columbia,"Total, 15 years and over",59,94.2
2020,British Columbia,15 to 24 years,,99.5
2020,British Columbia,25 to 44 years,,98.9
2020,British Columbia,45 to 64 years,,95.9
2020,British Columbia,65 years and over,,81.8
2022,Canada,15 to 24 years,,99.2
2022,Canada,25 to 44 years,,99.2
2022,Canada,45 to 64 years,,96.4
2022,Canada,65 years and over,,82.6
2022,Newfoundland and Labrador,"Total, 15 years and over",10,91.7
2022,Newfoundland and Labrador,15 to 24 years,,100.0
2022,Newfoundland and Labrador,25 to 44 years,,99.2
2022,Newfoundland and Labrador,45 to 64 years,,93.7
2022,Newfoundland and Labrador,65 years and over,,79.2
2022,Prince Edward Island,"Total, 15 years and over",11,92.6
2022,Prince Edward Island,15 to 24 years,,100.0
2022,Prince Edward Island,25 to 44 years,,100.0
2022,Prince Edward Island,45 to 64 years,,94.2
2022,Prince Edward Island,65 years and over,,77.8
2022,Nova Scotia,"Total, 15 years and over",12,91.9
2022,Nova Scotia,15 to 24 years,,100.0
2022,Nova Scotia,25 to 44 years,,100.0
2022,Nova Scotia,45 to 64 years,,94.1
2022,Nova Scotia,65 years and over,,76.5
2022,New Brunswick,"Total, 15 years and over",13,90.9
2022,New Brunswick,15 to 24 years,,100.0
2022,New Brunswick,25 to 44 years,,99.4
2022,New Brunswick,45 to 64 years,,95.0
2022,New Brunswick,65 years and over,,73.4
2022,Quebec,"Total, 15 years and over",24,92.2
2022,Quebec,15 to 24 years,,99.9
2022,Quebec,25 to 44 years,,99.1
2022,Quebec,45 to 64 years,,94.6
2022,Quebec,65 years and over,,76.9
2022,Ontario,"Total, 15 years and over",35,95.5
2022,Ontario,15 to 24 years,,98.7
2022,Ontario,25 to 44 years,,99.3
2022,Ontario,45 to 64 years,,97.3
2022,Ontario,65 years and over,,85.4
2022,Manitoba,"Total, 15 years and over",46,92.6
2022,Manitoba,15 to 24 years,,100.0
2022,Manitoba,25 to 44 years,,99.3
2022,Manitoba,45 to 64 years,,93.0
2022,Manitoba,65 years and over,,76.6
2022,Saskatchewan,"Total, 15 years and over",47,93.7
2022,Saskatchewan,15 to 24 years,,96.9
2022,Saskatchewan,25 to 44 years,,98.5
2022,Saskatchewan,45 to 64 years,,98.8
2022,Saskatchewan,65 years and over,,77.0
2022,Alberta,"Total, 15 years and over",48,95.2
2022,Alberta,15 to 24 years,,100.0
2022,Alberta,25 to 44 years,,98.4
2022,Alberta,45 to 64 years,,95.9
2022,Alberta,65 years and over,,84.3
2022,British Columbia,"Total, 15 years and over",59,96.9
2022,British Columbia,15 to 24 years,,99.0
2022,British Columbia,25 to 44 years,,99.9
2022,British Columbia,45 to 64 years,,98.4
2022,British Columbia,65 years and over,,89.6
