Year,Units,Source,Niveau de traitement des eaux usées,Value
2014,Pourcentage (%),Municipale,Traitées,98.07
2015,Pourcentage (%),Municipale,Traitées,98.11
2016,Pourcentage (%),Municipale,Traitées,98.13
2017,Pourcentage (%),Municipale,Traitées,98.08
2018,Pourcentage (%),Municipale,Traitées,98.1
2019,Pourcentage (%),Municipale,Traitées,98.2
2020,Pourcentage (%),Municipale,Traitées,98.24
2021,Pourcentage (%),Municipale,Traitées,98.61
2022,Pourcentage (%),Municipale,Traitées,98.55
2023,Pourcentage (%),Municipale,Traitées,98.62
2013,Millions de mètres cubes,Industries,Aucun traitement,1208.4
2015,Millions de mètres cubes,Industries,Aucun traitement,1170.6
2017,Millions de mètres cubes,Industries,Aucun traitement,1126.3
2020,Millions de mètres cubes,Industries,Aucun traitement,1200.7
2021,Millions de mètres cubes,Industries,Aucun traitement,1288.1
2013,Millions de mètres cubes,Industries,Traitées sans danger,1734.3
2015,Millions de mètres cubes,Industries,Traitées sans danger,1423.8
2017,Millions de mètres cubes,Industries,Traitées sans danger,1378.3
2020,Millions de mètres cubes,Industries,Traitées sans danger,1486.2
2021,Millions de mètres cubes,Industries,Traitées sans danger,1464.4
2013,Millions de mètres cubes,Industries,Traitées,2349.0
2015,Millions de mètres cubes,Industries,Traitées,2003.4
2017,Millions de mètres cubes,Industries,Traitées,1989.8
2020,Millions de mètres cubes,Industries,Traitées,2194.8
2021,Millions de mètres cubes,Industries,Traitées,2107.4
2013,Millions de mètres cubes,Industries,Eaux usées générées,3557.4
2015,Millions de mètres cubes,Industries,Eaux usées générées,3174.0
2017,Millions de mètres cubes,Industries,Eaux usées générées,3116.1
2020,Millions de mètres cubes,Industries,Eaux usées générées,3395.5
2021,Millions de mètres cubes,Industries,Eaux usées générées,3395.5
2013,Millions de mètres cubes,Municipale,Eaux usées générées,5834.1
2014,Millions de mètres cubes,Municipale,Eaux usées générées,5890.3
2015,Millions de mètres cubes,Municipale,Eaux usées générées,5547.3
2016,Millions de mètres cubes,Municipale,Eaux usées générées,5700.5
2017,Millions de mètres cubes,Municipale,Eaux usées générées,5937.9
2018,Millions de mètres cubes,Municipale,Eaux usées générées,5757.9
2019,Millions de mètres cubes,Municipale,Eaux usées générées,6026.5
2020,Millions de mètres cubes,Municipale,Eaux usées générées,5793.3
2021,Millions de mètres cubes,Municipale,Eaux usées générées,5348.0
2022,Millions de mètres cubes,Municipale,Eaux usées générées,5654.5
2023,Millions de mètres cubes,Municipale,Eaux usées générées,5897.0
2013,Millions de mètres cubes,Municipale,Aucun traitement,111.1
2014,Millions de mètres cubes,Municipale,Aucun traitement,113.6
2015,Millions de mètres cubes,Municipale,Aucun traitement,105.0
2016,Millions de mètres cubes,Municipale,Aucun traitement,106.7
2017,Millions de mètres cubes,Municipale,Aucun traitement,114.0
2018,Millions de mètres cubes,Municipale,Aucun traitement,109.6
2019,Millions de mètres cubes,Municipale,Aucun traitement,108.7
2020,Millions de mètres cubes,Municipale,Aucun traitement,102.3
2021,Millions de mètres cubes,Municipale,Aucun traitement,74.4
2022,Millions de mètres cubes,Municipale,Aucun traitement,81.8
2023,Millions de mètres cubes,Municipale,Aucun traitement,81.5
2013,Millions de mètres cubes,Municipale,Traitées sans danger,4196.4
2014,Millions de mètres cubes,Municipale,Traitées sans danger,4251.0
2015,Millions de mètres cubes,Municipale,Traitées sans danger,4020.1
2016,Millions de mètres cubes,Municipale,Traitées sans danger,4097.8
2017,Millions de mètres cubes,Municipale,Traitées sans danger,4288.2
2018,Millions de mètres cubes,Municipale,Traitées sans danger,4143.4
2019,Millions de mètres cubes,Municipale,Traitées sans danger,4413.1
2020,Millions de mètres cubes,Municipale,Traitées sans danger,4241.9
2021,Millions de mètres cubes,Municipale,Traitées sans danger,3957.3
2022,Millions de mètres cubes,Municipale,Traitées sans danger,4215.3
2023,Millions de mètres cubes,Municipale,Traitées sans danger,4385.6
2013,Millions de mètres cubes,Municipale,Traitées,5723.0
2014,Millions de mètres cubes,Municipale,Traitées,5776.7
2015,Millions de mètres cubes,Municipale,Traitées,5442.3
2016,Millions de mètres cubes,Municipale,Traitées,5593.7
2017,Millions de mètres cubes,Municipale,Traitées,5823.9
2018,Millions de mètres cubes,Municipale,Traitées,5648.3
2019,Millions de mètres cubes,Municipale,Traitées,5917.9
2020,Millions de mètres cubes,Municipale,Traitées,5691.1
2021,Millions de mètres cubes,Municipale,Traitées,5273.5
2022,Millions de mètres cubes,Municipale,Traitées,5572.6
2023,Millions de mètres cubes,Municipale,Traitées,5815.5
