Year,Genre,Groupe d'âge,Géographie,GeoCode,Progress,Value
2015,Hommes+,60 à 64 ans,Canada,,7.5,7.5
2015,Hommes+,65 ans et plus,Canada,,4.8,4.8
2015,Hommes+,65 à 69 ans,Canada,,6.0,6.0
2015,Hommes+,70 ans et plus,Canada,,-1.0,2.6
2015,Femmes+,15 ans et plus,Canada,,6.4,6.4
2015,Femmes+,15 à 24 ans,Canada,,10.8,10.8
2015,Femmes+,25 ans et plus,Canada,,5.6,5.6
2015,Femmes+,25 à 44 ans,Canada,,5.9,5.9
2015,Femmes+,45 à 64 ans,Canada,,5.3,5.3
2015,Femmes+,45 ans et plus,Canada,,5.3,5.3
2015,Femmes+,25 à 54 ans,Canada,,5.6,5.6
2015,Femmes+,55 ans et plus,Canada,,5.5,5.5
2015,Femmes+,15 à 64 ans,Canada,,6.4,6.4
2015,Femmes+,15 à 19 ans,Canada,,15.8,15.8
2015,Femmes+,20 à 24 ans,Canada,,7.8,7.8
2015,Femmes+,25 à 29 ans,Canada,,6.6,6.6
2015,Femmes+,30 à 34 ans,Canada,,5.6,5.6
2015,Femmes+,35 à 39 ans,Canada,,5.7,5.7
2015,Femmes+,40 à 44 ans,Canada,,5.6,5.6
2015,Femmes+,45 à 49 ans,Canada,,5.0,5.0
2015,Femmes+,50 à 54 ans,Canada,,5.1,5.1
2015,Femmes+,55 à 59 ans,Canada,,5.8,5.8
2015,Femmes+,60 à 64 ans,Canada,,5.8,5.8
2015,Femmes+,65 ans et plus,Canada,,4.2,4.2
2015,Femmes+,65 à 69 ans,Canada,,4.5,4.5
2015,Femmes+,70 ans et plus,Canada,,3.5,3.5
2015,Total - Genre,15 ans et plus,Terre-Neuve-et-Labrador,10,13.1,13.1
2015,Total - Genre,15 à 24 ans,Terre-Neuve-et-Labrador,10,16.5,16.5
2015,Total - Genre,25 ans et plus,Terre-Neuve-et-Labrador,10,12.6,12.6
2015,Total - Genre,25 à 44 ans,Terre-Neuve-et-Labrador,10,10.6,10.6
2015,Total - Genre,45 à 64 ans,Terre-Neuve-et-Labrador,10,14.2,14.2
2015,Total - Genre,45 ans et plus,Terre-Neuve-et-Labrador,10,14.2,14.2
2015,Total - Genre,25 à 54 ans,Terre-Neuve-et-Labrador,10,11.3,11.3
2015,Total - Genre,55 ans et plus,Terre-Neuve-et-Labrador,10,16.3,16.3
2015,Total - Genre,15 à 64 ans,Terre-Neuve-et-Labrador,10,13.1,13.1
2015,Total - Genre,15 à 19 ans,Terre-Neuve-et-Labrador,10,19.0,19.0
2015,Total - Genre,20 à 24 ans,Terre-Neuve-et-Labrador,10,14.6,14.6
2015,Total - Genre,25 à 29 ans,Terre-Neuve-et-Labrador,10,11.0,11.0
2015,Total - Genre,30 à 34 ans,Terre-Neuve-et-Labrador,10,10.6,10.6
2015,Total - Genre,35 à 39 ans,Terre-Neuve-et-Labrador,10,9.9,9.9
2015,Total - Genre,40 à 44 ans,Terre-Neuve-et-Labrador,10,11.0,11.0
2015,Total - Genre,45 à 49 ans,Terre-Neuve-et-Labrador,10,11.2,11.2
2015,Total - Genre,50 à 54 ans,Terre-Neuve-et-Labrador,10,13.2,13.2
2015,Total - Genre,55 à 59 ans,Terre-Neuve-et-Labrador,10,14.8,14.8
2015,Total - Genre,60 à 64 ans,Terre-Neuve-et-Labrador,10,19.2,19.2
2015,Total - Genre,65 ans et plus,Terre-Neuve-et-Labrador,10,14.6,14.6
2015,Total - Genre,65 à 69 ans,Terre-Neuve-et-Labrador,10,17.1,17.1
2015,Total - Genre,70 ans et plus,Terre-Neuve-et-Labrador,10,,
2015,Hommes+,15 ans et plus,Terre-Neuve-et-Labrador,10,15.5,15.5
2015,Hommes+,15 à 24 ans,Terre-Neuve-et-Labrador,10,20.5,20.5
2015,Hommes+,25 ans et plus,Terre-Neuve-et-Labrador,10,14.7,14.7
2015,Hommes+,25 à 44 ans,Terre-Neuve-et-Labrador,10,12.0,12.0
2015,Hommes+,45 à 64 ans,Terre-Neuve-et-Labrador,10,16.7,16.7
2015,Hommes+,45 ans et plus,Terre-Neuve-et-Labrador,10,16.9,16.9
2015,Hommes+,25 à 54 ans,Terre-Neuve-et-Labrador,10,13.3,13.3
2015,Hommes+,55 ans et plus,Terre-Neuve-et-Labrador,10,18.8,18.8
2015,Hommes+,15 à 64 ans,Terre-Neuve-et-Labrador,10,15.4,15.4
2015,Hommes+,15 à 19 ans,Terre-Neuve-et-Labrador,10,23.9,23.9
2015,Hommes+,20 à 24 ans,Terre-Neuve-et-Labrador,10,18.7,18.7
2015,Hommes+,25 à 29 ans,Terre-Neuve-et-Labrador,10,11.9,11.9
2015,Hommes+,30 à 34 ans,Terre-Neuve-et-Labrador,10,12.2,12.2
2015,Hommes+,35 à 39 ans,Terre-Neuve-et-Labrador,10,11.6,11.6
2015,Hommes+,40 à 44 ans,Terre-Neuve-et-Labrador,10,12.9,12.9
2015,Hommes+,45 à 49 ans,Terre-Neuve-et-Labrador,10,14.0,14.0
2015,Hommes+,50 à 54 ans,Terre-Neuve-et-Labrador,10,16.0,16.0
2015,Hommes+,55 à 59 ans,Terre-Neuve-et-Labrador,10,17.1,17.1
2015,Hommes+,60 à 64 ans,Terre-Neuve-et-Labrador,10,21.2,21.2
2015,Hommes+,65 ans et plus,Terre-Neuve-et-Labrador,10,,
2015,Hommes+,65 à 69 ans,Terre-Neuve-et-Labrador,10,,
2015,Hommes+,70 ans et plus,Terre-Neuve-et-Labrador,10,,
2015,Femmes+,15 ans et plus,Terre-Neuve-et-Labrador,10,10.4,10.4
2015,Femmes+,15 à 24 ans,Terre-Neuve-et-Labrador,10,12.0,12.0
2015,Femmes+,25 ans et plus,Terre-Neuve-et-Labrador,10,10.1,10.1
2015,Femmes+,25 à 44 ans,Terre-Neuve-et-Labrador,10,9.2,9.2
2015,Femmes+,45 à 64 ans,Terre-Neuve-et-Labrador,10,11.1,11.1
2015,Femmes+,45 ans et plus,Terre-Neuve-et-Labrador,10,11.0,11.0
2015,Femmes+,25 à 54 ans,Terre-Neuve-et-Labrador,10,9.2,9.2
2015,Femmes+,55 ans et plus,Terre-Neuve-et-Labrador,10,12.9,12.9
2015,Femmes+,15 à 64 ans,Terre-Neuve-et-Labrador,10,10.4,10.4
2015,Femmes+,15 à 19 ans,Terre-Neuve-et-Labrador,10,14.7,14.7
2015,Femmes+,20 à 24 ans,Terre-Neuve-et-Labrador,10,10.3,10.3
2015,Femmes+,25 à 29 ans,Terre-Neuve-et-Labrador,10,9.9,9.9
2015,Femmes+,30 à 34 ans,Terre-Neuve-et-Labrador,10,8.8,8.8
2015,Femmes+,35 à 39 ans,Terre-Neuve-et-Labrador,10,8.8,8.8
2015,Femmes+,40 à 44 ans,Terre-Neuve-et-Labrador,10,9.8,9.8
2015,Femmes+,45 à 49 ans,Terre-Neuve-et-Labrador,10,8.1,8.1
2015,Femmes+,50 à 54 ans,Terre-Neuve-et-Labrador,10,10.3,10.3
2015,Femmes+,55 à 59 ans,Terre-Neuve-et-Labrador,10,11.9,11.9
2015,Femmes+,60 à 64 ans,Terre-Neuve-et-Labrador,10,16.7,16.7
2015,Femmes+,65 ans et plus,Terre-Neuve-et-Labrador,10,,
2015,Femmes+,65 à 69 ans,Terre-Neuve-et-Labrador,10,,
2015,Femmes+,70 ans et plus,Terre-Neuve-et-Labrador,10,,
2015,Total - Genre,15 ans et plus,Île-du-Prince-Édouard,11,10.7,10.7
2015,Total - Genre,15 à 24 ans,Île-du-Prince-Édouard,11,15.3,15.3
2015,Total - Genre,25 ans et plus,Île-du-Prince-Édouard,11,9.9,9.9
2015,Total - Genre,25 à 44 ans,Île-du-Prince-Édouard,11,9.9,9.9
2015,Total - Genre,45 à 64 ans,Île-du-Prince-Édouard,11,9.6,9.6
2015,Total - Genre,45 ans et plus,Île-du-Prince-Édouard,11,9.8,9.8
2015,Total - Genre,25 à 54 ans,Île-du-Prince-Édouard,11,9.1,9.1
2015,Total - Genre,55 ans et plus,Île-du-Prince-Édouard,11,11.9,11.9
2015,Total - Genre,15 à 64 ans,Île-du-Prince-Édouard,11,10.7,10.7
2015,Total - Genre,15 à 19 ans,Île-du-Prince-Édouard,11,19.6,19.6
2015,Total - Genre,20 à 24 ans,Île-du-Prince-Édouard,11,12.3,12.3
2015,Total - Genre,25 à 29 ans,Île-du-Prince-Édouard,11,11.1,11.1
2015,Total - Genre,30 à 34 ans,Île-du-Prince-Édouard,11,9.7,9.7
2015,Total - Genre,35 à 39 ans,Île-du-Prince-Édouard,11,9.6,9.6
2015,Total - Genre,40 à 44 ans,Île-du-Prince-Édouard,11,8.1,8.1
2015,Total - Genre,45 à 49 ans,Île-du-Prince-Édouard,11,8.1,8.1
2015,Total - Genre,50 à 54 ans,Île-du-Prince-Édouard,11,8.3,8.3
2015,Total - Genre,55 à 59 ans,Île-du-Prince-Édouard,11,10.1,10.1
2015,Total - Genre,60 à 64 ans,Île-du-Prince-Édouard,11,13.6,13.6
2015,Total - Genre,65 ans et plus,Île-du-Prince-Édouard,11,10.6,10.6
2015,Total - Genre,65 à 69 ans,Île-du-Prince-Édouard,11,12.9,12.9
2015,Total - Genre,70 ans et plus,Île-du-Prince-Édouard,11,,
2015,Hommes+,15 ans et plus,Île-du-Prince-Édouard,11,12.0,12.0
2015,Hommes+,15 à 24 ans,Île-du-Prince-Édouard,11,20.3,20.3
2015,Hommes+,25 ans et plus,Île-du-Prince-Édouard,11,10.5,10.5
2015,Hommes+,25 à 44 ans,Île-du-Prince-Édouard,11,11.3,11.3
2015,Hommes+,45 à 64 ans,Île-du-Prince-Édouard,11,9.9,9.9
2015,Hommes+,45 ans et plus,Île-du-Prince-Édouard,11,9.9,9.9
2015,Hommes+,25 à 54 ans,Île-du-Prince-Édouard,11,10.1,10.1
2015,Hommes+,55 ans et plus,Île-du-Prince-Édouard,11,11.3,11.3
2015,Hommes+,15 à 64 ans,Île-du-Prince-Édouard,11,12.1,12.1
2015,Hommes+,15 à 19 ans,Île-du-Prince-Édouard,11,23.1,23.1
2015,Hommes+,20 à 24 ans,Île-du-Prince-Édouard,11,17.9,17.9
2015,Hommes+,25 à 29 ans,Île-du-Prince-Édouard,11,10.8,10.8
2015,Hommes+,30 à 34 ans,Île-du-Prince-Édouard,11,10.8,10.8
2015,Hommes+,35 à 39 ans,Île-du-Prince-Édouard,11,13.9,13.9
2015,Hommes+,40 à 44 ans,Île-du-Prince-Édouard,11,9.8,9.8
2015,Hommes+,45 à 49 ans,Île-du-Prince-Édouard,11,9.1,9.1
2015,Hommes+,50 à 54 ans,Île-du-Prince-Édouard,11,7.7,7.7
2015,Hommes+,55 à 59 ans,Île-du-Prince-Édouard,11,9.1,9.1
2015,Hommes+,60 à 64 ans,Île-du-Prince-Édouard,11,15.6,15.6
2015,Hommes+,65 ans et plus,Île-du-Prince-Édouard,11,,
2015,Hommes+,65 à 69 ans,Île-du-Prince-Édouard,11,,
2015,Hommes+,70 ans et plus,Île-du-Prince-Édouard,11,,
2015,Femmes+,15 ans et plus,Île-du-Prince-Édouard,11,9.3,9.3
2015,Femmes+,15 à 24 ans,Île-du-Prince-Édouard,11,10.0,10.0
2015,Femmes+,25 ans et plus,Île-du-Prince-Édouard,11,9.2,9.2
2015,Femmes+,25 à 44 ans,Île-du-Prince-Édouard,11,8.6,8.6
2015,Femmes+,45 à 64 ans,Île-du-Prince-Édouard,11,9.5,9.5
2015,Femmes+,45 ans et plus,Île-du-Prince-Édouard,11,9.7,9.7
2015,Femmes+,25 à 54 ans,Île-du-Prince-Édouard,11,8.5,8.5
2015,Femmes+,55 ans et plus,Île-du-Prince-Édouard,11,11.2,11.2
2015,Femmes+,15 à 64 ans,Île-du-Prince-Édouard,11,9.2,9.2
2015,Femmes+,15 à 19 ans,Île-du-Prince-Édouard,11,16.0,16.0
2015,Femmes+,20 à 24 ans,Île-du-Prince-Édouard,11,5.7,5.7
2015,Femmes+,25 à 29 ans,Île-du-Prince-Édouard,11,11.4,11.4
2015,Femmes+,30 à 34 ans,Île-du-Prince-Édouard,11,8.6,8.6
2015,Femmes+,35 à 39 ans,Île-du-Prince-Édouard,11,5.6,5.6
2015,Femmes+,40 à 44 ans,Île-du-Prince-Édouard,11,6.7,6.7
2015,Femmes+,45 à 49 ans,Île-du-Prince-Édouard,11,7.3,7.3
2015,Femmes+,50 à 54 ans,Île-du-Prince-Édouard,11,8.9,8.9
2015,Femmes+,55 à 59 ans,Île-du-Prince-Édouard,11,10.9,10.9
2015,Femmes+,60 à 64 ans,Île-du-Prince-Édouard,11,11.5,11.5
2015,Femmes+,65 ans et plus,Île-du-Prince-Édouard,11,,
2015,Femmes+,65 à 69 ans,Île-du-Prince-Édouard,11,,
2015,Femmes+,70 ans et plus,Île-du-Prince-Édouard,11,,
2015,Total - Genre,15 ans et plus,Nouvelle-Écosse,12,8.9,8.9
2015,Total - Genre,15 à 24 ans,Nouvelle-Écosse,12,15.2,15.2
2015,Total - Genre,25 ans et plus,Nouvelle-Écosse,12,7.7,7.7
2015,Total - Genre,25 à 44 ans,Nouvelle-Écosse,12,7.3,7.3
2015,Total - Genre,45 à 64 ans,Nouvelle-Écosse,12,8.3,8.3
2015,Total - Genre,45 ans et plus,Nouvelle-Écosse,12,8.2,8.2
2015,Total - Genre,25 à 54 ans,Nouvelle-Écosse,12,7.5,7.5
2015,Total - Genre,55 ans et plus,Nouvelle-Écosse,12,8.6,8.6
2015,Total - Genre,15 à 64 ans,Nouvelle-Écosse,12,9.0,9.0
2015,Total - Genre,15 à 19 ans,Nouvelle-Écosse,12,20.5,20.5
2015,Total - Genre,20 à 24 ans,Nouvelle-Écosse,12,12.1,12.1
2015,Total - Genre,25 à 29 ans,Nouvelle-Écosse,12,8.8,8.8
2015,Total - Genre,30 à 34 ans,Nouvelle-Écosse,12,6.6,6.6
2015,Total - Genre,35 à 39 ans,Nouvelle-Écosse,12,7.6,7.6
2015,Total - Genre,40 à 44 ans,Nouvelle-Écosse,12,5.9,5.9
2015,Total - Genre,45 à 49 ans,Nouvelle-Écosse,12,7.5,7.5
2015,Total - Genre,50 à 54 ans,Nouvelle-Écosse,12,8.0,8.0
2015,Total - Genre,55 à 59 ans,Nouvelle-Écosse,12,8.4,8.4
2015,Total - Genre,60 à 64 ans,Nouvelle-Écosse,12,10.2,10.2
2015,Total - Genre,65 ans et plus,Nouvelle-Écosse,12,6.4,6.4
2015,Total - Genre,65 à 69 ans,Nouvelle-Écosse,12,8.5,8.5
2015,Total - Genre,70 ans et plus,Nouvelle-Écosse,12,,
2015,Hommes+,15 ans et plus,Nouvelle-Écosse,12,10.4,10.4
2015,Hommes+,15 à 24 ans,Nouvelle-Écosse,12,18.0,18.0
2015,Hommes+,25 ans et plus,Nouvelle-Écosse,12,9.1,9.1
2015,Hommes+,25 à 44 ans,Nouvelle-Écosse,12,8.7,8.7
2015,Hommes+,45 à 64 ans,Nouvelle-Écosse,12,9.6,9.6
2015,Hommes+,45 ans et plus,Nouvelle-Écosse,12,9.4,9.4
2015,Hommes+,25 à 54 ans,Nouvelle-Écosse,12,8.7,8.7
2015,Hommes+,55 ans et plus,Nouvelle-Écosse,12,10.2,10.2
2015,Hommes+,15 à 64 ans,Nouvelle-Écosse,12,10.6,10.6
2015,Hommes+,15 à 19 ans,Nouvelle-Écosse,12,25.9,25.9
2015,Hommes+,20 à 24 ans,Nouvelle-Écosse,12,13.6,13.6
2015,Hommes+,25 à 29 ans,Nouvelle-Écosse,12,12.0,12.0
2015,Hommes+,30 à 34 ans,Nouvelle-Écosse,12,8.9,8.9
2015,Hommes+,35 à 39 ans,Nouvelle-Écosse,12,8.1,8.1
2015,Hommes+,40 à 44 ans,Nouvelle-Écosse,12,5.8,5.8
2015,Hommes+,45 à 49 ans,Nouvelle-Écosse,12,8.8,8.8
2015,Hommes+,50 à 54 ans,Nouvelle-Écosse,12,8.6,8.6
2015,Hommes+,55 à 59 ans,Nouvelle-Écosse,12,10.4,10.4
2015,Hommes+,60 à 64 ans,Nouvelle-Écosse,12,11.5,11.5
2015,Hommes+,65 ans et plus,Nouvelle-Écosse,12,,
2015,Hommes+,65 à 69 ans,Nouvelle-Écosse,12,,
2015,Hommes+,70 ans et plus,Nouvelle-Écosse,12,,
2015,Femmes+,15 ans et plus,Nouvelle-Écosse,12,7.3,7.3
2015,Femmes+,15 à 24 ans,Nouvelle-Écosse,12,12.4,12.4
2015,Femmes+,25 ans et plus,Nouvelle-Écosse,12,6.3,6.3
2015,Femmes+,25 à 44 ans,Nouvelle-Écosse,12,5.7,5.7
2015,Femmes+,45 à 64 ans,Nouvelle-Écosse,12,7.0,7.0
2015,Femmes+,45 ans et plus,Nouvelle-Écosse,12,6.9,6.9
2015,Femmes+,25 à 54 ans,Nouvelle-Écosse,12,6.2,6.2
2015,Femmes+,55 ans et plus,Nouvelle-Écosse,12,6.7,6.7
2015,Femmes+,15 à 64 ans,Nouvelle-Écosse,12,7.4,7.4
2015,Femmes+,15 à 19 ans,Nouvelle-Écosse,12,15.3,15.3
2015,Femmes+,20 à 24 ans,Nouvelle-Écosse,12,10.5,10.5
2015,Femmes+,25 à 29 ans,Nouvelle-Écosse,12,5.3,5.3
2015,Femmes+,30 à 34 ans,Nouvelle-Écosse,12,4.4,4.4
2015,Femmes+,35 à 39 ans,Nouvelle-Écosse,12,7.1,7.1
2015,Femmes+,40 à 44 ans,Nouvelle-Écosse,12,6.0,6.0
2015,Femmes+,45 à 49 ans,Nouvelle-Écosse,12,6.3,6.3
2015,Femmes+,50 à 54 ans,Nouvelle-Écosse,12,7.4,7.4
2015,Femmes+,55 à 59 ans,Nouvelle-Écosse,12,6.3,6.3
2015,Femmes+,60 à 64 ans,Nouvelle-Écosse,12,8.7,8.7
2015,Femmes+,65 ans et plus,Nouvelle-Écosse,12,,
2015,Femmes+,65 à 69 ans,Nouvelle-Écosse,12,,
2015,Femmes+,70 ans et plus,Nouvelle-Écosse,12,,
2015,Total - Genre,15 ans et plus,Nouveau-Brunswick,13,10.1,10.1
2015,Total - Genre,15 à 24 ans,Nouveau-Brunswick,13,17.1,17.1
2015,Total - Genre,25 ans et plus,Nouveau-Brunswick,13,8.9,8.9
2015,Total - Genre,25 à 44 ans,Nouveau-Brunswick,13,8.2,8.2
2015,Total - Genre,45 à 64 ans,Nouveau-Brunswick,13,9.7,9.7
2015,Total - Genre,45 ans et plus,Nouveau-Brunswick,13,9.5,9.5
2015,Total - Genre,25 à 54 ans,Nouveau-Brunswick,13,8.4,8.4
2015,Total - Genre,55 ans et plus,Nouveau-Brunswick,13,10.4,10.4
2015,Total - Genre,15 à 64 ans,Nouveau-Brunswick,13,10.2,10.2
2015,Total - Genre,15 à 19 ans,Nouveau-Brunswick,13,18.4,18.4
2015,Total - Genre,20 à 24 ans,Nouveau-Brunswick,13,15.9,15.9
2015,Total - Genre,25 à 29 ans,Nouveau-Brunswick,13,10.5,10.5
2015,Total - Genre,30 à 34 ans,Nouveau-Brunswick,13,8.7,8.7
2015,Total - Genre,35 à 39 ans,Nouveau-Brunswick,13,7.0,7.0
2015,Total - Genre,40 à 44 ans,Nouveau-Brunswick,13,6.9,6.9
2015,Total - Genre,45 à 49 ans,Nouveau-Brunswick,13,8.0,8.0
2015,Total - Genre,50 à 54 ans,Nouveau-Brunswick,13,9.5,9.5
2015,Total - Genre,55 à 59 ans,Nouveau-Brunswick,13,10.0,10.0
2015,Total - Genre,60 à 64 ans,Nouveau-Brunswick,13,12.9,12.9
2015,Total - Genre,65 ans et plus,Nouveau-Brunswick,13,7.2,7.2
2015,Total - Genre,65 à 69 ans,Nouveau-Brunswick,13,9.7,9.7
2015,Total - Genre,70 ans et plus,Nouveau-Brunswick,13,,
2015,Hommes+,15 ans et plus,Nouveau-Brunswick,13,12.6,12.6
2015,Hommes+,15 à 24 ans,Nouveau-Brunswick,13,21.8,21.8
2015,Hommes+,25 ans et plus,Nouveau-Brunswick,13,11.1,11.1
2015,Hommes+,25 à 44 ans,Nouveau-Brunswick,13,10.2,10.2
2015,Hommes+,45 à 64 ans,Nouveau-Brunswick,13,12.1,12.1
2015,Hommes+,45 ans et plus,Nouveau-Brunswick,13,11.8,11.8
2015,Hommes+,25 à 54 ans,Nouveau-Brunswick,13,10.5,10.5
2015,Hommes+,55 ans et plus,Nouveau-Brunswick,13,12.7,12.7
2015,Hommes+,15 à 64 ans,Nouveau-Brunswick,13,12.7,12.7
2015,Hommes+,15 à 19 ans,Nouveau-Brunswick,13,22.6,22.6
2015,Hommes+,20 à 24 ans,Nouveau-Brunswick,13,21.3,21.3
2015,Hommes+,25 à 29 ans,Nouveau-Brunswick,13,14.0,14.0
2015,Hommes+,30 à 34 ans,Nouveau-Brunswick,13,10.7,10.7
2015,Hommes+,35 à 39 ans,Nouveau-Brunswick,13,9.0,9.0
2015,Hommes+,40 à 44 ans,Nouveau-Brunswick,13,7.7,7.7
2015,Hommes+,45 à 49 ans,Nouveau-Brunswick,13,9.4,9.4
2015,Hommes+,50 à 54 ans,Nouveau-Brunswick,13,12.1,12.1
2015,Hommes+,55 à 59 ans,Nouveau-Brunswick,13,12.1,12.1
2015,Hommes+,60 à 64 ans,Nouveau-Brunswick,13,15.6,15.6
2015,Hommes+,65 ans et plus,Nouveau-Brunswick,13,,
2015,Hommes+,65 à 69 ans,Nouveau-Brunswick,13,,
2015,Hommes+,70 ans et plus,Nouveau-Brunswick,13,,
2015,Femmes+,15 ans et plus,Nouveau-Brunswick,13,7.3,7.3
2015,Femmes+,15 à 24 ans,Nouveau-Brunswick,13,11.8,11.8
2015,Femmes+,25 ans et plus,Nouveau-Brunswick,13,6.6,6.6
2015,Femmes+,25 à 44 ans,Nouveau-Brunswick,13,6.1,6.1
2015,Femmes+,45 à 64 ans,Nouveau-Brunswick,13,7.3,7.3
2015,Femmes+,45 ans et plus,Nouveau-Brunswick,13,7.0,7.0
2015,Femmes+,25 à 54 ans,Nouveau-Brunswick,13,6.3,6.3
2015,Femmes+,55 ans et plus,Nouveau-Brunswick,13,7.5,7.5
2015,Femmes+,15 à 64 ans,Nouveau-Brunswick,13,7.5,7.5
2015,Femmes+,15 à 19 ans,Nouveau-Brunswick,13,14.2,14.2
2015,Femmes+,20 à 24 ans,Nouveau-Brunswick,13,10.3,10.3
2015,Femmes+,25 à 29 ans,Nouveau-Brunswick,13,6.9,6.9
2015,Femmes+,30 à 34 ans,Nouveau-Brunswick,13,6.6,6.6
2015,Femmes+,35 à 39 ans,Nouveau-Brunswick,13,4.9,4.9
2015,Femmes+,40 à 44 ans,Nouveau-Brunswick,13,6.1,6.1
2015,Femmes+,45 à 49 ans,Nouveau-Brunswick,13,6.7,6.7
2015,Femmes+,50 à 54 ans,Nouveau-Brunswick,13,6.5,6.5
2015,Femmes+,55 à 59 ans,Nouveau-Brunswick,13,7.1,7.1
2015,Femmes+,60 à 64 ans,Nouveau-Brunswick,13,9.7,9.7
2015,Femmes+,65 ans et plus,Nouveau-Brunswick,13,,
2015,Femmes+,65 à 69 ans,Nouveau-Brunswick,13,,
2015,Femmes+,70 ans et plus,Nouveau-Brunswick,13,,
2015,Total - Genre,15 ans et plus,Québec,24,7.7,7.7
2015,Total - Genre,15 à 24 ans,Québec,24,12.2,12.2
2015,Total - Genre,25 ans et plus,Québec,24,6.9,6.9
2015,Total - Genre,25 à 44 ans,Québec,24,7.2,7.2
2015,Total - Genre,45 à 64 ans,Québec,24,6.7,6.7
2015,Total - Genre,45 ans et plus,Québec,24,6.6,6.6
2015,Total - Genre,25 à 54 ans,Québec,24,6.7,6.7
2015,Total - Genre,55 ans et plus,Québec,24,7.6,7.6
2015,Total - Genre,15 à 64 ans,Québec,24,7.7,7.7
2015,Total - Genre,15 à 19 ans,Québec,24,17.6,17.6
2015,Total - Genre,20 à 24 ans,Québec,24,9.1,9.1
2015,Total - Genre,25 à 29 ans,Québec,24,8.6,8.6
2015,Total - Genre,30 à 34 ans,Québec,24,6.9,6.9
2015,Total - Genre,35 à 39 ans,Québec,24,6.4,6.4
2015,Total - Genre,40 à 44 ans,Québec,24,7.0,7.0
2015,Total - Genre,45 à 49 ans,Québec,24,5.6,5.6
2015,Total - Genre,50 à 54 ans,Québec,24,6.1,6.1
2015,Total - Genre,55 à 59 ans,Québec,24,7.6,7.6
2015,Total - Genre,60 à 64 ans,Québec,24,8.1,8.1
2015,Total - Genre,65 ans et plus,Québec,24,6.5,6.5
2015,Total - Genre,65 à 69 ans,Québec,24,7.2,7.2
2015,Total - Genre,70 ans et plus,Québec,24,4.9,4.9
2015,Hommes+,15 ans et plus,Québec,24,8.5,8.5
2015,Hommes+,15 à 24 ans,Québec,24,14.6,14.6
2015,Hommes+,25 ans et plus,Québec,24,7.5,7.5
2015,Hommes+,25 à 44 ans,Québec,24,7.5,7.5
2015,Hommes+,45 à 64 ans,Québec,24,7.5,7.5
2015,Hommes+,45 ans et plus,Québec,24,7.5,7.5
2015,Hommes+,25 à 54 ans,Québec,24,7.3,7.3
