Year,Type de profession,Géographie,Series,Units,Sexe,GeoCode,Value
2021,Médecins,Yukon,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,60,30.0
2021,Médecins,Territoires du Nord-Ouest,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,61,40.0
2021,Médecins,Nunavut,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,62,0.0
2021,Médecins,Canada,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,,47.39888283
2021,Médecins,Terre-Neuve-et-Labrador,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,10,48.12834225
2021,Médecins,Île-du-Prince-Édouard,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,11,46.93877551
2021,Médecins,Nouvelle-Écosse,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,12,44.15584416
2021,Médecins,Nouveau-Brunswick,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,13,49.08424908
2021,Médecins,Québec,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,24,54.05188553
2021,Médecins,Ontario,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,35,45.94017094
2021,Médecins,Manitoba,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,46,41.61220044
2021,Médecins,Saskatchewan,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,47,42.1875
2021,Médecins,Alberta,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,48,46.46044021
2021,Médecins,Colombie-Britannique,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,59,42.42718447
2021,Médecins,Yukon,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,60,70.0
2021,Médecins,Territoires du Nord-Ouest,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,61,60.0
2021,Médecins,Nunavut,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,62,66.66666667
2021,Personnel infirmier et sages-femmes,Canada,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,,9.561456476
2021,Personnel infirmier et sages-femmes,Terre-Neuve-et-Labrador,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,10,7.64940239
2021,Personnel infirmier et sages-femmes,Île-du-Prince-Édouard,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,11,6.417112299
2021,Personnel infirmier et sages-femmes,Nouvelle-Écosse,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,12,7.8050884
2021,Personnel infirmier et sages-femmes,Nouveau-Brunswick,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,13,6.037514654
2021,Personnel infirmier et sages-femmes,Québec,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,24,11.36942467
2021,Personnel infirmier et sages-femmes,Ontario,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,35,9.203168686
2021,Personnel infirmier et sages-femmes,Manitoba,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,46,11.62162162
2021,Personnel infirmier et sages-femmes,Saskatchewan,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,47,7.956667912
2021,Personnel infirmier et sages-femmes,Alberta,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,48,8.103274841
2021,Personnel infirmier et sages-femmes,Colombie-Britannique,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,59,10.18346733
2021,Personnel infirmier et sages-femmes,Yukon,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,60,8.333333333
2021,Personnel infirmier et sages-femmes,Territoires du Nord-Ouest,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,61,10.11235955
2021,Personnel infirmier et sages-femmes,Nunavut,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,62,15.625
2021,Personnel infirmier et sages-femmes,Canada,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,,90.441352
2021,Personnel infirmier et sages-femmes,Terre-Neuve-et-Labrador,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,10,92.50996016
2021,Personnel infirmier et sages-femmes,Île-du-Prince-Édouard,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,11,93.5828877
2021,Personnel infirmier et sages-femmes,Nouvelle-Écosse,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,12,92.1949116
2021,Personnel infirmier et sages-femmes,Nouveau-Brunswick,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,13,93.9038687
2021,Personnel infirmier et sages-femmes,Québec,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,24,88.63057533
2021,Personnel infirmier et sages-femmes,Ontario,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,35,90.79683131
2021,Personnel infirmier et sages-femmes,Manitoba,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,46,88.31081081
2021,Personnel infirmier et sages-femmes,Saskatchewan,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,47,92.00597684
2021,Personnel infirmier et sages-femmes,Alberta,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,48,91.89672516
2021,Personnel infirmier et sages-femmes,Colombie-Britannique,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,59,89.81653267
2021,Personnel infirmier et sages-femmes,Yukon,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,60,92.85714286
2021,Personnel infirmier et sages-femmes,Territoires du Nord-Ouest,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,61,88.76404494
2021,Personnel infirmier et sages-femmes,Nunavut,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Femme,62,84.375
