Year,Status,Géographie,Sexe,Groupe d'âge,GeoCode,Value
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Femmes,20 à 24 ans,12,13
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Les deux sexes,15 à 19 ans,12,4
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Hommes,15 à 19 ans,12,6
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Les deux sexes,15 à 24 ans,12,7
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Hommes,15 à 24 ans,12,9
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Femmes,15 à 24 ans,12,4
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Les deux sexes,18 à 24 ans,12,9
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Hommes,18 à 24 ans,12,11
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Femmes,18 à 24 ans,12,6
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Les deux sexes,20 à 24 ans,12,9
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Hommes,20 à 24 ans,12,11
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Femmes,20 à 24 ans,12,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Les deux sexes,15 à 19 ans,12,4
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Hommes,15 à 19 ans,12,4
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Femmes,15 à 19 ans,12,4
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Les deux sexes,15 à 24 ans,12,5
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Hommes,15 à 24 ans,12,4
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Femmes,15 à 24 ans,12,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Les deux sexes,18 à 24 ans,12,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Hommes,18 à 24 ans,12,4
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Femmes,18 à 24 ans,12,8
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Les deux sexes,20 à 24 ans,12,5
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Hommes,20 à 24 ans,12,3
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Femmes,20 à 24 ans,12,7
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Les deux sexes,15 à 19 ans,13,8
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Hommes,15 à 19 ans,13,10
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Femmes,15 à 19 ans,13,6
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Les deux sexes,15 à 24 ans,13,14
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Hommes,15 à 24 ans,13,17
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Femmes,15 à 24 ans,13,10
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Les deux sexes,18 à 24 ans,13,18
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Hommes,18 à 24 ans,13,23
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Femmes,18 à 24 ans,13,13
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Les deux sexes,20 à 24 ans,13,20
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Hommes,20 à 24 ans,13,25
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Femmes,20 à 24 ans,13,14
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Les deux sexes,15 à 19 ans,13,4
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Hommes,15 à 19 ans,13,5
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Les deux sexes,15 à 24 ans,13,8
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Hommes,15 à 24 ans,13,12
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Femmes,15 à 24 ans,13,4
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Les deux sexes,18 à 24 ans,13,11
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Hommes,18 à 24 ans,13,17
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Femmes,18 à 24 ans,13,6
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Les deux sexes,20 à 24 ans,13,12
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Hommes,20 à 24 ans,13,19
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Femmes,20 à 24 ans,13,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Les deux sexes,15 à 19 ans,13,4
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Hommes,15 à 19 ans,13,5
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Les deux sexes,15 à 24 ans,13,5
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Hommes,15 à 24 ans,13,5
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Femmes,15 à 24 ans,13,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Les deux sexes,18 à 24 ans,13,7
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Hommes,18 à 24 ans,13,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Femmes,18 à 24 ans,13,8
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Les deux sexes,20 à 24 ans,13,7
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Hommes,20 à 24 ans,13,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Nouveau-Brunswick,Femmes,20 à 24 ans,13,8
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Québec,Les deux sexes,15 à 19 ans,24,7
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Québec,Hommes,15 à 19 ans,24,9
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Québec,Femmes,15 à 19 ans,24,5
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Québec,Les deux sexes,15 à 24 ans,24,11
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Québec,Hommes,15 à 24 ans,24,13
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Québec,Femmes,15 à 24 ans,24,9
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Québec,Les deux sexes,18 à 24 ans,24,13
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Québec,Hommes,18 à 24 ans,24,16
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Québec,Femmes,18 à 24 ans,24,11
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Québec,Les deux sexes,20 à 24 ans,24,14
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Québec,Hommes,20 à 24 ans,24,17
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Québec,Femmes,20 à 24 ans,24,11
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Les deux sexes,15 à 19 ans,24,3
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Hommes,15 à 19 ans,24,4
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Femmes,15 à 19 ans,24,2
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Les deux sexes,15 à 24 ans,24,5
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Hommes,15 à 24 ans,24,7
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Femmes,15 à 24 ans,24,3
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Les deux sexes,18 à 24 ans,24,6
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Hommes,18 à 24 ans,24,9
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Femmes,18 à 24 ans,24,4
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Les deux sexes,20 à 24 ans,24,6
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Hommes,20 à 24 ans,24,9
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Femmes,20 à 24 ans,24,3
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Les deux sexes,15 à 19 ans,24,4
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Hommes,15 à 19 ans,24,4
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Femmes,15 à 19 ans,24,3
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Les deux sexes,15 à 24 ans,24,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Hommes,15 à 24 ans,24,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Femmes,15 à 24 ans,24,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Les deux sexes,18 à 24 ans,24,7
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Hommes,18 à 24 ans,24,7
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Femmes,18 à 24 ans,24,7
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Les deux sexes,20 à 24 ans,24,8
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Hommes,20 à 24 ans,24,8
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Québec,Femmes,20 à 24 ans,24,8
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Les deux sexes,15 à 19 ans,35,6
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Hommes,15 à 19 ans,35,6
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Femmes,15 à 19 ans,35,5
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Les deux sexes,15 à 24 ans,35,10
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Hommes,15 à 24 ans,35,11
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Femmes,15 à 24 ans,35,9
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Les deux sexes,18 à 24 ans,35,12
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Hommes,18 à 24 ans,35,14
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Femmes,18 à 24 ans,35,10
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Les deux sexes,20 à 24 ans,35,14
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Hommes,20 à 24 ans,35,16
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Femmes,20 à 24 ans,35,11
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Les deux sexes,15 à 19 ans,35,2
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Hommes,15 à 19 ans,35,2
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Femmes,15 à 19 ans,35,1
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Les deux sexes,15 à 24 ans,35,5
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Hommes,15 à 24 ans,35,6
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Femmes,15 à 24 ans,35,3
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Les deux sexes,18 à 24 ans,35,6
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Ontario,Hommes,18 à 24 ans,35,8
