Year,Occupation,Géographie,GeoCode,Value
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Alberta,48,19.6
2015,Gestion,Colombie-Britannique,59,36.0
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Colombie-Britannique,59,28.0
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Colombie-Britannique,59,44.8
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Colombie-Britannique,59,42.6
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Colombie-Britannique,59,21.0
2016,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Canada,,36.2
2016,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Canada,,46.7
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Canada,,40.1
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Canada,,16.9
2016,Gestion,Terre-Neuve-et-Labrador,10,35.6
2016,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Terre-Neuve-et-Labrador,10,
2016,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Terre-Neuve-et-Labrador,10,44.2
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Terre-Neuve-et-Labrador,10,39.3
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Terre-Neuve-et-Labrador,10,19.4
2016,Gestion,Île-du-Prince-Édouard,11,33.3
2016,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Île-du-Prince-Édouard,11,
2016,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Île-du-Prince-Édouard,11,57.1
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Île-du-Prince-Édouard,11,44.4
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Île-du-Prince-Édouard,11,12.5
2016,Gestion,Nouvelle-Écosse,12,40.7
2016,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Nouvelle-Écosse,12,45.5
2016,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Nouvelle-Écosse,12,53.4
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Nouvelle-Écosse,12,44.9
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Nouvelle-Écosse,12,16.0
2016,Gestion,Nouveau-Brunswick,13,38.1
2016,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Nouveau-Brunswick,13,
2016,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Nouveau-Brunswick,13,56.2
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Nouveau-Brunswick,13,40.6
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Nouveau-Brunswick,13,15.7
2016,Gestion,Québec,24,35.3
2016,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Québec,24,40.0
2016,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Québec,24,46.9
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Québec,24,41.3
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Québec,24,16.4
2016,Gestion,Ontario,35,35.2
2016,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Ontario,35,34.6
2016,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Ontario,35,45.9
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Ontario,35,38.6
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Ontario,35,16.5
2016,Gestion,Manitoba,46,30.3
2016,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Manitoba,46,
2016,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Manitoba,46,50.4
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Manitoba,46,36.6
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Manitoba,46,17.4
2016,Gestion,Saskatchewan,47,31.3
2016,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Saskatchewan,47,41.7
2016,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Saskatchewan,47,54.3
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Saskatchewan,47,42.5
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Saskatchewan,47,19.5
2016,Gestion,Alberta,48,31.9
2016,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Alberta,48,36.1
2016,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Alberta,48,43.8
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Alberta,48,42.2
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Alberta,48,16.1
2016,Gestion,Colombie-Britannique,59,35.1
2016,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Colombie-Britannique,59,33.9
2016,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Colombie-Britannique,59,47.0
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Colombie-Britannique,59,39.7
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Colombie-Britannique,59,18.5
2017,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Canada,,29.5
2017,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Canada,,47.8
2017,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Canada,,38.6
2017,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Canada,,17.6
2017,Gestion,Terre-Neuve-et-Labrador,10,38.2
2017,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Terre-Neuve-et-Labrador,10,
2017,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Terre-Neuve-et-Labrador,10,48.0
2017,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Terre-Neuve-et-Labrador,10,45.0
2017,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Terre-Neuve-et-Labrador,10,16.3
2017,Gestion,Île-du-Prince-Édouard,11,37.1
2017,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Île-du-Prince-Édouard,11,
2017,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Île-du-Prince-Édouard,11,50.0
2017,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Île-du-Prince-Édouard,11,50.0
2017,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Île-du-Prince-Édouard,11,14.3
2017,Gestion,Nouvelle-Écosse,12,36.6
2017,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Nouvelle-Écosse,12,
2017,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Nouvelle-Écosse,12,57.9
2017,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Nouvelle-Écosse,12,35.2
2017,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Nouvelle-Écosse,12,12.5
2017,Gestion,Nouveau-Brunswick,13,36.3
2017,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Nouveau-Brunswick,13,
2017,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Nouveau-Brunswick,13,47.1
2017,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Nouveau-Brunswick,13,43.9
2017,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Nouveau-Brunswick,13,12.3
2017,Gestion,Québec,24,33.3
2017,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Québec,24,37.9
2017,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Québec,24,42.7
2017,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Québec,24,37.7
2017,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Québec,24,17.5
2017,Gestion,Ontario,35,35.6
2017,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Ontario,35,25.8
2017,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Ontario,35,48.0
2017,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Ontario,35,37.6
2017,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Ontario,35,17.5
2017,Gestion,Manitoba,46,29.9
2017,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Manitoba,46,
2017,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Manitoba,46,44.4
2017,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Manitoba,46,40.4
2017,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Manitoba,46,17.3
2017,Gestion,Saskatchewan,47,31.7
2017,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Saskatchewan,47,57.9
2017,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Saskatchewan,47,56.7
2017,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Saskatchewan,47,38.7
2017,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Saskatchewan,47,19.8
2017,Gestion,Alberta,48,32.5
2017,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Alberta,48,
2017,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Alberta,48,46.7
2017,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Alberta,48,37.9
2017,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Alberta,48,18.7
2017,Gestion,Colombie-Britannique,59,37.1
2017,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Colombie-Britannique,59,
2017,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Colombie-Britannique,59,55.2
2017,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Colombie-Britannique,59,42.0
2017,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Colombie-Britannique,59,17.2
2018,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Canada,,32.7
2018,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Canada,,48.0
2018,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Canada,,38.0
2018,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Canada,,18.4
2018,Gestion,Terre-Neuve-et-Labrador,10,44.4
2018,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Terre-Neuve-et-Labrador,10,
2018,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Terre-Neuve-et-Labrador,10,53.3
2018,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Terre-Neuve-et-Labrador,10,51.9
2018,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Terre-Neuve-et-Labrador,10,17.6
2018,Gestion,Île-du-Prince-Édouard,11,35.5
2018,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Île-du-Prince-Édouard,11,
2018,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Île-du-Prince-Édouard,11,57.1
2018,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Île-du-Prince-Édouard,11,47.6
2018,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Île-du-Prince-Édouard,11,16.0
2018,Gestion,Nouvelle-Écosse,12,39.9
2018,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Nouvelle-Écosse,12,
2018,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Nouvelle-Écosse,12,55.9
2018,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Nouvelle-Écosse,12,45.1
2018,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Nouvelle-Écosse,12,16.3
2018,Gestion,Nouveau-Brunswick,13,35.2
2018,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Nouveau-Brunswick,13,
2018,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Nouveau-Brunswick,13,49.3
2018,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Nouveau-Brunswick,13,37.8
2018,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Nouveau-Brunswick,13,13.4
2018,Gestion,Québec,24,35.7
2018,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Québec,24,39.7
2018,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Québec,24,51.2
2018,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Québec,24,35.4
2018,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Québec,24,19.4
2018,Gestion,Ontario,35,35.6
2018,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Ontario,35,32.5
2018,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Ontario,35,47.3
2018,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Ontario,35,37.9
2018,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Ontario,35,16.6
2018,Gestion,Manitoba,46,31.4
2018,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Manitoba,46,
2018,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Manitoba,46,51.1
2018,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Manitoba,46,40.1
2018,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Manitoba,46,16.2
2018,Gestion,Saskatchewan,47,31.1
2018,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Saskatchewan,47,
2018,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Saskatchewan,47,57.0
2018,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Saskatchewan,47,40.9
2018,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Saskatchewan,47,19.9
2018,Gestion,Alberta,48,32.0
2018,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Alberta,48,37.0
2018,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Alberta,48,40.9
2018,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Alberta,48,39.2
2018,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Alberta,48,21.9
2018,Gestion,Colombie-Britannique,59,33.4
2018,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Colombie-Britannique,59,
2018,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Colombie-Britannique,59,46.2
2018,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Colombie-Britannique,59,38.1
2018,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Colombie-Britannique,59,18.2
2019,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Canada,,32.0
2019,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Canada,,51.2
2019,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Canada,,38.8
2019,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Canada,,16.1
2019,Gestion,Terre-Neuve-et-Labrador,10,34.3
2019,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Terre-Neuve-et-Labrador,10,
2019,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Terre-Neuve-et-Labrador,10,47.8
2019,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Terre-Neuve-et-Labrador,10,39.2
2019,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Terre-Neuve-et-Labrador,10,
2019,Gestion,Île-du-Prince-Édouard,11,36.8
2019,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Île-du-Prince-Édouard,11,
2019,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Île-du-Prince-Édouard,11,46.2
2019,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Île-du-Prince-Édouard,11,52.6
2019,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Île-du-Prince-Édouard,11,21.7
2019,Gestion,Nouvelle-Écosse,12,39.1
2019,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Nouvelle-Écosse,12,
2019,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Nouvelle-Écosse,12,55.2
2019,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Nouvelle-Écosse,12,42.1
2019,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Nouvelle-Écosse,12,17.2
2019,Gestion,Nouveau-Brunswick,13,37.2
2019,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Nouveau-Brunswick,13,
2019,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Nouveau-Brunswick,13,53.3
2019,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Nouveau-Brunswick,13,40.9
2019,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Nouveau-Brunswick,13,16.9
2019,Gestion,Québec,24,35.8
2019,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Québec,24,45.8
2019,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Québec,24,49.8
2019,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Québec,24,38.9
2019,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Québec,24,16.1
2019,Gestion,Ontario,35,36.1
2019,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Ontario,35,28.7
2019,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Ontario,35,52.1
2019,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Ontario,35,38.2
2019,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Ontario,35,14.9
2019,Gestion,Manitoba,46,29.6
2019,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Manitoba,46,
2019,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Manitoba,46,47.9
2019,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Manitoba,46,42.1
2019,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Manitoba,46,14.5
2019,Gestion,Saskatchewan,47,29.6
2019,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Saskatchewan,47,53.8
2019,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Saskatchewan,47,51.9
2019,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Saskatchewan,47,37.4
2019,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Saskatchewan,47,18.7
2019,Gestion,Alberta,48,32.3
2019,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Alberta,48,27.4
2019,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Alberta,48,52.9
2019,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Alberta,48,37.1
2019,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Alberta,48,17.2
2019,Gestion,Colombie-Britannique,59,35.2
2019,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Colombie-Britannique,59,25.0
2019,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Colombie-Britannique,59,48.9
2019,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Colombie-Britannique,59,39.6
2019,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Colombie-Britannique,59,17.2
2020,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Canada,,29.0
2020,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Canada,,49.7
2020,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Canada,,39.2
2020,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Canada,,17.4
2020,Gestion,Terre-Neuve-et-Labrador,10,37.9
2020,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Terre-Neuve-et-Labrador,10,
2020,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Terre-Neuve-et-Labrador,10,54.5
2020,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Terre-Neuve-et-Labrador,10,40.4
2020,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Terre-Neuve-et-Labrador,10,13.2
2020,Gestion,Île-du-Prince-Édouard,11,36.5
2020,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Île-du-Prince-Édouard,11,
2020,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Île-du-Prince-Édouard,11,60.0
2020,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Île-du-Prince-Édouard,11,50.0
2020,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Île-du-Prince-Édouard,11,14.8
2020,Gestion,Nouvelle-Écosse,12,39.0
2020,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Nouvelle-Écosse,12,40.0
2020,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Nouvelle-Écosse,12,53.6
2020,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Nouvelle-Écosse,12,46.6
2020,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Nouvelle-Écosse,12,16.0
2020,Gestion,Nouveau-Brunswick,13,32.9
2020,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Nouveau-Brunswick,13,
2020,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Nouveau-Brunswick,13,51.3
2020,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Nouveau-Brunswick,13,34.4
2020,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Nouveau-Brunswick,13,10.1
2020,Gestion,Québec,24,36.1
2020,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Québec,24,41.3
2020,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Québec,24,52.0
2020,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Québec,24,34.8
2020,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Québec,24,17.5
2020,Gestion,Ontario,35,36.1
2020,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Ontario,35,23.1
2020,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Ontario,35,48.2
2020,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Ontario,35,39.9
2020,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Ontario,35,16.0
2020,Gestion,Manitoba,46,30.1
2020,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Manitoba,46,37.5
2020,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Manitoba,46,48.4
2020,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Manitoba,46,38.9
2020,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Manitoba,46,17.0
2020,Gestion,Saskatchewan,47,32.2
2020,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Saskatchewan,47,46.7
2020,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Saskatchewan,47,55.6
