Year,Mode d'occupation,Géographie,GeoCode,Value
2021,Propriétaire,Québec,24,1.6
2021,Propriétaire qui est un accédant à la propriété,Québec,24,2.0
2021,Propriétaire qui n'est pas un accédant à la propriété,Québec,24,1.6
2021,Locataire,Québec,24,7.6
2021,Locataire n'habitant pas dans un logement social et abordable,Québec,24,7.4
2021,Locataire habitant dans un logement social et abordable,Québec,24,9.7
2021,"Total, mode d'occupation",Ontario,35,10.2
2021,Propriétaire,Ontario,35,4.6
2021,Propriétaire qui est un accédant à la propriété,Ontario,35,3.1
2021,Propriétaire qui n'est pas un accédant à la propriété,Ontario,35,4.9
2021,Locataire,Ontario,35,23.0
2021,Locataire n'habitant pas dans un logement social et abordable,Ontario,35,23.0
2021,Locataire habitant dans un logement social et abordable,Ontario,35,28.0
2021,"Total, mode d'occupation",Manitoba,46,10.4
2021,Propriétaire,Manitoba,46,5.1
2021,Propriétaire qui est un accédant à la propriété,Manitoba,46,6.1
2021,Propriétaire qui n'est pas un accédant à la propriété,Manitoba,46,4.9
2021,Locataire,Manitoba,46,24.0
2021,Locataire n'habitant pas dans un logement social et abordable,Manitoba,46,22.0
2021,Locataire habitant dans un logement social et abordable,Manitoba,46,34.0
2021,"Total, mode d'occupation",Saskatchewan,47,8.4
2021,Propriétaire,Saskatchewan,47,4.1
2021,Propriétaire qui est un accédant à la propriété,Saskatchewan,47,4.0
2021,Propriétaire qui n'est pas un accédant à la propriété,Saskatchewan,47,4.1
2021,Locataire,Saskatchewan,47,19.3
2021,Locataire n'habitant pas dans un logement social et abordable,Saskatchewan,47,16.7
2021,Locataire habitant dans un logement social et abordable,Saskatchewan,47,35.0
2021,"Total, mode d'occupation",Alberta,48,5.8
2021,Propriétaire,Alberta,48,2.1
2021,Propriétaire qui est un accédant à la propriété,Alberta,48,7.1
2021,Propriétaire qui n'est pas un accédant à la propriété,Alberta,48,1.3
2021,Locataire,Alberta,48,16.0
2021,Locataire n'habitant pas dans un logement social et abordable,Alberta,48,14.6
2021,Locataire habitant dans un logement social et abordable,Alberta,48,29.0
2021,"Total, mode d'occupation",Colombie-Britannique,59,10.5
2021,Propriétaire,Colombie-Britannique,59,6.3
2021,Propriétaire qui est un accédant à la propriété,Colombie-Britannique,59,11.4
2021,Propriétaire qui n'est pas un accédant à la propriété,Colombie-Britannique,59,5.5
2021,Locataire,Colombie-Britannique,59,19.8
2021,Locataire n'habitant pas dans un logement social et abordable,Colombie-Britannique,59,18.8
2021,Locataire habitant dans un logement social et abordable,Colombie-Britannique,59,30.0
2021,,,,8.2
2021,Propriétaire,Canada,,3.9
2021,Propriétaire qui est un accédant à la propriété,Canada,,4.7
2021,Propriétaire qui n'est pas un accédant à la propriété,Canada,,3.7
2021,Locataire,Canada,,17.4
2021,Locataire n'habitant pas dans un logement social et abordable,Canada,,16.5
2021,Locataire habitant dans un logement social et abordable,Canada,,25.0
2022,"Total, mode d'occupation",Terre-Neuve-et-Labrador,10,6.8
2022,Propriétaire,Terre-Neuve-et-Labrador,10,2.4
2022,Propriétaire qui n'est pas un accédant à la propriété,Terre-Neuve-et-Labrador,10,2.9
2022,Locataire,Terre-Neuve-et-Labrador,10,17.6
2022,Locataire n'habitant pas dans un logement social et abordable,Terre-Neuve-et-Labrador,10,15.9
2022,Locataire habitant dans un logement social et abordable,Terre-Neuve-et-Labrador,10,26.0
2022,"Total, mode d'occupation",Nouvelle-Écosse,12,11.4
2022,Propriétaire,Nouvelle-Écosse,12,4.6
2022,Propriétaire qui est un accédant à la propriété,Nouvelle-Écosse,12,1.9
2022,Propriétaire qui n'est pas un accédant à la propriété,Nouvelle-Écosse,12,5.1
2022,Locataire,Nouvelle-Écosse,12,21.0
2022,Locataire n'habitant pas dans un logement social et abordable,Nouvelle-Écosse,12,18.0
2022,Locataire habitant dans un logement social et abordable,Nouvelle-Écosse,12,63.0
2022,"Total, mode d'occupation",Nouveau-Brunswick,13,8.3
2022,Propriétaire,Nouveau-Brunswick,13,3.3
2022,Propriétaire qui est un accédant à la propriété,Nouveau-Brunswick,13,7.9
2022,Propriétaire qui n'est pas un accédant à la propriété,Nouveau-Brunswick,13,2.5
2022,Locataire,Nouveau-Brunswick,13,16.5
2022,Locataire n'habitant pas dans un logement social et abordable,Nouveau-Brunswick,13,15.6
2022,Locataire habitant dans un logement social et abordable,Nouveau-Brunswick,13,21.0
2022,"Total, mode d'occupation",Québec,24,3.7
2022,Propriétaire,Québec,24,2.2
2022,Propriétaire qui est un accédant à la propriété,Québec,24,2.3
2022,Propriétaire qui n'est pas un accédant à la propriété,Québec,24,2.2
2022,Locataire,Québec,24,6.0
2022,Locataire n'habitant pas dans un logement social et abordable,Québec,24,4.9
2022,Locataire habitant dans un logement social et abordable,Québec,24,15.9
2022,"Total, mode d'occupation",Ontario,35,13.4
2022,Propriétaire,Ontario,35,6.4
2022,Propriétaire qui est un accédant à la propriété,Ontario,35,2.5
2022,Propriétaire qui n'est pas un accédant à la propriété,Ontario,35,7.0
2022,Locataire,Ontario,35,27.0
2022,Locataire n'habitant pas dans un logement social et abordable,Ontario,35,27.0
2022,Locataire habitant dans un logement social et abordable,Ontario,35,33.0
2022,"Total, mode d'occupation",Manitoba,46,10.1
2022,Propriétaire,Manitoba,46,5.1
2022,Propriétaire qui n'est pas un accédant à la propriété,Manitoba,46,5.9
2022,Locataire,Manitoba,46,22.0
2022,Locataire n'habitant pas dans un logement social et abordable,Manitoba,46,19.8
2022,Locataire habitant dans un logement social et abordable,Manitoba,46,31.0
2022,"Total, mode d'occupation",Saskatchewan,47,7.1
2022,Propriétaire,Saskatchewan,47,3.3
2022,Propriétaire qui est un accédant à la propriété,Saskatchewan,47,4.6
2022,Propriétaire qui n'est pas un accédant à la propriété,Saskatchewan,47,3.0
2022,Locataire,Saskatchewan,47,16.2
2022,Locataire n'habitant pas dans un logement social et abordable,Saskatchewan,47,13.8
2022,Locataire habitant dans un logement social et abordable,Saskatchewan,47,31.0
2022,"Total, mode d'occupation",Alberta,48,7.5
2022,Propriétaire,Alberta,48,4.4
2022,Propriétaire qui est un accédant à la propriété,Alberta,48,3.4
2022,Propriétaire qui n'est pas un accédant à la propriété,Alberta,48,4.5
2022,Locataire,Alberta,48,16.2
2022,Locataire n'habitant pas dans un logement social et abordable,Alberta,48,14.2
2022,Locataire habitant dans un logement social et abordable,Alberta,48,36.0
2022,"Total, mode d'occupation",Colombie-Britannique,59,14.8
2022,Propriétaire,Colombie-Britannique,59,7.1
2022,Propriétaire qui est un accédant à la propriété,Colombie-Britannique,59,4.3
2022,Propriétaire qui n'est pas un accédant à la propriété,Colombie-Britannique,59,7.4
2022,Locataire,Colombie-Britannique,59,29.0
2022,Locataire n'habitant pas dans un logement social et abordable,Colombie-Britannique,59,27.0
2022,Locataire habitant dans un logement social et abordable,Colombie-Britannique,59,36.0
2022,,,,10.4
2022,Propriétaire,Canada,,5.2
2022,Propriétaire qui est un accédant à la propriété,Canada,,2.8
2022,Propriétaire qui n'est pas un accédant à la propriété,Canada,,5.6
2022,Locataire,Canada,,20.0
2022,Locataire n'habitant pas dans un logement social et abordable,Canada,,19.5
2022,Locataire habitant dans un logement social et abordable,Canada,,30.0
