Year,Genre,Identité autochtone,Géographie,GeoCode,Value
2014,Toutes les identités de genre,Identité autochtone,Yukon,,11.52
2014,Toutes les identités de genre,Identité non autochtone,Yukon,,7.03
2014,Homme,Total,Yukon,,10.58
2014,Homme,Identité autochtone,Yukon,,0.0
2014,Homme,Identité non autochtone,Yukon,,13.6
2014,Femme,Total,Yukon,,5.49
2014,Femme,Identité autochtone,Yukon,,22.34
2014,Femme,Identité non autochtone,Yukon,,0.0
2014,Toutes les identités de genre,Total,Territoires du Nord-Ouest,61,6.78
2014,Toutes les identités de genre,Identité autochtone,Territoires du Nord-Ouest,,13.27
2014,Toutes les identités de genre,Identité non autochtone,Territoires du Nord-Ouest,,0.0
2014,Homme,Total,Territoires du Nord-Ouest,,8.8
2014,Homme,Identité autochtone,Territoires du Nord-Ouest,,17.71
2014,Homme,Identité non autochtone,Territoires du Nord-Ouest,,0.0
2014,Femme,Total,Territoires du Nord-Ouest,,4.65
2014,Femme,Identité autochtone,Territoires du Nord-Ouest,,8.84
2014,Femme,Identité non autochtone,Territoires du Nord-Ouest,,0.0
2014,Toutes les identités de genre,Total,Nunavut,62,11.17
2014,Toutes les identités de genre,Identité autochtone,Nunavut,,13.01
2014,Toutes les identités de genre,Identité non autochtone,Nunavut,,0.0
2014,Homme,Total,Nunavut,,10.85
2014,Homme,Identité autochtone,Nunavut,,12.78
2014,Homme,Identité non autochtone,Nunavut,,0.0
2014,Femme,Total,Nunavut,,11.51
2014,Femme,Identité autochtone,Nunavut,,13.25
2014,Femme,Identité non autochtone,Nunavut,,0.0
2015,Toutes les identités de genre,Identité autochtone,Canada,,8.74
2015,Toutes les identités de genre,Identité non autochtone,Canada,,1.34
2015,Homme,Total,Canada,,2.44
2015,Homme,Identité autochtone,Canada,,12.6
2015,Homme,Identité non autochtone,Canada,,1.9
2015,Femme,Total,Canada,,1.0
2015,Femme,Identité autochtone,Canada,,4.99
2015,Femme,Identité non autochtone,Canada,,0.78
2015,Toutes les identités de genre,Total,Terre-Neuve-et-Labrador,10,0.57
2015,Toutes les identités de genre,Identité autochtone,Terre-Neuve-et-Labrador,,2.2
2015,Toutes les identités de genre,Identité non autochtone,Terre-Neuve-et-Labrador,,0.41
2015,Homme,Total,Terre-Neuve-et-Labrador,,0.76
2015,Homme,Identité autochtone,Terre-Neuve-et-Labrador,,0.0
2015,Homme,Identité non autochtone,Terre-Neuve-et-Labrador,,0.83
2015,Femme,Total,Terre-Neuve-et-Labrador,,0.37
2015,Femme,Identité autochtone,Terre-Neuve-et-Labrador,,4.33
2015,Femme,Identité non autochtone,Terre-Neuve-et-Labrador,,0.0
2015,Toutes les identités de genre,Total,Île-du-Prince-Édouard,11,0.69
2015,Toutes les identités de genre,Identité autochtone,Île-du-Prince-Édouard,,0.0
2015,Toutes les identités de genre,Identité non autochtone,Île-du-Prince-Édouard,,0.7
2015,Homme,Total,Île-du-Prince-Édouard,,0.0
2015,Homme,Identité autochtone,Île-du-Prince-Édouard,,0.0
2015,Homme,Identité non autochtone,Île-du-Prince-Édouard,,0.0
2015,Femme,Total,Île-du-Prince-Édouard,,1.34
2015,Femme,Identité autochtone,Île-du-Prince-Édouard,,0.0
2015,Femme,Identité non autochtone,Île-du-Prince-Édouard,,1.36
2015,Toutes les identités de genre,Total,Nouvelle-Écosse,12,1.27
2015,Toutes les identités de genre,Identité autochtone,Nouvelle-Écosse,,1.98
2015,Toutes les identités de genre,Identité non autochtone,Nouvelle-Écosse,,1.12
2015,Homme,Total,Nouvelle-Écosse,,1.52
2015,Homme,Identité autochtone,Nouvelle-Écosse,,4.04
2015,Homme,Identité non autochtone,Nouvelle-Écosse,,1.38
2015,Femme,Total,Nouvelle-Écosse,,1.04
2015,Femme,Identité autochtone,Nouvelle-Écosse,,0.0
2015,Femme,Identité non autochtone,Nouvelle-Écosse,,0.88
2015,Toutes les identités de genre,Total,Nouveau-Brunswick,13,1.44
2015,Toutes les identités de genre,Identité autochtone,Nouveau-Brunswick,,0.0
2015,Toutes les identités de genre,Identité non autochtone,Nouveau-Brunswick,,1.5
2015,Homme,Total,Nouveau-Brunswick,,1.59
2015,Homme,Identité autochtone,Nouveau-Brunswick,,0.0
2015,Homme,Identité non autochtone,Nouveau-Brunswick,,1.66
2015,Femme,Total,Nouveau-Brunswick,,1.3
2015,Femme,Identité autochtone,Nouveau-Brunswick,,0.0
2015,Femme,Identité non autochtone,Nouveau-Brunswick,,1.35
2015,Toutes les identités de genre,Total,Québec,24,0.97
2015,Toutes les identités de genre,Identité autochtone,Québec,,3.09
2015,Toutes les identités de genre,Identité non autochtone,Québec,,0.91
2015,Homme,Total,Québec,,1.48
2015,Homme,Identité autochtone,Québec,,4.06
2015,Homme,Identité non autochtone,Québec,,1.41
2015,Femme,Total,Québec,,0.46
2015,Femme,Identité autochtone,Québec,,2.09
2015,Femme,Identité non autochtone,Québec,,0.42
2015,Toutes les identités de genre,Total,Ontario,35,1.27
2015,Toutes les identités de genre,Identité autochtone,Ontario,,3.33
2015,Toutes les identités de genre,Identité non autochtone,Ontario,,1.18
2015,Homme,Total,Ontario,,1.83
2015,Homme,Identité autochtone,Ontario,,5.25
2015,Homme,Identité non autochtone,Ontario,,1.69
2015,Femme,Total,Ontario,,0.72
2015,Femme,Identité autochtone,Ontario,,1.5
2015,Femme,Identité non autochtone,Ontario,,0.68
2015,Toutes les identités de genre,Total,Manitoba,46,3.7
2015,Toutes les identités de genre,Identité autochtone,Manitoba,,15.55
2015,Toutes les identités de genre,Identité non autochtone,Manitoba,,1.13
2015,Homme,Total,Manitoba,,5.73
2015,Homme,Identité autochtone,Manitoba,,24.58
2015,Homme,Identité non autochtone,Manitoba,,1.69
2015,Femme,Total,Manitoba,,1.69
2015,Femme,Identité autochtone,Manitoba,,6.81
2015,Femme,Identité non autochtone,Manitoba,,0.56
2015,Toutes les identités de genre,Total,Saskatchewan,47,4.19
2015,Toutes les identités de genre,Identité autochtone,Saskatchewan,,17.55
2015,Toutes les identités de genre,Identité non autochtone,Saskatchewan,,1.6
2015,Homme,Total,Saskatchewan,,5.85
2015,Homme,Identité autochtone,Saskatchewan,,30.13
2015,Homme,Identité non autochtone,Saskatchewan,,1.26
2015,Femme,Total,Saskatchewan,,2.51
2015,Femme,Identité autochtone,Saskatchewan,,5.39
2015,Femme,Identité non autochtone,Saskatchewan,,1.94
2015,Toutes les identités de genre,Total,Alberta,48,3.23
2015,Toutes les identités de genre,Identité autochtone,Alberta,,13.72
2015,Toutes les identités de genre,Identité non autochtone,Alberta,,2.47
2015,Homme,Total,Alberta,,4.23
2015,Homme,Identité autochtone,Alberta,,15.84
2015,Homme,Identité non autochtone,Alberta,,3.39
2015,Femme,Total,Alberta,,2.21
2015,Femme,Identité autochtone,Alberta,,11.67
2015,Femme,Identité non autochtone,Alberta,,1.53
2015,Toutes les identités de genre,Total,Colombie-Britannique,59,2.01
2015,Toutes les identités de genre,Identité autochtone,Colombie-Britannique,,6.42
2015,Toutes les identités de genre,Identité non autochtone,Colombie-Britannique,,1.73
2015,Homme,Total,Colombie-Britannique,,3.0
2015,Homme,Identité autochtone,Colombie-Britannique,,9.48
2015,Homme,Identité non autochtone,Colombie-Britannique,,2.6
2015,Femme,Total,Colombie-Britannique,,1.04
2015,Femme,Identité autochtone,Colombie-Britannique,,3.49
2015,Femme,Identité non autochtone,Colombie-Britannique,,0.88
2015,Toutes les identités de genre,Total,Yukon,60,2.65
2015,Toutes les identités de genre,Identité autochtone,Yukon,,0.0
2015,Toutes les identités de genre,Identité non autochtone,Yukon,,3.46
2015,Homme,Total,Yukon,,5.21
2015,Homme,Identité autochtone,Yukon,,0.0
2015,Homme,Identité non autochtone,Yukon,,6.71
2015,Femme,Total,Yukon,,0.0
2015,Femme,Identité autochtone,Yukon,,0.0
2015,Femme,Identité non autochtone,Yukon,,0.0
2015,Toutes les identités de genre,Total,Territoires du Nord-Ouest,61,13.48
2015,Toutes les identités de genre,Identité autochtone,Territoires du Nord-Ouest,,26.53
2015,Toutes les identités de genre,Identité non autochtone,Territoires du Nord-Ouest,,0.0
2015,Homme,Total,Territoires du Nord-Ouest,,13.12
2015,Homme,Identité autochtone,Territoires du Nord-Ouest,,26.49
2015,Homme,Identité non autochtone,Territoires du Nord-Ouest,,0.0
2015,Femme,Total,Territoires du Nord-Ouest,,13.86
2015,Femme,Identité autochtone,Territoires du Nord-Ouest,,26.57
2015,Femme,Identité non autochtone,Territoires du Nord-Ouest,,0.0
2015,Toutes les identités de genre,Total,Nunavut,62,5.5
2015,Toutes les identités de genre,Identité autochtone,Nunavut,,6.41
2015,Toutes les identités de genre,Identité non autochtone,Nunavut,,0.0
2015,Homme,Total,Nunavut,,5.35
2015,Homme,Identité autochtone,Nunavut,,6.31
2015,Homme,Identité non autochtone,Nunavut,,0.0
2015,Femme,Total,Nunavut,,5.66
2015,Femme,Identité autochtone,Nunavut,,6.52
2015,Femme,Identité non autochtone,Nunavut,,0.0
2016,Toutes les identités de genre,Identité autochtone,Canada,,7.96
2016,Toutes les identités de genre,Identité non autochtone,Canada,,1.36
2016,Homme,Total,Canada,,2.58
2016,Homme,Identité autochtone,Canada,,12.66
2016,Homme,Identité non autochtone,Canada,,2.02
2016,Femme,Total,Canada,,0.86
2016,Femme,Identité autochtone,Canada,,3.39
2016,Femme,Identité non autochtone,Canada,,0.71
2016,Toutes les identités de genre,Total,Terre-Neuve-et-Labrador,10,1.51
2016,Toutes les identités de genre,Identité autochtone,Terre-Neuve-et-Labrador,,2.11
2016,Toutes les identités de genre,Identité non autochtone,Terre-Neuve-et-Labrador,,1.45
2016,Homme,Total,Terre-Neuve-et-Labrador,,1.9
2016,Homme,Identité autochtone,Terre-Neuve-et-Labrador,,4.31
2016,Homme,Identité non autochtone,Terre-Neuve-et-Labrador,,1.67
2016,Femme,Total,Terre-Neuve-et-Labrador,,1.12
2016,Femme,Identité autochtone,Terre-Neuve-et-Labrador,,0.0
2016,Femme,Identité non autochtone,Terre-Neuve-et-Labrador,,1.24
2016,Toutes les identités de genre,Total,Île-du-Prince-Édouard,11,0.0
2016,Toutes les identités de genre,Identité autochtone,Île-du-Prince-Édouard,,0.0
2016,Toutes les identités de genre,Identité non autochtone,Île-du-Prince-Édouard,,0.0
2016,Homme,Total,Île-du-Prince-Édouard,,0.0
2016,Homme,Identité autochtone,Île-du-Prince-Édouard,,0.0
2016,Homme,Identité non autochtone,Île-du-Prince-Édouard,,0.0
2016,Femme,Total,Île-du-Prince-Édouard,,0.0
2016,Femme,Identité autochtone,Île-du-Prince-Édouard,,0.0
2016,Femme,Identité non autochtone,Île-du-Prince-Édouard,,0.0
2016,Toutes les identités de genre,Total,Nouvelle-Écosse,12,1.38
2016,Toutes les identités de genre,Identité autochtone,Nouvelle-Écosse,,1.86
2016,Toutes les identités de genre,Identité non autochtone,Nouvelle-Écosse,,1.12
2016,Homme,Total,Nouvelle-Écosse,,2.39
2016,Homme,Identité autochtone,Nouvelle-Écosse,,3.82
2016,Homme,Identité non autochtone,Nouvelle-Écosse,,1.84
2016,Femme,Total,Nouvelle-Écosse,,0.41
2016,Femme,Identité autochtone,Nouvelle-Écosse,,0.0
2016,Femme,Identité non autochtone,Nouvelle-Écosse,,0.44
2016,Toutes les identités de genre,Total,Nouveau-Brunswick,13,1.44
2016,Toutes les identités de genre,Identité autochtone,Nouveau-Brunswick,,0.0
2016,Toutes les identités de genre,Identité non autochtone,Nouveau-Brunswick,,1.5
2016,Homme,Total,Nouveau-Brunswick,,2.38
2016,Homme,Identité autochtone,Nouveau-Brunswick,,0.0
2016,Homme,Identité non autochtone,Nouveau-Brunswick,,2.49
2016,Femme,Total,Nouveau-Brunswick,,0.52
2016,Femme,Identité autochtone,Nouveau-Brunswick,,0.0
2016,Femme,Identité non autochtone,Nouveau-Brunswick,,0.54
2016,Toutes les identités de genre,Total,Québec,24,0.81
2016,Toutes les identités de genre,Identité autochtone,Québec,,2.01
2016,Toutes les identités de genre,Identité non autochtone,Québec,,0.77
2016,Homme,Total,Québec,,1.25
2016,Homme,Identité autochtone,Québec,,3.98
2016,Homme,Identité non autochtone,Québec,,1.15
2016,Femme,Total,Québec,,0.39
2016,Femme,Identité autochtone,Québec,,0.0
2016,Femme,Identité non autochtone,Québec,,0.4
2016,Toutes les identités de genre,Total,Ontario,35,1.48
2016,Toutes les identités de genre,Identité autochtone,Ontario,,4.41
2016,Toutes les identités de genre,Identité non autochtone,Ontario,,1.36
2016,Homme,Total,Ontario,,2.21
2016,Homme,Identité autochtone,Ontario,,8.52
2016,Homme,Identité non autochtone,Ontario,,1.99
2016,Femme,Total,Ontario,,0.78
2016,Femme,Identité autochtone,Ontario,,0.48
2016,Femme,Identité non autochtone,Ontario,,0.75
2016,Toutes les identités de genre,Total,Manitoba,46,3.27
2016,Toutes les identités de genre,Identité autochtone,Manitoba,,11.61
2016,Toutes les identités de genre,Identité non autochtone,Manitoba,,1.4
2016,Homme,Total,Manitoba,,5.04
2016,Homme,Identité autochtone,Manitoba,,17.59
2016,Homme,Identité non autochtone,Manitoba,,2.24
2016,Femme,Total,Manitoba,,1.52
2016,Femme,Identité autochtone,Manitoba,,5.75
2016,Femme,Identité non autochtone,Manitoba,,0.56
2016,Toutes les identités de genre,Total,Saskatchewan,47,5.02
2016,Toutes les identités de genre,Identité autochtone,Saskatchewan,,20.13
2016,Toutes les identités de genre,Identité non autochtone,Saskatchewan,,2.01
2016,Homme,Total,Saskatchewan,,7.52
2016,Homme,Identité autochtone,Saskatchewan,,30.95
2016,Homme,Identité non autochtone,Saskatchewan,,2.93
2016,Femme,Total,Saskatchewan,,2.48
2016,Femme,Identité autochtone,Saskatchewan,,9.46
2016,Femme,Identité non autochtone,Saskatchewan,,1.07
2016,Toutes les identités de genre,Total,Alberta,48,2.76
2016,Toutes les identités de genre,Identité autochtone,Alberta,,11.04
2016,Toutes les identités de genre,Identité non autochtone,Alberta,,2.17
2016,Homme,Total,Alberta,,4.11
2016,Homme,Identité autochtone,Alberta,,15.17
2016,Homme,Identité non autochtone,Alberta,,3.33
2016,Femme,Total,Alberta,,1.4
2016,Femme,Identité autochtone,Alberta,,7.02
2016,Femme,Identité non autochtone,Alberta,,0.98
2016,Toutes les identités de genre,Total,Colombie-Britannique,59,1.85
2016,Toutes les identités de genre,Identité autochtone,Colombie-Britannique,,5.81
2016,Toutes les identités de genre,Identité non autochtone,Colombie-Britannique,,1.6
2016,Homme,Total,Colombie-Britannique,,2.74
2016,Homme,Identité autochtone,Colombie-Britannique,,10.48
2016,Homme,Identité non autochtone,Colombie-Britannique,,2.25
2016,Femme,Total,Colombie-Britannique,,0.98
2016,Femme,Identité autochtone,Colombie-Britannique,,1.34
2016,Femme,Identité non autochtone,Colombie-Britannique,,0.95
2016,Toutes les identités de genre,Total,Yukon,60,10.38
2016,Toutes les identités de genre,Identité autochtone,Yukon,,22.17
2016,Toutes les identités de genre,Identité non autochtone,Yukon,,6.78
2016,Homme,Total,Yukon,,20.42
2016,Homme,Identité autochtone,Yukon,,45.19
2016,Homme,Identité non autochtone,Yukon,,13.19
2016,Femme,Total,Yukon,,0.0
2016,Femme,Identité autochtone,Yukon,,0.0
2016,Femme,Identité non autochtone,Yukon,,0.0
2016,Toutes les identités de genre,Total,Territoires du Nord-Ouest,61,6.72
2016,Toutes les identités de genre,Identité autochtone,Territoires du Nord-Ouest,,13.27
2016,Toutes les identités de genre,Identité non autochtone,Territoires du Nord-Ouest,,0.0
2016,Homme,Total,Territoires du Nord-Ouest,,8.71
2016,Homme,Identité autochtone,Territoires du Nord-Ouest,,17.62
2016,Homme,Identité non autochtone,Territoires du Nord-Ouest,,0.0
2016,Femme,Total,Territoires du Nord-Ouest,,4.61
2016,Femme,Identité autochtone,Territoires du Nord-Ouest,,8.88
2016,Femme,Identité non autochtone,Territoires du Nord-Ouest,,0.0
2016,Toutes les identités de genre,Total,Nunavut,62,2.7
2016,Toutes les identités de genre,Identité autochtone,Nunavut,,3.15
2016,Toutes les identités de genre,Identité non autochtone,Nunavut,,0.0
2016,Homme,Total,Nunavut,,0.0
2016,Homme,Identité autochtone,Nunavut,,0.0
2016,Homme,Identité non autochtone,Nunavut,,0.0
2016,Femme,Total,Nunavut,,5.56
2016,Femme,Identité autochtone,Nunavut,,6.41
2016,Femme,Identité non autochtone,Nunavut,,0.0
2017,Toutes les identités de genre,Identité autochtone,Canada,,8.47
2017,Toutes les identités de genre,Identité non autochtone,Canada,,1.45
2017,Homme,Total,Canada,,2.72
2017,Homme,Identité autochtone,Canada,,12.91
2017,Homme,Identité non autochtone,Canada,,2.14
2017,Femme,Total,Canada,,0.95
2017,Femme,Identité autochtone,Canada,,4.13
2017,Femme,Identité non autochtone,Canada,,0.76
2017,Toutes les identités de genre,Total,Terre-Neuve-et-Labrador,10,0.76
2017,Toutes les identités de genre,Identité autochtone,Terre-Neuve-et-Labrador,,2.05
2017,Toutes les identités de genre,Identité non autochtone,Terre-Neuve-et-Labrador,,0.63
2017,Homme,Total,Terre-Neuve-et-Labrador,,0.38
2017,Homme,Identité autochtone,Terre-Neuve-et-Labrador,,0.0
2017,Homme,Identité non autochtone,Terre-Neuve-et-Labrador,,0.42
2017,Femme,Total,Terre-Neuve-et-Labrador,,1.13
2017,Femme,Identité autochtone,Terre-Neuve-et-Labrador,,4.02
2017,Femme,Identité non autochtone,Terre-Neuve-et-Labrador,,0.83
2017,Toutes les identités de genre,Total,Île-du-Prince-Édouard,11,1.33
2017,Toutes les identités de genre,Identité autochtone,Île-du-Prince-Édouard,,0.0
2017,Toutes les identités de genre,Identité non autochtone,Île-du-Prince-Édouard,,1.36
2017,Homme,Total,Île-du-Prince-Édouard,,2.72
2017,Homme,Identité autochtone,Île-du-Prince-Édouard,,0.0
2017,Homme,Identité non autochtone,Île-du-Prince-Édouard,,2.77
2017,Femme,Total,Île-du-Prince-Édouard,,0.0
2017,Femme,Identité autochtone,Île-du-Prince-Édouard,,0.0
2017,Femme,Identité non autochtone,Île-du-Prince-Édouard,,0.0
2017,Toutes les identités de genre,Total,Nouvelle-Écosse,12,2.21
2017,Toutes les identités de genre,Identité autochtone,Nouvelle-Écosse,,0.0
2017,Toutes les identités de genre,Identité non autochtone,Nouvelle-Écosse,,2.24
2017,Homme,Total,Nouvelle-Écosse,,1.51
2017,Homme,Identité autochtone,Nouvelle-Écosse,,0.0
2017,Homme,Identité non autochtone,Nouvelle-Écosse,,1.6
2017,Femme,Total,Nouvelle-Écosse,,2.88
2017,Femme,Identité autochtone,Nouvelle-Écosse,,0.0
2017,Femme,Identité non autochtone,Nouvelle-Écosse,,2.85
2017,Toutes les identités de genre,Total,Nouveau-Brunswick,13,1.3
2017,Toutes les identités de genre,Identité autochtone,Nouveau-Brunswick,,0.0
2017,Toutes les identités de genre,Identité non autochtone,Nouveau-Brunswick,,1.36
2017,Homme,Total,Nouveau-Brunswick,,1.85
2017,Homme,Identité autochtone,Nouveau-Brunswick,,0.0
2017,Homme,Identité non autochtone,Nouveau-Brunswick,,1.93
2017,Femme,Total,Nouveau-Brunswick,,0.77
2017,Femme,Identité autochtone,Nouveau-Brunswick,,0.0
2017,Femme,Identité non autochtone,Nouveau-Brunswick,,0.81
2017,Toutes les identités de genre,Total,Québec,24,1.12
2017,Toutes les identités de genre,Identité autochtone,Québec,,5.8
2017,Toutes les identités de genre,Identité non autochtone,Québec,,1.0
2017,Homme,Total,Québec,,1.5
2017,Homme,Identité autochtone,Québec,,7.65
2017,Homme,Identité non autochtone,Québec,,1.34
2017,Femme,Total,Québec,,0.7
2017,Femme,Identité autochtone,Québec,,3.92
2017,Femme,Identité non autochtone,Québec,,0.62
2017,Toutes les identités de genre,Total,Ontario,35,1.41
2017,Toutes les identités de genre,Identité autochtone,Ontario,,4.74
2017,Toutes les identités de genre,Identité non autochtone,Ontario,,1.27
2017,Homme,Total,Ontario,,2.13
2017,Homme,Identité autochtone,Ontario,,7.75
2017,Homme,Identité non autochtone,Ontario,,1.92
2017,Femme,Total,Ontario,,0.7
2017,Femme,Identité autochtone,Ontario,,1.86
2017,Femme,Identité non autochtone,Ontario,,0.64
2017,Toutes les identités de genre,Total,Manitoba,46,3.52
2017,Toutes les identités de genre,Identité autochtone,Manitoba,,11.68
2017,Toutes les identités de genre,Identité non autochtone,Manitoba,,1.56
2017,Homme,Total,Manitoba,,5.7
2017,Homme,Identité autochtone,Manitoba,,19.49
2017,Homme,Identité non autochtone,Manitoba,,2.39
2017,Femme,Total,Manitoba,,1.35
2017,Femme,Identité autochtone,Manitoba,,4.0
2017,Femme,Identité non autochtone,Manitoba,,0.74
2017,Toutes les identités de genre,Total,Saskatchewan,47,3.3
2017,Toutes les identités de genre,Identité autochtone,Saskatchewan,,15.5
2017,Toutes les identités de genre,Identité non autochtone,Saskatchewan,,0.84
2017,Homme,Total,Saskatchewan,,5.0
2017,Homme,Identité autochtone,Saskatchewan,,26.01
2017,Homme,Identité non autochtone,Saskatchewan,,0.83
2017,Femme,Total,Saskatchewan,,1.58
2017,Femme,Identité autochtone,Saskatchewan,,5.13
2017,Femme,Identité non autochtone,Saskatchewan,,0.84
2017,Toutes les identités de genre,Total,Alberta,48,2.81
2017,Toutes les identités de genre,Identité autochtone,Alberta,,14.26
2017,Toutes les identités de genre,Identité non autochtone,Alberta,,1.92
2017,Homme,Total,Alberta,,4.45
2017,Homme,Identité autochtone,Alberta,,21.87
2017,Homme,Identité non autochtone,Alberta,,3.11
2017,Femme,Total,Alberta,,1.14
2017,Femme,Identité autochtone,Alberta,,6.86
2017,Femme,Identité non autochtone,Alberta,,0.71
