Year,Personnes à faible revenu,Géographie,GeoCode,Value
2017,"Hommes, 65 ans et plus",Provinces de l'Atlantique,,5.6
2018,"Hommes, 65 ans et plus",Provinces de l'Atlantique,,5.2
2019,"Hommes, 65 ans et plus",Provinces de l'Atlantique,,4.8
2020,"Hommes, 65 ans et plus",Provinces de l'Atlantique,,3.8
2021,"Hommes, 65 ans et plus",Provinces de l'Atlantique,,5.8
2022,"Hommes, 65 ans et plus",Provinces de l'Atlantique,,7.2
2023,"Hommes, 65 ans et plus",Provinces de l'Atlantique,,6.3
2015,"Hommes, moins de 18 ans",Provinces de l'Atlantique,,18.7
2016,"Hommes, moins de 18 ans",Provinces de l'Atlantique,,17.9
2017,"Hommes, moins de 18 ans",Provinces de l'Atlantique,,15.6
2018,"Hommes, moins de 18 ans",Provinces de l'Atlantique,,13.9
2019,"Hommes, moins de 18 ans",Provinces de l'Atlantique,,11.9
2020,"Hommes, moins de 18 ans",Provinces de l'Atlantique,,5.4
2021,"Hommes, moins de 18 ans",Provinces de l'Atlantique,,6.0
2022,"Hommes, moins de 18 ans",Provinces de l'Atlantique,,12.4
2023,"Hommes, moins de 18 ans",Provinces de l'Atlantique,,15.5
2015,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,16.3
2016,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,15.6
2017,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,14.7
2018,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,13.7
2019,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,12.2
2020,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,9.0
2021,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,8.4
2022,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,12.4
2023,Personnes de 18 à 64 ans,Provinces de l'Atlantique,,13.1
2015,Personnes de 65 ans et plus,Provinces de l'Atlantique,,10.5
2016,Personnes de 65 ans et plus,Provinces de l'Atlantique,,8.6
2017,Personnes de 65 ans et plus,Provinces de l'Atlantique,,7.0
2018,Personnes de 65 ans et plus,Provinces de l'Atlantique,,7.0
2019,Personnes de 65 ans et plus,Provinces de l'Atlantique,,6.9
2020,Personnes de 65 ans et plus,Provinces de l'Atlantique,,4.4
2021,Personnes de 65 ans et plus,Provinces de l'Atlantique,,6.8
2022,Personnes de 65 ans et plus,Provinces de l'Atlantique,,8.5
2023,Personnes de 65 ans et plus,Provinces de l'Atlantique,,7.2
2015,Personnes de moins de 18 ans,Provinces de l'Atlantique,,19.0
2016,Personnes de moins de 18 ans,Provinces de l'Atlantique,,17.2
2017,Personnes de moins de 18 ans,Provinces de l'Atlantique,,16.5
2018,Personnes de moins de 18 ans,Provinces de l'Atlantique,,13.4
2019,Personnes de moins de 18 ans,Provinces de l'Atlantique,,12.6
2020,Personnes de moins de 18 ans,Provinces de l'Atlantique,,6.3
2021,Personnes de moins de 18 ans,Provinces de l'Atlantique,,7.1
2022,Personnes de moins de 18 ans,Provinces de l'Atlantique,,12.1
2023,Personnes de moins de 18 ans,Provinces de l'Atlantique,,14.9
2015,Toutes les personnes,Colombie-Britannique,59,18.6
2016,Toutes les personnes,Colombie-Britannique,59,16.0
2017,Toutes les personnes,Colombie-Britannique,59,14.6
2018,Toutes les personnes,Colombie-Britannique,59,13.3
2019,Toutes les personnes,Colombie-Britannique,59,11.9
2020,Toutes les personnes,Colombie-Britannique,59,7.6
2021,Toutes les personnes,Colombie-Britannique,59,8.8
2022,Toutes les personnes,Colombie-Britannique,59,11.6
2023,Toutes les personnes,Colombie-Britannique,59,11.3
2015,Femmes,Colombie-Britannique,59,18.7
2016,Femmes,Colombie-Britannique,59,15.9
2017,Femmes,Colombie-Britannique,59,14.8
2018,Femmes,Colombie-Britannique,59,13.2
2019,Femmes,Colombie-Britannique,59,12.6
2020,Femmes,Colombie-Britannique,59,7.6
2021,Femmes,Colombie-Britannique,59,9.7
2022,Femmes,Colombie-Britannique,59,11.7
2023,Femmes,Colombie-Britannique,59,11.6
2015,"Femmes, 18 à 64 ans",Colombie-Britannique,59,20.4
2016,"Femmes, 18 à 64 ans",Colombie-Britannique,59,17.1
2017,"Femmes, 18 à 64 ans",Colombie-Britannique,59,16.8
2018,"Femmes, 18 à 64 ans",Colombie-Britannique,59,15.2
2019,"Femmes, 18 à 64 ans",Colombie-Britannique,59,15.5
2020,"Femmes, 18 à 64 ans",Colombie-Britannique,59,9.3
2021,"Femmes, 18 à 64 ans",Colombie-Britannique,59,10.9
2022,"Femmes, 18 à 64 ans",Colombie-Britannique,59,12.9
2023,"Femmes, 18 à 64 ans",Colombie-Britannique,59,13.1
2015,"Femmes, 65 ans et plus",Colombie-Britannique,59,12.0
2016,"Femmes, 65 ans et plus",Colombie-Britannique,59,10.3
2017,"Femmes, 65 ans et plus",Colombie-Britannique,59,10.1
2018,"Femmes, 65 ans et plus",Colombie-Britannique,59,9.2
2019,"Femmes, 65 ans et plus",Colombie-Britannique,59,7.1
2020,"Femmes, 65 ans et plus",Colombie-Britannique,59,4.5
2021,"Femmes, 65 ans et plus",Colombie-Britannique,59,7.8
2022,"Femmes, 65 ans et plus",Colombie-Britannique,59,8.8
2023,"Femmes, 65 ans et plus",Colombie-Britannique,59,7.4
2015,"Femmes, moins de 18 ans",Colombie-Britannique,59,18.8
2016,"Femmes, moins de 18 ans",Colombie-Britannique,59,17.3
2017,"Femmes, moins de 18 ans",Colombie-Britannique,59,12.0
2018,"Femmes, moins de 18 ans",Colombie-Britannique,59,9.6
2019,"Femmes, moins de 18 ans",Colombie-Britannique,59,7.6
2020,"Femmes, moins de 18 ans",Colombie-Britannique,59,4.6
2021,"Femmes, moins de 18 ans",Colombie-Britannique,59,7.5
2022,"Femmes, moins de 18 ans",Colombie-Britannique,59,11.0
2023,"Femmes, moins de 18 ans",Colombie-Britannique,59,11.3
2015,Hommes,Colombie-Britannique,59,18.5
2016,Hommes,Colombie-Britannique,59,16.1
2017,Hommes,Colombie-Britannique,59,14.5
2018,Hommes,Colombie-Britannique,59,13.4
2019,Hommes,Colombie-Britannique,59,11.3
2020,Hommes,Colombie-Britannique,59,7.6
2021,Hommes,Colombie-Britannique,59,7.7
2022,Hommes,Colombie-Britannique,59,11.4
2023,Hommes,Colombie-Britannique,59,10.9
2015,"Hommes, 18 à 64 ans",Colombie-Britannique,59,21.2
2016,"Hommes, 18 à 64 ans",Colombie-Britannique,59,17.8
2017,"Hommes, 18 à 64 ans",Colombie-Britannique,59,15.8
2018,"Hommes, 18 à 64 ans",Colombie-Britannique,59,15.2
2019,"Hommes, 18 à 64 ans",Colombie-Britannique,59,14.0
2020,"Hommes, 18 à 64 ans",Colombie-Britannique,59,9.6
2021,"Hommes, 18 à 64 ans",Colombie-Britannique,59,8.1
2022,"Hommes, 18 à 64 ans",Colombie-Britannique,59,12.3
2023,"Hommes, 18 à 64 ans",Colombie-Britannique,59,12.2
2015,"Hommes, 65 ans et plus",Colombie-Britannique,59,11.3
2016,"Hommes, 65 ans et plus",Colombie-Britannique,59,7.9
2017,"Hommes, 65 ans et plus",Colombie-Britannique,59,9.1
2018,"Hommes, 65 ans et plus",Colombie-Britannique,59,7.7
2019,"Hommes, 65 ans et plus",Colombie-Britannique,59,5.7
2020,"Hommes, 65 ans et plus",Colombie-Britannique,59,2.9
2021,"Hommes, 65 ans et plus",Colombie-Britannique,59,6.1
2022,"Hommes, 65 ans et plus",Colombie-Britannique,59,8.5
2023,"Hommes, 65 ans et plus",Colombie-Britannique,59,6.9
2015,"Hommes, moins de 18 ans",Colombie-Britannique,59,14.9
2016,"Hommes, moins de 18 ans",Colombie-Britannique,59,17.5
2017,"Hommes, moins de 18 ans",Colombie-Britannique,59,14.8
2018,"Hommes, moins de 18 ans",Colombie-Britannique,59,12.6
2019,"Hommes, moins de 18 ans",Colombie-Britannique,59,7.0
2020,"Hommes, moins de 18 ans",Colombie-Britannique,59,5.4
2021,"Hommes, moins de 18 ans",Colombie-Britannique,59,8.3
2022,"Hommes, moins de 18 ans",Colombie-Britannique,59,11.0
2023,"Hommes, moins de 18 ans",Colombie-Britannique,59,10.9
2015,Personnes de 18 à 64 ans,Colombie-Britannique,59,20.8
2016,Personnes de 18 à 64 ans,Colombie-Britannique,59,17.4
2017,Personnes de 18 à 64 ans,Colombie-Britannique,59,16.3
2018,Personnes de 18 à 64 ans,Colombie-Britannique,59,15.2
2019,Personnes de 18 à 64 ans,Colombie-Britannique,59,14.8
2020,Personnes de 18 à 64 ans,Colombie-Britannique,59,9.5
2021,Personnes de 18 à 64 ans,Colombie-Britannique,59,9.5
2022,Personnes de 18 à 64 ans,Colombie-Britannique,59,12.6
2023,Personnes de 18 à 64 ans,Colombie-Britannique,59,12.7
2015,Personnes de 65 ans et plus,Colombie-Britannique,59,11.7
2016,Personnes de 65 ans et plus,Colombie-Britannique,59,9.1
2017,Personnes de 65 ans et plus,Colombie-Britannique,59,9.7
2018,Personnes de 65 ans et plus,Colombie-Britannique,59,8.5
2019,Personnes de 65 ans et plus,Colombie-Britannique,59,6.4
2020,Personnes de 65 ans et plus,Colombie-Britannique,59,3.7
2021,Personnes de 65 ans et plus,Colombie-Britannique,59,7.0
2022,Personnes de 65 ans et plus,Colombie-Britannique,59,8.7
2023,Personnes de 65 ans et plus,Colombie-Britannique,59,7.2
2015,Personnes de moins de 18 ans,Colombie-Britannique,59,16.8
2016,Personnes de moins de 18 ans,Colombie-Britannique,59,17.4
2017,Personnes de moins de 18 ans,Colombie-Britannique,59,13.4
2018,Personnes de moins de 18 ans,Colombie-Britannique,59,11.1
2019,Personnes de moins de 18 ans,Colombie-Britannique,59,7.3
2020,Personnes de moins de 18 ans,Colombie-Britannique,59,5.0
2021,Personnes de moins de 18 ans,Colombie-Britannique,59,7.9
2022,Personnes de moins de 18 ans,Colombie-Britannique,59,11.0
2023,Personnes de moins de 18 ans,Colombie-Britannique,59,11.1
2015,Toutes les personnes,"Calgary, Alberta",,11.5
2016,Toutes les personnes,"Calgary, Alberta",,11.1
2017,Toutes les personnes,"Calgary, Alberta",,8.0
2018,Toutes les personnes,"Calgary, Alberta",,11.3
2019,Toutes les personnes,"Calgary, Alberta",,5.2
2020,Toutes les personnes,"Calgary, Alberta",,6.8
2021,Toutes les personnes,"Calgary, Alberta",,8.0
2022,Toutes les personnes,"Calgary, Alberta",,10.2
2023,Toutes les personnes,"Calgary, Alberta",,9.0
2015,Femmes,"Calgary, Alberta",,11.9
2016,Femmes,"Calgary, Alberta",,11.9
2017,Femmes,"Calgary, Alberta",,7.9
2018,Femmes,"Calgary, Alberta",,10.5
2019,Femmes,"Calgary, Alberta",,5.5
2020,Femmes,"Calgary, Alberta",,6.7
2021,Femmes,"Calgary, Alberta",,8.3
2022,Femmes,"Calgary, Alberta",,10.4
2023,Femmes,"Calgary, Alberta",,9.1
2015,"Femmes, 18 à 64 ans","Calgary, Alberta",,11.1
2016,"Femmes, 18 à 64 ans","Calgary, Alberta",,13.1
2017,"Femmes, 18 à 64 ans","Calgary, Alberta",,8.5
2018,"Femmes, 18 à 64 ans","Calgary, Alberta",,11.9
2019,"Femmes, 18 à 64 ans","Calgary, Alberta",,6.3
2020,"Femmes, 18 à 64 ans","Calgary, Alberta",,7.8
2021,"Femmes, 18 à 64 ans","Calgary, Alberta",,8.4
2022,"Femmes, 18 à 64 ans","Calgary, Alberta",,10.3
2023,"Femmes, 18 à 64 ans","Calgary, Alberta",,9.4
2021,"Femmes, 65 ans et plus","Calgary, Alberta",,9.1
2022,"Femmes, 65 ans et plus","Calgary, Alberta",,6.2
2023,"Femmes, 65 ans et plus","Calgary, Alberta",,5.8
2015,"Femmes, moins de 18 ans","Calgary, Alberta",,19.0
2016,"Femmes, moins de 18 ans","Calgary, Alberta",,12.8
2017,"Femmes, moins de 18 ans","Calgary, Alberta",,9.4
2021,"Femmes, moins de 18 ans","Calgary, Alberta",,7.6
2022,"Femmes, moins de 18 ans","Calgary, Alberta",,13.5
2023,"Femmes, moins de 18 ans","Calgary, Alberta",,10.6
2015,Hommes,"Calgary, Alberta",,11.2
2016,Hommes,"Calgary, Alberta",,10.3
2017,Hommes,"Calgary, Alberta",,8.1
2018,Hommes,"Calgary, Alberta",,12.1
2019,Hommes,"Calgary, Alberta",,5.0
2020,Hommes,"Calgary, Alberta",,6.9
2021,Hommes,"Calgary, Alberta",,7.7
2022,Hommes,"Calgary, Alberta",,9.9
2023,Hommes,"Calgary, Alberta",,8.8
2015,"Hommes, 18 à 64 ans","Calgary, Alberta",,11.9
2016,"Hommes, 18 à 64 ans","Calgary, Alberta",,10.8
2017,"Hommes, 18 à 64 ans","Calgary, Alberta",,9.5
2018,"Hommes, 18 à 64 ans","Calgary, Alberta",,13.3
2019,"Hommes, 18 à 64 ans","Calgary, Alberta",,5.5
2020,"Hommes, 18 à 64 ans","Calgary, Alberta",,7.9
2021,"Hommes, 18 à 64 ans","Calgary, Alberta",,7.3
2022,"Hommes, 18 à 64 ans","Calgary, Alberta",,10.8
2023,"Hommes, 18 à 64 ans","Calgary, Alberta",,8.8
2022,"Hommes, 65 ans et plus","Calgary, Alberta",,5.1
2023,"Hommes, 65 ans et plus","Calgary, Alberta",,4.4
2016,"Hommes, moins de 18 ans","Calgary, Alberta",,10.8
2017,"Hommes, moins de 18 ans","Calgary, Alberta",,6.2
2018,"Hommes, moins de 18 ans","Calgary, Alberta",,13.6
2021,"Hommes, moins de 18 ans","Calgary, Alberta",,9.9
2022,"Hommes, moins de 18 ans","Calgary, Alberta",,9.8
2023,"Hommes, moins de 18 ans","Calgary, Alberta",,11.6
2015,Personnes de 18 à 64 ans,"Calgary, Alberta",,11.5
2016,Personnes de 18 à 64 ans,"Calgary, Alberta",,12.0
2017,Personnes de 18 à 64 ans,"Calgary, Alberta",,9.0
2018,Personnes de 18 à 64 ans,"Calgary, Alberta",,12.6
2019,Personnes de 18 à 64 ans,"Calgary, Alberta",,5.9
2020,Personnes de 18 à 64 ans,"Calgary, Alberta",,7.8
2021,Personnes de 18 à 64 ans,"Calgary, Alberta",,7.8
2022,Personnes de 18 à 64 ans,"Calgary, Alberta",,10.6
2023,Personnes de 18 à 64 ans,"Calgary, Alberta",,9.1
2021,Personnes de 65 ans et plus,"Calgary, Alberta",,7.7
2022,Personnes de 65 ans et plus,"Calgary, Alberta",,5.7
2023,Personnes de 65 ans et plus,"Calgary, Alberta",,5.1
2015,Personnes de moins de 18 ans,"Calgary, Alberta",,15.4
2016,Personnes de moins de 18 ans,"Calgary, Alberta",,11.7
2017,Personnes de moins de 18 ans,"Calgary, Alberta",,8.0
2018,Personnes de moins de 18 ans,"Calgary, Alberta",,11.8
2021,Personnes de moins de 18 ans,"Calgary, Alberta",,8.7
2022,Personnes de moins de 18 ans,"Calgary, Alberta",,11.6
2023,Personnes de moins de 18 ans,"Calgary, Alberta",,11.1
2015,Femmes,Canada,,14.8
2016,Femmes,Canada,,13.4
2017,Femmes,Canada,,12.1
2018,Femmes,Canada,,11.1
2019,Femmes,Canada,,10.7
2020,Femmes,Canada,,6.4
2021,Femmes,Canada,,7.7
2022,Femmes,Canada,,10.0
2023,Femmes,Canada,,10.2
2015,"Femmes, 18 à 64 ans",Canada,,16.0
2016,"Femmes, 18 à 64 ans",Canada,,14.5
2017,"Femmes, 18 à 64 ans",Canada,,13.7
2018,"Femmes, 18 à 64 ans",Canada,,12.7
2019,"Femmes, 18 à 64 ans",Canada,,12.3
2020,"Femmes, 18 à 64 ans",Canada,,7.8
2021,"Femmes, 18 à 64 ans",Canada,,8.5
2022,"Femmes, 18 à 64 ans",Canada,,11.2
2023,"Femmes, 18 à 64 ans",Canada,,11.8
2015,"Femmes, 65 ans et plus",Canada,,8.0
2016,"Femmes, 65 ans et plus",Canada,,7.6
2017,"Femmes, 65 ans et plus",Canada,,6.7
2018,"Femmes, 65 ans et plus",Canada,,6.6
2019,"Femmes, 65 ans et plus",Canada,,6.3
2020,"Femmes, 65 ans et plus",Canada,,3.5
2021,"Femmes, 65 ans et plus",Canada,,6.1
2022,"Femmes, 65 ans et plus",Canada,,6.3
2023,"Femmes, 65 ans et plus",Canada,,5.2
2015,"Femmes, moins de 18 ans",Canada,,16.6
2016,"Femmes, moins de 18 ans",Canada,,14.9
2017,"Femmes, moins de 18 ans",Canada,,12.0
2018,"Femmes, moins de 18 ans",Canada,,9.9
2019,"Femmes, moins de 18 ans",Canada,,9.4
2020,"Femmes, moins de 18 ans",Canada,,4.7
2021,"Femmes, moins de 18 ans",Canada,,6.6
2022,"Femmes, moins de 18 ans",Canada,,9.9
2023,"Femmes, moins de 18 ans",Canada,,10.4
2015,Hommes,Canada,,14.1
2016,Hommes,Canada,,12.4
2017,Hommes,Canada,,11.7
2018,Hommes,Canada,,11.3
2019,Hommes,Canada,,9.9
2020,Hommes,Canada,,6.3
2021,Hommes,Canada,,7.0
2022,Hommes,Canada,,9.9
2023,Hommes,Canada,,10.1
2015,"Hommes, 18 à 64 ans",Canada,,15.4
2016,"Hommes, 18 à 64 ans",Canada,,13.6
2017,"Hommes, 18 à 64 ans",Canada,,13.2
2018,"Hommes, 18 à 64 ans",Canada,,12.8
2019,"Hommes, 18 à 64 ans",Canada,,11.3
2020,"Hommes, 18 à 64 ans",Canada,,7.8
2021,"Hommes, 18 à 64 ans",Canada,,7.9
2022,"Hommes, 18 à 64 ans",Canada,,11.0
2023,"Hommes, 18 à 64 ans",Canada,,11.3
2015,"Hommes, 65 ans et plus",Canada,,6.1
2016,"Hommes, 65 ans et plus",Canada,,6.4
2017,"Hommes, 65 ans et plus",Canada,,5.5
