Year,Niveau de sécurité alimentaire du ménage,Géographie,Sexe,Groupe d'âge,Type de famille économique,Minorité visible,Population autochtone,GeoCode,Value
2018,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les familles économiques,,,,10.9
2018,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les familles économiques,,,,7.9
2018,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les familles économiques,,,,3.0
2018,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,92.9
2018,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,7.1
2018,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,2.7
2018,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,4.5
2018,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,3.0
2018,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,1.5
2018,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,95.1
2018,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,4.9
2018,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,2.0
2018,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,2.9
2018,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,2.1
2018,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,0.8
2018,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,87.4
2018,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,12.6
2018,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,4.2
2018,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,8.3
2018,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,5.1
2018,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,3.2
2018,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles non âgées,,,,82.4
2018,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles non âgées,,,,17.6
2018,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les familles non âgées,,,,5.7
2018,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les familles non âgées,,,,12.0
2018,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les familles non âgées,,,,8.8
2018,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les familles non âgées,,,,3.2
2018,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les couples,,,,88.5
2018,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les couples,,,,11.5
2018,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les couples,,,,3.9
2018,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les couples,,,,7.6
2018,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les couples,,,,4.7
2018,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les couples,,,,2.9
2018,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,82.1
2018,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,17.9
2018,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,6.6
2018,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,11.2
2018,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,8.9
2018,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,2.3
2018,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,89.1
2018,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,10.9
2018,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,2.7
2018,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,8.2
2018,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,6.5
2018,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,1.6
2018,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles monoparentales,,,,57.8
2018,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles monoparentales,,,,42.2
2018,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les familles monoparentales,,,,9.8
2018,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les familles monoparentales,,,,32.3
2018,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les familles monoparentales,,,,21.4
2018,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les familles monoparentales,,,,11.0
2018,Sécurité alimentaire,Canada,Homme,,Personnes dans les familles monoparentales,,,,69.1
2018,Insécurité alimentaire,Canada,Homme,,Personnes dans les familles monoparentales,,,,30.9
2018,Insécurité alimentaire marginale,Canada,Homme,,Personnes dans les familles monoparentales,,,,7.7
2018,Insécurité alimentaire modérée ou grave,Canada,Homme,,Personnes dans les familles monoparentales,,,,23.2
2018,Insécurité alimentaire modérée,Canada,Homme,,Personnes dans les familles monoparentales,,,,17.1
2018,Insécurité alimentaire grave,Canada,Homme,,Personnes dans les familles monoparentales,,,,6.1
2018,Sécurité alimentaire,Canada,Femme,,Personnes dans les familles monoparentales,,,,55.6
2018,Insécurité alimentaire,Canada,Femme,,Personnes dans les familles monoparentales,,,,44.4
2018,Insécurité alimentaire marginale,Canada,Femme,,Personnes dans les familles monoparentales,,,,10.3
2018,Insécurité alimentaire modérée ou grave,Canada,Femme,,Personnes dans les familles monoparentales,,,,34.1
2018,Insécurité alimentaire modérée,Canada,Femme,,Personnes dans les familles monoparentales,,,,22.2
2018,Insécurité alimentaire grave,Canada,Femme,,Personnes dans les familles monoparentales,,,,11.9
2018,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,78.5
2018,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,21.5
2018,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,5.7
2018,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,15.8
2018,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,10.4
2018,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,5.4
2018,Sécurité alimentaire,Canada,Les deux sexes,,Personnes hors famille économique,,,,79.8
2018,Insécurité alimentaire,Canada,Les deux sexes,,Personnes hors famille économique,,,,20.2
2018,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes hors famille économique,,,,4.9
2018,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes hors famille économique,,,,15.3
2018,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes hors famille économique,,,,8.4
2018,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes hors famille économique,,,,6.9
2018,Sécurité alimentaire,Canada,Les deux sexes,,Personnes âgées hors famille économique,,,,89.6
2018,Insécurité alimentaire,Canada,Les deux sexes,,Personnes âgées hors famille économique,,,,10.4
2018,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes âgées hors famille économique,,,,3.5
2018,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes âgées hors famille économique,,,,6.9
2018,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes âgées hors famille économique,,,,4.8
2018,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes âgées hors famille économique,,,,2.1
2018,Sécurité alimentaire,Canada,Homme,,Personnes âgées hors famille économique,,,,87.3
2018,Insécurité alimentaire,Canada,Homme,,Personnes âgées hors famille économique,,,,12.7
2018,Insécurité alimentaire marginale,Canada,Homme,,Personnes âgées hors famille économique,,,,3.3
2018,Insécurité alimentaire modérée ou grave,Canada,Homme,,Personnes âgées hors famille économique,,,,9.4
2018,Insécurité alimentaire modérée,Canada,Homme,,Personnes âgées hors famille économique,,,,6.1
2018,Insécurité alimentaire grave,Canada,Homme,,Personnes âgées hors famille économique,,,,3.2
2018,Sécurité alimentaire,Canada,Femme,,Personnes âgées hors famille économique,,,,90.7
2018,Insécurité alimentaire,Canada,Femme,,Personnes âgées hors famille économique,,,,9.3
2018,Insécurité alimentaire marginale,Canada,Femme,,Personnes âgées hors famille économique,,,,3.7
2018,Insécurité alimentaire modérée ou grave,Canada,Femme,,Personnes âgées hors famille économique,,,,5.6
2018,Insécurité alimentaire modérée,Canada,Femme,,Personnes âgées hors famille économique,,,,4.1
2018,Insécurité alimentaire grave,Canada,Femme,,Personnes âgées hors famille économique,,,,1.6
2018,Sécurité alimentaire,Canada,Les deux sexes,,Personnes non âgées hors famille économique,,,,75.5
2018,Insécurité alimentaire,Canada,Les deux sexes,,Personnes non âgées hors famille économique,,,,24.5
2018,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes non âgées hors famille économique,,,,5.5
2018,Insécurité alimentaire modérée ou grave,Canada,Les deux sexes,,Personnes non âgées hors famille économique,,,,18.9
2018,Insécurité alimentaire modérée,Canada,Les deux sexes,,Personnes non âgées hors famille économique,,,,9.9
2018,Insécurité alimentaire grave,Canada,Les deux sexes,,Personnes non âgées hors famille économique,,,,9.0
2018,Sécurité alimentaire,Canada,Homme,,Personnes non âgées hors famille économique,,,,75.5
2018,Insécurité alimentaire,Canada,Homme,,Personnes non âgées hors famille économique,,,,24.5
2018,Insécurité alimentaire marginale,Canada,Homme,,Personnes non âgées hors famille économique,,,,5.8
2018,Insécurité alimentaire modérée ou grave,Canada,Homme,,Personnes non âgées hors famille économique,,,,18.7
2018,Insécurité alimentaire modérée,Canada,Homme,,Personnes non âgées hors famille économique,,,,9.0
2018,Insécurité alimentaire grave,Canada,Homme,,Personnes non âgées hors famille économique,,,,9.7
2018,Sécurité alimentaire,Canada,Femme,,Personnes non âgées hors famille économique,,,,75.6
2018,Insécurité alimentaire,Canada,Femme,,Personnes non âgées hors famille économique,,,,24.4
2018,Insécurité alimentaire marginale,Canada,Femme,,Personnes non âgées hors famille économique,,,,5.2
2018,Insécurité alimentaire modérée ou grave,Canada,Femme,,Personnes non âgées hors famille économique,,,,19.2
2018,Insécurité alimentaire modérée,Canada,Femme,,Personnes non âgées hors famille économique,,,,11.1
2018,Insécurité alimentaire grave,Canada,Femme,,Personnes non âgées hors famille économique,,,,8.1
2018,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Toutes les personnes,,,,80.8
2018,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Toutes les personnes,,,,19.2
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Toutes les personnes,,,,5.6
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Toutes les personnes,,,,13.6
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Toutes les personnes,,,,8.6
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Les deux sexes,,Toutes les personnes,,,,5.0
2018,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles économiques,,,,81.6
2018,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles économiques,,,,18.4
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles économiques,,,,5.6
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles économiques,,,,12.8
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles économiques,,,,8.5
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles économiques,,,,4.3
2018,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,90.8
2018,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,9.2
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,3.6
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,5.6
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,3.7
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles de personnes âgées,,,,1.9
2018,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,92.7
2018,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,7.3
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,2.9
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,4.5
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,3.0
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les couples de personnes âgées,,,,1.5
2018,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,84.9
2018,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,15.1
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,6.0
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,9.1
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les autres familles de personnes âgées,,,,5.9
2018,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles non âgées,,,,79.6
2018,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles non âgées,,,,20.4
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles non âgées,,,,6.0
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles non âgées,,,,14.4
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles non âgées,,,,9.5
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles non âgées,,,,4.8
2018,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les couples,,,,85.9
2018,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les couples,,,,14.1
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les couples,,,,3.9
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les couples,,,,10.2
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les couples,,,,5.7
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les couples,,,,4.5
2018,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,79.2
2018,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,20.8
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,7.8
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,13.0
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,9.5
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles comptant un couple avec des enfants,,,,3.5
2018,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,88.4
2018,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,11.6
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,9.9
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,8.3
2018,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles monoparentales,,,,56.3
2018,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles monoparentales,,,,43.7
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles monoparentales,,,,7.3
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles monoparentales,,,,36.4
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles monoparentales,,,,21.7
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les familles monoparentales,,,,14.7
2018,Sécurité alimentaire,Provinces de l'Atlantique,Homme,,Personnes dans les familles monoparentales,,,,65.7
2018,Insécurité alimentaire,Provinces de l'Atlantique,Homme,,Personnes dans les familles monoparentales,,,,34.3
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Homme,,Personnes dans les familles monoparentales,,,,26.4
2018,Sécurité alimentaire,Provinces de l'Atlantique,Femme,,Personnes dans les familles monoparentales,,,,54.3
2018,Insécurité alimentaire,Provinces de l'Atlantique,Femme,,Personnes dans les familles monoparentales,,,,45.7
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Femme,,Personnes dans les familles monoparentales,,,,7.3
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Femme,,Personnes dans les familles monoparentales,,,,38.4
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Femme,,Personnes dans les familles monoparentales,,,,22.5
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Femme,,Personnes dans les familles monoparentales,,,,16.0
2018,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,73.8
2018,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,26.2
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,8.7
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,17.4
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,9.8
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Les deux sexes,,Personnes dans les autres familles de personnes non âgées,,,,7.6
2018,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes hors famille économique,,,,76.6
2018,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes hors famille économique,,,,23.4
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Personnes hors famille économique,,,,5.7
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Personnes hors famille économique,,,,17.6
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Personnes hors famille économique,,,,9.0
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Les deux sexes,,Personnes hors famille économique,,,,8.6
2018,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes âgées hors famille économique,,,,84.2
2018,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes âgées hors famille économique,,,,15.8
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Personnes âgées hors famille économique,,,,4.9
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Personnes âgées hors famille économique,,,,10.9
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Personnes âgées hors famille économique,,,,6.6
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Les deux sexes,,Personnes âgées hors famille économique,,,,4.3
2018,Sécurité alimentaire,Provinces de l'Atlantique,Homme,,Personnes âgées hors famille économique,,,,78.9
2018,Insécurité alimentaire,Provinces de l'Atlantique,Homme,,Personnes âgées hors famille économique,,,,21.1
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Homme,,Personnes âgées hors famille économique,,,,6.8
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Homme,,Personnes âgées hors famille économique,,,,14.3
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Homme,,Personnes âgées hors famille économique,,,,8.2
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Homme,,Personnes âgées hors famille économique,,,,6.1
2018,Sécurité alimentaire,Provinces de l'Atlantique,Femme,,Personnes âgées hors famille économique,,,,87.2
2018,Insécurité alimentaire,Provinces de l'Atlantique,Femme,,Personnes âgées hors famille économique,,,,12.8
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Femme,,Personnes âgées hors famille économique,,,,3.9
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Femme,,Personnes âgées hors famille économique,,,,9.0
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Femme,,Personnes âgées hors famille économique,,,,5.7
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Femme,,Personnes âgées hors famille économique,,,,3.3
2018,Sécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes non âgées hors famille économique,,,,72.7
2018,Insécurité alimentaire,Provinces de l'Atlantique,Les deux sexes,,Personnes non âgées hors famille économique,,,,27.3
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Les deux sexes,,Personnes non âgées hors famille économique,,,,6.2
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Les deux sexes,,Personnes non âgées hors famille économique,,,,21.1
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Les deux sexes,,Personnes non âgées hors famille économique,,,,10.3
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Les deux sexes,,Personnes non âgées hors famille économique,,,,10.8
2018,Sécurité alimentaire,Provinces de l'Atlantique,Homme,,Personnes non âgées hors famille économique,,,,73.2
2018,Insécurité alimentaire,Provinces de l'Atlantique,Homme,,Personnes non âgées hors famille économique,,,,26.8
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Homme,,Personnes non âgées hors famille économique,,,,6.2
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Homme,,Personnes non âgées hors famille économique,,,,20.6
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Homme,,Personnes non âgées hors famille économique,,,,10.2
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Homme,,Personnes non âgées hors famille économique,,,,10.4
2018,Sécurité alimentaire,Provinces de l'Atlantique,Femme,,Personnes non âgées hors famille économique,,,,72.1
2018,Insécurité alimentaire,Provinces de l'Atlantique,Femme,,Personnes non âgées hors famille économique,,,,27.9
2018,Insécurité alimentaire marginale,Provinces de l'Atlantique,Femme,,Personnes non âgées hors famille économique,,,,6.1
2018,Insécurité alimentaire modérée ou grave,Provinces de l'Atlantique,Femme,,Personnes non âgées hors famille économique,,,,21.8
2018,Insécurité alimentaire modérée,Provinces de l'Atlantique,Femme,,Personnes non âgées hors famille économique,,,,10.5
2018,Insécurité alimentaire grave,Provinces de l'Atlantique,Femme,,Personnes non âgées hors famille économique,,,,11.3
2018,Sécurité alimentaire,Terre-Neuve-et-Labrador,Les deux sexes,,Toutes les personnes,,,10,81.1
2018,Insécurité alimentaire,Terre-Neuve-et-Labrador,Les deux sexes,,Toutes les personnes,,,10,18.9
2018,Insécurité alimentaire marginale,Terre-Neuve-et-Labrador,Les deux sexes,,Toutes les personnes,,,10,6.9
2018,Insécurité alimentaire modérée ou grave,Terre-Neuve-et-Labrador,Les deux sexes,,Toutes les personnes,,,10,12.0
2018,Insécurité alimentaire modérée,Terre-Neuve-et-Labrador,Les deux sexes,,Toutes les personnes,,,10,8.0
