Year,Institutions,Certaines caractéristiques sociodémographiques,Minorité visible,COMMENT_OBS,Value
2020,Confiance dans le système de justice et dans les tribunaux,"Total, 15 ans et plus",Chinois,,64.0
2020,Confiance dans le Parlement fédéral,"Total, 15 ans et plus",Chinois,,50.8
2020,Confiance dans le système de justice et dans les tribunaux,15 à 24 ans,Chinois,À utiliser avec prudence,69.9
2020,Confiance dans le Parlement fédéral,15 à 24 ans,Chinois,À utiliser avec prudence,48.3
2020,Confiance dans le système de justice et dans les tribunaux,25 à 64 ans,Chinois,,62.8
2020,Confiance dans le Parlement fédéral,25 à 64 ans,Chinois,,51.0
2020,Confiance dans le système de justice et dans les tribunaux,65 ans et plus,Chinois,,60.0
2020,Confiance dans le Parlement fédéral,65 ans et plus,Chinois,,54.5
2020,Confiance dans le système de justice et dans les tribunaux,Hommes,Chinois,,66.8
2020,Confiance dans le Parlement fédéral,Hommes,Chinois,,51.5
2020,Confiance dans le système de justice et dans les tribunaux,Femmes,Chinois,,61.8
2020,Confiance dans le Parlement fédéral,Femmes,Chinois,,51.1
2020,Confiance dans le système de justice et dans les tribunaux,Immigrants,Chinois,,66.6
2020,Confiance dans le Parlement fédéral,Immigrants,Chinois,,51.8
2020,Confiance dans le système de justice et dans les tribunaux,Non-immigrants,Chinois,,52.2
2020,Confiance dans le Parlement fédéral,Non-immigrants,Chinois,,41.8
2020,Confiance dans le système de justice et dans les tribunaux,Première génération,Chinois,,67.9
2020,Confiance dans le Parlement fédéral,Première génération,Chinois,,53.2
2020,Confiance dans le système de justice et dans les tribunaux,Deuxième génération,Chinois,À utiliser avec prudence,54.5
2020,Confiance dans le Parlement fédéral,Deuxième génération,Chinois,À utiliser avec prudence,46.9
2020,Confiance dans le système de justice et dans les tribunaux,Troisième génération ou plus,Chinois,,
2020,Confiance dans le Parlement fédéral,Troisième génération ou plus,Chinois,,
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, anglais seulement",Chinois,,65.9
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, anglais seulement",Chinois,,51.3
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, français seulement",Chinois,,
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, français seulement",Chinois,,
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Chinois,,65.3
2020,Confiance dans le Parlement fédéral,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Chinois,,50.6
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme ou certificat postsecondaire (non universitaire),Chinois,,61.5
2020,Confiance dans le Parlement fédéral,Diplôme ou certificat postsecondaire (non universitaire),Chinois,,52.9
2020,Confiance dans le système de justice et dans les tribunaux,Certificat ou diplôme universitaire,Chinois,,64.1
2020,Confiance dans le Parlement fédéral,Certificat ou diplôme universitaire,Chinois,,50.6
2020,Confiance dans le système de justice et dans les tribunaux,"Total, 15 ans et plus",Noir,,54.2
2020,Confiance dans le Parlement fédéral,"Total, 15 ans et plus",Noir,,52.2
2020,Confiance dans le système de justice et dans les tribunaux,15 à 24 ans,Noir,,
2020,Confiance dans le Parlement fédéral,15 à 24 ans,Noir,,
2020,Confiance dans le système de justice et dans les tribunaux,25 à 64 ans,Noir,,55.9
2020,Confiance dans le Parlement fédéral,25 à 64 ans,Noir,,57.8
2020,Confiance dans le système de justice et dans les tribunaux,65 ans et plus,Noir,À utiliser avec prudence,58.9
2020,Confiance dans le Parlement fédéral,65 ans et plus,Noir,À utiliser avec prudence,56.7
2020,Confiance dans le système de justice et dans les tribunaux,Hommes,Noir,,53.8
2020,Confiance dans le Parlement fédéral,Hommes,Noir,,50.9
2020,Confiance dans le système de justice et dans les tribunaux,Femmes,Noir,,54.9
2020,Confiance dans le Parlement fédéral,Femmes,Noir,,53.9
2020,Confiance dans le système de justice et dans les tribunaux,Immigrants,Noir,,60.6
2020,Confiance dans le Parlement fédéral,Immigrants,Noir,,57.4
2020,Confiance dans le système de justice et dans les tribunaux,Non-immigrants,Noir,À utiliser avec prudence,31.2
2020,Confiance dans le Parlement fédéral,Non-immigrants,Noir,À utiliser avec prudence,33.8
2020,Confiance dans le système de justice et dans les tribunaux,Première génération,Noir,,61.6
2020,Confiance dans le Parlement fédéral,Première génération,Noir,,58.1
2020,Confiance dans le système de justice et dans les tribunaux,Deuxième génération,Noir,,
2020,Confiance dans le Parlement fédéral,Deuxième génération,Noir,,
2020,Confiance dans le système de justice et dans les tribunaux,Troisième génération ou plus,Noir,,
2020,Confiance dans le Parlement fédéral,Troisième génération ou plus,Noir,,
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, anglais seulement",Noir,,51.2
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, anglais seulement",Noir,,49.9
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, français seulement",Noir,À utiliser avec prudence,67.1
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, français seulement",Noir,À utiliser avec prudence,64.6
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Noir,,51.9
2020,Confiance dans le Parlement fédéral,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Noir,,50.6
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme ou certificat postsecondaire (non universitaire),Noir,À utiliser avec prudence,53.3
2020,Confiance dans le Parlement fédéral,Diplôme ou certificat postsecondaire (non universitaire),Noir,À utiliser avec prudence,48.5
2020,Confiance dans le système de justice et dans les tribunaux,Certificat ou diplôme universitaire,Noir,,57.1
2020,Confiance dans le Parlement fédéral,Certificat ou diplôme universitaire,Noir,,56.1
2020,Confiance dans le système de justice et dans les tribunaux,"Total, 15 ans et plus",Philippin,,68.5
2020,Confiance dans le Parlement fédéral,"Total, 15 ans et plus",Philippin,,63.3
2020,Confiance dans le système de justice et dans les tribunaux,15 à 24 ans,Philippin,,
2020,Confiance dans le Parlement fédéral,15 à 24 ans,Philippin,,
2020,Confiance dans le système de justice et dans les tribunaux,25 à 64 ans,Philippin,,73.0
2020,Confiance dans le Parlement fédéral,25 à 64 ans,Philippin,,65.7
2020,Confiance dans le système de justice et dans les tribunaux,65 ans et plus,Philippin,,
2020,Confiance dans le Parlement fédéral,65 ans et plus,Philippin,,
2020,Confiance dans le système de justice et dans les tribunaux,Hommes,Philippin,,74.0
2020,Confiance dans le Parlement fédéral,Hommes,Philippin,,68.3
2020,Confiance dans le système de justice et dans les tribunaux,Femmes,Philippin,,64.5
2020,Confiance dans le Parlement fédéral,Femmes,Philippin,,59.7
2020,Confiance dans le système de justice et dans les tribunaux,Immigrants,Philippin,,73.1
2020,Confiance dans le Parlement fédéral,Immigrants,Philippin,,67.6
2020,Confiance dans le système de justice et dans les tribunaux,Non-immigrants,Philippin,,
2020,Confiance dans le Parlement fédéral,Non-immigrants,Philippin,,
2020,Confiance dans le système de justice et dans les tribunaux,Première génération,Philippin,,73.0
2020,Confiance dans le Parlement fédéral,Première génération,Philippin,,67.5
2020,Confiance dans le système de justice et dans les tribunaux,Deuxième génération,Philippin,,
2020,Confiance dans le Parlement fédéral,Deuxième génération,Philippin,,
2020,Confiance dans le système de justice et dans les tribunaux,Troisième génération ou plus,Philippin,,
2020,Confiance dans le Parlement fédéral,Troisième génération ou plus,Philippin,,
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, anglais seulement",Philippin,,69.2
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, anglais seulement",Philippin,,63.7
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, français seulement",Philippin,,
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, français seulement",Philippin,,
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Philippin,À utiliser avec prudence,55.6
2020,Confiance dans le Parlement fédéral,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Philippin,À utiliser avec prudence,53.8
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme ou certificat postsecondaire (non universitaire),Philippin,À utiliser avec prudence,71.7
2020,Confiance dans le Parlement fédéral,Diplôme ou certificat postsecondaire (non universitaire),Philippin,À utiliser avec prudence,63.9
2020,Confiance dans le système de justice et dans les tribunaux,Certificat ou diplôme universitaire,Philippin,,74.3
2020,Confiance dans le Parlement fédéral,Certificat ou diplôme universitaire,Philippin,,68.6
2020,Confiance dans le système de justice et dans les tribunaux,"Total, 15 ans et plus",Arabe,,78.1
2020,Confiance dans le Parlement fédéral,"Total, 15 ans et plus",Arabe,,66.3
2020,Confiance dans le système de justice et dans les tribunaux,15 à 24 ans,Arabe,,
2020,Confiance dans le Parlement fédéral,15 à 24 ans,Arabe,,
2020,Confiance dans le système de justice et dans les tribunaux,25 à 64 ans,Arabe,,78.9
2020,Confiance dans le Parlement fédéral,25 à 64 ans,Arabe,,65.7
2020,Confiance dans le système de justice et dans les tribunaux,65 ans et plus,Arabe,,
2020,Confiance dans le Parlement fédéral,65 ans et plus,Arabe,,
2020,Confiance dans le système de justice et dans les tribunaux,Hommes,Arabe,,79.4
2020,Confiance dans le Parlement fédéral,Hommes,Arabe,,64.9
2020,Confiance dans le système de justice et dans les tribunaux,Femmes,Arabe,,76.4
2020,Confiance dans le Parlement fédéral,Femmes,Arabe,,68.1
2020,Confiance dans le système de justice et dans les tribunaux,Immigrants,Arabe,,77.2
2020,Confiance dans le Parlement fédéral,Immigrants,Arabe,,65.2
2020,Confiance dans le système de justice et dans les tribunaux,Non-immigrants,Arabe,,
2020,Confiance dans le Parlement fédéral,Non-immigrants,Arabe,,
2020,Confiance dans le système de justice et dans les tribunaux,Première génération,Arabe,,77.6
2020,Confiance dans le Parlement fédéral,Première génération,Arabe,,65.4
2020,Confiance dans le système de justice et dans les tribunaux,Deuxième génération,Arabe,,
2020,Confiance dans le Parlement fédéral,Deuxième génération,Arabe,,
2020,Confiance dans le système de justice et dans les tribunaux,Troisième génération ou plus,Arabe,,
2020,Confiance dans le Parlement fédéral,Troisième génération ou plus,Arabe,,
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, anglais seulement",Arabe,,80.9
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, anglais seulement",Arabe,,66.4
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, français seulement",Arabe,À utiliser avec prudence,81.9
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, français seulement",Arabe,À utiliser avec prudence,74.7
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Arabe,À utiliser avec prudence,80.3
2020,Confiance dans le Parlement fédéral,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Arabe,À utiliser avec prudence,68.4
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme ou certificat postsecondaire (non universitaire),Arabe,,
2020,Confiance dans le Parlement fédéral,Diplôme ou certificat postsecondaire (non universitaire),Arabe,,
2020,Confiance dans le système de justice et dans les tribunaux,Certificat ou diplôme universitaire,Arabe,,77.9
2020,Confiance dans le Parlement fédéral,Certificat ou diplôme universitaire,Arabe,,64.7
2020,Confiance dans le système de justice et dans les tribunaux,"Total, 15 ans et plus",Latino-Américain,,71.4
2020,Confiance dans le Parlement fédéral,"Total, 15 ans et plus",Latino-Américain,,67.3
2020,Confiance dans le système de justice et dans les tribunaux,15 à 24 ans,Latino-Américain,,
2020,Confiance dans le Parlement fédéral,15 à 24 ans,Latino-Américain,,
2020,Confiance dans le système de justice et dans les tribunaux,25 à 64 ans,Latino-Américain,,72.0
2020,Confiance dans le Parlement fédéral,25 à 64 ans,Latino-Américain,,66.1
2020,Confiance dans le système de justice et dans les tribunaux,65 ans et plus,Latino-Américain,,
2020,Confiance dans le Parlement fédéral,65 ans et plus,Latino-Américain,,
2020,Confiance dans le système de justice et dans les tribunaux,Hommes,Latino-Américain,,74.3
2020,Confiance dans le Parlement fédéral,Hommes,Latino-Américain,,72.7
2020,Confiance dans le système de justice et dans les tribunaux,Femmes,Latino-Américain,,68.5
2020,Confiance dans le Parlement fédéral,Femmes,Latino-Américain,,62.2
2020,Confiance dans le système de justice et dans les tribunaux,Immigrants,Latino-Américain,,76.5
2020,Confiance dans le Parlement fédéral,Immigrants,Latino-Américain,,73.1
2020,Confiance dans le système de justice et dans les tribunaux,Non-immigrants,Latino-Américain,,
2020,Confiance dans le Parlement fédéral,Non-immigrants,Latino-Américain,,
2020,Confiance dans le système de justice et dans les tribunaux,Première génération,Latino-Américain,,75.4
2020,Confiance dans le Parlement fédéral,Première génération,Latino-Américain,,72.3
2020,Confiance dans le système de justice et dans les tribunaux,Deuxième génération,Latino-Américain,,
2020,Confiance dans le Parlement fédéral,Deuxième génération,Latino-Américain,,
2020,Confiance dans le système de justice et dans les tribunaux,Troisième génération ou plus,Latino-Américain,,
2020,Confiance dans le Parlement fédéral,Troisième génération ou plus,Latino-Américain,,
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, anglais seulement",Latino-Américain,,71.1
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, anglais seulement",Latino-Américain,,68.2
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, français seulement",Latino-Américain,,
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, français seulement",Latino-Américain,,
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Latino-Américain,À utiliser avec prudence,61.2
2020,Confiance dans le Parlement fédéral,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Latino-Américain,À utiliser avec prudence,64.4
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme ou certificat postsecondaire (non universitaire),Latino-Américain,À utiliser avec prudence,57.2
2020,Confiance dans le Parlement fédéral,Diplôme ou certificat postsecondaire (non universitaire),Latino-Américain,À utiliser avec prudence,46.5
2020,Confiance dans le système de justice et dans les tribunaux,Certificat ou diplôme universitaire,Latino-Américain,À utiliser avec prudence,85.1
2020,Confiance dans le Parlement fédéral,Certificat ou diplôme universitaire,Latino-Américain,À utiliser avec prudence,79.2
2020,Confiance dans le système de justice et dans les tribunaux,"Total, 15 ans et plus",Asiatique du Sud-Est,,68.0
2020,Confiance dans le Parlement fédéral,"Total, 15 ans et plus",Asiatique du Sud-Est,,54.1
2020,Confiance dans le système de justice et dans les tribunaux,15 à 24 ans,Asiatique du Sud-Est,,
2020,Confiance dans le Parlement fédéral,15 à 24 ans,Asiatique du Sud-Est,,
2020,Confiance dans le système de justice et dans les tribunaux,25 à 64 ans,Asiatique du Sud-Est,,68.9
2020,Confiance dans le Parlement fédéral,25 à 64 ans,Asiatique du Sud-Est,,57.8
2020,Confiance dans le système de justice et dans les tribunaux,65 ans et plus,Asiatique du Sud-Est,,
2020,Confiance dans le Parlement fédéral,65 ans et plus,Asiatique du Sud-Est,,
2020,Confiance dans le système de justice et dans les tribunaux,Hommes,Asiatique du Sud-Est,À utiliser avec prudence,69.9
2020,Confiance dans le Parlement fédéral,Hommes,Asiatique du Sud-Est,À utiliser avec prudence,52.8
2020,Confiance dans le système de justice et dans les tribunaux,Femmes,Asiatique du Sud-Est,À utiliser avec prudence,66.4
2020,Confiance dans le Parlement fédéral,Femmes,Asiatique du Sud-Est,À utiliser avec prudence,55.3
2020,Confiance dans le système de justice et dans les tribunaux,Immigrants,Asiatique du Sud-Est,,70.1
2020,Confiance dans le Parlement fédéral,Immigrants,Asiatique du Sud-Est,,53.1
2020,Confiance dans le système de justice et dans les tribunaux,Non-immigrants,Asiatique du Sud-Est,,
2020,Confiance dans le Parlement fédéral,Non-immigrants,Asiatique du Sud-Est,,
2020,Confiance dans le système de justice et dans les tribunaux,Première génération,Asiatique du Sud-Est,,71.8
2020,Confiance dans le Parlement fédéral,Première génération,Asiatique du Sud-Est,,56.0
2020,Confiance dans le système de justice et dans les tribunaux,Deuxième génération,Asiatique du Sud-Est,,
2020,Confiance dans le Parlement fédéral,Deuxième génération,Asiatique du Sud-Est,,
2020,Confiance dans le système de justice et dans les tribunaux,Troisième génération ou plus,Asiatique du Sud-Est,,
2020,Confiance dans le Parlement fédéral,Troisième génération ou plus,Asiatique du Sud-Est,,
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, anglais seulement",Asiatique du Sud-Est,,74.2
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, anglais seulement",Asiatique du Sud-Est,,57.1
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, français seulement",Asiatique du Sud-Est,,
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, français seulement",Asiatique du Sud-Est,,
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Asiatique du Sud-Est,À utiliser avec prudence,63.3
2020,Confiance dans le Parlement fédéral,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Asiatique du Sud-Est,À utiliser avec prudence,54.4
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme ou certificat postsecondaire (non universitaire),Asiatique du Sud-Est,,
2020,Confiance dans le Parlement fédéral,Diplôme ou certificat postsecondaire (non universitaire),Asiatique du Sud-Est,,
2020,Confiance dans le système de justice et dans les tribunaux,Certificat ou diplôme universitaire,Asiatique du Sud-Est,À utiliser avec prudence,75.2
2020,Confiance dans le Parlement fédéral,Certificat ou diplôme universitaire,Asiatique du Sud-Est,À utiliser avec prudence,59.4
2020,Confiance dans le système de justice et dans les tribunaux,"Total, 15 ans et plus",Pas une minorité visible,,52.3
2020,Confiance dans le Parlement fédéral,"Total, 15 ans et plus",Pas une minorité visible,,40.2
2020,Confiance dans le système de justice et dans les tribunaux,15 à 24 ans,Pas une minorité visible,,50.1
2020,Confiance dans le Parlement fédéral,15 à 24 ans,Pas une minorité visible,,42.0
2020,Confiance dans le système de justice et dans les tribunaux,25 à 64 ans,Pas une minorité visible,,50.1
2020,Confiance dans le Parlement fédéral,25 à 64 ans,Pas une minorité visible,,37.0
2020,Confiance dans le système de justice et dans les tribunaux,65 ans et plus,Pas une minorité visible,,58.8
2020,Confiance dans le Parlement fédéral,65 ans et plus,Pas une minorité visible,,46.9
2020,Confiance dans le système de justice et dans les tribunaux,Hommes,Pas une minorité visible,,53.6
2020,Confiance dans le Parlement fédéral,Hommes,Pas une minorité visible,,38.8
