Year,Géographie,Sexe,GeoCode,Value
2016,Territoires du Nord-Ouest,Femmes,61,18.4
2016,Nunavut,Les deux sexes,62,67.2
2016,Nunavut,Hommes,62,93.5
2016,Nunavut,Femmes,62,39.1
2017,Canada,Hommes,,18.4
2017,Canada,Femmes,,6.2
2017,Terre-Neuve-et-Labrador,Les deux sexes,10,17.4
2017,Terre-Neuve-et-Labrador,Hommes,10,26.7
2017,Terre-Neuve-et-Labrador,Femmes,10,8.2
2017,Île-du-Prince-Édouard,Les deux sexes,11,11.4
2017,Île-du-Prince-Édouard,Hommes,11,16.4
2017,Île-du-Prince-Édouard,Femmes,11,6.5
2017,Nouvelle-Écosse,Les deux sexes,12,14.5
2017,Nouvelle-Écosse,Hommes,12,22.1
2017,Nouvelle-Écosse,Femmes,12,7.2
2017,Nouveau-Brunswick,Les deux sexes,13,13.0
2017,Nouveau-Brunswick,Hommes,13,21.4
2017,Nouveau-Brunswick,Femmes,13,4.9
2017,Québec,Les deux sexes,24,12.8
2017,Québec,Hommes,24,19.1
2017,Québec,Femmes,24,6.6
2017,Ontario,Les deux sexes,35,10.5
2017,Ontario,Hommes,35,15.5
2017,Ontario,Femmes,35,5.6
2017,Manitoba,Les deux sexes,46,15.5
2017,Manitoba,Hommes,46,20.5
2017,Manitoba,Femmes,46,10.5
2017,Saskatchewan,Les deux sexes,47,16.3
2017,Saskatchewan,Hommes,47,24.2
2017,Saskatchewan,Femmes,47,8.3
2017,Alberta,Les deux sexes,48,15.2
2017,Alberta,Hommes,48,23.6
2017,Alberta,Femmes,48,6.6
2017,Colombie-Britannique,Les deux sexes,59,10.4
2017,Colombie-Britannique,Hommes,59,15.9
2017,Colombie-Britannique,Femmes,59,5.1
2017,Yukon,Les deux sexes,60,22.8
2017,Yukon,Hommes,60,39.9
2017,Yukon,Femmes,60,5.1
2017,Territoires du Nord-Ouest,Les deux sexes,61,15.7
2017,Territoires du Nord-Ouest,Hommes,61,30.5
2017,Territoires du Nord-Ouest,Femmes,61,0.0
2017,Nunavut,Les deux sexes,62,53.1
2017,Nunavut,Hommes,62,88.0
2017,Nunavut,Femmes,62,16.4
2018,Canada,Hommes,,18.8
2018,Canada,Femmes,,6.1
2018,Terre-Neuve-et-Labrador,Les deux sexes,10,13.6
2018,Terre-Neuve-et-Labrador,Hommes,10,22.9
2018,Terre-Neuve-et-Labrador,Femmes,10,4.5
2018,Île-du-Prince-Édouard,Les deux sexes,11,4.6
2018,Île-du-Prince-Édouard,Hommes,11,8.1
2018,Île-du-Prince-Édouard,Femmes,11,1.3
2018,Nouvelle-Écosse,Les deux sexes,12,12.8
2018,Nouvelle-Écosse,Hommes,12,20.8
2018,Nouvelle-Écosse,Femmes,12,5.1
2018,Nouveau-Brunswick,Les deux sexes,13,14.8
2018,Nouveau-Brunswick,Hommes,13,24.4
2018,Nouveau-Brunswick,Femmes,13,5.4
2018,Québec,Les deux sexes,24,13.0
2018,Québec,Hommes,24,19.7
2018,Québec,Femmes,24,6.4
2018,Ontario,Les deux sexes,35,10.9
2018,Ontario,Hommes,35,16.5
2018,Ontario,Femmes,35,5.4
2018,Manitoba,Les deux sexes,46,14.2
2018,Manitoba,Hommes,46,20.6
2018,Manitoba,Femmes,46,7.7
2018,Saskatchewan,Les deux sexes,47,20.0
2018,Saskatchewan,Hommes,47,30.0
2018,Saskatchewan,Femmes,47,9.8
2018,Alberta,Les deux sexes,48,14.5
2018,Alberta,Hommes,48,21.4
2018,Alberta,Femmes,48,7.6
2018,Colombie-Britannique,Les deux sexes,59,10.7
2018,Colombie-Britannique,Hommes,59,15.7
2018,Colombie-Britannique,Femmes,59,5.7
2018,Yukon,Les deux sexes,60,24.8
2018,Yukon,Hommes,60,48.8
2018,Yukon,Femmes,60,0.0
2018,Territoires du Nord-Ouest,Les deux sexes,61,29.2
2018,Territoires du Nord-Ouest,Hommes,61,43.6
2018,Territoires du Nord-Ouest,Femmes,61,13.9
2018,Nunavut,Les deux sexes,62,65.2
2018,Nunavut,Hommes,62,117.4
2018,Nunavut,Femmes,62,10.7
2019,Canada,Hommes,,18.7
2019,Canada,Femmes,,5.9
2019,Terre-Neuve-et-Labrador,Les deux sexes,10,11.4
2019,Terre-Neuve-et-Labrador,Hommes,10,16.8
2019,Terre-Neuve-et-Labrador,Femmes,10,6.0
2019,Île-du-Prince-Édouard,Les deux sexes,11,12.2
2019,Île-du-Prince-Édouard,Hommes,11,19.7
2019,Île-du-Prince-Édouard,Femmes,11,5.0
2019,Nouvelle-Écosse,Les deux sexes,12,12.8
2019,Nouvelle-Écosse,Hommes,12,21.1
2019,Nouvelle-Écosse,Femmes,12,4.8
2019,Nouveau-Brunswick,Les deux sexes,13,10.2
2019,Nouveau-Brunswick,Hommes,13,15.1
2019,Nouveau-Brunswick,Femmes,13,5.3
2019,Québec,Les deux sexes,24,13.3
2019,Québec,Hommes,24,20.6
2019,Québec,Femmes,24,6.0
2019,Ontario,Les deux sexes,35,10.6
2019,Ontario,Hommes,35,16.1
2019,Ontario,Femmes,35,5.2
2019,Manitoba,Les deux sexes,46,15.8
2019,Manitoba,Hommes,46,22.9
2019,Manitoba,Femmes,46,8.5
2019,Saskatchewan,Les deux sexes,47,16.8
2019,Saskatchewan,Hommes,47,26.6
2019,Saskatchewan,Femmes,47,6.9
2019,Alberta,Les deux sexes,48,13.8
2019,Alberta,Hommes,48,20.8
2019,Alberta,Femmes,48,6.8
2019,Colombie-Britannique,Les deux sexes,59,11.5
2019,Colombie-Britannique,Hommes,59,17.4
2019,Colombie-Britannique,Femmes,59,5.6
2019,Yukon,Les deux sexes,60,17.0
2019,Yukon,Hommes,60,24.0
2019,Yukon,Femmes,60,9.8
2019,Territoires du Nord-Ouest,Les deux sexes,61,18.0
2019,Territoires du Nord-Ouest,Hommes,61,17.5
2019,Territoires du Nord-Ouest,Femmes,61,18.5
2019,Nunavut,Les deux sexes,62,90.1
2019,Nunavut,Hommes,62,126.3
2019,Nunavut,Femmes,62,52.5
2020,Canada,Hommes,,16.9
2020,Canada,Femmes,,5.7
2020,Terre-Neuve-et-Labrador,Les deux sexes,10,11.0
2020,Terre-Neuve-et-Labrador,Hommes,10,17.6
2020,Terre-Neuve-et-Labrador,Femmes,10,4.5
2020,Île-du-Prince-Édouard,Les deux sexes,11,4.4
2020,Île-du-Prince-Édouard,Hommes,11,6.4
2020,Île-du-Prince-Édouard,Femmes,11,2.5
2020,Nouvelle-Écosse,Les deux sexes,12,10.9
2020,Nouvelle-Écosse,Hommes,12,18.1
2020,Nouvelle-Écosse,Femmes,12,4.0
2020,Nouveau-Brunswick,Les deux sexes,13,11.9
2020,Nouveau-Brunswick,Hommes,13,20.2
2020,Nouveau-Brunswick,Femmes,13,3.8
2020,Québec,Les deux sexes,24,12.3
2020,Québec,Hommes,24,18.7
2020,Québec,Femmes,24,5.9
2020,Ontario,Les deux sexes,35,9.6
2020,Ontario,Hommes,35,14.3
2020,Ontario,Femmes,35,5.0
2020,Manitoba,Les deux sexes,46,13.6
2020,Manitoba,Hommes,46,19.6
2020,Manitoba,Femmes,46,7.6
2020,Saskatchewan,Les deux sexes,47,17.5
2020,Saskatchewan,Hommes,47,25.8
2020,Saskatchewan,Femmes,47,9.0
2020,Alberta,Les deux sexes,48,14.3
2020,Alberta,Hommes,48,21.5
2020,Alberta,Femmes,48,7.1
2020,Colombie-Britannique,Les deux sexes,59,9.3
2020,Colombie-Britannique,Hommes,59,13.4
2020,Colombie-Britannique,Femmes,59,5.3
2020,Yukon,Les deux sexes,60,11.9
2020,Yukon,Hommes,60,14.2
2020,Yukon,Femmes,60,9.6
2020,Territoires du Nord-Ouest,Les deux sexes,61,11.2
2020,Territoires du Nord-Ouest,Hommes,61,21.9
2020,Territoires du Nord-Ouest,Femmes,61,0.0
2020,Nunavut,Les deux sexes,62,76.0
2020,Nunavut,Hommes,62,109.8
2020,Nunavut,Femmes,62,41.1
2021,Canada,Hommes,,15.4
2021,Canada,Femmes,,5.1
2021,Terre-Neuve-et-Labrador,Les deux sexes,10,14.8
2021,Terre-Neuve-et-Labrador,Hommes,10,23.4
2021,Terre-Neuve-et-Labrador,Femmes,10,6.4
2021,Île-du-Prince-Édouard,Les deux sexes,11,7.4
2021,Île-du-Prince-Édouard,Hommes,11,12.7
2021,Île-du-Prince-Édouard,Femmes,11,2.4
2021,Nouvelle-Écosse,Les deux sexes,12,13.9
2021,Nouvelle-Écosse,Hommes,12,21.1
2021,Nouvelle-Écosse,Femmes,12,6.9
2021,Nouveau-Brunswick,Les deux sexes,13,10.7
2021,Nouveau-Brunswick,Hommes,13,17.4
2021,Nouveau-Brunswick,Femmes,13,4.2
2021,Québec,Les deux sexes,24,12.0
2021,Québec,Hommes,24,18.5
2021,Québec,Femmes,24,5.5
2021,Ontario,Les deux sexes,35,8.1
2021,Ontario,Hommes,35,12.2
2021,Ontario,Femmes,35,4.2
2021,Manitoba,Les deux sexes,46,12.4
2021,Manitoba,Hommes,46,16.0
2021,Manitoba,Femmes,46,8.7
2021,Saskatchewan,Les deux sexes,47,17.4
2021,Saskatchewan,Hommes,47,24.5
2021,Saskatchewan,Femmes,47,10.2
2021,Alberta,Les deux sexes,48,13.4
2021,Alberta,Hommes,48,19.7
2021,Alberta,Femmes,48,7.0
2021,Colombie-Britannique,Les deux sexes,59,6.8
2021,Colombie-Britannique,Hommes,59,10.4
2021,Colombie-Britannique,Femmes,59,3.2
2021,Yukon,Les deux sexes,60,7.0
2021,Yukon,Hommes,60,9.3
2021,Yukon,Femmes,60,4.7
2021,Territoires du Nord-Ouest,Les deux sexes,61,22.4
2021,Territoires du Nord-Ouest,Hommes,61,39.3
2021,Territoires du Nord-Ouest,Femmes,61,4.6
2021,Nunavut,Les deux sexes,62,99.8
2021,Nunavut,Hommes,62,162.5
2021,Nunavut,Femmes,62,35.4
2022,Canada,Hommes,,16.2
2022,Canada,Femmes,,5.5
2022,Terre-Neuve-et-Labrador,Les deux sexes,10,14.5
2022,Terre-Neuve-et-Labrador,Hommes,10,24.0
2022,Terre-Neuve-et-Labrador,Femmes,10,5.2
2022,Île-du-Prince-Édouard,Les deux sexes,11,10.2
2022,Île-du-Prince-Édouard,Hommes,11,15.9
2022,Île-du-Prince-Édouard,Femmes,11,4.7
2022,Nouvelle-Écosse,Les deux sexes,12,13.4
2022,Nouvelle-Écosse,Hommes,12,20.0
2022,Nouvelle-Écosse,Femmes,12,6.9
2022,Nouveau-Brunswick,Les deux sexes,13,7.8
2022,Nouveau-Brunswick,Hommes,13,11.5
2022,Nouveau-Brunswick,Femmes,13,4.2
2022,Québec,Les deux sexes,24,13.2
2022,Québec,Hommes,24,20.0
2022,Québec,Femmes,24,6.4
2022,Ontario,Les deux sexes,35,9.5
2022,Ontario,Hommes,35,14.1
2022,Ontario,Femmes,35,5.0
2022,Manitoba,Les deux sexes,46,11.5
2022,Manitoba,Hommes,46,15.6
2022,Manitoba,Femmes,46,7.4
2022,Saskatchewan,Les deux sexes,47,19.5
2022,Saskatchewan,Hommes,47,27.3
2022,Saskatchewan,Femmes,47,11.6
2022,Alberta,Les deux sexes,48,13.3
2022,Alberta,Hommes,48,19.9
2022,Alberta,Femmes,48,6.7
2022,Colombie-Britannique,Les deux sexes,59,5.5
2022,Colombie-Britannique,Hommes,59,8.9
2022,Colombie-Britannique,Femmes,59,2.1
2022,Yukon,Les deux sexes,60,0.0
2022,Yukon,Hommes,60,0.0
2022,Yukon,Femmes,60,0.0
2022,Territoires du Nord-Ouest,Les deux sexes,61,44.8
2022,Territoires du Nord-Ouest,Hommes,61,65.6
2022,Territoires du Nord-Ouest,Femmes,61,23.0
2022,Nunavut,Les deux sexes,62,59.3
2022,Nunavut,Hommes,62,68.4
2022,Nunavut,Femmes,62,50.0
2023,Canada,Hommes,,14.2
2023,Canada,Femmes,,4.8
2023,Terre-Neuve-et-Labrador,Les deux sexes,10,13.7
2023,Terre-Neuve-et-Labrador,Hommes,10,22.1
2023,Terre-Neuve-et-Labrador,Femmes,10,5.5
2023,Île-du-Prince-Édouard,Les deux sexes,11,6.9
2023,Île-du-Prince-Édouard,Hommes,11,9.4
2023,Île-du-Prince-Édouard,Femmes,11,4.5
2023,Nouvelle-Écosse,Les deux sexes,12,12.3
2023,Nouvelle-Écosse,Hommes,12,19.0
2023,Nouvelle-Écosse,Femmes,12,5.8
2023,Nouveau-Brunswick,Les deux sexes,13,12.3
2023,Nouveau-Brunswick,Hommes,13,18.7
2023,Nouveau-Brunswick,Femmes,13,5.9
2023,Québec,Les deux sexes,24,11.1
2023,Québec,Hommes,24,16.8
2023,Québec,Femmes,24,5.4
2023,Ontario,Les deux sexes,35,8.6
2023,Ontario,Hommes,35,13.0
2023,Ontario,Femmes,35,4.2
2023,Manitoba,Les deux sexes,46,15.1
2023,Manitoba,Hommes,46,19.9
2023,Manitoba,Femmes,46,10.3
2023,Saskatchewan,Les deux sexes,47,16.0
2023,Saskatchewan,Hommes,47,21.3
2023,Saskatchewan,Femmes,47,10.5
2023,Alberta,Les deux sexes,48,9.8
2023,Alberta,Hommes,48,15.1
2023,Alberta,Femmes,48,4.3
2023,Colombie-Britannique,Les deux sexes,59,4.6
2023,Colombie-Britannique,Hommes,59,6.7
2023,Colombie-Britannique,Femmes,59,2.5
2023,Yukon,Les deux sexes,60,0.0
2023,Yukon,Hommes,60,0.0
2023,Yukon,Femmes,60,0.0
2023,Territoires du Nord-Ouest,Les deux sexes,61,17.9
2023,Territoires du Nord-Ouest,Hommes,61,34.9
2023,Territoires du Nord-Ouest,Femmes,61,0.0
2023,Nunavut,Les deux sexes,62,90.9
2023,Nunavut,Hommes,62,126.3
2023,Nunavut,Femmes,62,54.7
