Year,Series,Units,Activité économique,Value
2016,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Services,3.773
2016,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),"Agriculture, sylviculture et pêche",-12.333
2017,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),,1.366
2017,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Industrie,7.258
2017,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Services,3.014
2017,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),"Agriculture, sylviculture et pêche",-11.979
2018,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),"Agriculture, sylviculture et pêche",-7.713
2018,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),,5.45
2018,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Services,2.606
2018,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Industrie,8.359
2019,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Services,2.6
2019,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Industrie,1.986
2019,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),,3.968
2019,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),"Agriculture, sylviculture et pêche",2.724
2020,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),"Agriculture, sylviculture et pêche",-11.202
2020,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Services,-5.192
2020,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),,-2.535
2020,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Industrie,-0.605
2021,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),,4.634
2021,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Industrie,4.791
2021,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),"Agriculture, sylviculture et pêche",2.879
2021,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Services,4.586
2006,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,30.159
2006,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,151.709
2006,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,10.88
2006,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.402
2007,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,30.77
2007,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,154.496
2007,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,10.941
2007,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.405
2008,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.464
2008,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,160.065
2008,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,32.162
2008,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,11.684
2009,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,32.185
2009,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,170.61
2009,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.402
2009,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,9.847
2010,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,179.245
2010,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,10.968
2010,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.181
2010,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,31.778
2011,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,189.354
2011,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,11.926
2011,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.215
2011,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,33.742
2012,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,12.14
2012,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.217
2012,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,35.237
2012,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,195.42
2013,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.257
2013,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,12.665
2013,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,37.086
2013,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,201.828
2014,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,13.604
2014,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.25
2014,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,207.004
2014,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,39.34
2015,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,12.403
2015,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,40.487
2015,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,215.388
2015,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.371
2016,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,40.197
2016,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,11.884
2016,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,223.516
2016,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.325
2017,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,40.746
2017,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,12.746
2017,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,230.252
2017,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.286
2018,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.264
2018,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,42.967
2018,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,236.252
2018,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,13.812
2019,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,242.395
2019,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,14.086
2019,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,44.672
2019,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.271
2020,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.241
2020,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,229.81
2020,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,43.54
2020,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,14.001
2021,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,,45.557
2021,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Industrie,14.672
2021,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,"Agriculture, sylviculture et pêche",0.248
2021,Efficacité de l'utilisation des ressources en eau (USD par mètre cube),Dollars américains par mètre cube,Services,240.35
