Year,Indicateur,Value
2016,Ratio des créances improductives au total des prêts bruts,0.6
2016,Rentabilité des actifs,1.0
2016,Ratio des actifs liquides aux passifs à court terme,54.66
2016,Ratio des fonds propres réglementaires de base aux actifs,4.63
2017,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,12.83
2017,Ratio des créances improductives moins provisions aux fonds propres,4.71
2017,Ratio des créances improductives au total des prêts bruts,0.45
2017,Rentabilité des actifs,1.11
2017,Ratio des actifs liquides aux passifs à court terme,49.46
2017,Ratio des fonds propres réglementaires de base aux actifs,4.78
2018,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,13.2
2018,Ratio des créances improductives moins provisions aux fonds propres,5.06
2018,Ratio des créances improductives au total des prêts bruts,0.5
2018,Rentabilité des actifs,1.15
2018,Ratio des actifs liquides aux passifs à court terme,48.58
2018,Ratio des fonds propres réglementaires de base aux actifs,4.77
2019,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,13.2
2019,Ratio des créances improductives moins provisions aux fonds propres,4.69
2019,Ratio des créances improductives au total des prêts bruts,0.5
2019,Rentabilité des actifs,1.06
2019,Ratio des actifs liquides aux passifs à court terme,44.12
2019,Ratio des fonds propres réglementaires de base aux actifs,4.69
2020,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,13.92
2020,Ratio des créances improductives moins provisions aux fonds propres,4.52
2020,Ratio des créances improductives au total des prêts bruts,0.53
2020,Rentabilité des actifs,0.78
2020,Ratio des actifs liquides aux passifs à court terme,78.05
2020,Ratio des fonds propres réglementaires de base aux actifs,4.54
2021,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,15.08
2021,Ratio des créances improductives moins provisions aux fonds propres,3.0
2021,Ratio des créances improductives au total des prêts bruts,0.38
2021,Rentabilité des actifs,1.12
2021,Ratio des actifs liquides aux passifs à court terme,79.6
2021,Ratio des fonds propres réglementaires de base aux actifs,4.75
2022,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,15.34
2022,Ratio des créances improductives moins provisions aux fonds propres,2.78
2022,Ratio des créances improductives au total des prêts bruts,0.33
2022,Rentabilité des actifs,1.18
2022,Ratio des actifs liquides aux passifs à court terme,58.54
2022,Ratio des fonds propres réglementaires de base aux actifs,4.8
2023,Ratio des fonds propres réglementaires de base aux actifs pondérés en fonction des risques,15.2
2023,Ratio des créances improductives moins provisions aux fonds propres,4.04
2023,Ratio des créances improductives au total des prêts bruts,0.45
2023,Rentabilité des actifs,0.79
2023,Ratio des actifs liquides aux passifs à court terme,49.63
2023,Ratio des fonds propres réglementaires de base aux actifs,4.72
