Year,Series,Tranches d'effectif,Géographie,Industries,Âge de la personne principalement responsable de la prise de décision,Caractéristiques démographiques,Value
2020,"Taux de demande, marge de crédit",,Région des Prairies,,,,6.9
2020,"Taux de demande, prêt à terme",,Région des Prairies,,,,7.1
2020,"Taux général d’approbation, marge de crédit",,Région des Prairies,,,,79.5
2020,"Taux général d’approbation, prêt à terme",,Région des Prairies,,,,80.5
2020,"Taux de demande, marge de crédit",,Région de la Colombie-Britannique et des Territoires,,,,7.4
2020,"Taux de demande, prêt à terme",,Région de la Colombie-Britannique et des Territoires,,,,2.4
2020,"Taux général d’approbation, marge de crédit",,Région de la Colombie-Britannique et des Territoires,,,,72.8
2020,"Taux général d’approbation, prêt à terme",,Région de la Colombie-Britannique et des Territoires,,,,80.8
2020,"Taux de demande, marge de crédit",,,Construction (SCIAN 23),,,7.4
2020,"Taux de demande, prêt à terme",,,Construction (SCIAN 23),,,3.2
2020,"Taux général d’approbation, marge de crédit",,,Construction (SCIAN 23),,,69.8
2020,"Taux général d’approbation, prêt à terme",,,Construction (SCIAN 23),,,94.1
2020,"Taux de demande, marge de crédit",,,Fabrication (SCIAN 31-33),,,9.3
2020,"Taux de demande, prêt à terme",,,Fabrication (SCIAN 31-33),,,8.4
2020,"Taux général d’approbation, marge de crédit",,,Fabrication (SCIAN 31-33),,,78.4
2020,"Taux général d’approbation, prêt à terme",,,Fabrication (SCIAN 31-33),,,87.1
2020,"Taux de demande, marge de crédit",,,Commerce de gros (SCIAN 41),,,7.6
2020,"Taux de demande, prêt à terme",,,Commerce de gros (SCIAN 41),,,3.6
2020,"Taux général d’approbation, marge de crédit",,,Commerce de gros (SCIAN 41),,,87.9
2020,"Taux général d’approbation, prêt à terme",,,Commerce de gros (SCIAN 41),,,96.1
2020,"Taux de demande, marge de crédit",,,Commerce de détail (SCIAN 44-45),,,5.5
2020,"Taux de demande, prêt à terme",,,Commerce de détail (SCIAN 44-45),,,4.5
2020,"Taux général d’approbation, marge de crédit",,,Commerce de détail (SCIAN 44-45),,,91.3
2020,"Taux général d’approbation, prêt à terme",,,Commerce de détail (SCIAN 44-45),,,84.6
2020,"Taux de demande, marge de crédit",,,Transport et entreposage (SCIAN 48-49),,,8.7
2020,"Taux de demande, prêt à terme",,,Transport et entreposage (SCIAN 48-49),,,4.7
2020,"Taux général d’approbation, marge de crédit",,,Transport et entreposage (SCIAN 48-49),,,73.2
2020,"Taux général d’approbation, prêt à terme",,,Transport et entreposage (SCIAN 48-49),,,88.2
2020,"Taux de demande, marge de crédit",,,"Services professionnels, scientifiques et techniques (SCIAN 54)",,,6.0
2020,"Taux de demande, prêt à terme",,,"Services professionnels, scientifiques et techniques (SCIAN 54)",,,3.5
2020,"Taux général d’approbation, marge de crédit",,,"Services professionnels, scientifiques et techniques (SCIAN 54)",,,81.0
2020,"Taux général d’approbation, prêt à terme",,,"Services professionnels, scientifiques et techniques (SCIAN 54)",,,81.9
2020,"Taux de demande, marge de crédit",,,Services d'hébergement et de restauration (SCIAN 72),,,5.4
2020,"Taux de demande, prêt à terme",,,Services d'hébergement et de restauration (SCIAN 72),,,5.4
2020,"Taux général d’approbation, marge de crédit",,,Services d'hébergement et de restauration (SCIAN 72),,,83.6
2020,"Taux général d’approbation, prêt à terme",,,Services d'hébergement et de restauration (SCIAN 72),,,90.3
2020,"Taux de demande, marge de crédit",,,Autres services (SCIAN 81),,,9.1
2020,"Taux de demande, prêt à terme",,,Autres services (SCIAN 81),,,3.3
2020,"Taux général d’approbation, marge de crédit",,,Autres services (SCIAN 81),,,89.8
2020,"Taux général d’approbation, prêt à terme",,,Autres services (SCIAN 81),,,97.5
2020,"Taux de demande, marge de crédit",,,Autres industries du Système de Classification des Industries de l'Amérique du Nord (SCIAN),,,6.6
2020,"Taux de demande, prêt à terme",,,Autres industries du Système de Classification des Industries de l'Amérique du Nord (SCIAN),,,4.0
2020,"Taux général d’approbation, marge de crédit",,,Autres industries du Système de Classification des Industries de l'Amérique du Nord (SCIAN),,,88.3
2020,"Taux général d’approbation, prêt à terme",,,Autres industries du Système de Classification des Industries de l'Amérique du Nord (SCIAN),,,93.3
2020,"Taux de demande, marge de crédit",,,Tourisme,,,5.7
2020,"Taux de demande, prêt à terme",,,Tourisme,,,6.1
2020,"Taux général d’approbation, marge de crédit",,,Tourisme,,,85.0
2020,"Taux général d’approbation, prêt à terme",,,Tourisme,,,86.9
2020,"Taux de demande, marge de crédit",,,Technologies de l’information et des communications (TIC),,,3.7
2020,"Taux de demande, prêt à terme",,,Technologies de l’information et des communications (TIC),,,2.5
2020,"Taux général d’approbation, marge de crédit",,,Technologies de l’information et des communications (TIC),,,83.7
2020,"Taux de demande, marge de crédit",,,Industries fondées sur le savoir (IFS),,,6.5
2020,"Taux de demande, prêt à terme",,,Industries fondées sur le savoir (IFS),,,1.7
2020,"Taux général d’approbation, marge de crédit",,,Industries fondées sur le savoir (IFS),,,96.4
2020,"Taux de demande, marge de crédit",,,Technologie de pointe,,,6.3
2020,"Taux de demande, prêt à terme",,,Technologie de pointe,,,2.3
2020,"Taux général d’approbation, marge de crédit",,,Technologie de pointe,,,92.0
2020,"Taux général d’approbation, prêt à terme",,,Technologie de pointe,,,100.0
2020,"Taux de demande, marge de crédit",,,Fabrication de pointe,,,9.1
2020,"Taux de demande, prêt à terme",,,Fabrication de pointe,,,4.2
2020,"Taux général d’approbation, marge de crédit",,,Fabrication de pointe,,,79.1
2020,"Taux général d’approbation, prêt à terme",,,Fabrication de pointe,,,100.0
2020,"Taux de demande, marge de crédit",,,,Moins de 30 ans,,13.9
2020,"Taux de demande, prêt à terme",,,,Moins de 30 ans,,5.1
2020,"Taux général d’approbation, prêt à terme",,,,Moins de 30 ans,,99.2
2020,"Taux de demande, marge de crédit",,,,30 à 39 ans,,10.6
2020,"Taux de demande, prêt à terme",,,,30 à 39 ans,,7.4
2020,"Taux général d’approbation, marge de crédit",,,,30 à 39 ans,,76.4
2020,"Taux général d’approbation, prêt à terme",,,,30 à 39 ans,,90.8
2020,"Taux de demande, marge de crédit",,,,40 à 49 ans,,7.5
2020,"Taux de demande, prêt à terme",,,,40 à 49 ans,,5.0
2020,"Taux général d’approbation, marge de crédit",,,,40 à 49 ans,,80.5
2020,"Taux général d’approbation, prêt à terme",,,,40 à 49 ans,,82.9
2020,"Taux de demande, marge de crédit",,,,50 à 64 ans,,6.4
2020,"Taux de demande, prêt à terme",,,,50 à 64 ans,,4.2
2020,"Taux général d’approbation, marge de crédit",,,,50 à 64 ans,,83.3
2020,"Taux général d’approbation, prêt à terme",,,,50 à 64 ans,,90.2
2020,"Taux de demande, marge de crédit",,,,65 ans et plus,,6.1
2020,"Taux de demande, prêt à terme",,,,65 ans et plus,,4.3
2020,"Taux général d’approbation, marge de crédit",,,,65 ans et plus,,97.6
2020,"Taux général d’approbation, prêt à terme",,,,65 ans et plus,,93.4
2020,"Taux de demande, marge de crédit",,,,,Autochtone,8.5
2020,"Taux de demande, prêt à terme",,,,,Autochtone,3.0
2020,"Taux de demande, marge de crédit",,,,,Minorité visible,7.2
2020,"Taux de demande, prêt à terme",,,,,Minorité visible,4.2
2020,"Taux général d’approbation, marge de crédit",,,,,Minorité visible,88.7
2020,"Taux général d’approbation, prêt à terme",,,,,Minorité visible,89.2
2020,"Taux de demande, marge de crédit",,,,,Personnes ayant une incapacité,9.3
2020,"Taux de demande, prêt à terme",,,,,Personnes ayant une incapacité,1.8
2020,"Taux général d’approbation, marge de crédit",,,,,Personnes ayant une incapacité,99.6
2020,"Taux général d’approbation, prêt à terme",,,,,Personnes ayant une incapacité,100.0
