Year,Series,Units,Géographie,GeoCode,Value
2016,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Saskatchewan,47,6.2
2016,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Alberta,48,8.14
2016,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Colombie-Britannique,59,7.34
2016,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Yukon,60,0.67
2016,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Territoires du Nord-Ouest,61,
2016,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nunavut,62,
2017,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),,,11.29
2017,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Terre-Neuve-et-Labrador,10,5.39
2017,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Île-du-Prince-Édouard,11,11.03
2017,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouvelle-Écosse,12,7.42
2017,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouveau-Brunswick,13,11.17
2017,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Québec,24,15.11
2017,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Ontario,35,13.05
2017,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Manitoba,46,10.25
2017,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Saskatchewan,47,5.92
2017,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Alberta,48,8.13
2017,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Colombie-Britannique,59,7.71
2017,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Yukon,60,0.66
2017,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Territoires du Nord-Ouest,61,0.33
2017,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nunavut,62,0.35
2018,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),,,11.54
2018,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Terre-Neuve-et-Labrador,10,5.16
2018,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Île-du-Prince-Édouard,11,11.69
2018,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouvelle-Écosse,12,6.44
2018,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouveau-Brunswick,13,11.99
2018,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Québec,24,15.01
2018,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Ontario,35,13.25
2018,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Manitoba,46,10.7
2018,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Saskatchewan,47,6.36
2018,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Alberta,48,9.13
2018,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Colombie-Britannique,59,7.81
2018,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Yukon,60,0.67
2018,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Territoires du Nord-Ouest,61,0.26
2018,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nunavut,62,0.42
2019,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),,,11.11
2019,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Terre-Neuve-et-Labrador,10,5.19
2019,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Île-du-Prince-Édouard,11,11.39
2019,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouvelle-Écosse,12,6.21
2019,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouveau-Brunswick,13,10.81
2019,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Québec,24,15.2
2019,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Ontario,35,12.63
2019,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Manitoba,46,10.84
2019,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Saskatchewan,47,6.54
2019,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Alberta,48,8.42
2019,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Colombie-Britannique,59,6.9
2019,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Yukon,60,0.65
2019,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Territoires du Nord-Ouest,61,0.3
2019,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nunavut,62,0.43
2020,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),,,10.63
2020,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Terre-Neuve-et-Labrador,10,4.75
2020,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Île-du-Prince-Édouard,11,12.62
2020,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouvelle-Écosse,12,6.25
2020,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouveau-Brunswick,13,11.34
2020,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Québec,24,13.79
2020,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Ontario,35,11.81
2020,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Manitoba,46,10.87
2020,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Saskatchewan,47,6.47
2020,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Alberta,48,8.59
2020,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Colombie-Britannique,59,7.18
2020,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Yukon,60,0.69
2020,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Territoires du Nord-Ouest,61,
2020,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nunavut,62,
2021,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),,,11.53
2021,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Terre-Neuve-et-Labrador,10,4.71
2021,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Île-du-Prince-Édouard,11,11.13
2021,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouvelle-Écosse,12,6.34
2021,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouveau-Brunswick,13,13.46
2021,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Québec,24,14.95
2021,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Ontario,35,12.86
2021,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Manitoba,46,11.15
2021,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Saskatchewan,47,8.21
2021,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Alberta,48,9.12
2021,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Colombie-Britannique,59,8.25
2021,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Yukon,60,0.87
2021,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Territoires du Nord-Ouest,61,
2021,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nunavut,62,
2022,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),,,11.25
2022,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Terre-Neuve-et-Labrador,10,5.23
2022,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Île-du-Prince-Édouard,11,11.77
2022,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouvelle-Écosse,12,6.32
2022,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouveau-Brunswick,13,11.98
2022,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Québec,24,15.91
2022,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Ontario,35,12.72
2022,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Manitoba,46,11.56
2022,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Saskatchewan,47,7.07
2022,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Alberta,48,8.26
2022,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Colombie-Britannique,59,7.1
2022,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Yukon,60,0.9
2022,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Territoires du Nord-Ouest,61,
2022,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nunavut,62,
2023,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),,,10.5
2023,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Terre-Neuve-et-Labrador,10,4.42
2023,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Île-du-Prince-Édouard,11,11.55
2023,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouvelle-Écosse,12,6.87
2023,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouveau-Brunswick,13,11.76
2023,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Québec,24,14.06
2023,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Ontario,35,12.33
2023,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Manitoba,46,11.62
2023,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Saskatchewan,47,6.32
2023,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Alberta,48,7.41
2023,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Colombie-Britannique,59,6.07
2023,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Yukon,60,0.74
2023,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Territoires du Nord-Ouest,61,
2023,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nunavut,62,
2015,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,,,6405.71
2015,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Terre-Neuve-et-Labrador,10,5180.26
2015,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Île-du-Prince-Édouard,11,4911.67
2015,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouvelle-Écosse,12,3199.0
2015,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouveau-Brunswick,13,3701.27
2015,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Québec,24,7116.4
2015,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Ontario,35,7467.42
2015,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Manitoba,46,5871.64
2015,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Saskatchewan,47,3960.49
2015,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Alberta,48,6754.82
2015,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Colombie-Britannique,59,3943.16
2015,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Yukon,60,468.13
2015,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Territoires du Nord-Ouest,61,
2015,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nunavut,62,
2016,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,,,6284.03
2016,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Terre-Neuve-et-Labrador,10,3151.36
2016,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Île-du-Prince-Édouard,11,4778.75
2016,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouvelle-Écosse,12,3683.19
2016,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouveau-Brunswick,13,4551.3
2016,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Québec,24,7213.02
2016,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Ontario,35,7385.9
2016,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Manitoba,46,5266.12
2016,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Saskatchewan,47,4132.87
2016,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Alberta,48,5900.72
2016,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Colombie-Britannique,59,3985.97
2016,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Yukon,60,485.23
2016,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Territoires du Nord-Ouest,61,
2016,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nunavut,62,
2017,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,,,6611.11
2017,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Terre-Neuve-et-Labrador,10,3429.02
2017,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Île-du-Prince-Édouard,11,4999.57
2017,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouvelle-Écosse,12,3376.13
2017,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouveau-Brunswick,13,5221.14
2017,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Québec,24,7627.07
2017,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Ontario,35,7647.68
2017,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Manitoba,46,5472.89
2017,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Saskatchewan,47,4139.51
2017,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Alberta,48,6378.55
2017,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Colombie-Britannique,59,4413.28
2017,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Yukon,60,479.78
2017,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Territoires du Nord-Ouest,61,337.18
2017,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nunavut,62,284.82
2018,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,,,6958.42
2018,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Terre-Neuve-et-Labrador,10,3380.73
2018,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Île-du-Prince-Édouard,11,5362.13
2018,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouvelle-Écosse,12,3001.95
2018,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouveau-Brunswick,13,5781.68
2018,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Québec,24,7869.84
2018,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Ontario,35,7954.37
2018,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Manitoba,46,5801.19
2018,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Saskatchewan,47,4605.65
2018,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Alberta,48,7363.23
2018,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Colombie-Britannique,59,4627.0
2018,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Yukon,60,494.07
2018,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Territoires du Nord-Ouest,61,275.57
2018,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nunavut,62,343.09
2019,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,,,6833.93
2019,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Terre-Neuve-et-Labrador,10,3524.36
2019,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Île-du-Prince-Édouard,11,5441.1
2019,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouvelle-Écosse,12,2978.5
2019,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouveau-Brunswick,13,5292.76
2019,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Québec,24,8240.52
2019,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Ontario,35,7740.4
2019,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Manitoba,46,5904.96
2019,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Saskatchewan,47,4750.18
2019,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Alberta,48,6809.77
2019,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Colombie-Britannique,59,4170.24
2019,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Yukon,60,485.03
2019,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Territoires du Nord-Ouest,61,317.2
2019,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nunavut,62,393.16
2020,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,,,6206.95
2020,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Terre-Neuve-et-Labrador,10,2901.7
2020,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Île-du-Prince-Édouard,11,5912.75
2020,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouvelle-Écosse,12,2918.85
2020,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouveau-Brunswick,13,5409.24
2020,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Québec,24,7278.76
2020,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Ontario,35,6993.57
2020,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Manitoba,46,5744.92
2020,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Saskatchewan,47,4309.31
2020,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Alberta,48,5871.43
2020,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Colombie-Britannique,59,4265.87
2020,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Yukon,60,534.92
2020,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Territoires du Nord-Ouest,61,
2020,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nunavut,62,
2021,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,,,7648.24
2021,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Terre-Neuve-et-Labrador,10,3456.16
2021,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Île-du-Prince-Édouard,11,5880.65
2021,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouvelle-Écosse,12,3256.85
2021,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouveau-Brunswick,13,7029.75
2021,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Québec,24,8849.95
2021,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Ontario,35,8404.0
2021,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Manitoba,46,6350.31
2021,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Saskatchewan,47,6212.43
2021,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Alberta,48,7823.63
2021,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Colombie-Britannique,59,5633.24
2021,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Yukon,60,737.86
2021,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Territoires du Nord-Ouest,61,
2021,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nunavut,62,
2022,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,,,8268.97
2022,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Terre-Neuve-et-Labrador,10,4140.95
2022,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Île-du-Prince-Édouard,11,6688.0
2022,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouvelle-Écosse,12,3472.33
2022,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouveau-Brunswick,13,6650.05
2022,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Québec,24,10207.59
2022,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Ontario,35,8941.48
2022,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Manitoba,46,7218.12
2022,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Saskatchewan,47,7031.49
2022,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Alberta,48,8607.77
2022,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Colombie-Britannique,59,5297.99
2022,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Yukon,60,791.11
2022,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Territoires du Nord-Ouest,61,
2022,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nunavut,62,
2023,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,,,7775.39
2023,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Terre-Neuve-et-Labrador,10,3308.3
2023,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Île-du-Prince-Édouard,11,6735.28
2023,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouvelle-Écosse,12,3944.76
2023,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Nouveau-Brunswick,13,6573.65
2023,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Québec,24,9282.91
2023,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Ontario,35,8977.3
2023,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Manitoba,46,7436.98
2023,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Saskatchewan,47,5891.4
2023,Valeur ajoutée dans l’industrie manufacturière par habitant,Dollars courants,Alberta,48,7130.38
