Year,Quintile de revenu du ménage,Décile de revenu du ménage,Géographie,Series,GeoCode,Value
2015-2020,Tous les quintiles,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,
2015-2020,Quintile inférieur,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,
2015-2020,Deuxième quintile,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,
2015-2020,Tous les quintiles,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,
2015-2020,Quintile inférieur,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,
2015-2020,Deuxième quintile,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,
2015-2020,Tous les quintiles,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,
2015-2020,Quintile inférieur,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,
2015-2020,Deuxième quintile,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,
2015-2020,Tous les quintiles,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,
2015-2020,Quintile inférieur,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,
2015-2020,Deuxième quintile,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,
2015-2020,Tous les quintiles,,Québec,Dépenses des ménages par habitant,24,
2015-2020,Quintile inférieur,,Québec,Dépenses des ménages par habitant,24,
2015-2020,Deuxième quintile,,Québec,Dépenses des ménages par habitant,24,
2015-2020,Tous les quintiles,,Ontario,Dépenses des ménages par habitant,35,
2015-2020,Quintile inférieur,,Ontario,Dépenses des ménages par habitant,35,
2015-2020,Deuxième quintile,,Ontario,Dépenses des ménages par habitant,35,
2015-2020,Tous les quintiles,,Manitoba,Dépenses des ménages par habitant,46,
2015-2020,Quintile inférieur,,Manitoba,Dépenses des ménages par habitant,46,
2015-2020,Deuxième quintile,,Manitoba,Dépenses des ménages par habitant,46,
2015-2020,Tous les quintiles,,Saskatchewan,Dépenses des ménages par habitant,47,
2015-2020,Quintile inférieur,,Saskatchewan,Dépenses des ménages par habitant,47,
2015-2020,Deuxième quintile,,Saskatchewan,Dépenses des ménages par habitant,47,
2015-2020,Tous les quintiles,,Alberta,Dépenses des ménages par habitant,48,
2015-2020,Quintile inférieur,,Alberta,Dépenses des ménages par habitant,48,
2015-2020,Deuxième quintile,,Alberta,Dépenses des ménages par habitant,48,
2015-2020,Tous les quintiles,,Colombie-Britannique,Dépenses des ménages par habitant,59,
2015-2020,Quintile inférieur,,Colombie-Britannique,Dépenses des ménages par habitant,59,
2015-2020,Deuxième quintile,,Colombie-Britannique,Dépenses des ménages par habitant,59,
2016-2021,Tous les quintiles,,Canada,Dépenses des ménages par habitant,,0.385
2016-2021,Quintile inférieur,,Canada,Dépenses des ménages par habitant,,2.084
2016-2021,Deuxième quintile,,Canada,Dépenses des ménages par habitant,,0.565
2016-2021,Tous les quintiles,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,0.783
2016-2021,Quintile inférieur,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,4.11
2016-2021,Deuxième quintile,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,2.075
2016-2021,Tous les quintiles,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,0.949
2016-2021,Quintile inférieur,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,10.767
2016-2021,Deuxième quintile,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,-2.217
2016-2021,Tous les quintiles,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,0.854
2016-2021,Quintile inférieur,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,0.923
2016-2021,Deuxième quintile,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,1.348
2016-2021,Tous les quintiles,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,2.068
2016-2021,Quintile inférieur,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,4.033
2016-2021,Deuxième quintile,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,3.253
2016-2021,Tous les quintiles,,Québec,Dépenses des ménages par habitant,24,1.155
2016-2021,Quintile inférieur,,Québec,Dépenses des ménages par habitant,24,3.174
2016-2021,Deuxième quintile,,Québec,Dépenses des ménages par habitant,24,0.894
2016-2021,Tous les quintiles,,Ontario,Dépenses des ménages par habitant,35,-0.347
2016-2021,Quintile inférieur,,Ontario,Dépenses des ménages par habitant,35,1.023
2016-2021,Deuxième quintile,,Ontario,Dépenses des ménages par habitant,35,-2.139
2016-2021,Tous les quintiles,,Manitoba,Dépenses des ménages par habitant,46,1.277
2016-2021,Quintile inférieur,,Manitoba,Dépenses des ménages par habitant,46,1.766
2016-2021,Deuxième quintile,,Manitoba,Dépenses des ménages par habitant,46,2.324
2016-2021,Tous les quintiles,,Saskatchewan,Dépenses des ménages par habitant,47,0.362
2016-2021,Quintile inférieur,,Saskatchewan,Dépenses des ménages par habitant,47,0.254
2016-2021,Deuxième quintile,,Saskatchewan,Dépenses des ménages par habitant,47,0.862
2016-2021,Tous les quintiles,,Alberta,Dépenses des ménages par habitant,48,-0.834
2016-2021,Quintile inférieur,,Alberta,Dépenses des ménages par habitant,48,1.539
2016-2021,Deuxième quintile,,Alberta,Dépenses des ménages par habitant,48,0.008
2016-2021,Tous les quintiles,,Colombie-Britannique,Dépenses des ménages par habitant,59,1.559
2016-2021,Quintile inférieur,,Colombie-Britannique,Dépenses des ménages par habitant,59,4.729
2016-2021,Deuxième quintile,,Colombie-Britannique,Dépenses des ménages par habitant,59,2.891
2010-2015,,Total des déciles,Canada,Revenu par habitant,,0.227
2010-2015,,Décile inférieur,Canada,Revenu par habitant,,-0.069
2010-2015,,Deuxième décile,Canada,Revenu par habitant,,0.074
2010-2015,,Troisième décile,Canada,Revenu par habitant,,0.373
2010-2015,,Quatrième décile,Canada,Revenu par habitant,,0.436
2010-2015,,Total des déciles,Terre-Neuve-et-Labrador,Revenu par habitant,10,2.449
2010-2015,,Décile inférieur,Terre-Neuve-et-Labrador,Revenu par habitant,10,1.532
2010-2015,,Deuxième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,1.254
2010-2015,,Troisième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,1.985
2010-2015,,Quatrième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,2.566
2010-2015,,Total des déciles,Île-du-Prince-Édouard,Revenu par habitant,11,0.674
2010-2015,,Décile inférieur,Île-du-Prince-Édouard,Revenu par habitant,11,-6.229
2010-2015,,Deuxième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.803
2010-2015,,Troisième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.355
2010-2015,,Quatrième décile,Île-du-Prince-Édouard,Revenu par habitant,11,1.014
2010-2015,,Total des déciles,Nouvelle-Écosse,Revenu par habitant,12,1.716
2010-2015,,Décile inférieur,Nouvelle-Écosse,Revenu par habitant,12,0.503
2010-2015,,Deuxième décile,Nouvelle-Écosse,Revenu par habitant,12,0.582
2010-2015,,Troisième décile,Nouvelle-Écosse,Revenu par habitant,12,1.469
2010-2015,,Quatrième décile,Nouvelle-Écosse,Revenu par habitant,12,2.285
2010-2015,,Total des déciles,Nouveau-Brunswick,Revenu par habitant,13,0.48
2010-2015,,Décile inférieur,Nouveau-Brunswick,Revenu par habitant,13,-1.343
2010-2015,,Deuxième décile,Nouveau-Brunswick,Revenu par habitant,13,0.396
2010-2015,,Troisième décile,Nouveau-Brunswick,Revenu par habitant,13,1.246
2010-2015,,Quatrième décile,Nouveau-Brunswick,Revenu par habitant,13,1.598
2010-2015,,Total des déciles,Québec,Revenu par habitant,24,0.257
2010-2015,,Décile inférieur,Québec,Revenu par habitant,24,0.548
2010-2015,,Deuxième décile,Québec,Revenu par habitant,24,0.011
2010-2015,,Troisième décile,Québec,Revenu par habitant,24,0.402
2010-2015,,Quatrième décile,Québec,Revenu par habitant,24,0.294
2010-2015,,Total des déciles,Ontario,Revenu par habitant,35,0.174
2010-2015,,Décile inférieur,Ontario,Revenu par habitant,35,-0.467
2010-2015,,Deuxième décile,Ontario,Revenu par habitant,35,0.188
2010-2015,,Troisième décile,Ontario,Revenu par habitant,35,0.297
2010-2015,,Quatrième décile,Ontario,Revenu par habitant,35,0.606
2010-2015,,Total des déciles,Manitoba,Revenu par habitant,46,-0.15
2010-2015,,Décile inférieur,Manitoba,Revenu par habitant,46,-1.543
2010-2015,,Deuxième décile,Manitoba,Revenu par habitant,46,-0.06
2010-2015,,Troisième décile,Manitoba,Revenu par habitant,46,0.208
2010-2015,,Quatrième décile,Manitoba,Revenu par habitant,46,-0.594
2010-2015,,Total des déciles,Saskatchewan,Revenu par habitant,47,0.499
2010-2015,,Décile inférieur,Saskatchewan,Revenu par habitant,47,5.135
2010-2015,,Deuxième décile,Saskatchewan,Revenu par habitant,47,0.708
2010-2015,,Troisième décile,Saskatchewan,Revenu par habitant,47,1.264
2010-2015,,Quatrième décile,Saskatchewan,Revenu par habitant,47,0.68
2010-2015,,Total des déciles,Alberta,Revenu par habitant,48,-0.126
2010-2015,,Décile inférieur,Alberta,Revenu par habitant,48,1.683
2010-2015,,Deuxième décile,Alberta,Revenu par habitant,48,0.161
2010-2015,,Troisième décile,Alberta,Revenu par habitant,48,-0.629
2010-2015,,Quatrième décile,Alberta,Revenu par habitant,48,-0.32
2010-2015,,Total des déciles,Colombie-Britannique,Revenu par habitant,59,-0.27
2010-2015,,Décile inférieur,Colombie-Britannique,Revenu par habitant,59,-0.819
2010-2015,,Deuxième décile,Colombie-Britannique,Revenu par habitant,59,-0.82
2010-2015,,Troisième décile,Colombie-Britannique,Revenu par habitant,59,0.129
2010-2015,,Quatrième décile,Colombie-Britannique,Revenu par habitant,59,0.344
2011-2016,,Total des déciles,Canada,Revenu par habitant,,-0.114
2011-2016,,Décile inférieur,Canada,Revenu par habitant,,-0.241
2011-2016,,Deuxième décile,Canada,Revenu par habitant,,0.385
2011-2016,,Troisième décile,Canada,Revenu par habitant,,0.378
2011-2016,,Quatrième décile,Canada,Revenu par habitant,,0.101
2011-2016,,Total des déciles,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.912
2011-2016,,Décile inférieur,Terre-Neuve-et-Labrador,Revenu par habitant,10,-0.773
2011-2016,,Deuxième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.358
2011-2016,,Troisième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,1.264
2011-2016,,Quatrième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,2.067
2011-2016,,Total des déciles,Île-du-Prince-Édouard,Revenu par habitant,11,-0.288
2011-2016,,Décile inférieur,Île-du-Prince-Édouard,Revenu par habitant,11,-2.485
2011-2016,,Deuxième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.714
2011-2016,,Troisième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.969
2011-2016,,Quatrième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.564
2011-2016,,Total des déciles,Nouvelle-Écosse,Revenu par habitant,12,1.187
2011-2016,,Décile inférieur,Nouvelle-Écosse,Revenu par habitant,12,-2.351
2011-2016,,Deuxième décile,Nouvelle-Écosse,Revenu par habitant,12,-0.054
2011-2016,,Troisième décile,Nouvelle-Écosse,Revenu par habitant,12,0.97
2011-2016,,Quatrième décile,Nouvelle-Écosse,Revenu par habitant,12,1.237
2011-2016,,Total des déciles,Nouveau-Brunswick,Revenu par habitant,13,0.385
2011-2016,,Décile inférieur,Nouveau-Brunswick,Revenu par habitant,13,2.014
2011-2016,,Deuxième décile,Nouveau-Brunswick,Revenu par habitant,13,0.102
2011-2016,,Troisième décile,Nouveau-Brunswick,Revenu par habitant,13,0.488
2011-2016,,Quatrième décile,Nouveau-Brunswick,Revenu par habitant,13,0.654
2011-2016,,Total des déciles,Québec,Revenu par habitant,24,0.46
2011-2016,,Décile inférieur,Québec,Revenu par habitant,24,-0.04
2011-2016,,Deuxième décile,Québec,Revenu par habitant,24,0.972
2011-2016,,Troisième décile,Québec,Revenu par habitant,24,0.944
2011-2016,,Quatrième décile,Québec,Revenu par habitant,24,0.662
2011-2016,,Total des déciles,Ontario,Revenu par habitant,35,0.291
2011-2016,,Décile inférieur,Ontario,Revenu par habitant,35,0.386
2011-2016,,Deuxième décile,Ontario,Revenu par habitant,35,-0.026
2011-2016,,Troisième décile,Ontario,Revenu par habitant,35,0.115
2011-2016,,Quatrième décile,Ontario,Revenu par habitant,35,0.036
2011-2016,,Total des déciles,Manitoba,Revenu par habitant,46,-0.185
2011-2016,,Décile inférieur,Manitoba,Revenu par habitant,46,0.301
2011-2016,,Deuxième décile,Manitoba,Revenu par habitant,46,0.466
2011-2016,,Troisième décile,Manitoba,Revenu par habitant,46,0.182
2011-2016,,Quatrième décile,Manitoba,Revenu par habitant,46,-0.258
2011-2016,,Total des déciles,Saskatchewan,Revenu par habitant,47,-0.87
2011-2016,,Décile inférieur,Saskatchewan,Revenu par habitant,47,-0.03
