Year,Series,Units,Services de base,Sources des déchets à des fins d'élimination,Niveau de compétence,Sexe,Géographie,GeoCode,Value
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Île-du-Prince-Édouard,11,
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouvelle-Écosse,12,359105.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,169337.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,189768.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouveau-Brunswick,13,511706.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,263580.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,248125.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Québec,24,6808440.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Québec,,2980427.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Québec,,3828013.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Ontario,35,9710459.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Ontario,,3411642.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Ontario,,6298818.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Manitoba,46,904272.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Manitoba,,425304.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Manitoba,,478968.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Saskatchewan,47,833753.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Saskatchewan,,296062.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Saskatchewan,,537691.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Alberta,48,3819872.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Alberta,,973683.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Alberta,,2846189.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Colombie-Britannique,59,2917080.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Colombie-Britannique,,956968.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Colombie-Britannique,,1960113.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,,,9360400.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,,,16566076.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Terre-Neuve-et-Labrador,10,399184.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,210964.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,188220.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Île-du-Prince-Édouard,11,
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouvelle-Écosse,12,354231.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,148060.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,206171.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouveau-Brunswick,13,479461.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,233703.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,245758.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Québec,24,6146319.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Québec,,2848822.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Québec,,3297497.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Ontario,35,9631559.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Ontario,,3231399.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Ontario,,6400160.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Manitoba,46,945441.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Manitoba,,400297.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Manitoba,,545144.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Saskatchewan,47,902943.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Saskatchewan,,289760.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Saskatchewan,,613182.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Alberta,48,4147558.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Alberta,,993976.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Alberta,,3153581.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Colombie-Britannique,59,2811568.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Colombie-Britannique,,960472.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Colombie-Britannique,,1851097.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2008,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,,,9448165.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,,,15504250.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Terre-Neuve-et-Labrador,10,394235.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Île-du-Prince-Édouard,11,
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouvelle-Écosse,12,367246.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,145589.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,221657.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouveau-Brunswick,13,475265.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,219486.0
