Year,Gouvernement,Élus,Géographie,Progress,GeoCode,Value
2017,National,Cabinet fédéral,Nouveau-Brunswick,100.0,13,0.0
2022,National,Cabinet fédéral,Nouveau-Brunswick,50.0,13,50.0
2023,National,Cabinet fédéral,Nouveau-Brunswick,50.0,13,50.0
2015,National,Parlement national,Québec,62.7,24,37.3
2016,National,Parlement national,Québec,75.6,24,24.4
2017,National,Parlement national,Québec,74.4,24,25.6
2018,National,Parlement national,Québec,74.4,24,25.6
2019,National,Parlement national,Québec,72.7,24,27.3
2020,National,Parlement national,Québec,66.7,24,33.3
2021,National,Parlement national,Québec,66.7,24,33.3
2022,National,Parlement national,Québec,64.1,24,35.9
2023,National,Parlement national,Québec,62.8,24,37.2
2015,National,Cabinet fédéral,Québec,100.0,24,0.0
2016,National,Cabinet fédéral,Québec,57.1,24,42.9
2017,National,Cabinet fédéral,Québec,57.1,24,42.9
2022,National,Cabinet fédéral,Québec,63.6,24,36.4
2023,National,Cabinet fédéral,Québec,63.6,24,36.4
2015,National,Parlement national,Ontario,80.4,35,19.6
2016,National,Parlement national,Ontario,68.6,35,31.4
2017,National,Parlement national,Ontario,66.9,35,33.1
2018,National,Parlement national,Ontario,65.8,35,34.2
2019,National,Parlement national,Ontario,66.1,35,33.9
2020,National,Parlement national,Ontario,68.6,35,31.4
2021,National,Parlement national,Ontario,67.5,35,32.5
2022,National,Parlement national,Ontario,63.3,35,36.7
2023,National,Parlement national,Ontario,63.6,35,36.4
2015,National,Cabinet fédéral,Ontario,80.0,35,20.0
2016,National,Cabinet fédéral,Ontario,72.7,35,72.7
2017,National,Cabinet fédéral,Ontario,75.0,35,75.0
2022,National,Cabinet fédéral,Ontario,68.8,35,68.8
2023,National,Cabinet fédéral,Ontario,68.8,35,68.8
2015,National,Parlement national,Manitoba,64.3,46,35.7
2016,National,Parlement national,Manitoba,78.6,46,21.4
2017,National,Parlement national,Manitoba,78.6,46,21.4
2018,National,Parlement national,Manitoba,78.6,46,21.4
2019,National,Parlement national,Manitoba,78.6,46,21.4
2020,National,Parlement national,Manitoba,71.4,46,28.6
2021,National,Parlement national,Manitoba,71.4,46,28.6
2022,National,Parlement national,Manitoba,71.4,46,28.6
2023,National,Parlement national,Manitoba,78.6,46,21.4
2015,National,Cabinet fédéral,Manitoba,100.0,46,100.0
2016,National,Cabinet fédéral,Manitoba,50.0,46,50.0
2017,National,Cabinet fédéral,Manitoba,100.0,46,0.0
2022,National,Cabinet fédéral,Manitoba,100.0,46,0.0
2023,National,Cabinet fédéral,Manitoba,100.0,46,0.0
2015,National,Parlement national,Saskatchewan,85.7,47,14.3
2016,National,Parlement national,Saskatchewan,71.4,47,28.6
2017,National,Parlement national,Saskatchewan,71.4,47,28.6
2018,National,Parlement national,Saskatchewan,64.3,47,35.7
2019,National,Parlement national,Saskatchewan,64.3,47,35.7
2020,National,Parlement national,Saskatchewan,78.6,47,21.4
2021,National,Parlement national,Saskatchewan,78.6,47,21.4
2022,National,Parlement national,Saskatchewan,78.6,47,21.4
2023,National,Parlement national,Saskatchewan,78.6,47,21.4
2015,National,Cabinet fédéral,Saskatchewan,50.0,47,50.0
2016,National,Cabinet fédéral,Saskatchewan,100.0,47,0.0
2017,National,Cabinet fédéral,Saskatchewan,100.0,47,0.0
2022,National,Cabinet fédéral,Saskatchewan,100.0,47,0.0
2023,National,Cabinet fédéral,Saskatchewan,100.0,47,0.0
2015,National,Parlement national,Alberta,82.1,48,17.9
2016,National,Parlement national,Alberta,84.8,48,15.2
2017,National,Parlement national,Alberta,82.4,48,17.6
2018,National,Parlement national,Alberta,85.3,48,14.7
2019,National,Parlement national,Alberta,85.3,48,14.7
2020,National,Parlement national,Alberta,82.4,48,17.6
2021,National,Parlement national,Alberta,82.4,48,17.6
2022,National,Parlement national,Alberta,82.4,48,17.6
2023,National,Parlement national,Alberta,81.8,48,18.2
2015,National,Cabinet fédéral,Alberta,66.7,48,33.3
2016,National,Cabinet fédéral,Alberta,100.0,48,0.0
2017,National,Cabinet fédéral,Alberta,100.0,48,0.0
2022,National,Cabinet fédéral,Alberta,100.0,48,0.0
2023,National,Cabinet fédéral,Alberta,100.0,48,0.0
2015,National,Parlement national,Colombie-Britannique,69.4,59,30.6
2016,National,Parlement national,Colombie-Britannique,71.4,59,28.6
2017,National,Parlement national,Colombie-Britannique,71.4,59,28.6
2018,National,Parlement national,Colombie-Britannique,73.8,59,26.2
2019,National,Parlement national,Colombie-Britannique,75.6,59,24.4
2020,National,Parlement national,Colombie-Britannique,66.7,59,33.3
2021,National,Parlement national,Colombie-Britannique,66.7,59,33.3
2022,National,Parlement national,Colombie-Britannique,73.8,59,26.2
2023,National,Parlement national,Colombie-Britannique,73.8,59,26.2
2015,National,Cabinet fédéral,Colombie-Britannique,60.0,59,40.0
2016,National,Cabinet fédéral,Colombie-Britannique,66.7,59,66.7
2017,National,Cabinet fédéral,Colombie-Britannique,66.7,59,66.7
2022,National,Cabinet fédéral,Colombie-Britannique,50.0,59,50.0
2023,National,Cabinet fédéral,Colombie-Britannique,50.0,59,50.0
2015,National,Parlement national,Yukon,100.0,60,0.0
2016,National,Parlement national,Yukon,100.0,60,0.0
2017,National,Parlement national,Yukon,100.0,60,0.0
2018,National,Parlement national,Yukon,100.0,60,0.0
2019,National,Parlement national,Yukon,100.0,60,0.0
2020,National,Parlement national,Yukon,100.0,60,0.0
2021,National,Parlement national,Yukon,100.0,60,0.0
2022,National,Parlement national,Yukon,100.0,60,0.0
2023,National,Parlement national,Yukon,100.0,60,0.0
2015,National,Cabinet fédéral,Yukon,100.0,60,0.0
2016,National,Cabinet fédéral,Yukon,100.0,60,0.0
2017,National,Cabinet fédéral,Yukon,100.0,60,0.0
2022,National,Cabinet fédéral,Yukon,100.0,60,0.0
2023,National,Cabinet fédéral,Yukon,100.0,60,0.0
2015,National,Parlement national,Territoires du Nord-Ouest,100.0,61,0.0
2016,National,Parlement national,Territoires du Nord-Ouest,100.0,61,0.0
2017,National,Parlement national,Territoires du Nord-Ouest,100.0,61,0.0
2018,National,Parlement national,Territoires du Nord-Ouest,100.0,61,0.0
2019,National,Parlement national,Territoires du Nord-Ouest,100.0,61,0.0
2020,National,Parlement national,Territoires du Nord-Ouest,100.0,61,0.0
2021,National,Parlement national,Territoires du Nord-Ouest,100.0,61,0.0
2022,National,Parlement national,Territoires du Nord-Ouest,100.0,61,0.0
2023,National,Parlement national,Territoires du Nord-Ouest,100.0,61,0.0
2015,National,Cabinet fédéral,Territoires du Nord-Ouest,100.0,61,0.0
2016,National,Cabinet fédéral,Territoires du Nord-Ouest,100.0,61,0.0
2017,National,Cabinet fédéral,Territoires du Nord-Ouest,100.0,61,0.0
2022,National,Cabinet fédéral,Territoires du Nord-Ouest,100.0,61,0.0
2023,National,Cabinet fédéral,Territoires du Nord-Ouest,100.0,61,0.0
2015,National,Parlement national,Nunavut,100.0,62,100.0
2016,National,Parlement national,Nunavut,100.0,62,0.0
2017,National,Parlement national,Nunavut,100.0,62,0.0
2018,National,Parlement national,Nunavut,100.0,62,0.0
2019,National,Parlement national,Nunavut,100.0,62,0.0
2020,National,Parlement national,Nunavut,100.0,62,100.0
2021,National,Parlement national,Nunavut,100.0,62,100.0
2022,National,Parlement national,Nunavut,100.0,62,100.0
2023,National,Parlement national,Nunavut,100.0,62,100.0
2015,National,Cabinet fédéral,Nunavut,100.0,62,100.0
2016,National,Cabinet fédéral,Nunavut,100.0,62,0.0
2017,National,Cabinet fédéral,Nunavut,100.0,62,0.0
2022,National,Cabinet fédéral,Nunavut,100.0,62,0.0
2023,National,Cabinet fédéral,Nunavut,100.0,62,0.0
2015,Local,Chefs dans les communautés des Premières Nations,Canada,80.5,,19.5
2015,Local,Membres de conseil des Premières Nations,Canada,69.5,,30.5
2016,Local,Chefs dans les communautés des Premières Nations,Canada,80.3,,19.7
2016,Local,Membres de conseil des Premières Nations,Canada,69.3,,30.7
2017,Local,Chefs dans les communautés des Premières Nations,Canada,81.2,,18.8
2017,Local,Membres de conseil des Premières Nations,Canada,71.4,,28.6
2018,Local,Chefs dans les communautés des Premières Nations,Canada,79.6,,20.4
2018,Local,Membres de conseil des Premières Nations,Canada,71.8,,28.2
2019,Local,Chefs dans les communautés des Premières Nations,Canada,81.5,,18.5
2019,Local,Membres de conseil des Premières Nations,Canada,72.6,,27.4
