Year,Groupe d'activité,Genre,Groupe d'âge,Géographie,GeoCode,Value
2015,Soins des adultes,Hommes+,65 ans et plus,Canada,,
2015,Soins des adultes,Femmes+,65 ans et plus,Canada,,
2015,Magasinage de biens ou de services,"Total, toutes les personnes","Total, 15 ans et plus",Canada,,2.1
2015,Magasinage de biens ou de services,Hommes+,"Total, 15 ans et plus",Canada,,1.7
2015,Magasinage de biens ou de services,Femmes+,"Total, 15 ans et plus",Canada,,2.5
2015,Magasinage de biens ou de services,"Total, toutes les personnes",15 à 24 ans,Canada,,1.3
2015,Magasinage de biens ou de services,Hommes+,15 à 24 ans,Canada,,0.8
2015,Magasinage de biens ou de services,Femmes+,15 à 24 ans,Canada,,1.7
2015,Magasinage de biens ou de services,"Total, toutes les personnes",25 à 54 ans,Canada,,1.7
2015,Magasinage de biens ou de services,Hommes+,25 à 54 ans,Canada,,1.3
2015,Magasinage de biens ou de services,Femmes+,25 à 54 ans,Canada,,2.1
2015,Magasinage de biens ou de services,"Total, toutes les personnes",25 à 34 ans,Canada,,1.7
2015,Magasinage de biens ou de services,Hommes+,25 à 34 ans,Canada,,1.3
2015,Magasinage de biens ou de services,Femmes+,25 à 34 ans,Canada,,2.1
2015,Magasinage de biens ou de services,"Total, toutes les personnes",35 à 44 ans,Canada,,1.7
2015,Magasinage de biens ou de services,Hommes+,35 à 44 ans,Canada,,1.7
2015,Magasinage de biens ou de services,Femmes+,35 à 44 ans,Canada,,2.1
2015,Magasinage de biens ou de services,"Total, toutes les personnes",45 à 54 ans,Canada,,2.1
2015,Magasinage de biens ou de services,Hommes+,45 à 54 ans,Canada,,1.7
2015,Magasinage de biens ou de services,Femmes+,45 à 54 ans,Canada,,2.5
2015,Magasinage de biens ou de services,"Total, toutes les personnes",55 à 64 ans,Canada,,2.5
2015,Magasinage de biens ou de services,Hommes+,55 à 64 ans,Canada,,2.1
2015,Magasinage de biens ou de services,Femmes+,55 à 64 ans,Canada,,2.9
2015,Magasinage de biens ou de services,"Total, toutes les personnes",65 ans et plus,Canada,,2.5
2015,Magasinage de biens ou de services,Hommes+,65 ans et plus,Canada,,2.5
2015,Magasinage de biens ou de services,Femmes+,65 ans et plus,Canada,,2.9
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes","Total, 15 ans et plus",Atlantique,1,13.3
2015,"Total, activités de travail non-rémunéré",Hommes+,"Total, 15 ans et plus",Atlantique,1,11.3
2015,"Total, activités de travail non-rémunéré",Femmes+,"Total, 15 ans et plus",Atlantique,1,15.4
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",15 à 24 ans,Atlantique,1,5.8
2015,"Total, activités de travail non-rémunéré",Hommes+,15 à 24 ans,Atlantique,1,5.4
2015,"Total, activités de travail non-rémunéré",Femmes+,15 à 24 ans,Atlantique,1,6.3
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",25 à 54 ans,Atlantique,1,13.8
2015,"Total, activités de travail non-rémunéré",Hommes+,25 à 54 ans,Atlantique,1,11.3
2015,"Total, activités de travail non-rémunéré",Femmes+,25 à 54 ans,Atlantique,1,16.3
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",25 à 34 ans,Atlantique,1,12.5
2015,"Total, activités de travail non-rémunéré",Hommes+,25 à 34 ans,Atlantique,1,8.8
2015,"Total, activités de travail non-rémunéré",Femmes+,25 à 34 ans,Atlantique,1,15.8
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",35 à 44 ans,Atlantique,1,14.6
2015,"Total, activités de travail non-rémunéré",Hommes+,35 à 44 ans,Atlantique,1,12.5
2015,"Total, activités de travail non-rémunéré",Femmes+,35 à 44 ans,Atlantique,1,17.1
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",45 à 54 ans,Atlantique,1,14.2
2015,"Total, activités de travail non-rémunéré",Hommes+,45 à 54 ans,Atlantique,1,11.7
2015,"Total, activités de travail non-rémunéré",Femmes+,45 à 54 ans,Atlantique,1,16.3
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",55 à 64 ans,Atlantique,1,15.4
2015,"Total, activités de travail non-rémunéré",Hommes+,55 à 64 ans,Atlantique,1,13.3
2015,"Total, activités de travail non-rémunéré",Femmes+,55 à 64 ans,Atlantique,1,17.5
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",65 ans et plus,Atlantique,1,15.0
2015,"Total, activités de travail non-rémunéré",Hommes+,65 ans et plus,Atlantique,1,13.3
2015,"Total, activités de travail non-rémunéré",Femmes+,65 ans et plus,Atlantique,1,16.7
2015,Tâches ménagères,"Total, toutes les personnes","Total, 15 ans et plus",Atlantique,1,9.2
2015,Tâches ménagères,Hommes+,"Total, 15 ans et plus",Atlantique,1,8.3
2015,Tâches ménagères,Femmes+,"Total, 15 ans et plus",Atlantique,1,10.4
2015,Tâches ménagères,"Total, toutes les personnes",15 à 24 ans,Atlantique,1,4.2
2015,Tâches ménagères,Hommes+,15 à 24 ans,Atlantique,1,4.6
2015,Tâches ménagères,Femmes+,15 à 24 ans,Atlantique,1,3.8
2015,Tâches ménagères,"Total, toutes les personnes",25 à 54 ans,Atlantique,1,8.8
2015,Tâches ménagères,Hommes+,25 à 54 ans,Atlantique,1,7.5
2015,Tâches ménagères,Femmes+,25 à 54 ans,Atlantique,1,10.0
2015,Tâches ménagères,"Total, toutes les personnes",25 à 34 ans,Atlantique,1,6.7
2015,Tâches ménagères,Hommes+,25 à 34 ans,Atlantique,1,5.4
2015,Tâches ménagères,Femmes+,25 à 34 ans,Atlantique,1,7.9
2015,Tâches ménagères,"Total, toutes les personnes",35 à 44 ans,Atlantique,1,8.8
2015,Tâches ménagères,Hommes+,35 à 44 ans,Atlantique,1,7.1
2015,Tâches ménagères,Femmes+,35 à 44 ans,Atlantique,1,10.4
2015,Tâches ménagères,"Total, toutes les personnes",45 à 54 ans,Atlantique,1,10.4
2015,Tâches ménagères,Hommes+,45 à 54 ans,Atlantique,1,9.6
2015,Tâches ménagères,Femmes+,45 à 54 ans,Atlantique,1,11.7
2015,Tâches ménagères,"Total, toutes les personnes",55 à 64 ans,Atlantique,1,12.1
2015,Tâches ménagères,Hommes+,55 à 64 ans,Atlantique,1,10.8
2015,Tâches ménagères,Femmes+,55 à 64 ans,Atlantique,1,12.9
2015,Tâches ménagères,"Total, toutes les personnes",65 ans et plus,Atlantique,1,11.7
2015,Tâches ménagères,Hommes+,65 ans et plus,Atlantique,1,10.0
2015,Tâches ménagères,Femmes+,65 ans et plus,Atlantique,1,13.3
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes","Total, 15 ans et plus",Atlantique,1,1.3
2015,Soins des enfants de moins de 18 ans,Hommes+,"Total, 15 ans et plus",Atlantique,1,0.8
2015,Soins des enfants de moins de 18 ans,Femmes+,"Total, 15 ans et plus",Atlantique,1,1.7
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",15 à 24 ans,Atlantique,1,
2015,Soins des enfants de moins de 18 ans,Hommes+,15 à 24 ans,Atlantique,1,
2015,Soins des enfants de moins de 18 ans,Femmes+,15 à 24 ans,Atlantique,1,
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",25 à 54 ans,Atlantique,1,2.5
2015,Soins des enfants de moins de 18 ans,Hommes+,25 à 54 ans,Atlantique,1,2.1
2015,Soins des enfants de moins de 18 ans,Femmes+,25 à 54 ans,Atlantique,1,3.3
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",25 à 34 ans,Atlantique,1,3.8
2015,Soins des enfants de moins de 18 ans,Hommes+,25 à 34 ans,Atlantique,1,1.7
2015,Soins des enfants de moins de 18 ans,Femmes+,25 à 34 ans,Atlantique,1,5.8
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",35 à 44 ans,Atlantique,1,3.8
2015,Soins des enfants de moins de 18 ans,Hommes+,35 à 44 ans,Atlantique,1,3.3
2015,Soins des enfants de moins de 18 ans,Femmes+,35 à 44 ans,Atlantique,1,4.2
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",45 à 54 ans,Atlantique,1,0.8
2015,Soins des enfants de moins de 18 ans,Hommes+,45 à 54 ans,Atlantique,1,0.8
2015,Soins des enfants de moins de 18 ans,Femmes+,45 à 54 ans,Atlantique,1,0.8
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",55 à 64 ans,Atlantique,1,0.4
2015,Soins des enfants de moins de 18 ans,Hommes+,55 à 64 ans,Atlantique,1,
2015,Soins des enfants de moins de 18 ans,Femmes+,55 à 64 ans,Atlantique,1,0.4
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",65 ans et plus,Atlantique,1,
2015,Soins des enfants de moins de 18 ans,Hommes+,65 ans et plus,Atlantique,1,
2015,Soins des enfants de moins de 18 ans,Femmes+,65 ans et plus,Atlantique,1,
2015,Soins des adultes,"Total, toutes les personnes","Total, 15 ans et plus",Atlantique,1,
2015,Soins des adultes,Hommes+,"Total, 15 ans et plus",Atlantique,1,
2015,Soins des adultes,Femmes+,"Total, 15 ans et plus",Atlantique,1,
2015,Soins des adultes,"Total, toutes les personnes",15 à 24 ans,Atlantique,1,0.0
2015,Soins des adultes,Hommes+,15 à 24 ans,Atlantique,1,0.0
2015,Soins des adultes,Femmes+,15 à 24 ans,Atlantique,1,0.0
2015,Soins des adultes,"Total, toutes les personnes",25 à 54 ans,Atlantique,1,
2015,Soins des adultes,Hommes+,25 à 54 ans,Atlantique,1,
2015,Soins des adultes,Femmes+,25 à 54 ans,Atlantique,1,
2015,Soins des adultes,"Total, toutes les personnes",25 à 34 ans,Atlantique,1,
2015,Soins des adultes,Hommes+,25 à 34 ans,Atlantique,1,
2015,Soins des adultes,Femmes+,25 à 34 ans,Atlantique,1,
2015,Soins des adultes,"Total, toutes les personnes",35 à 44 ans,Atlantique,1,
2015,Soins des adultes,Hommes+,35 à 44 ans,Atlantique,1,0.0
2015,Soins des adultes,Femmes+,35 à 44 ans,Atlantique,1,
2015,Soins des adultes,"Total, toutes les personnes",45 à 54 ans,Atlantique,1,
2015,Soins des adultes,Hommes+,45 à 54 ans,Atlantique,1,
2015,Soins des adultes,Femmes+,45 à 54 ans,Atlantique,1,
2015,Soins des adultes,"Total, toutes les personnes",55 à 64 ans,Atlantique,1,
2015,Soins des adultes,Hommes+,55 à 64 ans,Atlantique,1,
2015,Soins des adultes,Femmes+,55 à 64 ans,Atlantique,1,
2015,Soins des adultes,"Total, toutes les personnes",65 ans et plus,Atlantique,1,0.4
2015,Soins des adultes,Hommes+,65 ans et plus,Atlantique,1,
2015,Soins des adultes,Femmes+,65 ans et plus,Atlantique,1,
2015,Magasinage de biens ou de services,"Total, toutes les personnes","Total, 15 ans et plus",Atlantique,1,2.1
2015,Magasinage de biens ou de services,Hommes+,"Total, 15 ans et plus",Atlantique,1,1.7
2015,Magasinage de biens ou de services,Femmes+,"Total, 15 ans et plus",Atlantique,1,2.5
2015,Magasinage de biens ou de services,"Total, toutes les personnes",15 à 24 ans,Atlantique,1,0.8
2015,Magasinage de biens ou de services,Hommes+,15 à 24 ans,Atlantique,1,
2015,Magasinage de biens ou de services,Femmes+,15 à 24 ans,Atlantique,1,1.3
2015,Magasinage de biens ou de services,"Total, toutes les personnes",25 à 54 ans,Atlantique,1,2.1
2015,Magasinage de biens ou de services,Hommes+,25 à 54 ans,Atlantique,1,1.3
2015,Magasinage de biens ou de services,Femmes+,25 à 54 ans,Atlantique,1,2.5
2015,Magasinage de biens ou de services,"Total, toutes les personnes",25 à 34 ans,Atlantique,1,1.7
2015,Magasinage de biens ou de services,Hommes+,25 à 34 ans,Atlantique,1,1.3
2015,Magasinage de biens ou de services,Femmes+,25 à 34 ans,Atlantique,1,2.1
2015,Magasinage de biens ou de services,"Total, toutes les personnes",35 à 44 ans,Atlantique,1,2.1
2015,Magasinage de biens ou de services,Hommes+,35 à 44 ans,Atlantique,1,1.7
2015,Magasinage de biens ou de services,Femmes+,35 à 44 ans,Atlantique,1,2.1
2015,Magasinage de biens ou de services,"Total, toutes les personnes",45 à 54 ans,Atlantique,1,2.1
2015,Magasinage de biens ou de services,Hommes+,45 à 54 ans,Atlantique,1,0.8
2015,Magasinage de biens ou de services,Femmes+,45 à 54 ans,Atlantique,1,3.3
2015,Magasinage de biens ou de services,"Total, toutes les personnes",55 à 64 ans,Atlantique,1,2.5
2015,Magasinage de biens ou de services,Hommes+,55 à 64 ans,Atlantique,1,1.7
2015,Magasinage de biens ou de services,Femmes+,55 à 64 ans,Atlantique,1,2.9
2015,Magasinage de biens ou de services,"Total, toutes les personnes",65 ans et plus,Atlantique,1,2.9
2015,Magasinage de biens ou de services,Hommes+,65 ans et plus,Atlantique,1,2.9
2015,Magasinage de biens ou de services,Femmes+,65 ans et plus,Atlantique,1,2.5
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes","Total, 15 ans et plus",Québec,24,12.5
2015,"Total, activités de travail non-rémunéré",Hommes+,"Total, 15 ans et plus",Québec,24,10.4
2015,"Total, activités de travail non-rémunéré",Femmes+,"Total, 15 ans et plus",Québec,24,14.6
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",15 à 24 ans,Québec,24,5.4
2015,"Total, activités de travail non-rémunéré",Hommes+,15 à 24 ans,Québec,24,4.6
2015,"Total, activités de travail non-rémunéré",Femmes+,15 à 24 ans,Québec,24,5.8
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",25 à 54 ans,Québec,24,13.3
2015,"Total, activités de travail non-rémunéré",Hommes+,25 à 54 ans,Québec,24,10.8
2015,"Total, activités de travail non-rémunéré",Femmes+,25 à 54 ans,Québec,24,15.8
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",25 à 34 ans,Québec,24,12.1
2015,"Total, activités de travail non-rémunéré",Hommes+,25 à 34 ans,Québec,24,8.8
2015,"Total, activités de travail non-rémunéré",Femmes+,25 à 34 ans,Québec,24,15.8
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",35 à 44 ans,Québec,24,15.0
2015,"Total, activités de travail non-rémunéré",Hommes+,35 à 44 ans,Québec,24,12.9
2015,"Total, activités de travail non-rémunéré",Femmes+,35 à 44 ans,Québec,24,17.1
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",45 à 54 ans,Québec,24,12.5
2015,"Total, activités de travail non-rémunéré",Hommes+,45 à 54 ans,Québec,24,10.8
2015,"Total, activités de travail non-rémunéré",Femmes+,45 à 54 ans,Québec,24,14.6
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",55 à 64 ans,Québec,24,13.8
2015,"Total, activités de travail non-rémunéré",Hommes+,55 à 64 ans,Québec,24,11.7
2015,"Total, activités de travail non-rémunéré",Femmes+,55 à 64 ans,Québec,24,15.8
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",65 ans et plus,Québec,24,14.2
2015,"Total, activités de travail non-rémunéré",Hommes+,65 ans et plus,Québec,24,11.7
2015,"Total, activités de travail non-rémunéré",Femmes+,65 ans et plus,Québec,24,16.3
2015,Tâches ménagères,"Total, toutes les personnes","Total, 15 ans et plus",Québec,24,8.8
2015,Tâches ménagères,Hommes+,"Total, 15 ans et plus",Québec,24,7.5
2015,Tâches ménagères,Femmes+,"Total, 15 ans et plus",Québec,24,9.6
2015,Tâches ménagères,"Total, toutes les personnes",15 à 24 ans,Québec,24,3.3
2015,Tâches ménagères,Hommes+,15 à 24 ans,Québec,24,3.8
2015,Tâches ménagères,Femmes+,15 à 24 ans,Québec,24,3.3
2015,Tâches ménagères,"Total, toutes les personnes",25 à 54 ans,Québec,24,8.3
2015,Tâches ménagères,Hommes+,25 à 54 ans,Québec,24,7.1
2015,Tâches ménagères,Femmes+,25 à 54 ans,Québec,24,9.2
2015,Tâches ménagères,"Total, toutes les personnes",25 à 34 ans,Québec,24,6.3
2015,Tâches ménagères,Hommes+,25 à 34 ans,Québec,24,4.6
2015,Tâches ménagères,Femmes+,25 à 34 ans,Québec,24,7.9
2015,Tâches ménagères,"Total, toutes les personnes",35 à 44 ans,Québec,24,8.8
2015,Tâches ménagères,Hommes+,35 à 44 ans,Québec,24,7.9
2015,Tâches ménagères,Femmes+,35 à 44 ans,Québec,24,10.0
2015,Tâches ménagères,"Total, toutes les personnes",45 à 54 ans,Québec,24,9.6
2015,Tâches ménagères,Hommes+,45 à 54 ans,Québec,24,8.8
2015,Tâches ménagères,Femmes+,45 à 54 ans,Québec,24,10.4
2015,Tâches ménagères,"Total, toutes les personnes",55 à 64 ans,Québec,24,10.4
2015,Tâches ménagères,Hommes+,55 à 64 ans,Québec,24,9.2
2015,Tâches ménagères,Femmes+,55 à 64 ans,Québec,24,12.1
2015,Tâches ménagères,"Total, toutes les personnes",65 ans et plus,Québec,24,11.3
2015,Tâches ménagères,Hommes+,65 ans et plus,Québec,24,9.2
2015,Tâches ménagères,Femmes+,65 ans et plus,Québec,24,12.9
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes","Total, 15 ans et plus",Québec,24,1.7
2015,Soins des enfants de moins de 18 ans,Hommes+,"Total, 15 ans et plus",Québec,24,1.3
2015,Soins des enfants de moins de 18 ans,Femmes+,"Total, 15 ans et plus",Québec,24,2.1
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",15 à 24 ans,Québec,24,
2015,Soins des enfants de moins de 18 ans,Hommes+,15 à 24 ans,Québec,24,
2015,Soins des enfants de moins de 18 ans,Femmes+,15 à 24 ans,Québec,24,
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",25 à 54 ans,Québec,24,2.9
2015,Soins des enfants de moins de 18 ans,Hommes+,25 à 54 ans,Québec,24,2.1
2015,Soins des enfants de moins de 18 ans,Femmes+,25 à 54 ans,Québec,24,3.8
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",25 à 34 ans,Québec,24,4.2
2015,Soins des enfants de moins de 18 ans,Hommes+,25 à 34 ans,Québec,24,2.5
2015,Soins des enfants de moins de 18 ans,Femmes+,25 à 34 ans,Québec,24,5.8
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",35 à 44 ans,Québec,24,3.8
2015,Soins des enfants de moins de 18 ans,Hommes+,35 à 44 ans,Québec,24,2.9
2015,Soins des enfants de moins de 18 ans,Femmes+,35 à 44 ans,Québec,24,5.0
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",45 à 54 ans,Québec,24,0.8
2015,Soins des enfants de moins de 18 ans,Hommes+,45 à 54 ans,Québec,24,0.8
2015,Soins des enfants de moins de 18 ans,Femmes+,45 à 54 ans,Québec,24,0.8
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",55 à 64 ans,Québec,24,
2015,Soins des enfants de moins de 18 ans,Hommes+,55 à 64 ans,Québec,24,
2015,Soins des enfants de moins de 18 ans,Femmes+,55 à 64 ans,Québec,24,
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes",65 ans et plus,Québec,24,0.4
2015,Soins des enfants de moins de 18 ans,Hommes+,65 ans et plus,Québec,24,
2015,Soins des enfants de moins de 18 ans,Femmes+,65 ans et plus,Québec,24,
2015,Soins des adultes,"Total, toutes les personnes","Total, 15 ans et plus",Québec,24,
2015,Soins des adultes,Hommes+,"Total, 15 ans et plus",Québec,24,
2015,Soins des adultes,Femmes+,"Total, 15 ans et plus",Québec,24,
2015,Soins des adultes,"Total, toutes les personnes",15 à 24 ans,Québec,24,
2015,Soins des adultes,Hommes+,15 à 24 ans,Québec,24,
2015,Soins des adultes,Femmes+,15 à 24 ans,Québec,24,0.0
2015,Soins des adultes,"Total, toutes les personnes",25 à 54 ans,Québec,24,
2015,Soins des adultes,Hommes+,25 à 54 ans,Québec,24,
2015,Soins des adultes,Femmes+,25 à 54 ans,Québec,24,
2015,Soins des adultes,"Total, toutes les personnes",25 à 34 ans,Québec,24,
2015,Soins des adultes,Hommes+,25 à 34 ans,Québec,24,
2015,Soins des adultes,Femmes+,25 à 34 ans,Québec,24,
2015,Soins des adultes,"Total, toutes les personnes",35 à 44 ans,Québec,24,
