Year,Âge,Sexe,Value
2015,70 à 74 ans,Les deux sexes,7.1
2015,70 à 74 ans,Hommes,9.7
2015,70 à 74 ans,Femmes,4.7
2015,75 à 79 ans,Les deux sexes,9.9
2015,75 à 79 ans,Hommes,14.2
2015,75 à 79 ans,Femmes,6.3
2015,80 à 84 ans,Les deux sexes,13.3
2015,80 à 84 ans,Hommes,18.1
2015,80 à 84 ans,Femmes,9.6
2015,85 à 89 ans,Les deux sexes,13.4
2015,85 à 89 ans,Hommes,20.5
2015,85 à 89 ans,Femmes,9.1
2015,90 ans et plus,Les deux sexes,13.6
2015,90 ans et plus,Hommes,24.0
2015,90 ans et plus,Femmes,9.5
2015,Non déclaré,Les deux sexes,0.0
2015,Non déclaré,Hommes,0.0
2015,Non déclaré,Femmes,0.0
2016,Tous les âges,Hommes,7.6
2016,Tous les âges,Femmes,3.2
2016,Moins d'un an,Les deux sexes,0.5
2016,Moins d'un an,Hommes,0.5
2016,Moins d'un an,Femmes,0.5
2016,1 à 4 ans,Les deux sexes,1.2
2016,1 à 4 ans,Hommes,1.5
2016,1 à 4 ans,Femmes,0.9
2016,5 à 9 ans,Les deux sexes,0.9
2016,5 à 9 ans,Hommes,1.0
2016,5 à 9 ans,Femmes,0.8
2016,10 à 14 ans,Les deux sexes,1.4
2016,10 à 14 ans,Hommes,1.7
2016,10 à 14 ans,Femmes,1.1
2016,15 à 19 ans,Les deux sexes,6.0
2016,15 à 19 ans,Hommes,7.3
2016,15 à 19 ans,Femmes,4.7
2016,20 à 24 ans,Les deux sexes,7.7
2016,20 à 24 ans,Hommes,11.5
2016,20 à 24 ans,Femmes,3.7
2016,25 à 29 ans,Les deux sexes,7.5
2016,25 à 29 ans,Hommes,11.0
2016,25 à 29 ans,Femmes,4.0
2016,30 à 34 ans,Les deux sexes,5.5
2016,30 à 34 ans,Hommes,8.1
2016,30 à 34 ans,Femmes,3.0
2016,35 à 39 ans,Les deux sexes,4.6
2016,35 à 39 ans,Hommes,6.6
2016,35 à 39 ans,Femmes,2.7
2016,40 à 44 ans,Les deux sexes,5.0
2016,40 à 44 ans,Hommes,8.0
2016,40 à 44 ans,Femmes,2.0
2016,45 à 49 ans,Les deux sexes,4.5
2016,45 à 49 ans,Hommes,7.1
2016,45 à 49 ans,Femmes,1.9
2016,50 à 54 ans,Les deux sexes,5.2
2016,50 à 54 ans,Hommes,7.4
2016,50 à 54 ans,Femmes,2.9
2016,55 à 59 ans,Les deux sexes,5.5
2016,55 à 59 ans,Hommes,8.2
2016,55 à 59 ans,Femmes,2.8
2016,60 à 64 ans,Les deux sexes,5.8
2016,60 à 64 ans,Hommes,9.1
2016,60 à 64 ans,Femmes,2.6
2016,65 à 69 ans,Les deux sexes,5.7
2016,65 à 69 ans,Hommes,7.3
2016,65 à 69 ans,Femmes,4.2
2016,70 à 74 ans,Les deux sexes,6.9
2016,70 à 74 ans,Hommes,9.2
2016,70 à 74 ans,Femmes,4.8
2016,75 à 79 ans,Les deux sexes,7.5
2016,75 à 79 ans,Hommes,9.7
2016,75 à 79 ans,Femmes,5.7
2016,80 à 84 ans,Les deux sexes,12.1
2016,80 à 84 ans,Hommes,14.1
2016,80 à 84 ans,Femmes,10.5
2016,85 à 89 ans,Les deux sexes,13.2
2016,85 à 89 ans,Hommes,18.6
2016,85 à 89 ans,Femmes,9.9
2016,90 ans et plus,Les deux sexes,13.0
2016,90 ans et plus,Hommes,27.2
2016,90 ans et plus,Femmes,7.2
2016,Non déclaré,Les deux sexes,0.0
2016,Non déclaré,Hommes,0.0
2016,Non déclaré,Femmes,0.0
2017,Tous les âges,Hommes,7.8
2017,Tous les âges,Femmes,3.3
2017,Moins d'un an,Les deux sexes,0.8
2017,Moins d'un an,Hommes,1.0
2017,Moins d'un an,Femmes,0.5
2017,1 à 4 ans,Les deux sexes,1.9
2017,1 à 4 ans,Hommes,2.1
2017,1 à 4 ans,Femmes,1.7
2017,5 à 9 ans,Les deux sexes,1.2
2017,5 à 9 ans,Hommes,1.2
2017,5 à 9 ans,Femmes,1.2
2017,10 à 14 ans,Les deux sexes,1.1
2017,10 à 14 ans,Hommes,1.2
2017,10 à 14 ans,Femmes,0.9
2017,15 à 19 ans,Les deux sexes,6.2
2017,15 à 19 ans,Hommes,7.8
2017,15 à 19 ans,Femmes,4.4
2017,20 à 24 ans,Les deux sexes,7.7
2017,20 à 24 ans,Hommes,10.9
2017,20 à 24 ans,Femmes,4.3
2017,25 à 29 ans,Les deux sexes,6.6
2017,25 à 29 ans,Hommes,9.8
2017,25 à 29 ans,Femmes,3.3
2017,30 à 34 ans,Les deux sexes,6.7
2017,30 à 34 ans,Hommes,10.7
2017,30 à 34 ans,Femmes,2.7
2017,35 à 39 ans,Les deux sexes,6.5
2017,35 à 39 ans,Hommes,9.5
2017,35 à 39 ans,Femmes,3.5
2017,40 à 44 ans,Les deux sexes,5.1
2017,40 à 44 ans,Hommes,7.7
2017,40 à 44 ans,Femmes,2.7
2017,45 à 49 ans,Les deux sexes,4.6
2017,45 à 49 ans,Hommes,6.7
2017,45 à 49 ans,Femmes,2.5
2017,50 à 54 ans,Les deux sexes,5.7
2017,50 à 54 ans,Hommes,8.3
2017,50 à 54 ans,Femmes,3.1
2017,55 à 59 ans,Les deux sexes,6.1
2017,55 à 59 ans,Hommes,8.8
2017,55 à 59 ans,Femmes,3.4
2017,60 à 64 ans,Les deux sexes,6.2
2017,60 à 64 ans,Hommes,8.9
2017,60 à 64 ans,Femmes,3.6
2017,65 à 69 ans,Les deux sexes,5.3
2017,65 à 69 ans,Hommes,7.2
2017,65 à 69 ans,Femmes,3.4
2017,70 à 74 ans,Les deux sexes,5.7
2017,70 à 74 ans,Hommes,8.3
2017,70 à 74 ans,Femmes,3.4
2017,75 à 79 ans,Les deux sexes,8.0
2017,75 à 79 ans,Hommes,11.0
2017,75 à 79 ans,Femmes,5.5
2017,80 à 84 ans,Les deux sexes,9.7
2017,80 à 84 ans,Hommes,12.5
2017,80 à 84 ans,Femmes,7.6
2017,85 à 89 ans,Les deux sexes,13.4
2017,85 à 89 ans,Hommes,17.7
2017,85 à 89 ans,Femmes,10.6
2017,90 ans et plus,Les deux sexes,9.0
2017,90 ans et plus,Hommes,18.1
2017,90 ans et plus,Femmes,5.2
2017,Non déclaré,Les deux sexes,0.0
2017,Non déclaré,Hommes,0.0
2017,Non déclaré,Femmes,0.0
2018,Tous les âges,Hommes,8.1
2018,Tous les âges,Femmes,3.3
2018,Moins d'un an,Les deux sexes,0.3
2018,Moins d'un an,Hommes,0.0
2018,Moins d'un an,Femmes,0.5
2018,1 à 4 ans,Les deux sexes,1.1
2018,1 à 4 ans,Hommes,1.2
2018,1 à 4 ans,Femmes,1.0
2018,5 à 9 ans,Les deux sexes,0.9
2018,5 à 9 ans,Hommes,0.9
2018,5 à 9 ans,Femmes,1.0
2018,10 à 14 ans,Les deux sexes,1.1
2018,10 à 14 ans,Hommes,1.3
2018,10 à 14 ans,Femmes,1.0
2018,15 à 19 ans,Les deux sexes,6.2
2018,15 à 19 ans,Hommes,7.2
2018,15 à 19 ans,Femmes,5.2
2018,20 à 24 ans,Les deux sexes,8.3
2018,20 à 24 ans,Hommes,11.5
2018,20 à 24 ans,Femmes,4.8
2018,25 à 29 ans,Les deux sexes,7.1
2018,25 à 29 ans,Hommes,10.5
2018,25 à 29 ans,Femmes,3.6
2018,30 à 34 ans,Les deux sexes,6.0
2018,30 à 34 ans,Hommes,9.3
2018,30 à 34 ans,Femmes,2.6
2018,35 à 39 ans,Les deux sexes,5.4
2018,35 à 39 ans,Hommes,8.2
2018,35 à 39 ans,Femmes,2.6
2018,40 à 44 ans,Les deux sexes,5.2
2018,40 à 44 ans,Hommes,7.7
2018,40 à 44 ans,Femmes,2.8
2018,45 à 49 ans,Les deux sexes,5.1
2018,45 à 49 ans,Hommes,7.8
2018,45 à 49 ans,Femmes,2.5
2018,50 à 54 ans,Les deux sexes,6.0
2018,50 à 54 ans,Hommes,8.7
2018,50 à 54 ans,Femmes,3.3
2018,55 à 59 ans,Les deux sexes,5.0
2018,55 à 59 ans,Hommes,7.5
2018,55 à 59 ans,Femmes,2.6
2018,60 à 64 ans,Les deux sexes,6.9
2018,60 à 64 ans,Hommes,10.5
2018,60 à 64 ans,Femmes,3.4
2018,65 à 69 ans,Les deux sexes,5.5
2018,65 à 69 ans,Hommes,7.1
2018,65 à 69 ans,Femmes,3.9
2018,70 à 74 ans,Les deux sexes,6.4
2018,70 à 74 ans,Hommes,8.6
2018,70 à 74 ans,Femmes,4.4
2018,75 à 79 ans,Les deux sexes,9.9
2018,75 à 79 ans,Hommes,14.8
2018,75 à 79 ans,Femmes,5.7
2018,80 à 84 ans,Les deux sexes,12.0
2018,80 à 84 ans,Hommes,17.9
2018,80 à 84 ans,Femmes,7.5
2018,85 à 89 ans,Les deux sexes,14.6
2018,85 à 89 ans,Hommes,22.3
2018,85 à 89 ans,Femmes,9.5
2018,90 ans et plus,Les deux sexes,12.6
2018,90 ans et plus,Hommes,26.0
2018,90 ans et plus,Femmes,6.9
2018,Non déclaré,Les deux sexes,0.0
2018,Non déclaré,Hommes,0.0
2018,Non déclaré,Femmes,0.0
2019,Tous les âges,Hommes,7.0
2019,Tous les âges,Femmes,3.2
2019,Moins d'un an,Les deux sexes,0.5
2019,Moins d'un an,Hommes,0.0
2019,Moins d'un an,Femmes,1.1
2019,1 à 4 ans,Les deux sexes,1.4
2019,1 à 4 ans,Hommes,1.5
2019,1 à 4 ans,Femmes,1.3
2019,5 à 9 ans,Les deux sexes,0.4
2019,5 à 9 ans,Hommes,0.4
2019,5 à 9 ans,Femmes,0.5
2019,10 à 14 ans,Les deux sexes,0.8
2019,10 à 14 ans,Hommes,1.1
2019,10 à 14 ans,Femmes,0.5
2019,15 à 19 ans,Les deux sexes,5.8
2019,15 à 19 ans,Hommes,7.5
2019,15 à 19 ans,Femmes,4.1
2019,20 à 24 ans,Les deux sexes,7.3
2019,20 à 24 ans,Hommes,10.4
2019,20 à 24 ans,Femmes,3.9
2019,25 à 29 ans,Les deux sexes,5.0
2019,25 à 29 ans,Hommes,6.9
2019,25 à 29 ans,Femmes,3.0
2019,30 à 34 ans,Les deux sexes,5.3
2019,30 à 34 ans,Hommes,7.8
2019,30 à 34 ans,Femmes,2.8
2019,35 à 39 ans,Les deux sexes,4.1
2019,35 à 39 ans,Hommes,5.9
2019,35 à 39 ans,Femmes,2.3
2019,40 à 44 ans,Les deux sexes,4.5
2019,40 à 44 ans,Hommes,7.1
2019,40 à 44 ans,Femmes,2.1
2019,45 à 49 ans,Les deux sexes,4.5
2019,45 à 49 ans,Hommes,6.6
2019,45 à 49 ans,Femmes,2.4
2019,50 à 54 ans,Les deux sexes,5.4
2019,50 à 54 ans,Hommes,7.2
2019,50 à 54 ans,Femmes,3.5
2019,55 à 59 ans,Les deux sexes,5.8
2019,55 à 59 ans,Hommes,9.0
2019,55 à 59 ans,Femmes,2.6
2019,60 à 64 ans,Les deux sexes,5.3
2019,60 à 64 ans,Hommes,7.6
2019,60 à 64 ans,Femmes,3.1
2019,65 à 69 ans,Les deux sexes,6.8
2019,65 à 69 ans,Hommes,9.5
2019,65 à 69 ans,Femmes,4.4
2019,70 à 74 ans,Les deux sexes,6.8
2019,70 à 74 ans,Hommes,8.2
2019,70 à 74 ans,Femmes,5.5
2019,75 à 79 ans,Les deux sexes,9.3
2019,75 à 79 ans,Hommes,12.3
2019,75 à 79 ans,Femmes,6.6
2019,80 à 84 ans,Les deux sexes,9.9
2019,80 à 84 ans,Hommes,12.4
2019,80 à 84 ans,Femmes,7.9
2019,85 à 89 ans,Les deux sexes,10.8
2019,85 à 89 ans,Hommes,13.9
2019,85 à 89 ans,Femmes,8.8
2019,90 ans et plus,Les deux sexes,12.3
2019,90 ans et plus,Hommes,22.9
2019,90 ans et plus,Femmes,7.7
2019,Non déclaré,Les deux sexes,0.0
2019,Non déclaré,Hommes,0.0
2019,Non déclaré,Femmes,0.0
2020,Tous les âges,Hommes,6.9
2020,Tous les âges,Femmes,2.6
2020,Moins d'un an,Les deux sexes,0.5
2020,Moins d'un an,Hommes,1.1
2020,Moins d'un an,Femmes,0.0
2020,1 à 4 ans,Les deux sexes,1.1
2020,1 à 4 ans,Hommes,1.4
2020,1 à 4 ans,Femmes,0.9
2020,5 à 9 ans,Les deux sexes,0.9
2020,5 à 9 ans,Hommes,1.1
2020,5 à 9 ans,Femmes,0.6
2020,10 à 14 ans,Les deux sexes,1.3
2020,10 à 14 ans,Hommes,1.9
2020,10 à 14 ans,Femmes,0.7
2020,15 à 19 ans,Les deux sexes,5.0
2020,15 à 19 ans,Hommes,5.5
2020,15 à 19 ans,Femmes,4.4
2020,20 à 24 ans,Les deux sexes,7.9
2020,20 à 24 ans,Hommes,10.8
2020,20 à 24 ans,Femmes,4.7
2020,25 à 29 ans,Les deux sexes,6.2
2020,25 à 29 ans,Hommes,9.4
2020,25 à 29 ans,Femmes,2.9
2020,30 à 34 ans,Les deux sexes,5.1
2020,30 à 34 ans,Hommes,7.4
2020,30 à 34 ans,Femmes,2.7
2020,35 à 39 ans,Les deux sexes,3.9
2020,35 à 39 ans,Hommes,5.3
2020,35 à 39 ans,Femmes,2.5
2020,40 à 44 ans,Les deux sexes,4.1
2020,40 à 44 ans,Hommes,7.1
2020,40 à 44 ans,Femmes,1.1
2020,45 à 49 ans,Les deux sexes,4.7
2020,45 à 49 ans,Hommes,7.3
2020,45 à 49 ans,Femmes,2.2
2020,50 à 54 ans,Les deux sexes,5.5
2020,50 à 54 ans,Hommes,8.5
2020,50 à 54 ans,Femmes,2.5
2020,55 à 59 ans,Les deux sexes,5.5
2020,55 à 59 ans,Hommes,8.3
2020,55 à 59 ans,Femmes,2.8
2020,60 à 64 ans,Les deux sexes,5.3
2020,60 à 64 ans,Hommes,8.5
2020,60 à 64 ans,Femmes,2.2
2020,65 à 69 ans,Les deux sexes,4.9
2020,65 à 69 ans,Hommes,6.9
2020,65 à 69 ans,Femmes,3.0
2020,70 à 74 ans,Les deux sexes,4.8
2020,70 à 74 ans,Hommes,7.4
2020,70 à 74 ans,Femmes,2.4
2020,75 à 79 ans,Les deux sexes,7.5
2020,75 à 79 ans,Hommes,10.4
2020,75 à 79 ans,Femmes,5.0
2020,80 à 84 ans,Les deux sexes,7.9
2020,80 à 84 ans,Hommes,11.8
2020,80 à 84 ans,Femmes,4.9
2020,85 à 89 ans,Les deux sexes,8.4
2020,85 à 89 ans,Hommes,11.2
2020,85 à 89 ans,Femmes,6.5
2020,90 ans et plus,Les deux sexes,8.0
2020,90 ans et plus,Hommes,16.0
2020,90 ans et plus,Femmes,4.4
2020,Non déclaré,Les deux sexes,0.0
2020,Non déclaré,Hommes,0.0
2020,Non déclaré,Femmes,0.0
2021,Tous les âges,Hommes,6.8
2021,Tous les âges,Femmes,2.6
2021,Moins d'un an,Les deux sexes,0.0
2021,Moins d'un an,Hommes,0.0
2021,Moins d'un an,Femmes,0.0
2021,1 à 4 ans,Les deux sexes,1.2
2021,1 à 4 ans,Hommes,1.8
2021,1 à 4 ans,Femmes,0.5
2021,5 à 9 ans,Les deux sexes,0.8
2021,5 à 9 ans,Hommes,1.1
2021,5 à 9 ans,Femmes,0.5
2021,10 à 14 ans,Les deux sexes,1.6
2021,10 à 14 ans,Hommes,1.8
2021,10 à 14 ans,Femmes,1.4
2021,15 à 19 ans,Les deux sexes,5.0
2021,15 à 19 ans,Hommes,6.1
2021,15 à 19 ans,Femmes,4.0
2021,20 à 24 ans,Les deux sexes,6.8
2021,20 à 24 ans,Hommes,9.3
2021,20 à 24 ans,Femmes,4.1
2021,25 à 29 ans,Les deux sexes,6.4
2021,25 à 29 ans,Hommes,8.5
2021,25 à 29 ans,Femmes,4.1
2021,30 à 34 ans,Les deux sexes,4.8
2021,30 à 34 ans,Hommes,7.2
2021,30 à 34 ans,Femmes,2.4
2021,35 à 39 ans,Les deux sexes,4.9
2021,35 à 39 ans,Hommes,7.2
2021,35 à 39 ans,Femmes,2.5
2021,40 à 44 ans,Les deux sexes,4.4
2021,40 à 44 ans,Hommes,7.2
2021,40 à 44 ans,Femmes,1.7
2021,45 à 49 ans,Les deux sexes,4.7
2021,45 à 49 ans,Hommes,7.5
2021,45 à 49 ans,Femmes,2.0
2021,50 à 54 ans,Les deux sexes,4.7
2021,50 à 54 ans,Hommes,7.2
2021,50 à 54 ans,Femmes,2.4
2021,55 à 59 ans,Les deux sexes,4.7
2021,55 à 59 ans,Hommes,6.9
2021,55 à 59 ans,Femmes,2.5
2021,60 à 64 ans,Les deux sexes,5.1
2021,60 à 64 ans,Hommes,8.0
2021,60 à 64 ans,Femmes,2.3
2021,65 à 69 ans,Les deux sexes,5.3
2021,65 à 69 ans,Hommes,8.3
2021,65 à 69 ans,Femmes,2.5
2021,70 à 74 ans,Les deux sexes,5.1
2021,70 à 74 ans,Hommes,7.8
2021,70 à 74 ans,Femmes,2.6
2021,75 à 79 ans,Les deux sexes,5.7
2021,75 à 79 ans,Hommes,8.0
2021,75 à 79 ans,Femmes,3.7
2021,80 à 84 ans,Les deux sexes,8.8
2021,80 à 84 ans,Hommes,13.5
2021,80 à 84 ans,Femmes,5.1
2021,85 à 89 ans,Les deux sexes,11.5
2021,85 à 89 ans,Hommes,16.2
2021,85 à 89 ans,Femmes,8.3
2021,90 ans et plus,Les deux sexes,6.8
2021,90 ans et plus,Hommes,13.3
2021,90 ans et plus,Femmes,3.9
2021,Non déclaré,Les deux sexes,0.0
2021,Non déclaré,Hommes,0.0
2021,Non déclaré,Femmes,0.0
2022,Tous les âges,Hommes,7.5
2022,Tous les âges,Femmes,2.8
2022,Moins d'un an,Les deux sexes,0.5
2022,Moins d'un an,Hommes,1.1
2022,Moins d'un an,Femmes,0.0
2022,1 à 4 ans,Les deux sexes,0.8
2022,1 à 4 ans,Hommes,0.6
2022,1 à 4 ans,Femmes,0.9
2022,5 à 9 ans,Les deux sexes,0.8
2022,5 à 9 ans,Hommes,1.0
2022,5 à 9 ans,Femmes,0.6
2022,10 à 14 ans,Les deux sexes,0.9
2022,10 à 14 ans,Hommes,1.1
2022,10 à 14 ans,Femmes,0.7
2022,15 à 19 ans,Les deux sexes,5.6
2022,15 à 19 ans,Hommes,7.9
2022,15 à 19 ans,Femmes,3.2
2022,20 à 24 ans,Les deux sexes,7.4
2022,20 à 24 ans,Hommes,10.2
2022,20 à 24 ans,Femmes,4.4
2022,25 à 29 ans,Les deux sexes,5.9
2022,25 à 29 ans,Hommes,8.6
2022,25 à 29 ans,Femmes,3.1
2022,30 à 34 ans,Les deux sexes,5.0
2022,30 à 34 ans,Hommes,8.1
2022,30 à 34 ans,Femmes,1.7
2022,35 à 39 ans,Les deux sexes,5.0
2022,35 à 39 ans,Hommes,7.5
2022,35 à 39 ans,Femmes,2.4
2022,40 à 44 ans,Les deux sexes,4.8
2022,40 à 44 ans,Hommes,7.5
2022,40 à 44 ans,Femmes,2.1
2022,45 à 49 ans,Les deux sexes,5.2
2022,45 à 49 ans,Hommes,8.1
2022,45 à 49 ans,Femmes,2.2
2022,50 à 54 ans,Les deux sexes,5.7
2022,50 à 54 ans,Hommes,8.7
2022,50 à 54 ans,Femmes,2.9
2022,55 à 59 ans,Les deux sexes,6.2
2022,55 à 59 ans,Hommes,10.0
2022,55 à 59 ans,Femmes,2.3
2022,60 à 64 ans,Les deux sexes,5.7
2022,60 à 64 ans,Hommes,8.8
2022,60 à 64 ans,Femmes,2.8
2022,65 à 69 ans,Les deux sexes,5.3
2022,65 à 69 ans,Hommes,6.9
2022,65 à 69 ans,Femmes,3.7
2022,70 à 74 ans,Les deux sexes,5.4
2022,70 à 74 ans,Hommes,7.7
2022,70 à 74 ans,Femmes,3.3
2022,75 à 79 ans,Les deux sexes,8.0
2022,75 à 79 ans,Hommes,10.8
2022,75 à 79 ans,Femmes,5.5
2022,80 à 84 ans,Les deux sexes,9.7
2022,80 à 84 ans,Hommes,14.4
2022,80 à 84 ans,Femmes,6.0
2022,85 à 89 ans,Les deux sexes,9.5
2022,85 à 89 ans,Hommes,10.8
2022,85 à 89 ans,Femmes,8.6
2022,90 ans et plus,Les deux sexes,10.7
2022,90 ans et plus,Hommes,19.2
2022,90 ans et plus,Femmes,6.7
2022,Non déclaré,Les deux sexes,0.0
2022,Non déclaré,Hommes,0.0
2022,Non déclaré,Femmes,0.0
2023,Tous les âges,Hommes,6.3
2023,Tous les âges,Femmes,2.6
2023,Moins d'un an,Les deux sexes,0.3
2023,Moins d'un an,Hommes,0.6
2023,Moins d'un an,Femmes,0.0
2023,1 à 4 ans,Les deux sexes,0.7
2023,1 à 4 ans,Hommes,0.3
2023,1 à 4 ans,Femmes,1.1
2023,5 à 9 ans,Les deux sexes,0.8
2023,5 à 9 ans,Hommes,0.5
2023,5 à 9 ans,Femmes,1.1
2023,10 à 14 ans,Les deux sexes,1.0
2023,10 à 14 ans,Hommes,1.5
2023,10 à 14 ans,Femmes,0.4
2023,15 à 19 ans,Les deux sexes,5.2
2023,15 à 19 ans,Hommes,7.4
2023,15 à 19 ans,Femmes,2.9
2023,20 à 24 ans,Les deux sexes,5.0
2023,20 à 24 ans,Hommes,7.6
2023,20 à 24 ans,Femmes,2.2
2023,25 à 29 ans,Les deux sexes,5.2
2023,25 à 29 ans,Hommes,7.9
2023,25 à 29 ans,Femmes,2.2
2023,30 à 34 ans,Les deux sexes,5.1
2023,30 à 34 ans,Hommes,6.5
2023,30 à 34 ans,Femmes,3.7
2023,35 à 39 ans,Les deux sexes,4.8
2023,35 à 39 ans,Hommes,7.3
2023,35 à 39 ans,Femmes,2.2
2023,40 à 44 ans,Les deux sexes,3.5
2023,40 à 44 ans,Hommes,5.6
2023,40 à 44 ans,Femmes,1.4
2023,45 à 49 ans,Les deux sexes,4.4
2023,45 à 49 ans,Hommes,5.9
2023,45 à 49 ans,Femmes,3.0
2023,50 à 54 ans,Les deux sexes,4.6
2023,50 à 54 ans,Hommes,6.8
2023,50 à 54 ans,Femmes,2.5
2023,55 à 59 ans,Les deux sexes,5.1
2023,55 à 59 ans,Hommes,8.4
2023,55 à 59 ans,Femmes,1.9
2023,60 à 64 ans,Les deux sexes,4.5
2023,60 à 64 ans,Hommes,7.4
2023,60 à 64 ans,Femmes,1.6
2023,65 à 69 ans,Les deux sexes,4.2
2023,65 à 69 ans,Hommes,6.0
2023,65 à 69 ans,Femmes,2.5
2023,70 à 74 ans,Les deux sexes,5.9
2023,70 à 74 ans,Hommes,7.0
2023,70 à 74 ans,Femmes,4.9
2023,75 à 79 ans,Les deux sexes,5.8
2023,75 à 79 ans,Hommes,7.1
2023,75 à 79 ans,Femmes,4.5
2023,80 à 84 ans,Les deux sexes,8.8
2023,80 à 84 ans,Hommes,11.2
2023,80 à 84 ans,Femmes,6.9
2023,85 à 89 ans,Les deux sexes,11.5
2023,85 à 89 ans,Hommes,17.8
2023,85 à 89 ans,Femmes,7.2
2023,90 ans et plus,Les deux sexes,11.6
2023,90 ans et plus,Hommes,23.1
2023,90 ans et plus,Femmes,6.2
2023,Non déclaré,Les deux sexes,0.0
2023,Non déclaré,Hommes,0.0
2023,Non déclaré,Femmes,0.0
