Year,Groupe de population,Sévérité,Value
2004,Femmes non enceintes,Légère,6.3
2004,Femmes non enceintes,Total,8.6
2003,Femmes non enceintes,Sévère,0.3
2003,Femmes non enceintes,Modérée,2.0
2003,Femmes non enceintes,Légère,6.3
2003,Femmes non enceintes,Total,8.7
2002,Femmes non enceintes,Sévère,0.4
2002,Femmes non enceintes,Modérée,2.0
2002,Femmes non enceintes,Légère,6.4
2002,Femmes non enceintes,Total,8.7
2001,Femmes non enceintes,Sévère,0.4
2001,Femmes non enceintes,Modérée,2.1
2001,Femmes non enceintes,Légère,6.4
2001,Femmes non enceintes,Total,8.9
2000,Femmes non enceintes,Sévère,0.4
2000,Femmes non enceintes,Modérée,2.2
2000,Femmes non enceintes,Légère,6.5
2000,Femmes non enceintes,Total,9.1
