Year,Gender,Age group,Geography,GeoCode,Progress,Value
2015,Men+,70 years and over,Canada,,-1.0,2.6
2015,Women+,15 years and over,Canada,,6.4,6.4
2015,Women+,15 to 24 years,Canada,,10.8,10.8
2015,Women+,25 years and over,Canada,,5.6,5.6
2015,Women+,25 to 44 years,Canada,,5.9,5.9
2015,Women+,45 to 64 years,Canada,,5.3,5.3
2015,Women+,45 years and over,Canada,,5.3,5.3
2015,Women+,25 to 54 years,Canada,,5.6,5.6
2015,Women+,55 years and over,Canada,,5.5,5.5
2015,Women+,15 to 64 years,Canada,,6.4,6.4
2015,Women+,15 to 19 years,Canada,,15.8,15.8
2015,Women+,20 to 24 years,Canada,,7.8,7.8
2015,Women+,25 to 29 years,Canada,,6.6,6.6
2015,Women+,30 to 34 years,Canada,,5.6,5.6
2015,Women+,35 to 39 years,Canada,,5.7,5.7
2015,Women+,40 to 44 years,Canada,,5.6,5.6
2015,Women+,45 to 49 years,Canada,,5.0,5.0
2015,Women+,50 to 54 years,Canada,,5.1,5.1
2015,Women+,55 to 59 years,Canada,,5.8,5.8
2015,Women+,60 to 64 years,Canada,,5.8,5.8
2015,Women+,65 years and over,Canada,,4.2,4.2
2015,Women+,65 to 69 years,Canada,,4.5,4.5
2015,Women+,70 years and over,Canada,,3.5,3.5
2015,Total - Gender,15 years and over,Newfoundland and Labrador,10,13.1,13.1
2015,Total - Gender,15 to 24 years,Newfoundland and Labrador,10,16.5,16.5
2015,Total - Gender,25 years and over,Newfoundland and Labrador,10,12.6,12.6
2015,Total - Gender,25 to 44 years,Newfoundland and Labrador,10,10.6,10.6
2015,Total - Gender,45 to 64 years,Newfoundland and Labrador,10,14.2,14.2
2015,Total - Gender,45 years and over,Newfoundland and Labrador,10,14.2,14.2
2015,Total - Gender,25 to 54 years,Newfoundland and Labrador,10,11.3,11.3
2015,Total - Gender,55 years and over,Newfoundland and Labrador,10,16.3,16.3
2015,Total - Gender,15 to 64 years,Newfoundland and Labrador,10,13.1,13.1
2015,Total - Gender,15 to 19 years,Newfoundland and Labrador,10,19.0,19.0
2015,Total - Gender,20 to 24 years,Newfoundland and Labrador,10,14.6,14.6
2015,Total - Gender,25 to 29 years,Newfoundland and Labrador,10,11.0,11.0
2015,Total - Gender,30 to 34 years,Newfoundland and Labrador,10,10.6,10.6
2015,Total - Gender,35 to 39 years,Newfoundland and Labrador,10,9.9,9.9
2015,Total - Gender,40 to 44 years,Newfoundland and Labrador,10,11.0,11.0
2015,Total - Gender,45 to 49 years,Newfoundland and Labrador,10,11.2,11.2
2015,Total - Gender,50 to 54 years,Newfoundland and Labrador,10,13.2,13.2
2015,Total - Gender,55 to 59 years,Newfoundland and Labrador,10,14.8,14.8
2015,Total - Gender,60 to 64 years,Newfoundland and Labrador,10,19.2,19.2
2015,Total - Gender,65 years and over,Newfoundland and Labrador,10,14.6,14.6
2015,Total - Gender,65 to 69 years,Newfoundland and Labrador,10,17.1,17.1
2015,Total - Gender,70 years and over,Newfoundland and Labrador,10,,
2015,Men+,15 years and over,Newfoundland and Labrador,10,15.5,15.5
2015,Men+,15 to 24 years,Newfoundland and Labrador,10,20.5,20.5
2015,Men+,25 years and over,Newfoundland and Labrador,10,14.7,14.7
2015,Men+,25 to 44 years,Newfoundland and Labrador,10,12.0,12.0
2015,Men+,45 to 64 years,Newfoundland and Labrador,10,16.7,16.7
2015,Men+,45 years and over,Newfoundland and Labrador,10,16.9,16.9
2015,Men+,25 to 54 years,Newfoundland and Labrador,10,13.3,13.3
2015,Men+,55 years and over,Newfoundland and Labrador,10,18.8,18.8
2015,Men+,15 to 64 years,Newfoundland and Labrador,10,15.4,15.4
2015,Men+,15 to 19 years,Newfoundland and Labrador,10,23.9,23.9
2015,Men+,20 to 24 years,Newfoundland and Labrador,10,18.7,18.7
2015,Men+,25 to 29 years,Newfoundland and Labrador,10,11.9,11.9
2015,Men+,30 to 34 years,Newfoundland and Labrador,10,12.2,12.2
2015,Men+,35 to 39 years,Newfoundland and Labrador,10,11.6,11.6
2015,Men+,40 to 44 years,Newfoundland and Labrador,10,12.9,12.9
2015,Men+,45 to 49 years,Newfoundland and Labrador,10,14.0,14.0
2015,Men+,50 to 54 years,Newfoundland and Labrador,10,16.0,16.0
2015,Men+,55 to 59 years,Newfoundland and Labrador,10,17.1,17.1
2015,Men+,60 to 64 years,Newfoundland and Labrador,10,21.2,21.2
2015,Men+,65 years and over,Newfoundland and Labrador,10,,
2015,Men+,65 to 69 years,Newfoundland and Labrador,10,,
2015,Men+,70 years and over,Newfoundland and Labrador,10,,
2015,Women+,15 years and over,Newfoundland and Labrador,10,10.4,10.4
2015,Women+,15 to 24 years,Newfoundland and Labrador,10,12.0,12.0
2015,Women+,25 years and over,Newfoundland and Labrador,10,10.1,10.1
2015,Women+,25 to 44 years,Newfoundland and Labrador,10,9.2,9.2
2015,Women+,45 to 64 years,Newfoundland and Labrador,10,11.1,11.1
2015,Women+,45 years and over,Newfoundland and Labrador,10,11.0,11.0
2015,Women+,25 to 54 years,Newfoundland and Labrador,10,9.2,9.2
2015,Women+,55 years and over,Newfoundland and Labrador,10,12.9,12.9
2015,Women+,15 to 64 years,Newfoundland and Labrador,10,10.4,10.4
2015,Women+,15 to 19 years,Newfoundland and Labrador,10,14.7,14.7
2015,Women+,20 to 24 years,Newfoundland and Labrador,10,10.3,10.3
2015,Women+,25 to 29 years,Newfoundland and Labrador,10,9.9,9.9
2015,Women+,30 to 34 years,Newfoundland and Labrador,10,8.8,8.8
2015,Women+,35 to 39 years,Newfoundland and Labrador,10,8.8,8.8
2015,Women+,40 to 44 years,Newfoundland and Labrador,10,9.8,9.8
2015,Women+,45 to 49 years,Newfoundland and Labrador,10,8.1,8.1
2015,Women+,50 to 54 years,Newfoundland and Labrador,10,10.3,10.3
2015,Women+,55 to 59 years,Newfoundland and Labrador,10,11.9,11.9
2015,Women+,60 to 64 years,Newfoundland and Labrador,10,16.7,16.7
2015,Women+,65 years and over,Newfoundland and Labrador,10,,
2015,Women+,65 to 69 years,Newfoundland and Labrador,10,,
2015,Women+,70 years and over,Newfoundland and Labrador,10,,
2015,Total - Gender,15 years and over,Prince Edward Island,11,10.7,10.7
2015,Total - Gender,15 to 24 years,Prince Edward Island,11,15.3,15.3
2015,Total - Gender,25 years and over,Prince Edward Island,11,9.9,9.9
2015,Total - Gender,25 to 44 years,Prince Edward Island,11,9.9,9.9
2015,Total - Gender,45 to 64 years,Prince Edward Island,11,9.6,9.6
2015,Total - Gender,45 years and over,Prince Edward Island,11,9.8,9.8
2015,Total - Gender,25 to 54 years,Prince Edward Island,11,9.1,9.1
2015,Total - Gender,55 years and over,Prince Edward Island,11,11.9,11.9
2015,Total - Gender,15 to 64 years,Prince Edward Island,11,10.7,10.7
2015,Total - Gender,15 to 19 years,Prince Edward Island,11,19.6,19.6
2015,Total - Gender,20 to 24 years,Prince Edward Island,11,12.3,12.3
2015,Total - Gender,25 to 29 years,Prince Edward Island,11,11.1,11.1
2015,Total - Gender,30 to 34 years,Prince Edward Island,11,9.7,9.7
2015,Total - Gender,35 to 39 years,Prince Edward Island,11,9.6,9.6
2015,Total - Gender,40 to 44 years,Prince Edward Island,11,8.1,8.1
2015,Total - Gender,45 to 49 years,Prince Edward Island,11,8.1,8.1
2015,Total - Gender,50 to 54 years,Prince Edward Island,11,8.3,8.3
2015,Total - Gender,55 to 59 years,Prince Edward Island,11,10.1,10.1
2015,Total - Gender,60 to 64 years,Prince Edward Island,11,13.6,13.6
2015,Total - Gender,65 years and over,Prince Edward Island,11,10.6,10.6
2015,Total - Gender,65 to 69 years,Prince Edward Island,11,12.9,12.9
2015,Total - Gender,70 years and over,Prince Edward Island,11,,
2015,Men+,15 years and over,Prince Edward Island,11,12.0,12.0
2015,Men+,15 to 24 years,Prince Edward Island,11,20.3,20.3
2015,Men+,25 years and over,Prince Edward Island,11,10.5,10.5
2015,Men+,25 to 44 years,Prince Edward Island,11,11.3,11.3
2015,Men+,45 to 64 years,Prince Edward Island,11,9.9,9.9
2015,Men+,45 years and over,Prince Edward Island,11,9.9,9.9
2015,Men+,25 to 54 years,Prince Edward Island,11,10.1,10.1
2015,Men+,55 years and over,Prince Edward Island,11,11.3,11.3
2015,Men+,15 to 64 years,Prince Edward Island,11,12.1,12.1
2015,Men+,15 to 19 years,Prince Edward Island,11,23.1,23.1
2015,Men+,20 to 24 years,Prince Edward Island,11,17.9,17.9
2015,Men+,25 to 29 years,Prince Edward Island,11,10.8,10.8
2015,Men+,30 to 34 years,Prince Edward Island,11,10.8,10.8
2015,Men+,35 to 39 years,Prince Edward Island,11,13.9,13.9
2015,Men+,40 to 44 years,Prince Edward Island,11,9.8,9.8
2015,Men+,45 to 49 years,Prince Edward Island,11,9.1,9.1
2015,Men+,50 to 54 years,Prince Edward Island,11,7.7,7.7
2015,Men+,55 to 59 years,Prince Edward Island,11,9.1,9.1
2015,Men+,60 to 64 years,Prince Edward Island,11,15.6,15.6
2015,Men+,65 years and over,Prince Edward Island,11,,
2015,Men+,65 to 69 years,Prince Edward Island,11,,
2015,Men+,70 years and over,Prince Edward Island,11,,
2015,Women+,15 years and over,Prince Edward Island,11,9.3,9.3
2015,Women+,15 to 24 years,Prince Edward Island,11,10.0,10.0
2015,Women+,25 years and over,Prince Edward Island,11,9.2,9.2
2015,Women+,25 to 44 years,Prince Edward Island,11,8.6,8.6
2015,Women+,45 to 64 years,Prince Edward Island,11,9.5,9.5
2015,Women+,45 years and over,Prince Edward Island,11,9.7,9.7
2015,Women+,25 to 54 years,Prince Edward Island,11,8.5,8.5
2015,Women+,55 years and over,Prince Edward Island,11,11.2,11.2
2015,Women+,15 to 64 years,Prince Edward Island,11,9.2,9.2
2015,Women+,15 to 19 years,Prince Edward Island,11,16.0,16.0
2015,Women+,20 to 24 years,Prince Edward Island,11,5.7,5.7
2015,Women+,25 to 29 years,Prince Edward Island,11,11.4,11.4
2015,Women+,30 to 34 years,Prince Edward Island,11,8.6,8.6
2015,Women+,35 to 39 years,Prince Edward Island,11,5.6,5.6
2015,Women+,40 to 44 years,Prince Edward Island,11,6.7,6.7
2015,Women+,45 to 49 years,Prince Edward Island,11,7.3,7.3
2015,Women+,50 to 54 years,Prince Edward Island,11,8.9,8.9
2015,Women+,55 to 59 years,Prince Edward Island,11,10.9,10.9
2015,Women+,60 to 64 years,Prince Edward Island,11,11.5,11.5
2015,Women+,65 years and over,Prince Edward Island,11,,
2015,Women+,65 to 69 years,Prince Edward Island,11,,
2015,Women+,70 years and over,Prince Edward Island,11,,
2015,Total - Gender,15 years and over,Nova Scotia,12,8.9,8.9
2015,Total - Gender,15 to 24 years,Nova Scotia,12,15.2,15.2
2015,Total - Gender,25 years and over,Nova Scotia,12,7.7,7.7
2015,Total - Gender,25 to 44 years,Nova Scotia,12,7.3,7.3
2015,Total - Gender,45 to 64 years,Nova Scotia,12,8.3,8.3
2015,Total - Gender,45 years and over,Nova Scotia,12,8.2,8.2
2015,Total - Gender,25 to 54 years,Nova Scotia,12,7.5,7.5
2015,Total - Gender,55 years and over,Nova Scotia,12,8.6,8.6
2015,Total - Gender,15 to 64 years,Nova Scotia,12,9.0,9.0
2015,Total - Gender,15 to 19 years,Nova Scotia,12,20.5,20.5
2015,Total - Gender,20 to 24 years,Nova Scotia,12,12.1,12.1
2015,Total - Gender,25 to 29 years,Nova Scotia,12,8.8,8.8
2015,Total - Gender,30 to 34 years,Nova Scotia,12,6.6,6.6
2015,Total - Gender,35 to 39 years,Nova Scotia,12,7.6,7.6
2015,Total - Gender,40 to 44 years,Nova Scotia,12,5.9,5.9
2015,Total - Gender,45 to 49 years,Nova Scotia,12,7.5,7.5
2015,Total - Gender,50 to 54 years,Nova Scotia,12,8.0,8.0
2015,Total - Gender,55 to 59 years,Nova Scotia,12,8.4,8.4
2015,Total - Gender,60 to 64 years,Nova Scotia,12,10.2,10.2
2015,Total - Gender,65 years and over,Nova Scotia,12,6.4,6.4
2015,Total - Gender,65 to 69 years,Nova Scotia,12,8.5,8.5
2015,Total - Gender,70 years and over,Nova Scotia,12,,
2015,Men+,15 years and over,Nova Scotia,12,10.4,10.4
2015,Men+,15 to 24 years,Nova Scotia,12,18.0,18.0
2015,Men+,25 years and over,Nova Scotia,12,9.1,9.1
2015,Men+,25 to 44 years,Nova Scotia,12,8.7,8.7
2015,Men+,45 to 64 years,Nova Scotia,12,9.6,9.6
2015,Men+,45 years and over,Nova Scotia,12,9.4,9.4
2015,Men+,25 to 54 years,Nova Scotia,12,8.7,8.7
2015,Men+,55 years and over,Nova Scotia,12,10.2,10.2
2015,Men+,15 to 64 years,Nova Scotia,12,10.6,10.6
2015,Men+,15 to 19 years,Nova Scotia,12,25.9,25.9
2015,Men+,20 to 24 years,Nova Scotia,12,13.6,13.6
2015,Men+,25 to 29 years,Nova Scotia,12,12.0,12.0
2015,Men+,30 to 34 years,Nova Scotia,12,8.9,8.9
2015,Men+,35 to 39 years,Nova Scotia,12,8.1,8.1
2015,Men+,40 to 44 years,Nova Scotia,12,5.8,5.8
2015,Men+,45 to 49 years,Nova Scotia,12,8.8,8.8
2015,Men+,50 to 54 years,Nova Scotia,12,8.6,8.6
2015,Men+,55 to 59 years,Nova Scotia,12,10.4,10.4
2015,Men+,60 to 64 years,Nova Scotia,12,11.5,11.5
2015,Men+,65 years and over,Nova Scotia,12,,
2015,Men+,65 to 69 years,Nova Scotia,12,,
2015,Men+,70 years and over,Nova Scotia,12,,
2015,Women+,15 years and over,Nova Scotia,12,7.3,7.3
2015,Women+,15 to 24 years,Nova Scotia,12,12.4,12.4
2015,Women+,25 years and over,Nova Scotia,12,6.3,6.3
2015,Women+,25 to 44 years,Nova Scotia,12,5.7,5.7
2015,Women+,45 to 64 years,Nova Scotia,12,7.0,7.0
2015,Women+,45 years and over,Nova Scotia,12,6.9,6.9
2015,Women+,25 to 54 years,Nova Scotia,12,6.2,6.2
2015,Women+,55 years and over,Nova Scotia,12,6.7,6.7
2015,Women+,15 to 64 years,Nova Scotia,12,7.4,7.4
2015,Women+,15 to 19 years,Nova Scotia,12,15.3,15.3
2015,Women+,20 to 24 years,Nova Scotia,12,10.5,10.5
2015,Women+,25 to 29 years,Nova Scotia,12,5.3,5.3
2015,Women+,30 to 34 years,Nova Scotia,12,4.4,4.4
2015,Women+,35 to 39 years,Nova Scotia,12,7.1,7.1
2015,Women+,40 to 44 years,Nova Scotia,12,6.0,6.0
2015,Women+,45 to 49 years,Nova Scotia,12,6.3,6.3
2015,Women+,50 to 54 years,Nova Scotia,12,7.4,7.4
2015,Women+,55 to 59 years,Nova Scotia,12,6.3,6.3
2015,Women+,60 to 64 years,Nova Scotia,12,8.7,8.7
2015,Women+,65 years and over,Nova Scotia,12,,
2015,Women+,65 to 69 years,Nova Scotia,12,,
2015,Women+,70 years and over,Nova Scotia,12,,
2015,Total - Gender,15 years and over,New Brunswick,13,10.1,10.1
2015,Total - Gender,15 to 24 years,New Brunswick,13,17.1,17.1
2015,Total - Gender,25 years and over,New Brunswick,13,8.9,8.9
2015,Total - Gender,25 to 44 years,New Brunswick,13,8.2,8.2
2015,Total - Gender,45 to 64 years,New Brunswick,13,9.7,9.7
2015,Total - Gender,45 years and over,New Brunswick,13,9.5,9.5
2015,Total - Gender,25 to 54 years,New Brunswick,13,8.4,8.4
2015,Total - Gender,55 years and over,New Brunswick,13,10.4,10.4
2015,Total - Gender,15 to 64 years,New Brunswick,13,10.2,10.2
2015,Total - Gender,15 to 19 years,New Brunswick,13,18.4,18.4
2015,Total - Gender,20 to 24 years,New Brunswick,13,15.9,15.9
2015,Total - Gender,25 to 29 years,New Brunswick,13,10.5,10.5
2015,Total - Gender,30 to 34 years,New Brunswick,13,8.7,8.7
2015,Total - Gender,35 to 39 years,New Brunswick,13,7.0,7.0
2015,Total - Gender,40 to 44 years,New Brunswick,13,6.9,6.9
2015,Total - Gender,45 to 49 years,New Brunswick,13,8.0,8.0
2015,Total - Gender,50 to 54 years,New Brunswick,13,9.5,9.5
2015,Total - Gender,55 to 59 years,New Brunswick,13,10.0,10.0
2015,Total - Gender,60 to 64 years,New Brunswick,13,12.9,12.9
2015,Total - Gender,65 years and over,New Brunswick,13,7.2,7.2
2015,Total - Gender,65 to 69 years,New Brunswick,13,9.7,9.7
2015,Total - Gender,70 years and over,New Brunswick,13,,
2015,Men+,15 years and over,New Brunswick,13,12.6,12.6
2015,Men+,15 to 24 years,New Brunswick,13,21.8,21.8
2015,Men+,25 years and over,New Brunswick,13,11.1,11.1
2015,Men+,25 to 44 years,New Brunswick,13,10.2,10.2
2015,Men+,45 to 64 years,New Brunswick,13,12.1,12.1
2015,Men+,45 years and over,New Brunswick,13,11.8,11.8
2015,Men+,25 to 54 years,New Brunswick,13,10.5,10.5
2015,Men+,55 years and over,New Brunswick,13,12.7,12.7
2015,Men+,15 to 64 years,New Brunswick,13,12.7,12.7
2015,Men+,15 to 19 years,New Brunswick,13,22.6,22.6
2015,Men+,20 to 24 years,New Brunswick,13,21.3,21.3
2015,Men+,25 to 29 years,New Brunswick,13,14.0,14.0
2015,Men+,30 to 34 years,New Brunswick,13,10.7,10.7
2015,Men+,35 to 39 years,New Brunswick,13,9.0,9.0
2015,Men+,40 to 44 years,New Brunswick,13,7.7,7.7
2015,Men+,45 to 49 years,New Brunswick,13,9.4,9.4
2015,Men+,50 to 54 years,New Brunswick,13,12.1,12.1
2015,Men+,55 to 59 years,New Brunswick,13,12.1,12.1
2015,Men+,60 to 64 years,New Brunswick,13,15.6,15.6
2015,Men+,65 years and over,New Brunswick,13,,
2015,Men+,65 to 69 years,New Brunswick,13,,
2015,Men+,70 years and over,New Brunswick,13,,
2015,Women+,15 years and over,New Brunswick,13,7.3,7.3
2015,Women+,15 to 24 years,New Brunswick,13,11.8,11.8
2015,Women+,25 years and over,New Brunswick,13,6.6,6.6
2015,Women+,25 to 44 years,New Brunswick,13,6.1,6.1
2015,Women+,45 to 64 years,New Brunswick,13,7.3,7.3
2015,Women+,45 years and over,New Brunswick,13,7.0,7.0
2015,Women+,25 to 54 years,New Brunswick,13,6.3,6.3
2015,Women+,55 years and over,New Brunswick,13,7.5,7.5
2015,Women+,15 to 64 years,New Brunswick,13,7.5,7.5
2015,Women+,15 to 19 years,New Brunswick,13,14.2,14.2
2015,Women+,20 to 24 years,New Brunswick,13,10.3,10.3
2015,Women+,25 to 29 years,New Brunswick,13,6.9,6.9
2015,Women+,30 to 34 years,New Brunswick,13,6.6,6.6
2015,Women+,35 to 39 years,New Brunswick,13,4.9,4.9
2015,Women+,40 to 44 years,New Brunswick,13,6.1,6.1
2015,Women+,45 to 49 years,New Brunswick,13,6.7,6.7
2015,Women+,50 to 54 years,New Brunswick,13,6.5,6.5
2015,Women+,55 to 59 years,New Brunswick,13,7.1,7.1
2015,Women+,60 to 64 years,New Brunswick,13,9.7,9.7
2015,Women+,65 years and over,New Brunswick,13,,
2015,Women+,65 to 69 years,New Brunswick,13,,
2015,Women+,70 years and over,New Brunswick,13,,
2015,Total - Gender,15 years and over,Quebec,24,7.7,7.7
2015,Total - Gender,15 to 24 years,Quebec,24,12.2,12.2
2015,Total - Gender,25 years and over,Quebec,24,6.9,6.9
2015,Total - Gender,25 to 44 years,Quebec,24,7.2,7.2
2015,Total - Gender,45 to 64 years,Quebec,24,6.7,6.7
2015,Total - Gender,45 years and over,Quebec,24,6.6,6.6
2015,Total - Gender,25 to 54 years,Quebec,24,6.7,6.7
2015,Total - Gender,55 years and over,Quebec,24,7.6,7.6
2015,Total - Gender,15 to 64 years,Quebec,24,7.7,7.7
2015,Total - Gender,15 to 19 years,Quebec,24,17.6,17.6
2015,Total - Gender,20 to 24 years,Quebec,24,9.1,9.1
2015,Total - Gender,25 to 29 years,Quebec,24,8.6,8.6
2015,Total - Gender,30 to 34 years,Quebec,24,6.9,6.9
2015,Total - Gender,35 to 39 years,Quebec,24,6.4,6.4
2015,Total - Gender,40 to 44 years,Quebec,24,7.0,7.0
2015,Total - Gender,45 to 49 years,Quebec,24,5.6,5.6
2015,Total - Gender,50 to 54 years,Quebec,24,6.1,6.1
2015,Total - Gender,55 to 59 years,Quebec,24,7.6,7.6
2015,Total - Gender,60 to 64 years,Quebec,24,8.1,8.1
2015,Total - Gender,65 years and over,Quebec,24,6.5,6.5
2015,Total - Gender,65 to 69 years,Quebec,24,7.2,7.2
2015,Total - Gender,70 years and over,Quebec,24,4.9,4.9
2015,Men+,15 years and over,Quebec,24,8.5,8.5
2015,Men+,15 to 24 years,Quebec,24,14.6,14.6
2015,Men+,25 years and over,Quebec,24,7.5,7.5
2015,Men+,25 to 44 years,Quebec,24,7.5,7.5
2015,Men+,45 to 64 years,Quebec,24,7.5,7.5
2015,Men+,45 years and over,Quebec,24,7.5,7.5
2015,Men+,25 to 54 years,Quebec,24,7.3,7.3
2015,Men+,55 years and over,Quebec,24,8.1,8.1
2015,Men+,15 to 64 years,Quebec,24,8.6,8.6
2015,Men+,15 to 19 years,Quebec,24,19.9,19.9
2015,Men+,20 to 24 years,Quebec,24,11.5,11.5
2015,Men+,25 to 29 years,Quebec,24,8.7,8.7
2015,Men+,30 to 34 years,Quebec,24,7.4,7.4
2015,Men+,35 to 39 years,Quebec,24,6.8,6.8
2015,Men+,40 to 44 years,Quebec,24,7.4,7.4
2015,Men+,45 to 49 years,Quebec,24,6.3,6.3
2015,Men+,50 to 54 years,Quebec,24,7.3,7.3
2015,Men+,55 to 59 years,Quebec,24,7.8,7.8
2015,Men+,60 to 64 years,Quebec,24,9.4,9.4
2015,Men+,65 years and over,Quebec,24,6.7,6.7
2015,Men+,65 to 69 years,Quebec,24,7.7,7.7
2015,Men+,70 years and over,Quebec,24,,
2015,Women+,15 years and over,Quebec,24,6.8,6.8
2015,Women+,15 to 24 years,Quebec,24,9.9,9.9
2015,Women+,25 years and over,Quebec,24,6.2,6.2
2015,Women+,25 to 44 years,Quebec,24,6.8,6.8
2015,Women+,45 to 64 years,Quebec,24,5.7,5.7
2015,Women+,45 years and over,Quebec,24,5.7,5.7
2015,Women+,25 to 54 years,Quebec,24,6.1,6.1
2015,Women+,55 years and over,Quebec,24,6.8,6.8
2015,Women+,15 to 64 years,Quebec,24,6.8,6.8
2015,Women+,15 to 19 years,Quebec,24,15.3,15.3
2015,Women+,20 to 24 years,Quebec,24,6.7,6.7
2015,Women+,25 to 29 years,Quebec,24,8.5,8.5
2015,Women+,30 to 34 years,Quebec,24,6.5,6.5
2015,Women+,35 to 39 years,Quebec,24,6.0,6.0
2015,Women+,40 to 44 years,Quebec,24,6.5,6.5
2015,Women+,45 to 49 years,Quebec,24,4.9,4.9
2015,Women+,50 to 54 years,Quebec,24,4.8,4.8
2015,Women+,55 to 59 years,Quebec,24,7.4,7.4
2015,Women+,60 to 64 years,Quebec,24,6.1,6.1
2015,Women+,65 years and over,Quebec,24,6.0,6.0
2015,Women+,65 to 69 years,Quebec,24,6.5,6.5
2015,Women+,70 years and over,Quebec,24,,
2015,Total - Gender,15 years and over,Ontario,35,6.8,6.8
2015,Total - Gender,15 to 24 years,Ontario,35,14.4,14.4
2015,Total - Gender,25 years and over,Ontario,35,5.5,5.5
2015,Total - Gender,25 to 44 years,Ontario,35,6.1,6.1
2015,Total - Gender,45 to 64 years,Ontario,35,5.1,5.1
2015,Total - Gender,45 years and over,Ontario,35,4.9,4.9
2015,Total - Gender,25 to 54 years,Ontario,35,5.6,5.6
2015,Total - Gender,55 years and over,Ontario,35,5.0,5.0
2015,Total - Gender,15 to 64 years,Ontario,35,7.0,7.0
2015,Total - Gender,15 to 19 years,Ontario,35,19.6,19.6
2015,Total - Gender,20 to 24 years,Ontario,35,11.5,11.5
2015,Total - Gender,25 to 29 years,Ontario,35,7.9,7.9
2015,Total - Gender,30 to 34 years,Ontario,35,5.9,5.9
2015,Total - Gender,35 to 39 years,Ontario,35,5.6,5.6
2015,Total - Gender,40 to 44 years,Ontario,35,5.0,5.0
2015,Total - Gender,45 to 49 years,Ontario,35,4.5,4.5
2015,Total - Gender,50 to 54 years,Ontario,35,5.1,5.1
2015,Total - Gender,55 to 59 years,Ontario,35,5.2,5.2
2015,Total - Gender,60 to 64 years,Ontario,35,5.6,5.6
2015,Total - Gender,65 years and over,Ontario,35,3.7,3.7
2015,Total - Gender,65 to 69 years,Ontario,35,4.7,4.7
2015,Total - Gender,70 years and over,Ontario,35,-1.0,1.7
2015,Men+,15 years and over,Ontario,35,7.1,7.1
2015,Men+,15 to 24 years,Ontario,35,16.1,16.1
2015,Men+,25 years and over,Ontario,35,5.6,5.6
2015,Men+,25 to 44 years,Ontario,35,6.3,6.3
2015,Men+,45 to 64 years,Ontario,35,5.1,5.1
2015,Men+,45 years and over,Ontario,35,4.9,4.9
2015,Men+,25 to 54 years,Ontario,35,5.8,5.8
2015,Men+,55 years and over,Ontario,35,4.9,4.9
2015,Men+,15 to 64 years,Ontario,35,7.3,7.3
2015,Men+,15 to 19 years,Ontario,35,21.0,21.0
