Year,Series,Antigen or vaccine,Geography,Gender,GeoCode,Value
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Alberta,,48,79.9
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Alberta,,48,79.9
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Alberta,,48,79.9
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,British Columbia,,59,76.6
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),British Columbia,,59,76.6
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,British Columbia,,59,76.6
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Yukon,,60,70.7
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Yukon,,60,70.7
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Yukon,,60,70.7
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Northwest Territories,,61,76.7
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Northwest Territories,,61,76.7
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Northwest Territories,,61,76.7
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Nunavut,,62,63.8
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Nunavut,,62,63.8
2017,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Nunavut,,62,63.8
2019,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Canada,,11124,77.5
2019,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Canada,,11124,77.5
2019,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Canada,,11124,77.5
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Canada,,11124,77.1
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Canada,,11124,77.1
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Canada,,11124,77.1
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Newfoundland and Labrador,,10,80.0
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Newfoundland and Labrador,,10,80.0
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Newfoundland and Labrador,,10,80.0
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Prince Edward Island,,11,95.8
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Prince Edward Island,,11,95.8
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Prince Edward Island,,11,95.8
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Nova Scotia,,12,70.3
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Nova Scotia,,12,70.3
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Nova Scotia,,12,70.3
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,New Brunswick,,13,78.1
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),New Brunswick,,13,78.1
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,New Brunswick,,13,78.1
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Ontario,,35,76.7
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Ontario,,35,76.7
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Ontario,,35,76.7
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Quebec,,24,76.2
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Quebec,,24,76.2
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Quebec,,24,76.2
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Manitoba,,46,75.5
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Manitoba,,46,75.5
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Manitoba,,46,75.5
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Saskatchewan,,47,80.9
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Saskatchewan,,47,80.9
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Saskatchewan,,47,80.9
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Alberta,,48,74.6
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Alberta,,48,74.6
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Alberta,,48,74.6
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,British Columbia,,59,83.6
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),British Columbia,,59,83.6
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,British Columbia,,59,83.6
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Yukon,,60,66.6
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Yukon,,60,66.6
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Yukon,,60,66.6
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Northwest Territories,,61,66.0
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Northwest Territories,,61,66.0
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Northwest Territories,,61,66.0
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Diphtheria,Nunavut,,62,24.1
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Pertussis (whooping cough),Nunavut,,62,24.1
2021,Diphtheria-tetanus-pertussis vaccine coverage at 2 years of age,Tetanus,Nunavut,,62,24.1
2015,Measles vaccine coverage at 7 years of age,,,,11124,85.8
2017,Measles vaccine coverage at 7 years of age,,,,11124,87.0
2019,Measles vaccine coverage at 7 years of age,,,,11124,83.3
2021,Measles vaccine coverage at 7 years of age,,,,11124,79.2
2015,Pneumococcal vaccine coverage at 2 years of age,,,,11124,80.3
2017,Pneumococcal vaccine coverage at 2 years of age,,,,11124,81.4
2017,Pneumococcal vaccine coverage at 2 years of age,,Newfoundland and Labrador,,10,90.2
2017,Pneumococcal vaccine coverage at 2 years of age,,Prince Edward Island,,11,89.5
2017,Pneumococcal vaccine coverage at 2 years of age,,Nova Scotia,,12,80.4
2017,Pneumococcal vaccine coverage at 2 years of age,,New Brunswick,,13,82.2
2017,Pneumococcal vaccine coverage at 2 years of age,,Ontario,,35,80.5
2017,Pneumococcal vaccine coverage at 2 years of age,,Quebec,,24,83.3
2017,Pneumococcal vaccine coverage at 2 years of age,,Manitoba,,46,74.6
2017,Pneumococcal vaccine coverage at 2 years of age,,Saskatchewan,,47,83.7
2017,Pneumococcal vaccine coverage at 2 years of age,,Alberta,,48,82.6
2017,Pneumococcal vaccine coverage at 2 years of age,,British Columbia,,59,80.3
2017,Pneumococcal vaccine coverage at 2 years of age,,Yukon,,60,83.2
2017,Pneumococcal vaccine coverage at 2 years of age,,Northwest Territories,,61,63.8
2017,Pneumococcal vaccine coverage at 2 years of age,,Nunavut,,62,62.4
2019,Pneumococcal vaccine coverage at 2 years of age,,,,11124,84.4
2021,Pneumococcal vaccine coverage at 2 years of age,,,,11124,85.1
2021,Pneumococcal vaccine coverage at 2 years of age,,Newfoundland and Labrador,,10,87.8
2021,Pneumococcal vaccine coverage at 2 years of age,,Prince Edward Island,,11,97.4
2021,Pneumococcal vaccine coverage at 2 years of age,,Nova Scotia,,12,79.0
2021,Pneumococcal vaccine coverage at 2 years of age,,New Brunswick,,13,86.7
2021,Pneumococcal vaccine coverage at 2 years of age,,Ontario,,35,86.1
2021,Pneumococcal vaccine coverage at 2 years of age,,Quebec,,24,85.3
2021,Pneumococcal vaccine coverage at 2 years of age,,Manitoba,,46,81.7
2021,Pneumococcal vaccine coverage at 2 years of age,,Saskatchewan,,47,83.7
2021,Pneumococcal vaccine coverage at 2 years of age,,Alberta,,48,81.3
2021,Pneumococcal vaccine coverage at 2 years of age,,British Columbia,,59,88.2
2021,Pneumococcal vaccine coverage at 2 years of age,,Yukon,,60,73.2
2021,Pneumococcal vaccine coverage at 2 years of age,,Northwest Territories,,61,59.9
2021,Pneumococcal vaccine coverage at 2 years of age,,Nunavut,,62,21.0
2015,Human Papillomavirus (HPV) vaccine coverage at 14 years of age,,Canada,Women+,11124,74.6
2017,Human Papillomavirus (HPV) vaccine coverage at 14 years of age,,Canada,Women+,11124,83.0
2019,Human Papillomavirus (HPV) vaccine coverage at 14 years of age,,,,11124,80.2
2019,Human Papillomavirus (HPV) vaccine coverage at 14 years of age,,Canada,Men+,11124,73.0
2019,Human Papillomavirus (HPV) vaccine coverage at 14 years of age,,Canada,Women+,11124,87.1
2021,Human Papillomavirus (HPV) vaccine coverage at 14 years of age,,,,11124,84.0
2021,Human Papillomavirus (HPV) vaccine coverage at 14 years of age,,Canada,Men+,11124,81.5
2021,Human Papillomavirus (HPV) vaccine coverage at 14 years of age,,Canada,Women+,11124,86.4
