Year,Visible minority,Sociodemographic characteristics,Value
2022,Black,15 to 24 years,84.7
2022,Black,25 to 64 years,81.6
2022,Black,65 years and over,81.1
2022,Black,Non-immigrants,81.9
2022,Black,Immigrants,82.1
2022,Filipino,"Total, 15 years and over",83.8
2022,Filipino,Men+,83.5
2022,Filipino,Women+,84.1
2022,Filipino,15 to 24 years,83.0
2022,Filipino,25 to 64 years,83.7
2022,Filipino,65 years and over,86.1
2022,Filipino,Non-immigrants,78.0
2022,Filipino,Immigrants,84.0
2022,Arab,"Total, 15 years and over",77.0
2022,Arab,Men+,78.0
2022,Arab,Women+,76.0
2022,Arab,15 to 24 years,84.5
2022,Arab,25 to 64 years,74.0
2022,Arab,65 years and over,92.9
2022,Arab,Non-immigrants,59.0
2022,Arab,Immigrants,80.7
2022,Latin American,"Total, 15 years and over",77.0
2022,Latin American,Men+,77.0
2022,Latin American,Women+,77.0
2022,Latin American,15 to 24 years,65.0
2022,Latin American,25 to 64 years,79.0
2022,Latin American,65 years and over,77.0
2022,Latin American,Non-immigrants,60.0
2022,Latin American,Immigrants,76.0
2022,Southeast Asian,"Total, 15 years and over",72.0
2022,Southeast Asian,Men+,75.0
2022,Southeast Asian,Women+,69.0
2022,Southeast Asian,15 to 24 years,69.0
2022,Southeast Asian,25 to 64 years,74.0
2022,Southeast Asian,65 years and over,65.0
2022,Southeast Asian,Non-immigrants,66.0
2022,Southeast Asian,Immigrants,73.0
2022,Not a visible minority,"Total, 15 years and over",79.0
2022,Not a visible minority,Men+,82.1
2022,Not a visible minority,Women+,76.0
2022,Not a visible minority,15 to 24 years,80.9
2022,Not a visible minority,25 to 64 years,80.3
2022,Not a visible minority,65 years and over,75.0
2022,Not a visible minority,Non-immigrants,79.0
2022,Not a visible minority,Immigrants,78.0
